Species,x,y
Eccoptura_xanthenes,229388,3940397
Eccoptura_xanthenes,229683,3940433
Eccoptura_xanthenes,234193,3944224
Eccoptura_xanthenes,238851,3928623
Eccoptura_xanthenes,241428,3942384
Eccoptura_xanthenes,241446,3942374
Eccoptura_xanthenes,241621,3938952
Eccoptura_xanthenes,241957,3942589
Eccoptura_xanthenes,242784,3941539
Eccoptura_xanthenes,243024,3937579
Eccoptura_xanthenes,243069,3936733
Eccoptura_xanthenes,247447,3943781
Eccoptura_xanthenes,248443,3943389
Eccoptura_xanthenes,250661,3941638
Eccoptura_xanthenes,251626,3940619
Eccoptura_xanthenes,252403,3945445
Eccoptura_xanthenes,254189,3948005
Eccoptura_xanthenes,257576,3936109
Eccoptura_xanthenes,257977,3943824
Eccoptura_xanthenes,258835,3940612
Eccoptura_xanthenes,259086,3940879
Eccoptura_xanthenes,259146,3942589
Eccoptura_xanthenes,259266,3940699
Eccoptura_xanthenes,261145,3950756
Eccoptura_xanthenes,264901,3929963
Eccoptura_xanthenes,265341,3928991
Eccoptura_xanthenes,265516,3949769
Eccoptura_xanthenes,265837,3936542
Eccoptura_xanthenes,266855,3928449
Eccoptura_xanthenes,266856,3928449
Eccoptura_xanthenes,267016,3942549
Eccoptura_xanthenes,267129,3927983
Eccoptura_xanthenes,267386,3941879
Eccoptura_xanthenes,267596,3929859
Eccoptura_xanthenes,269583,3951720
Eccoptura_xanthenes,270471,3952326
Eccoptura_xanthenes,271546,3954110
Eccoptura_xanthenes,272838,3953536
Eccoptura_xanthenes,273736,3952050
Eccoptura_xanthenes,273826,3952003
Eccoptura_xanthenes,274352,3946571
Eccoptura_xanthenes,274730,3925930
Eccoptura_xanthenes,275276,3953100
Eccoptura_xanthenes,276270,3945424
Eccoptura_xanthenes,276440,3946173
Eccoptura_xanthenes,278196,3945624
Eccoptura_xanthenes,278693,3926818
Eccoptura_xanthenes,279003,3926717
Eccoptura_xanthenes,279266,3935129
Eccoptura_xanthenes,280329,3927427
Eccoptura_xanthenes,280375,3943525
Eccoptura_xanthenes,281576,3950240
Eccoptura_xanthenes,282146,3932640
Eccoptura_xanthenes,283811,3954432
Eccoptura_xanthenes,283848,3952582
Eccoptura_xanthenes,285326,3941000
Eccoptura_xanthenes,287678,3938192
Eccoptura_xanthenes,288733,3954030
Eccoptura_xanthenes,289796,3942740
Eccoptura_xanthenes,290775,3936877
Eccoptura_xanthenes,294116,3959410
Eccoptura_xanthenes,295167,3943200
Eccoptura_xanthenes,297307,3940260
Eccoptura_xanthenes,299616,3958040
Eccoptura_xanthenes,300176,3959720
Eccoptura_xanthenes,300416,3958917
Eccoptura_xanthenes,300463,3958663
Eccoptura_xanthenes,301187,3957814
Eccoptura_xanthenes,303247,3947510
Eccoptura_xanthenes,304267,3947170
Eccoptura_xanthenes,304280,3947115
Eccoptura_xanthenes,305067,3945610
Eccoptura_xanthenes,305607,3945870
Eccoptura_xanthenes,311308,3945342
