Species,x,y
Epimecis_hortaria,244121,3927397
Epimecis_hortaria,245076,3943259
Epimecis_hortaria,247320,3942500
Epimecis_hortaria,248438,3943416
Epimecis_hortaria,248536,3943119
Epimecis_hortaria,253047,3928775
Epimecis_hortaria,256484,3947482
Epimecis_hortaria,256496,3947275
Epimecis_hortaria,256521,3947351
Epimecis_hortaria,263275,3925149
Epimecis_hortaria,265526,3949769
Epimecis_hortaria,266239,3947971
Epimecis_hortaria,267754,3927974
Epimecis_hortaria,268504,3926530
Epimecis_hortaria,270419,3952088
Epimecis_hortaria,270422,3952199
Epimecis_hortaria,270532,3951831
Epimecis_hortaria,270548,3952040
Epimecis_hortaria,272201,3954485
Epimecis_hortaria,272416,3929229
Epimecis_hortaria,273826,3952003
Epimecis_hortaria,274457,3946720
Epimecis_hortaria,274665,3951647
Epimecis_hortaria,275180,3946971
Epimecis_hortaria,276176,3951140
Epimecis_hortaria,276344,3946387
Epimecis_hortaria,276490,3946022
Epimecis_hortaria,276499,3934505
Epimecis_hortaria,280318,3927417
Epimecis_hortaria,282396,3956671
Epimecis_hortaria,282686,3940320
Epimecis_hortaria,284340,3954737
Epimecis_hortaria,289947,3937460
Epimecis_hortaria,291133,3931709
Epimecis_hortaria,291499,3931811
Epimecis_hortaria,291781,3932248
Epimecis_hortaria,291888,3932912
Epimecis_hortaria,296031,3960831
Epimecis_hortaria,298425,3965061
Epimecis_hortaria,299437,3965815
Epimecis_hortaria,299884,3961587
Epimecis_hortaria,300205,3959804
Epimecis_hortaria,300709,3958391
Epimecis_hortaria,307827,3943480
Epimecis_hortaria,309517,3952830
Epimecis_hortaria,311516,3938580
Epimecis_hortaria,311854,3946009
Epimecis_hortaria,312007,3939804
Epimecis_hortaria,312166,3940057
Epimecis_hortaria,314385,3945734
