Species,x,y
Galium_lanceolatum,232755,3933168
Galium_lanceolatum,232997,3933536
Galium_lanceolatum,235528,3943176
Galium_lanceolatum,239022,3935430
Galium_lanceolatum,240116,3935168
Galium_lanceolatum,240119,3935181
Galium_lanceolatum,240119,3935182
Galium_lanceolatum,241354,3945073
Galium_lanceolatum,241354,3945074
Galium_lanceolatum,242141,3934592
Galium_lanceolatum,242856,3937445
Galium_lanceolatum,242856,3937446
Galium_lanceolatum,243079,3937768
Galium_lanceolatum,243268,3936814
Galium_lanceolatum,243416,3936640
Galium_lanceolatum,243529,3937849
Galium_lanceolatum,244534,3936815
Galium_lanceolatum,245375,3936472
Galium_lanceolatum,245654,3936813
Galium_lanceolatum,245655,3936813
Galium_lanceolatum,245690,3936871
Galium_lanceolatum,245691,3936871
Galium_lanceolatum,245859,3948407
Galium_lanceolatum,246041,3935319
Galium_lanceolatum,247366,3942940
Galium_lanceolatum,248817,3938427
Galium_lanceolatum,249257,3941292
Galium_lanceolatum,249306,3941288
Galium_lanceolatum,249448,3940682
Galium_lanceolatum,251394,3941029
Galium_lanceolatum,255834,3947571
Galium_lanceolatum,258770,3943500
Galium_lanceolatum,259746,3943889
Galium_lanceolatum,259746,3943890
Galium_lanceolatum,259746,3943891
Galium_lanceolatum,260442,3941729
Galium_lanceolatum,272901,3929908
Galium_lanceolatum,294208,3958553
Galium_lanceolatum,298522,3959264
Galium_lanceolatum,308951,3957091
Galium_lanceolatum,311418,3940064
Galium_lanceolatum,313363,3940632
