Species,x,y
Gaylussacia_ursina,229964,3938809
Gaylussacia_ursina,231972,3933272
Gaylussacia_ursina,232755,3933168
Gaylussacia_ursina,233155,3933628
Gaylussacia_ursina,233415,3936238
Gaylussacia_ursina,234049,3940888
Gaylussacia_ursina,234135,3940968
Gaylussacia_ursina,234325,3939788
Gaylussacia_ursina,234335,3944268
Gaylussacia_ursina,234505,3930660
Gaylussacia_ursina,234627,3939512
Gaylussacia_ursina,234631,3930456
Gaylussacia_ursina,234635,3939628
Gaylussacia_ursina,234735,3941258
Gaylussacia_ursina,234885,3939772
Gaylussacia_ursina,234946,3940496
Gaylussacia_ursina,235015,3936208
Gaylussacia_ursina,235050,3929668
Gaylussacia_ursina,235112,3929651
Gaylussacia_ursina,235122,3941046
Gaylussacia_ursina,235201,3929519
Gaylussacia_ursina,235280,3944031
Gaylussacia_ursina,235289,3937966
Gaylussacia_ursina,235323,3941089
Gaylussacia_ursina,235329,3939887
Gaylussacia_ursina,235335,3943168
Gaylussacia_ursina,235341,3943412
Gaylussacia_ursina,235446,3943966
Gaylussacia_ursina,235471,3943140
Gaylussacia_ursina,235528,3943176
Gaylussacia_ursina,235641,3936207
Gaylussacia_ursina,235665,3938428
Gaylussacia_ursina,235700,3943230
Gaylussacia_ursina,235927,3942957
Gaylussacia_ursina,235956,3938293
Gaylussacia_ursina,236015,3939208
Gaylussacia_ursina,236115,3942528
Gaylussacia_ursina,236898,3942881
Gaylussacia_ursina,237015,3937208
Gaylussacia_ursina,237087,3943897
Gaylussacia_ursina,237092,3937750
Gaylussacia_ursina,237271,3944800
Gaylussacia_ursina,237463,3937106
Gaylussacia_ursina,237495,3928622
Gaylussacia_ursina,237781,3942019
Gaylussacia_ursina,237817,3942089
Gaylussacia_ursina,237818,3942138
Gaylussacia_ursina,238015,3936208
Gaylussacia_ursina,238083,3942153
Gaylussacia_ursina,238422,3945701
Gaylussacia_ursina,238426,3945758
Gaylussacia_ursina,238609,3945910
Gaylussacia_ursina,238962,3950523
Gaylussacia_ursina,239022,3935430
Gaylussacia_ursina,239325,3950068
Gaylussacia_ursina,239503,3938490
Gaylussacia_ursina,239593,3938635
Gaylussacia_ursina,239778,3946250
Gaylussacia_ursina,239936,3941147
Gaylussacia_ursina,240059,3935680
Gaylussacia_ursina,240124,3938730
Gaylussacia_ursina,240124,3938731
Gaylussacia_ursina,240171,3938505
Gaylussacia_ursina,240172,3938506
Gaylussacia_ursina,240190,3941880
Gaylussacia_ursina,240190,3941881
Gaylussacia_ursina,240265,3943709
Gaylussacia_ursina,240372,3929025
Gaylussacia_ursina,240588,3941799
Gaylussacia_ursina,240612,3945879
Gaylussacia_ursina,240757,3941317
Gaylussacia_ursina,240791,3941644
Gaylussacia_ursina,240827,3942134
Gaylussacia_ursina,240827,3942135
Gaylussacia_ursina,240891,3942755
Gaylussacia_ursina,240990,3945596
Gaylussacia_ursina,241029,3938350
Gaylussacia_ursina,241044,3942528
Gaylussacia_ursina,241131,3943118
Gaylussacia_ursina,241167,3941674
Gaylussacia_ursina,241168,3941674
Gaylussacia_ursina,241219,3941535
Gaylussacia_ursina,241220,3941536
Gaylussacia_ursina,241224,3944488
Gaylussacia_ursina,241294,3941596
Gaylussacia_ursina,241294,3941597
Gaylussacia_ursina,241298,3942911
Gaylussacia_ursina,241354,3945073
Gaylussacia_ursina,241354,3945074
Gaylussacia_ursina,241356,3941674
