Species,x,y
Hypericum_hypericoides,228740,3938484
Hypericum_hypericoides,228869,3937761
Hypericum_hypericoides,229233,3933717
Hypericum_hypericoides,229399,3934883
Hypericum_hypericoides,229515,3934907
Hypericum_hypericoides,229712,3936162
Hypericum_hypericoides,229821,3936853
Hypericum_hypericoides,229873,3936080
Hypericum_hypericoides,229912,3935024
Hypericum_hypericoides,229913,3935026
Hypericum_hypericoides,229964,3938809
Hypericum_hypericoides,229973,3935874
Hypericum_hypericoides,230742,3934274
Hypericum_hypericoides,233525,3947183
Hypericum_hypericoides,237271,3944800
Hypericum_hypericoides,237769,3928566
Hypericum_hypericoides,238585,3948938
Hypericum_hypericoides,238695,3949328
Hypericum_hypericoides,238880,3928356
Hypericum_hypericoides,241446,3927275
Hypericum_hypericoides,241707,3927349
Hypericum_hypericoides,241921,3927281
Hypericum_hypericoides,242050,3927309
Hypericum_hypericoides,242684,3927237
Hypericum_hypericoides,243156,3943688
Hypericum_hypericoides,243392,3927113
Hypericum_hypericoides,244136,3944352
Hypericum_hypericoides,245695,3942114
Hypericum_hypericoides,245862,3944302
Hypericum_hypericoides,246159,3943976
Hypericum_hypericoides,254464,3929127
Hypericum_hypericoides,262237,3925627
Hypericum_hypericoides,262301,3925614
Hypericum_hypericoides,264450,3926680
Hypericum_hypericoides,264491,3926642
Hypericum_hypericoides,268979,3927117
Hypericum_hypericoides,308025,3959420
