Species,x,y
Ilex_opaca,227470,3939805
Ilex_opaca,228688,3938914
Ilex_opaca,229125,3938550
Ilex_opaca,229262,3936028
Ilex_opaca,229423,3943507
Ilex_opaca,229511,3936043
Ilex_opaca,229854,3935826
Ilex_opaca,229883,3935806
Ilex_opaca,229973,3934800
Ilex_opaca,229976,3934782
Ilex_opaca,230182,3935811
Ilex_opaca,230291,3939421
Ilex_opaca,230307,3939034
Ilex_opaca,230362,3939051
Ilex_opaca,230366,3939180
Ilex_opaca,230402,3934339
Ilex_opaca,230406,3938891
Ilex_opaca,230429,3938791
Ilex_opaca,230436,3938839
Ilex_opaca,230519,3939436
Ilex_opaca,230525,3938746
Ilex_opaca,230716,3945410
Ilex_opaca,230763,3933981
Ilex_opaca,230832,3934630
Ilex_opaca,230883,3945266
Ilex_opaca,231141,3934776
Ilex_opaca,234220,3932696
Ilex_opaca,234325,3939788
Ilex_opaca,234335,3944268
Ilex_opaca,234365,3941058
Ilex_opaca,234365,3944158
Ilex_opaca,234560,3944957
Ilex_opaca,234627,3939512
Ilex_opaca,234635,3939628
Ilex_opaca,234666,3944884
Ilex_opaca,234798,3935955
Ilex_opaca,234875,3945468
Ilex_opaca,234946,3940496
Ilex_opaca,235032,3940477
Ilex_opaca,235187,3944036
Ilex_opaca,235187,3944037
Ilex_opaca,235280,3944031
Ilex_opaca,235315,3945788
Ilex_opaca,235323,3941089
Ilex_opaca,235348,3943903
Ilex_opaca,235348,3943904
Ilex_opaca,235528,3943176
Ilex_opaca,235891,3947407
Ilex_opaca,235927,3942957
Ilex_opaca,236011,3946429
Ilex_opaca,236041,3943073
Ilex_opaca,236526,3946955
Ilex_opaca,236642,3947522
Ilex_opaca,236767,3947056
Ilex_opaca,236898,3942881
Ilex_opaca,236951,3945042
Ilex_opaca,236968,3942820
Ilex_opaca,237087,3943897
Ilex_opaca,237121,3943836
Ilex_opaca,237271,3944800
Ilex_opaca,237281,3947556
Ilex_opaca,237450,3947605
Ilex_opaca,237474,3943642
Ilex_opaca,237587,3947501
Ilex_opaca,237848,3948137
Ilex_opaca,238192,3945429
Ilex_opaca,238426,3945758
Ilex_opaca,238531,3941707
Ilex_opaca,238695,3949328
Ilex_opaca,238738,3946119
Ilex_opaca,238761,3931181
Ilex_opaca,238846,3941819
Ilex_opaca,238894,3946211
Ilex_opaca,239173,3946086
Ilex_opaca,239314,3950720
Ilex_opaca,239325,3950068
Ilex_opaca,239530,3938570
Ilex_opaca,239574,3946144
