Species,x,y
Lambdina_fervidaria,244121,3927397
Lambdina_fervidaria,245076,3943259
Lambdina_fervidaria,248536,3943119
Lambdina_fervidaria,251770,3926404
Lambdina_fervidaria,253047,3928775
Lambdina_fervidaria,256521,3947351
Lambdina_fervidaria,263275,3925149
Lambdina_fervidaria,267754,3927974
Lambdina_fervidaria,268504,3926530
Lambdina_fervidaria,272416,3929229
Lambdina_fervidaria,274457,3946720
Lambdina_fervidaria,276429,3946162
Lambdina_fervidaria,276490,3946022
Lambdina_fervidaria,276499,3934505
Lambdina_fervidaria,279031,3926782
Lambdina_fervidaria,280351,3943512
Lambdina_fervidaria,282686,3940320
Lambdina_fervidaria,289947,3937460
Lambdina_fervidaria,290953,3932802
Lambdina_fervidaria,291133,3931709
Lambdina_fervidaria,291266,3932698
Lambdina_fervidaria,291413,3932035
Lambdina_fervidaria,291499,3931811
Lambdina_fervidaria,291781,3932248
Lambdina_fervidaria,291888,3932912
Lambdina_fervidaria,298410,3965161
Lambdina_fervidaria,299313,3965559
Lambdina_fervidaria,311516,3938580
Lambdina_fervidaria,312007,3939804
Lambdina_fervidaria,312166,3940057
Lambdina_fervidaria,312180,3940009
Lambdina_fervidaria,314385,3945734
