Species,x,y
Lycopodium_obscurum,250681,3946815
Lycopodium_obscurum,250796,3946791
Lycopodium_obscurum,251771,3947515
Lycopodium_obscurum,252272,3940490
Lycopodium_obscurum,258488,3950249
Lycopodium_obscurum,260314,3941865
Lycopodium_obscurum,260316,3941879
Lycopodium_obscurum,260388,3941609
Lycopodium_obscurum,260396,3941619
Lycopodium_obscurum,262492,3953818
Lycopodium_obscurum,263668,3925610
Lycopodium_obscurum,263955,3948109
Lycopodium_obscurum,264179,3948026
Lycopodium_obscurum,264431,3945461
Lycopodium_obscurum,266678,3949173
Lycopodium_obscurum,268125,3947029
Lycopodium_obscurum,268489,3946945
Lycopodium_obscurum,268693,3946890
Lycopodium_obscurum,269499,3946477
Lycopodium_obscurum,275610,3952594
Lycopodium_obscurum,281586,3957629
Lycopodium_obscurum,282212,3953763
Lycopodium_obscurum,282407,3956904
Lycopodium_obscurum,282443,3956895
Lycopodium_obscurum,282520,3956718
Lycopodium_obscurum,283028,3944419
Lycopodium_obscurum,283516,3955411
Lycopodium_obscurum,283532,3943985
Lycopodium_obscurum,283685,3954262
Lycopodium_obscurum,283732,3943855
Lycopodium_obscurum,283744,3956842
Lycopodium_obscurum,283850,3943791
Lycopodium_obscurum,284244,3956708
Lycopodium_obscurum,284441,3955151
Lycopodium_obscurum,284482,3953180
Lycopodium_obscurum,284515,3955191
Lycopodium_obscurum,284528,3954370
Lycopodium_obscurum,284554,3954340
Lycopodium_obscurum,284666,3943743
Lycopodium_obscurum,285041,3956434
Lycopodium_obscurum,285084,3952167
Lycopodium_obscurum,285100,3952232
Lycopodium_obscurum,285118,3952074
Lycopodium_obscurum,285161,3952257
Lycopodium_obscurum,285464,3943079
Lycopodium_obscurum,289158,3942320
Lycopodium_obscurum,289233,3959341
Lycopodium_obscurum,295728,3957009
Lycopodium_obscurum,295781,3956952
Lycopodium_obscurum,298566,3958049
Lycopodium_obscurum,298634,3957985
Lycopodium_obscurum,300229,3958589
Lycopodium_obscurum,300370,3959800
Lycopodium_obscurum,304554,3939316
Lycopodium_obscurum,307997,3945755
Lycopodium_obscurum,308079,3946030
Lycopodium_obscurum,308096,3945554
Lycopodium_obscurum,309341,3955440
Lycopodium_obscurum,309779,3947920
Lycopodium_obscurum,310246,3943378
Lycopodium_obscurum,310463,3943623
Lycopodium_obscurum,310583,3943718
Lycopodium_obscurum,311132,3939854
Lycopodium_obscurum,311205,3943338
Lycopodium_obscurum,311317,3945303
Lycopodium_obscurum,311415,3939979
Lycopodium_obscurum,311781,3939816
