Species,x,y
Mitella_diphylla,228928,3938752
Mitella_diphylla,229830,3935137
Mitella_diphylla,242576,3930496
Mitella_diphylla,245726,3948128
Mitella_diphylla,251216,3946908
Mitella_diphylla,253523,3927991
Mitella_diphylla,254190,3932857
Mitella_diphylla,258770,3943500
Mitella_diphylla,263096,3927051
Mitella_diphylla,269648,3943851
Mitella_diphylla,270927,3925599
Mitella_diphylla,272746,3930526
Mitella_diphylla,274306,3949659
Mitella_diphylla,274896,3953159
Mitella_diphylla,278626,3945715
Mitella_diphylla,279203,3952561
Mitella_diphylla,281168,3951709
Mitella_diphylla,283048,3951067
Mitella_diphylla,294668,3960063
Mitella_diphylla,294670,3960152
Mitella_diphylla,294716,3959785
Mitella_diphylla,294962,3958691
Mitella_diphylla,298612,3957653
Mitella_diphylla,298658,3957685
Mitella_diphylla,298739,3957650
Mitella_diphylla,299012,3957744
Mitella_diphylla,299114,3957830
Mitella_diphylla,299210,3957706
Mitella_diphylla,300994,3961795
Mitella_diphylla,307159,3942022
Mitella_diphylla,307426,3941402
Mitella_diphylla,308888,3957526
