Species,x,y
Molanna_blenda,229455,3936048
Molanna_blenda,229595,3938758
Molanna_blenda,229775,3934928
Molanna_blenda,234193,3944224
Molanna_blenda,239485,3929208
Molanna_blenda,241446,3942374
Molanna_blenda,241491,3942388
Molanna_blenda,241614,3942462
Molanna_blenda,242229,3940735
Molanna_blenda,242922,3941187
Molanna_blenda,242977,3941423
Molanna_blenda,252403,3945445
Molanna_blenda,254189,3948005
Molanna_blenda,255752,3948814
Molanna_blenda,257264,3946609
Molanna_blenda,257576,3936109
Molanna_blenda,257977,3943824
Molanna_blenda,258706,3932159
Molanna_blenda,258835,3940612
Molanna_blenda,259086,3940879
Molanna_blenda,259146,3942589
Molanna_blenda,259266,3940699
Molanna_blenda,262426,3935039
Molanna_blenda,265733,3928586
Molanna_blenda,266856,3928449
Molanna_blenda,267016,3942549
Molanna_blenda,267386,3941879
Molanna_blenda,268866,3947259
Molanna_blenda,271186,3935119
Molanna_blenda,272416,3929229
Molanna_blenda,273736,3952050
Molanna_blenda,273826,3952003
Molanna_blenda,273892,3935671
Molanna_blenda,276176,3951140
Molanna_blenda,276270,3945424
Molanna_blenda,279106,3956260
Molanna_blenda,282946,3948800
Molanna_blenda,283159,3952196
Molanna_blenda,287926,3959660
Molanna_blenda,288275,3938480
Molanna_blenda,289796,3942740
Molanna_blenda,291527,3932050
Molanna_blenda,293897,3945650
Molanna_blenda,299616,3958040
Molanna_blenda,300176,3959720
Molanna_blenda,302797,3936620
Molanna_blenda,303247,3947510
Molanna_blenda,303437,3936160
Molanna_blenda,304280,3947115
Molanna_blenda,305607,3945870
Molanna_blenda,311308,3945342
Molanna_blenda,312209,3939498
Molanna_blenda,312384,3948991
