Species,x,y
Monarda_didyma,239022,3935430
Monarda_didyma,240145,3934851
Monarda_didyma,240189,3934841
Monarda_didyma,241182,3934669
Monarda_didyma,241464,3934878
Monarda_didyma,242195,3933191
Monarda_didyma,243144,3934897
Monarda_didyma,244745,3935574
Monarda_didyma,245741,3939623
Monarda_didyma,245892,3948077
Monarda_didyma,246664,3940577
Monarda_didyma,246867,3940688
Monarda_didyma,247398,3937435
Monarda_didyma,248135,3941577
Monarda_didyma,248441,3939818
Monarda_didyma,248491,3939583
Monarda_didyma,248817,3938427
Monarda_didyma,249741,3938518
Monarda_didyma,249762,3939230
Monarda_didyma,250068,3941029
Monarda_didyma,250146,3941518
Monarda_didyma,250211,3941558
Monarda_didyma,250415,3936299
Monarda_didyma,251147,3947155
Monarda_didyma,251971,3938845
Monarda_didyma,252006,3938765
Monarda_didyma,252010,3938732
Monarda_didyma,252013,3938618
Monarda_didyma,252019,3938691
Monarda_didyma,253156,3938608
Monarda_didyma,254190,3932857
Monarda_didyma,254224,3932896
Monarda_didyma,257529,3934111
Monarda_didyma,260276,3941969
Monarda_didyma,260622,3941157
Monarda_didyma,260865,3941272
Monarda_didyma,261672,3939564
Monarda_didyma,262971,3931995
Monarda_didyma,266213,3936843
Monarda_didyma,269648,3943851
Monarda_didyma,272264,3932824
Monarda_didyma,273492,3935517
Monarda_didyma,274965,3947446
Monarda_didyma,275692,3947786
Monarda_didyma,275716,3946979
Monarda_didyma,276160,3949523
Monarda_didyma,276665,3948983
Monarda_didyma,277290,3945611
Monarda_didyma,277359,3950689
Monarda_didyma,278168,3953212
Monarda_didyma,278626,3945715
Monarda_didyma,279203,3952561
Monarda_didyma,281926,3953719
Monarda_didyma,293357,3943409
Monarda_didyma,294468,3958858
Monarda_didyma,295141,3958598
Monarda_didyma,295760,3943012
Monarda_didyma,296093,3956323
Monarda_didyma,297221,3946252
Monarda_didyma,301836,3940545
Monarda_didyma,302404,3960931
Monarda_didyma,303067,3936150
Monarda_didyma,303777,3936614
Monarda_didyma,305766,3952532
Monarda_didyma,305863,3959434
Monarda_didyma,308951,3957091
Monarda_didyma,310936,3944991
