Species,x,y
Nais_communis,227602,3939570
Nais_communis,230138,3934330
Nais_communis,236724,3928637
Nais_communis,242969,3941361
Nais_communis,257855,3950552
Nais_communis,259266,3940699
Nais_communis,264429,3925189
Nais_communis,266077,3947895
Nais_communis,266872,3948430
Nais_communis,267415,3927853
Nais_communis,267706,3927169
Nais_communis,268626,3926005
Nais_communis,268680,3925963
Nais_communis,268749,3925909
Nais_communis,269754,3926919
Nais_communis,270940,3952600
Nais_communis,271117,3951000
Nais_communis,271546,3954110
Nais_communis,272274,3948424
Nais_communis,274685,3926402
Nais_communis,276755,3946540
Nais_communis,285965,3941011
Nais_communis,288114,3938969
Nais_communis,289796,3942740
Nais_communis,290757,3936478
Nais_communis,291497,3935830
Nais_communis,299517,3943285
Nais_communis,299616,3958040
Nais_communis,299885,3943980
Nais_communis,301302,3944910
Nais_communis,302797,3936620
Nais_communis,303367,3937090
Nais_communis,304280,3947115
Nais_communis,309481,3944907
Nais_communis,311895,3939710
Nais_communis,312153,3947323
Nais_communis,312204,3938954
Nais_communis,312212,3939327
Nais_communis,312782,3939923
