Species,x,y
Osmundastrum_cinnamomeum,230030,3933787
Osmundastrum_cinnamomeum,230116,3934033
Osmundastrum_cinnamomeum,230716,3945410
Osmundastrum_cinnamomeum,231276,3933562
Osmundastrum_cinnamomeum,234885,3939772
Osmundastrum_cinnamomeum,236144,3936315
Osmundastrum_cinnamomeum,238609,3945910
Osmundastrum_cinnamomeum,238790,3931140
Osmundastrum_cinnamomeum,238929,3931032
Osmundastrum_cinnamomeum,239161,3928829
Osmundastrum_cinnamomeum,239441,3930915
Osmundastrum_cinnamomeum,240059,3935680
Osmundastrum_cinnamomeum,240105,3929033
Osmundastrum_cinnamomeum,240211,3930612
Osmundastrum_cinnamomeum,240429,3930320
Osmundastrum_cinnamomeum,240456,3930392
Osmundastrum_cinnamomeum,240808,3934416
Osmundastrum_cinnamomeum,240833,3929164
Osmundastrum_cinnamomeum,241047,3929276
Osmundastrum_cinnamomeum,241050,3930361
Osmundastrum_cinnamomeum,241122,3929263
Osmundastrum_cinnamomeum,241154,3930384
Osmundastrum_cinnamomeum,241154,3934931
Osmundastrum_cinnamomeum,241167,3941674
Osmundastrum_cinnamomeum,241168,3941674
Osmundastrum_cinnamomeum,241298,3929284
Osmundastrum_cinnamomeum,241753,3929954
Osmundastrum_cinnamomeum,241879,3930073
Osmundastrum_cinnamomeum,241959,3945163
Osmundastrum_cinnamomeum,242212,3938952
Osmundastrum_cinnamomeum,242235,3938856
Osmundastrum_cinnamomeum,243096,3941038
Osmundastrum_cinnamomeum,243416,3936640
Osmundastrum_cinnamomeum,244352,3934737
Osmundastrum_cinnamomeum,244772,3928050
Osmundastrum_cinnamomeum,244814,3927968
Osmundastrum_cinnamomeum,245036,3927915
Osmundastrum_cinnamomeum,245454,3928118
Osmundastrum_cinnamomeum,245629,3928090
Osmundastrum_cinnamomeum,245711,3928231
Osmundastrum_cinnamomeum,245729,3928224
Osmundastrum_cinnamomeum,245870,3928170
Osmundastrum_cinnamomeum,245878,3936746
Osmundastrum_cinnamomeum,245896,3936731
Osmundastrum_cinnamomeum,246041,3935319
Osmundastrum_cinnamomeum,246056,3927926
Osmundastrum_cinnamomeum,246110,3927765
Osmundastrum_cinnamomeum,246210,3927626
Osmundastrum_cinnamomeum,249257,3941292
Osmundastrum_cinnamomeum,249306,3941288
Osmundastrum_cinnamomeum,249448,3940682
Osmundastrum_cinnamomeum,249496,3940688
Osmundastrum_cinnamomeum,250211,3941558
Osmundastrum_cinnamomeum,250289,3930052
Osmundastrum_cinnamomeum,251010,3947863
Osmundastrum_cinnamomeum,251082,3944498
Osmundastrum_cinnamomeum,251296,3943949
Osmundastrum_cinnamomeum,252001,3946989
Osmundastrum_cinnamomeum,252107,3947010
Osmundastrum_cinnamomeum,252401,3947055
Osmundastrum_cinnamomeum,252611,3946432
Osmundastrum_cinnamomeum,252734,3947271
Osmundastrum_cinnamomeum,255050,3929454
Osmundastrum_cinnamomeum,255807,3926726
Osmundastrum_cinnamomeum,256920,3933494
Osmundastrum_cinnamomeum,258106,3924914
Osmundastrum_cinnamomeum,258114,3925413
Osmundastrum_cinnamomeum,258176,3924921
Osmundastrum_cinnamomeum,258218,3925455
Osmundastrum_cinnamomeum,258346,3925321
Osmundastrum_cinnamomeum,258407,3926856
Osmundastrum_cinnamomeum,259133,3950420
Osmundastrum_cinnamomeum,261307,3952373
Osmundastrum_cinnamomeum,261637,3949015
Osmundastrum_cinnamomeum,261737,3953172
Osmundastrum_cinnamomeum,261933,3953360
Osmundastrum_cinnamomeum,262057,3953546
Osmundastrum_cinnamomeum,262183,3953647
Osmundastrum_cinnamomeum,262263,3931616
Osmundastrum_cinnamomeum,262377,3931163
Osmundastrum_cinnamomeum,263076,3926862
Osmundastrum_cinnamomeum,264265,3926615
Osmundastrum_cinnamomeum,266594,3926333
Osmundastrum_cinnamomeum,267775,3929196
Osmundastrum_cinnamomeum,268316,3927863
Osmundastrum_cinnamomeum,268402,3926698
Osmundastrum_cinnamomeum,268472,3927643
Osmundastrum_cinnamomeum,268480,3927003
Osmundastrum_cinnamomeum,268493,3926310
Osmundastrum_cinnamomeum,268612,3927053
Osmundastrum_cinnamomeum,268626,3927441
Osmundastrum_cinnamomeum,268772,3927243
Osmundastrum_cinnamomeum,269136,3926926
Osmundastrum_cinnamomeum,269595,3926720
Osmundastrum_cinnamomeum,269613,3926642
Osmundastrum_cinnamomeum,271265,3933050
Osmundastrum_cinnamomeum,273172,3927519
Osmundastrum_cinnamomeum,279417,3927481
Osmundastrum_cinnamomeum,279539,3927669
Osmundastrum_cinnamomeum,279560,3928301
Osmundastrum_cinnamomeum,279657,3928133
Osmundastrum_cinnamomeum,279929,3929039
Osmundastrum_cinnamomeum,280235,3929204
Osmundastrum_cinnamomeum,280240,3929726
Osmundastrum_cinnamomeum,280258,3929337
Osmundastrum_cinnamomeum,281884,3950954
Osmundastrum_cinnamomeum,282025,3930508
Osmundastrum_cinnamomeum,282051,3930587
Osmundastrum_cinnamomeum,282051,3930840
Osmundastrum_cinnamomeum,282068,3951994
Osmundastrum_cinnamomeum,282073,3930700
Osmundastrum_cinnamomeum,282142,3951565
Osmundastrum_cinnamomeum,282144,3931102
Osmundastrum_cinnamomeum,282186,3952043
Osmundastrum_cinnamomeum,282271,3952004
Osmundastrum_cinnamomeum,282372,3952022
Osmundastrum_cinnamomeum,282384,3953835
Osmundastrum_cinnamomeum,282434,3953699
Osmundastrum_cinnamomeum,282616,3951902
Osmundastrum_cinnamomeum,282803,3951823
Osmundastrum_cinnamomeum,283090,3952030
Osmundastrum_cinnamomeum,283531,3939887
Osmundastrum_cinnamomeum,283748,3939509
Osmundastrum_cinnamomeum,283752,3939614
Osmundastrum_cinnamomeum,283817,3954068
Osmundastrum_cinnamomeum,285039,3959220
Osmundastrum_cinnamomeum,285512,3958423
Osmundastrum_cinnamomeum,285535,3958416
Osmundastrum_cinnamomeum,285900,3941244
Osmundastrum_cinnamomeum,285953,3941089
Osmundastrum_cinnamomeum,285998,3941026
Osmundastrum_cinnamomeum,288182,3939052
Osmundastrum_cinnamomeum,289020,3939685
Osmundastrum_cinnamomeum,289126,3939628
Osmundastrum_cinnamomeum,289320,3939674
Osmundastrum_cinnamomeum,289367,3953787
Osmundastrum_cinnamomeum,289750,3938368
Osmundastrum_cinnamomeum,289844,3938242
Osmundastrum_cinnamomeum,289944,3937714
Osmundastrum_cinnamomeum,289963,3938064
Osmundastrum_cinnamomeum,290001,3937633
Osmundastrum_cinnamomeum,290019,3937573
Osmundastrum_cinnamomeum,290201,3937350
Osmundastrum_cinnamomeum,290653,3936714
Osmundastrum_cinnamomeum,291859,3941719
Osmundastrum_cinnamomeum,294741,3958904
Osmundastrum_cinnamomeum,294808,3958847
Osmundastrum_cinnamomeum,294934,3958760
Osmundastrum_cinnamomeum,304570,3936786
Osmundastrum_cinnamomeum,304767,3936583
Osmundastrum_cinnamomeum,306247,3936365
Osmundastrum_cinnamomeum,306333,3946008
Osmundastrum_cinnamomeum,306453,3936490
Osmundastrum_cinnamomeum,306969,3947286
Osmundastrum_cinnamomeum,307199,3946996
Osmundastrum_cinnamomeum,307247,3946748
Osmundastrum_cinnamomeum,307294,3946566
Osmundastrum_cinnamomeum,307303,3946468
Osmundastrum_cinnamomeum,307379,3945968
Osmundastrum_cinnamomeum,307415,3945870
Osmundastrum_cinnamomeum,307695,3945626
Osmundastrum_cinnamomeum,307899,3945702
Osmundastrum_cinnamomeum,308079,3946030
Osmundastrum_cinnamomeum,308108,3936555
Osmundastrum_cinnamomeum,308144,3947126
Osmundastrum_cinnamomeum,308155,3945449
Osmundastrum_cinnamomeum,308417,3936556
Osmundastrum_cinnamomeum,309308,3952193
Osmundastrum_cinnamomeum,309948,3938754
Osmundastrum_cinnamomeum,310504,3950178
Osmundastrum_cinnamomeum,310513,3950232
Osmundastrum_cinnamomeum,310791,3940003
Osmundastrum_cinnamomeum,311037,3939873
Osmundastrum_cinnamomeum,311378,3939900
Osmundastrum_cinnamomeum,311415,3939979
Osmundastrum_cinnamomeum,311623,3940070
Osmundastrum_cinnamomeum,311682,3940003
Osmundastrum_cinnamomeum,311694,3939648
