Species,x,y
Oxydendrum_arboreum,228105,3938898
Oxydendrum_arboreum,228321,3942087
Oxydendrum_arboreum,228435,3938958
Oxydendrum_arboreum,228464,3937022
Oxydendrum_arboreum,228466,3935268
Oxydendrum_arboreum,228535,3938968
Oxydendrum_arboreum,228671,3938902
Oxydendrum_arboreum,228797,3938338
Oxydendrum_arboreum,228835,3938698
Oxydendrum_arboreum,228884,3937815
Oxydendrum_arboreum,228897,3938550
Oxydendrum_arboreum,228907,3937474
Oxydendrum_arboreum,229010,3936840
Oxydendrum_arboreum,229233,3933717
Oxydendrum_arboreum,229384,3935468
Oxydendrum_arboreum,229399,3934883
Oxydendrum_arboreum,229402,3934880
Oxydendrum_arboreum,229444,3934904
Oxydendrum_arboreum,229503,3934887
Oxydendrum_arboreum,229515,3934907
Oxydendrum_arboreum,229641,3935277
Oxydendrum_arboreum,229754,3936000
Oxydendrum_arboreum,229904,3934989
Oxydendrum_arboreum,229923,3935034
Oxydendrum_arboreum,229962,3934833
Oxydendrum_arboreum,229973,3934800
Oxydendrum_arboreum,229973,3935874
Oxydendrum_arboreum,229974,3934729
Oxydendrum_arboreum,229975,3935042
Oxydendrum_arboreum,229976,3934782
Oxydendrum_arboreum,229996,3935055
Oxydendrum_arboreum,230057,3935093
Oxydendrum_arboreum,230078,3934268
Oxydendrum_arboreum,230112,3935079
Oxydendrum_arboreum,230187,3935071
Oxydendrum_arboreum,230278,3935057
Oxydendrum_arboreum,230293,3938856
Oxydendrum_arboreum,230307,3939034
Oxydendrum_arboreum,230362,3939051
Oxydendrum_arboreum,230366,3939180
Oxydendrum_arboreum,230405,3937824
Oxydendrum_arboreum,230466,3945003
Oxydendrum_arboreum,230525,3938746
Oxydendrum_arboreum,230567,3934423
Oxydendrum_arboreum,230588,3938934
Oxydendrum_arboreum,230607,3934434
Oxydendrum_arboreum,230703,3939382
Oxydendrum_arboreum,230742,3933759
Oxydendrum_arboreum,230742,3934274
Oxydendrum_arboreum,230752,3934312
Oxydendrum_arboreum,230805,3933868
Oxydendrum_arboreum,230822,3933868
Oxydendrum_arboreum,230883,3945266
Oxydendrum_arboreum,231078,3945227
Oxydendrum_arboreum,231274,3933823
Oxydendrum_arboreum,231597,3933597
Oxydendrum_arboreum,231962,3933235
Oxydendrum_arboreum,232621,3933175
Oxydendrum_arboreum,232664,3932680
Oxydendrum_arboreum,232755,3933168
Oxydendrum_arboreum,232997,3933536
Oxydendrum_arboreum,233145,3933578
Oxydendrum_arboreum,233155,3933628
Oxydendrum_arboreum,233385,3936168
Oxydendrum_arboreum,233525,3947183
Oxydendrum_arboreum,233653,3936187
Oxydendrum_arboreum,234049,3940888
Oxydendrum_arboreum,234135,3940968
Oxydendrum_arboreum,234220,3932696
Oxydendrum_arboreum,234325,3939788
Oxydendrum_arboreum,234335,3944268
Oxydendrum_arboreum,234365,3941058
Oxydendrum_arboreum,234365,3944158
Oxydendrum_arboreum,234370,3936005
Oxydendrum_arboreum,234375,3941008
Oxydendrum_arboreum,234435,3941178
Oxydendrum_arboreum,234505,3930660
Oxydendrum_arboreum,234515,3941158
Oxydendrum_arboreum,234545,3941108
Oxydendrum_arboreum,234560,3944957
Oxydendrum_arboreum,234595,3930436
Oxydendrum_arboreum,234615,3940364
Oxydendrum_arboreum,234627,3939512
Oxydendrum_arboreum,234631,3930456
Oxydendrum_arboreum,234635,3939628
Oxydendrum_arboreum,234666,3944884
Oxydendrum_arboreum,234787,3940241
Oxydendrum_arboreum,234857,3940028
Oxydendrum_arboreum,234872,3935256
Oxydendrum_arboreum,234903,3940902
Oxydendrum_arboreum,234919,3941498
Oxydendrum_arboreum,234946,3940496
Oxydendrum_arboreum,235015,3936208
Oxydendrum_arboreum,235032,3940477
Oxydendrum_arboreum,235040,3943825
Oxydendrum_arboreum,235041,3944298
Oxydendrum_arboreum,235071,3943664
Oxydendrum_arboreum,235112,3929651
Oxydendrum_arboreum,235115,3943996
Oxydendrum_arboreum,235122,3941046
Oxydendrum_arboreum,235150,3943700
Oxydendrum_arboreum,235187,3944036
Oxydendrum_arboreum,235187,3944037
Oxydendrum_arboreum,235201,3929519
Oxydendrum_arboreum,235215,3943228
Oxydendrum_arboreum,235280,3944031
Oxydendrum_arboreum,235289,3937966
Oxydendrum_arboreum,235302,3942105
Oxydendrum_arboreum,235315,3945788
Oxydendrum_arboreum,235323,3941089
Oxydendrum_arboreum,235329,3939887
Oxydendrum_arboreum,235335,3943168
Oxydendrum_arboreum,235348,3943903
Oxydendrum_arboreum,235348,3943904
Oxydendrum_arboreum,235372,3942326
Oxydendrum_arboreum,235386,3943021
Oxydendrum_arboreum,235446,3943966
Oxydendrum_arboreum,235456,3936091
Oxydendrum_arboreum,235471,3943140
Oxydendrum_arboreum,235528,3943176
Oxydendrum_arboreum,235606,3942973
Oxydendrum_arboreum,235632,3947354
Oxydendrum_arboreum,235641,3936207
Oxydendrum_arboreum,235665,3938428
Oxydendrum_arboreum,235700,3943230
Oxydendrum_arboreum,235713,3939857
Oxydendrum_arboreum,235715,3940099
Oxydendrum_arboreum,235891,3947407
Oxydendrum_arboreum,235927,3942957
Oxydendrum_arboreum,235940,3936198
Oxydendrum_arboreum,235956,3938293
Oxydendrum_arboreum,235984,3948130
Oxydendrum_arboreum,235995,3942508
Oxydendrum_arboreum,236015,3939208
Oxydendrum_arboreum,236115,3942528
Oxydendrum_arboreum,236147,3942606
Oxydendrum_arboreum,236171,3948071
Oxydendrum_arboreum,236200,3936044
Oxydendrum_arboreum,236622,3936382
Oxydendrum_arboreum,236642,3947522
Oxydendrum_arboreum,236767,3947056
Oxydendrum_arboreum,236838,3937767
Oxydendrum_arboreum,236858,3947239
Oxydendrum_arboreum,236898,3942881
Oxydendrum_arboreum,236951,3945042
Oxydendrum_arboreum,236968,3942820
Oxydendrum_arboreum,237087,3936426
Oxydendrum_arboreum,237087,3943897
Oxydendrum_arboreum,237114,3947557
Oxydendrum_arboreum,237152,3944933
Oxydendrum_arboreum,237208,3936405
Oxydendrum_arboreum,237271,3944800
Oxydendrum_arboreum,237382,3942497
Oxydendrum_arboreum,237416,3936633
Oxydendrum_arboreum,237450,3947605
Oxydendrum_arboreum,237463,3937106
Oxydendrum_arboreum,237562,3936121
Oxydendrum_arboreum,237583,3937105
Oxydendrum_arboreum,237583,3947699
Oxydendrum_arboreum,237596,3936420
Oxydendrum_arboreum,237624,3936788
Oxydendrum_arboreum,237693,3937159
