Species,x,y
Pangrapta_decoralis,239253,3928719
Pangrapta_decoralis,240106,3934601
Pangrapta_decoralis,244121,3927397
Pangrapta_decoralis,245076,3943259
Pangrapta_decoralis,248438,3943416
Pangrapta_decoralis,248536,3943119
Pangrapta_decoralis,249410,3945124
Pangrapta_decoralis,249480,3945205
Pangrapta_decoralis,249493,3945161
Pangrapta_decoralis,251770,3926404
Pangrapta_decoralis,252164,3929169
Pangrapta_decoralis,252437,3928875
Pangrapta_decoralis,253047,3928775
Pangrapta_decoralis,256484,3947482
Pangrapta_decoralis,256521,3947351
Pangrapta_decoralis,263275,3925149
Pangrapta_decoralis,263946,3947793
Pangrapta_decoralis,263962,3948002
Pangrapta_decoralis,264146,3947812
Pangrapta_decoralis,264155,3945069
Pangrapta_decoralis,264162,3948021
Pangrapta_decoralis,264171,3945278
Pangrapta_decoralis,264199,3945002
Pangrapta_decoralis,264215,3945211
Pangrapta_decoralis,264277,3945045
Pangrapta_decoralis,264293,3945254
Pangrapta_decoralis,264335,3945031
Pangrapta_decoralis,264351,3945240
Pangrapta_decoralis,265526,3949769
Pangrapta_decoralis,265687,3950695
Pangrapta_decoralis,266239,3947971
Pangrapta_decoralis,266434,3948640
Pangrapta_decoralis,267754,3927974
Pangrapta_decoralis,268504,3926530
Pangrapta_decoralis,272416,3929229
Pangrapta_decoralis,273826,3952003
Pangrapta_decoralis,276176,3951140
Pangrapta_decoralis,278342,3943217
Pangrapta_decoralis,280456,3941998
Pangrapta_decoralis,282686,3940320
Pangrapta_decoralis,282711,3940265
Pangrapta_decoralis,283068,3939671
Pangrapta_decoralis,284081,3953721
Pangrapta_decoralis,284324,3954570
Pangrapta_decoralis,284340,3954737
Pangrapta_decoralis,286398,3940466
Pangrapta_decoralis,289947,3937460
Pangrapta_decoralis,290364,3937609
Pangrapta_decoralis,291133,3931709
Pangrapta_decoralis,291499,3931811
Pangrapta_decoralis,291781,3932248
Pangrapta_decoralis,291888,3932912
Pangrapta_decoralis,295061,3960340
Pangrapta_decoralis,296031,3960831
Pangrapta_decoralis,297756,3964806
Pangrapta_decoralis,298142,3964955
Pangrapta_decoralis,298425,3965061
Pangrapta_decoralis,299437,3965815
Pangrapta_decoralis,299626,3962018
Pangrapta_decoralis,299884,3961587
Pangrapta_decoralis,299992,3961138
Pangrapta_decoralis,300163,3959052
Pangrapta_decoralis,302832,3968069
Pangrapta_decoralis,309173,3952488
Pangrapta_decoralis,312007,3939804
Pangrapta_decoralis,312149,3939847
Pangrapta_decoralis,312166,3940057
Pangrapta_decoralis,312180,3940009
Pangrapta_decoralis,312196,3939535
Pangrapta_decoralis,312279,3939198
Pangrapta_decoralis,312448,3939782
Pangrapta_decoralis,312525,3938555
Pangrapta_decoralis,314385,3945734
Pangrapta_decoralis,314578,3946285
