Species,x,y
Paramacrobiotus_tonollii,238837,3928646
Paramacrobiotus_tonollii,240339,3934672
Paramacrobiotus_tonollii,245850,3944473
Paramacrobiotus_tonollii,245941,3948347
Paramacrobiotus_tonollii,255655,3947514
Paramacrobiotus_tonollii,255685,3947610
Paramacrobiotus_tonollii,255688,3947605
Paramacrobiotus_tonollii,255712,3947542
Paramacrobiotus_tonollii,256125,3947784
Paramacrobiotus_tonollii,268961,3938617
Paramacrobiotus_tonollii,268972,3938637
Paramacrobiotus_tonollii,268976,3938813
Paramacrobiotus_tonollii,268977,3938826
Paramacrobiotus_tonollii,269703,3944079
Paramacrobiotus_tonollii,269705,3944044
Paramacrobiotus_tonollii,269711,3944014
Paramacrobiotus_tonollii,269727,3944138
Paramacrobiotus_tonollii,269741,3944034
Paramacrobiotus_tonollii,269797,3944046
Paramacrobiotus_tonollii,269968,3944039
Paramacrobiotus_tonollii,273604,3952061
Paramacrobiotus_tonollii,273877,3952197
Paramacrobiotus_tonollii,273885,3935672
Paramacrobiotus_tonollii,273947,3952162
Paramacrobiotus_tonollii,276468,3945861
Paramacrobiotus_tonollii,276473,3945973
Paramacrobiotus_tonollii,276948,3951392
Paramacrobiotus_tonollii,278659,3943579
Paramacrobiotus_tonollii,278660,3943561
Paramacrobiotus_tonollii,278682,3943564
Paramacrobiotus_tonollii,278734,3943643
Paramacrobiotus_tonollii,279441,3943077
Paramacrobiotus_tonollii,279506,3950719
Paramacrobiotus_tonollii,279512,3948319
Paramacrobiotus_tonollii,279735,3950712
Paramacrobiotus_tonollii,279738,3950725
Paramacrobiotus_tonollii,286795,3953537
Paramacrobiotus_tonollii,291158,3931930
Paramacrobiotus_tonollii,291161,3932003
Paramacrobiotus_tonollii,291183,3932008
Paramacrobiotus_tonollii,291190,3931829
Paramacrobiotus_tonollii,293779,3957013
Paramacrobiotus_tonollii,293780,3956995
Paramacrobiotus_tonollii,293795,3956994
Paramacrobiotus_tonollii,299239,3957688
Paramacrobiotus_tonollii,299256,3957561
Paramacrobiotus_tonollii,299273,3957682
Paramacrobiotus_tonollii,300230,3958315
Paramacrobiotus_tonollii,308220,3944040
Paramacrobiotus_tonollii,311383,3940481
Paramacrobiotus_tonollii,311456,3940398
Paramacrobiotus_tonollii,311462,3940380
Paramacrobiotus_tonollii,311469,3940425
Paramacrobiotus_tonollii,311481,3940415
Paramacrobiotus_tonollii,312038,3940131
Paramacrobiotus_tonollii,313269,3940740
Paramacrobiotus_tonollii,313327,3940712
Paramacrobiotus_tonollii,313363,3940643
Paramacrobiotus_tonollii,313418,3940639
Paramacrobiotus_tonollii,313419,3940637
