Species,x,y
Pedicularis_canadensis,228688,3938914
Pedicularis_canadensis,229467,3938403
Pedicularis_canadensis,229566,3935281
Pedicularis_canadensis,230140,3934267
Pedicularis_canadensis,230192,3938835
Pedicularis_canadensis,230291,3939421
Pedicularis_canadensis,230473,3938827
Pedicularis_canadensis,230519,3939436
Pedicularis_canadensis,232621,3933175
Pedicularis_canadensis,239032,3935441
Pedicularis_canadensis,239210,3928910
Pedicularis_canadensis,239859,3930787
Pedicularis_canadensis,239863,3935855
Pedicularis_canadensis,240808,3934416
Pedicularis_canadensis,241154,3934931
Pedicularis_canadensis,241390,3935172
Pedicularis_canadensis,241391,3935173
Pedicularis_canadensis,242014,3935761
Pedicularis_canadensis,242350,3934601
Pedicularis_canadensis,243144,3934897
Pedicularis_canadensis,243194,3934924
Pedicularis_canadensis,245234,3934719
Pedicularis_canadensis,245597,3936535
Pedicularis_canadensis,246068,3937313
Pedicularis_canadensis,247233,3937000
Pedicularis_canadensis,247733,3936339
Pedicularis_canadensis,249386,3941134
Pedicularis_canadensis,249391,3941136
Pedicularis_canadensis,249741,3938518
Pedicularis_canadensis,252265,3940480
Pedicularis_canadensis,253523,3927991
Pedicularis_canadensis,253698,3928982
Pedicularis_canadensis,254190,3932857
Pedicularis_canadensis,263301,3931966
Pedicularis_canadensis,266259,3936916
Pedicularis_canadensis,272460,3932717
Pedicularis_canadensis,272625,3935068
Pedicularis_canadensis,276587,3933733
Pedicularis_canadensis,277207,3934881
Pedicularis_canadensis,281586,3957629
Pedicularis_canadensis,288101,3938625
Pedicularis_canadensis,293394,3943011
Pedicularis_canadensis,295353,3942655
Pedicularis_canadensis,295562,3943083
Pedicularis_canadensis,295875,3942487
Pedicularis_canadensis,299389,3945582
Pedicularis_canadensis,300666,3941566
Pedicularis_canadensis,311418,3940064
