Species,x,y
Pinus_echinata,228535,3938968
Pinus_echinata,228687,3936581
Pinus_echinata,228897,3938550
Pinus_echinata,229423,3943507
Pinus_echinata,230264,3934567
Pinus_echinata,230307,3939034
Pinus_echinata,230362,3939051
Pinus_echinata,230366,3939180
Pinus_echinata,230588,3938934
Pinus_echinata,230703,3939382
Pinus_echinata,230742,3934274
Pinus_echinata,230752,3934312
Pinus_echinata,230883,3945266
Pinus_echinata,231078,3945227
Pinus_echinata,233155,3933628
Pinus_echinata,233525,3947183
Pinus_echinata,234862,3941089
Pinus_echinata,235137,3944015
Pinus_echinata,235150,3943700
Pinus_echinata,235335,3943168
Pinus_echinata,235345,3943052
Pinus_echinata,235372,3942326
Pinus_echinata,235381,3947774
Pinus_echinata,235386,3943021
Pinus_echinata,235514,3947552
Pinus_echinata,235606,3942973
Pinus_echinata,235632,3947354
Pinus_echinata,235661,3947788
Pinus_echinata,235699,3939007
Pinus_echinata,235740,3947175
Pinus_echinata,235884,3949956
Pinus_echinata,235995,3942508
Pinus_echinata,236011,3946429
Pinus_echinata,236115,3942528
Pinus_echinata,236147,3942606
Pinus_echinata,236898,3942881
Pinus_echinata,237565,3942369
Pinus_echinata,237634,3947963
Pinus_echinata,237781,3942019
Pinus_echinata,238036,3944495
Pinus_echinata,238265,3950088
Pinus_echinata,238309,3945602
Pinus_echinata,238422,3945701
Pinus_echinata,238455,3950181
Pinus_echinata,238695,3949328
Pinus_echinata,238738,3946119
Pinus_echinata,238857,3931254
Pinus_echinata,238894,3946211
Pinus_echinata,239080,3946438
Pinus_echinata,239121,3935615
Pinus_echinata,239153,3946373
Pinus_echinata,239259,3946557
Pinus_echinata,239274,3944310
Pinus_echinata,239409,3946074
Pinus_echinata,240548,3927165
Pinus_echinata,241036,3948718
Pinus_echinata,241047,3948731
Pinus_echinata,241298,3942911
Pinus_echinata,241707,3927349
Pinus_echinata,241767,3942931
Pinus_echinata,242177,3930449
Pinus_echinata,242216,3950188
Pinus_echinata,242224,3944586
Pinus_echinata,242392,3936524
Pinus_echinata,242536,3937143
Pinus_echinata,242693,3937298
Pinus_echinata,242761,3943547
Pinus_echinata,243269,3950958
Pinus_echinata,244020,3944832
Pinus_echinata,244168,3949877
Pinus_echinata,244395,3949645
Pinus_echinata,244624,3949438
Pinus_echinata,244969,3956295
Pinus_echinata,245024,3948285
Pinus_echinata,245283,3948183
Pinus_echinata,245441,3941904
Pinus_echinata,245589,3945920
Pinus_echinata,245591,3928082
Pinus_echinata,245804,3944309
Pinus_echinata,246604,3947639
Pinus_echinata,246841,3943252
Pinus_echinata,248371,3944326
Pinus_echinata,248427,3944162
Pinus_echinata,249024,3939063
Pinus_echinata,249235,3940521
Pinus_echinata,251232,3944113
Pinus_echinata,251286,3947904
Pinus_echinata,251343,3945594
Pinus_echinata,251379,3946614
Pinus_echinata,251488,3945924
Pinus_echinata,251580,3948352
Pinus_echinata,251706,3929400
Pinus_echinata,251821,3946786
Pinus_echinata,251857,3948351
Pinus_echinata,251959,3946849
Pinus_echinata,252015,3942778
Pinus_echinata,252203,3940966
Pinus_echinata,252266,3941959
Pinus_echinata,252326,3948585
Pinus_echinata,252462,3948759
Pinus_echinata,252733,3942734
Pinus_echinata,253044,3943674
Pinus_echinata,253108,3943859
Pinus_echinata,253504,3929534
Pinus_echinata,253708,3944283
Pinus_echinata,254036,3926840
Pinus_echinata,254118,3950174
Pinus_echinata,254276,3944546
Pinus_echinata,254279,3945617
Pinus_echinata,254417,3945119
Pinus_echinata,255467,3950722
Pinus_echinata,255571,3925775
Pinus_echinata,255705,3950839
Pinus_echinata,256455,3947710
Pinus_echinata,256806,3925622
Pinus_echinata,257052,3925887
Pinus_echinata,257525,3952340
Pinus_echinata,257955,3925890
Pinus_echinata,258425,3951997
Pinus_echinata,258461,3950243
Pinus_echinata,258769,3950195
Pinus_echinata,258868,3950119
Pinus_echinata,259113,3951996
Pinus_echinata,259240,3952107
Pinus_echinata,259499,3952679
Pinus_echinata,259675,3952760
