Species,x,y
Pinus_strobus,227487,3939640
Pinus_strobus,228435,3938958
Pinus_strobus,228535,3938968
Pinus_strobus,228688,3938914
Pinus_strobus,228797,3938338
Pinus_strobus,228802,3936144
Pinus_strobus,228826,3938688
Pinus_strobus,228835,3938698
Pinus_strobus,228897,3938550
Pinus_strobus,229033,3936004
Pinus_strobus,229058,3938836
Pinus_strobus,229262,3936028
Pinus_strobus,229277,3935993
Pinus_strobus,229354,3935999
Pinus_strobus,229399,3934883
Pinus_strobus,229402,3934880
Pinus_strobus,229444,3934904
Pinus_strobus,229467,3938403
Pinus_strobus,229486,3936060
Pinus_strobus,229503,3934887
Pinus_strobus,229511,3936043
Pinus_strobus,229515,3934907
Pinus_strobus,229534,3934904
Pinus_strobus,229565,3934879
Pinus_strobus,229590,3934888
Pinus_strobus,229626,3935920
Pinus_strobus,229641,3935277
Pinus_strobus,229746,3935112
Pinus_strobus,229757,3934914
Pinus_strobus,229767,3934915
Pinus_strobus,229775,3935130
Pinus_strobus,229779,3935106
Pinus_strobus,229827,3936037
Pinus_strobus,229830,3935137
Pinus_strobus,229873,3936080
Pinus_strobus,229964,3938809
Pinus_strobus,229970,3935103
Pinus_strobus,229973,3934800
Pinus_strobus,229973,3935874
Pinus_strobus,229976,3934782
Pinus_strobus,230173,3935804
Pinus_strobus,230187,3935071
Pinus_strobus,230192,3938835
Pinus_strobus,230264,3934567
Pinus_strobus,230278,3935057
Pinus_strobus,230291,3939421
Pinus_strobus,230294,3939510
Pinus_strobus,230307,3939034
Pinus_strobus,230328,3935833
Pinus_strobus,230362,3939051
Pinus_strobus,230366,3939180
Pinus_strobus,230369,3939596
Pinus_strobus,230405,3938984
Pinus_strobus,230406,3938891
Pinus_strobus,230429,3938791
Pinus_strobus,230436,3938839
Pinus_strobus,230473,3938827
Pinus_strobus,230476,3938618
Pinus_strobus,230519,3939436
Pinus_strobus,230525,3938746
Pinus_strobus,230588,3938934
Pinus_strobus,230670,3935173
Pinus_strobus,230689,3938707
Pinus_strobus,230703,3939382
Pinus_strobus,230717,3933727
Pinus_strobus,230742,3933759
Pinus_strobus,230805,3933868
Pinus_strobus,230822,3933868
Pinus_strobus,230832,3934630
Pinus_strobus,231029,3938997
Pinus_strobus,231141,3934776
Pinus_strobus,232621,3933175
Pinus_strobus,232755,3933168
Pinus_strobus,232997,3933536
Pinus_strobus,233385,3936168
Pinus_strobus,233653,3936187
Pinus_strobus,234135,3940968
Pinus_strobus,234325,3939788
Pinus_strobus,234335,3944268
Pinus_strobus,234365,3941058
Pinus_strobus,234365,3944158
Pinus_strobus,234366,3944188
Pinus_strobus,234370,3936005
Pinus_strobus,234375,3941008
Pinus_strobus,234435,3941178
Pinus_strobus,234459,3943935
Pinus_strobus,234474,3930637
Pinus_strobus,234509,3944683
Pinus_strobus,234515,3943708
Pinus_strobus,234545,3941108
Pinus_strobus,234560,3944957
Pinus_strobus,234627,3939512
Pinus_strobus,234631,3930456
Pinus_strobus,234635,3939628
Pinus_strobus,234650,3944698
Pinus_strobus,234665,3934450
Pinus_strobus,234666,3944884
Pinus_strobus,234667,3944076
Pinus_strobus,234679,3933565
Pinus_strobus,234695,3933857
Pinus_strobus,234713,3935037
Pinus_strobus,234735,3941258
Pinus_strobus,234738,3934142
Pinus_strobus,234778,3940529
Pinus_strobus,234787,3940241
Pinus_strobus,234796,3945458
Pinus_strobus,234805,3940738
Pinus_strobus,234809,3941179
Pinus_strobus,234814,3944216
Pinus_strobus,234828,3945143
Pinus_strobus,234829,3930115
Pinus_strobus,234837,3945369
Pinus_strobus,234857,3940028
Pinus_strobus,234862,3941089
Pinus_strobus,234869,3941318
Pinus_strobus,234872,3935256
Pinus_strobus,234872,3939797
Pinus_strobus,234875,3945468
Pinus_strobus,234880,3941697
Pinus_strobus,234919,3941498
Pinus_strobus,234946,3940496
Pinus_strobus,235015,3936208
Pinus_strobus,235032,3940477
Pinus_strobus,235040,3943825
Pinus_strobus,235041,3944298
Pinus_strobus,235055,3945524
Pinus_strobus,235057,3941843
Pinus_strobus,235071,3943664
Pinus_strobus,235115,3943996
Pinus_strobus,235122,3941046
Pinus_strobus,235137,3944015
Pinus_strobus,235187,3944036
Pinus_strobus,235187,3944037
Pinus_strobus,235215,3943228
Pinus_strobus,235244,3942001
Pinus_strobus,235244,3943165
Pinus_strobus,235258,3944225
Pinus_strobus,235268,3945686
Pinus_strobus,235280,3944031
Pinus_strobus,235289,3937966
Pinus_strobus,235302,3942105
Pinus_strobus,235311,3943518
Pinus_strobus,235315,3945788
Pinus_strobus,235323,3941089
Pinus_strobus,235329,3939887
Pinus_strobus,235335,3943168
Pinus_strobus,235341,3943412
Pinus_strobus,235348,3943903
Pinus_strobus,235348,3943904
Pinus_strobus,235372,3942326
Pinus_strobus,235444,3942480
Pinus_strobus,235446,3943966
Pinus_strobus,235471,3943140
Pinus_strobus,235518,3942977
Pinus_strobus,235528,3943176
Pinus_strobus,235561,3942616
Pinus_strobus,235585,3946080
Pinus_strobus,235661,3947788
