Species,x,y
Pityopsis_graminifolia,229464,3936059
Pityopsis_graminifolia,229975,3935042
Pityopsis_graminifolia,230506,3937866
Pityopsis_graminifolia,230703,3939382
Pityopsis_graminifolia,232621,3933175
Pityopsis_graminifolia,233145,3933578
Pityopsis_graminifolia,233155,3933628
Pityopsis_graminifolia,233385,3936168
Pityopsis_graminifolia,233415,3936238
Pityopsis_graminifolia,233538,3947227
Pityopsis_graminifolia,234135,3940968
Pityopsis_graminifolia,234375,3941008
Pityopsis_graminifolia,234425,3941088
Pityopsis_graminifolia,234515,3941158
Pityopsis_graminifolia,234515,3941208
Pityopsis_graminifolia,234545,3941108
Pityopsis_graminifolia,235215,3943228
Pityopsis_graminifolia,235335,3943168
Pityopsis_graminifolia,235562,3949713
Pityopsis_graminifolia,235769,3936226
Pityopsis_graminifolia,235995,3942508
Pityopsis_graminifolia,236665,3950539
Pityopsis_graminifolia,237139,3944722
Pityopsis_graminifolia,237152,3944933
Pityopsis_graminifolia,238265,3950088
Pityopsis_graminifolia,238962,3950523
Pityopsis_graminifolia,242701,3955920
Pityopsis_graminifolia,244020,3944832
Pityopsis_graminifolia,245695,3942114
Pityopsis_graminifolia,254103,3950204
Pityopsis_graminifolia,254743,3950060
Pityopsis_graminifolia,259550,3947937
Pityopsis_graminifolia,262237,3925627
Pityopsis_graminifolia,268497,3926438
Pityopsis_graminifolia,277030,3929409
Pityopsis_graminifolia,297856,3964962
Pityopsis_graminifolia,298287,3965093
