Species,x,y
Plagodis_alcoolaria,242743,3934747
Plagodis_alcoolaria,244121,3927397
Plagodis_alcoolaria,245830,3944319
Plagodis_alcoolaria,248536,3943119
Plagodis_alcoolaria,251770,3926404
Plagodis_alcoolaria,253047,3928775
Plagodis_alcoolaria,263275,3925149
Plagodis_alcoolaria,267754,3927974
Plagodis_alcoolaria,270241,3952388
Plagodis_alcoolaria,270287,3952351
Plagodis_alcoolaria,270419,3952088
Plagodis_alcoolaria,270422,3952199
Plagodis_alcoolaria,270532,3951831
Plagodis_alcoolaria,272416,3929229
Plagodis_alcoolaria,276176,3951140
Plagodis_alcoolaria,280318,3927417
Plagodis_alcoolaria,282686,3940320
Plagodis_alcoolaria,289947,3937460
Plagodis_alcoolaria,291781,3932248
Plagodis_alcoolaria,291888,3932912
Plagodis_alcoolaria,297756,3964806
Plagodis_alcoolaria,298142,3964955
Plagodis_alcoolaria,298410,3965161
Plagodis_alcoolaria,298425,3965061
Plagodis_alcoolaria,299884,3961587
Plagodis_alcoolaria,300363,3966793
Plagodis_alcoolaria,309283,3952834
Plagodis_alcoolaria,309517,3952830
Plagodis_alcoolaria,311516,3938580
Plagodis_alcoolaria,312007,3939804
Plagodis_alcoolaria,312166,3940057
Plagodis_alcoolaria,312196,3939535
Plagodis_alcoolaria,312279,3939198
Plagodis_alcoolaria,312438,3939338
Plagodis_alcoolaria,313758,3945810
