Species,x,y
Polycentropus_cinereus,234193,3944224
Polycentropus_cinereus,234360,3944696
Polycentropus_cinereus,241271,3938774
Polycentropus_cinereus,241491,3942388
Polycentropus_cinereus,241614,3942462
Polycentropus_cinereus,242229,3940735
Polycentropus_cinereus,242922,3941187
Polycentropus_cinereus,242977,3941423
Polycentropus_cinereus,243024,3937579
Polycentropus_cinereus,243069,3936733
Polycentropus_cinereus,244466,3946059
Polycentropus_cinereus,246912,3943465
Polycentropus_cinereus,248316,3933509
Polycentropus_cinereus,248536,3943119
Polycentropus_cinereus,248568,3943663
Polycentropus_cinereus,249334,3943119
Polycentropus_cinereus,251215,3932563
Polycentropus_cinereus,254203,3948551
Polycentropus_cinereus,256516,3947509
Polycentropus_cinereus,258797,3932051
Polycentropus_cinereus,259231,3941158
Polycentropus_cinereus,259443,3940409
Polycentropus_cinereus,261196,3952024
Polycentropus_cinereus,261609,3949861
Polycentropus_cinereus,264208,3935586
Polycentropus_cinereus,265341,3928991
Polycentropus_cinereus,265837,3936542
Polycentropus_cinereus,270471,3952326
Polycentropus_cinereus,273583,3952061
Polycentropus_cinereus,273754,3952052
Polycentropus_cinereus,273803,3951997
Polycentropus_cinereus,273826,3952003
Polycentropus_cinereus,276176,3951140
Polycentropus_cinereus,276964,3952783
Polycentropus_cinereus,278086,3945649
Polycentropus_cinereus,278096,3945648
Polycentropus_cinereus,279003,3926717
Polycentropus_cinereus,279126,3927257
Polycentropus_cinereus,282925,3951142
Polycentropus_cinereus,283159,3952196
Polycentropus_cinereus,283178,3951714
Polycentropus_cinereus,288275,3938480
Polycentropus_cinereus,289947,3937460
Polycentropus_cinereus,291353,3931604
Polycentropus_cinereus,299272,3957771
Polycentropus_cinereus,299920,3961563
Polycentropus_cinereus,300196,3959758
Polycentropus_cinereus,300416,3958917
Polycentropus_cinereus,300463,3958663
Polycentropus_cinereus,304167,3954810
Polycentropus_cinereus,307827,3943480
Polycentropus_cinereus,309517,3952830
