Species,x,y
Polygonum_virginianum,229455,3936059
Polygonum_virginianum,229757,3934914
Polygonum_virginianum,229921,3937089
Polygonum_virginianum,230313,3933778
Polygonum_virginianum,230786,3933956
Polygonum_virginianum,230795,3933951
Polygonum_virginianum,238725,3949298
Polygonum_virginianum,240343,3929007
Polygonum_virginianum,241795,3942201
Polygonum_virginianum,242096,3942608
Polygonum_virginianum,242141,3934592
Polygonum_virginianum,242690,3936957
Polygonum_virginianum,242691,3936958
Polygonum_virginianum,242745,3934746
Polygonum_virginianum,242752,3934750
Polygonum_virginianum,242896,3941480
Polygonum_virginianum,243144,3934897
Polygonum_virginianum,243194,3934924
Polygonum_virginianum,244846,3932333
Polygonum_virginianum,246159,3943976
Polygonum_virginianum,246235,3948507
Polygonum_virginianum,246796,3937178
Polygonum_virginianum,247501,3942562
Polygonum_virginianum,247510,3942888
Polygonum_virginianum,248135,3941577
Polygonum_virginianum,250211,3941558
Polygonum_virginianum,250446,3947428
Polygonum_virginianum,250916,3947008
Polygonum_virginianum,251116,3947008
Polygonum_virginianum,251166,3946978
Polygonum_virginianum,255268,3929551
Polygonum_virginianum,255353,3929548
Polygonum_virginianum,258021,3925013
Polygonum_virginianum,261116,3942709
Polygonum_virginianum,261125,3942711
Polygonum_virginianum,262971,3931995
Polygonum_virginianum,263487,3926176
Polygonum_virginianum,271591,3950463
Polygonum_virginianum,274896,3953159
Polygonum_virginianum,274965,3947446
Polygonum_virginianum,275716,3946979
Polygonum_virginianum,278168,3953212
Polygonum_virginianum,280966,3929213
Polygonum_virginianum,281926,3953719
Polygonum_virginianum,282879,3953033
Polygonum_virginianum,282987,3953002
Polygonum_virginianum,283048,3951067
Polygonum_virginianum,291188,3931842
Polygonum_virginianum,291295,3932209
Polygonum_virginianum,294668,3960063
Polygonum_virginianum,294677,3959286
Polygonum_virginianum,295033,3960576
Polygonum_virginianum,300527,3959119
Polygonum_virginianum,305470,3956357
Polygonum_virginianum,309888,3942500
Polygonum_virginianum,310150,3942908
Polygonum_virginianum,310936,3944991
