Species,x,y
Quercus_coccinea,228105,3938898
Quercus_coccinea,228835,3938698
Quercus_coccinea,228884,3937815
Quercus_coccinea,228926,3937561
Quercus_coccinea,229010,3936840
Quercus_coccinea,229028,3936705
Quercus_coccinea,229444,3934904
Quercus_coccinea,229515,3934907
Quercus_coccinea,229996,3935055
Quercus_coccinea,230021,3935875
Quercus_coccinea,230057,3935093
Quercus_coccinea,230199,3934736
Quercus_coccinea,230366,3939180
Quercus_coccinea,230506,3937866
Quercus_coccinea,230607,3934434
Quercus_coccinea,230670,3935173
Quercus_coccinea,230703,3939382
Quercus_coccinea,230883,3945266
Quercus_coccinea,230982,3934072
Quercus_coccinea,231141,3934776
Quercus_coccinea,232621,3933175
Quercus_coccinea,232664,3932680
Quercus_coccinea,232755,3933168
Quercus_coccinea,232997,3933536
Quercus_coccinea,233145,3933578
Quercus_coccinea,233155,3933628
Quercus_coccinea,233385,3936168
Quercus_coccinea,233415,3936238
Quercus_coccinea,233653,3936187
Quercus_coccinea,233691,3946788
Quercus_coccinea,233766,3936041
Quercus_coccinea,234135,3940968
Quercus_coccinea,234325,3939788
Quercus_coccinea,234335,3944268
Quercus_coccinea,234365,3941058
Quercus_coccinea,234365,3944158
Quercus_coccinea,234370,3936005
Quercus_coccinea,234375,3941008
Quercus_coccinea,234505,3930660
Quercus_coccinea,234515,3941158
Quercus_coccinea,234539,3935773
Quercus_coccinea,234545,3941108
Quercus_coccinea,234635,3939628
Quercus_coccinea,234667,3944076
Quercus_coccinea,234735,3941258
Quercus_coccinea,234809,3941179
Quercus_coccinea,234862,3941089
Quercus_coccinea,234946,3940496
Quercus_coccinea,235015,3936208
Quercus_coccinea,235050,3929668
Quercus_coccinea,235071,3943664
Quercus_coccinea,235112,3929651
Quercus_coccinea,235115,3943996
Quercus_coccinea,235187,3944036
Quercus_coccinea,235187,3944037
Quercus_coccinea,235215,3943228
Quercus_coccinea,235244,3943165
Quercus_coccinea,235258,3944225
Quercus_coccinea,235289,3937966
Quercus_coccinea,235315,3945788
Quercus_coccinea,235335,3943168
Quercus_coccinea,235386,3943021
Quercus_coccinea,235444,3942480
Quercus_coccinea,235446,3943966
Quercus_coccinea,235471,3943140
Quercus_coccinea,235518,3942977
Quercus_coccinea,235521,3947951
Quercus_coccinea,235528,3943176
Quercus_coccinea,235560,3938862
Quercus_coccinea,235588,3936264
Quercus_coccinea,235606,3942973
Quercus_coccinea,235699,3939007
Quercus_coccinea,235715,3940099
Quercus_coccinea,235740,3947175
Quercus_coccinea,235769,3936226
Quercus_coccinea,235793,3939660
Quercus_coccinea,235881,3939876
Quercus_coccinea,235891,3947407
Quercus_coccinea,235940,3936198
Quercus_coccinea,235956,3938293
Quercus_coccinea,235995,3942508
Quercus_coccinea,236015,3939208
Quercus_coccinea,236115,3942528
Quercus_coccinea,236146,3938369
Quercus_coccinea,236147,3942606
Quercus_coccinea,236171,3948071
Quercus_coccinea,236262,3938153
Quercus_coccinea,236397,3936274
Quercus_coccinea,236497,3938054
Quercus_coccinea,236502,3947768
Quercus_coccinea,236580,3936373
Quercus_coccinea,236622,3936382
Quercus_coccinea,236823,3936384
Quercus_coccinea,236838,3937767
Quercus_coccinea,236868,3936393
Quercus_coccinea,236921,3937735
Quercus_coccinea,237015,3937208
Quercus_coccinea,237152,3944933
Quercus_coccinea,237208,3936405
Quercus_coccinea,237271,3944800
Quercus_coccinea,237463,3937106
Quercus_coccinea,237581,3937325
Quercus_coccinea,237583,3937105
Quercus_coccinea,237596,3936420
Quercus_coccinea,237677,3936327
Quercus_coccinea,237693,3937159
Quercus_coccinea,237714,3936985
Quercus_coccinea,237762,3936303
Quercus_coccinea,237780,3942262
Quercus_coccinea,237781,3942019
Quercus_coccinea,237800,3936951
Quercus_coccinea,237817,3942089
Quercus_coccinea,237984,3942145
Quercus_coccinea,238015,3936208
Quercus_coccinea,238083,3942153
Quercus_coccinea,238219,3936336
Quercus_coccinea,238265,3950088
Quercus_coccinea,238273,3941879
Quercus_coccinea,238296,3941874
Quercus_coccinea,238309,3946732
Quercus_coccinea,238368,3946579
Quercus_coccinea,238384,3936448
Quercus_coccinea,238408,3937281
Quercus_coccinea,238422,3945701
Quercus_coccinea,238455,3950181
Quercus_coccinea,238487,3941734
Quercus_coccinea,238510,3945714
Quercus_coccinea,238525,3936489
Quercus_coccinea,238568,3946442
Quercus_coccinea,238609,3945910
Quercus_coccinea,238622,3937418
Quercus_coccinea,238679,3936556
Quercus_coccinea,238695,3949328
Quercus_coccinea,238738,3946119
Quercus_coccinea,238761,3931181
Quercus_coccinea,238846,3941819
Quercus_coccinea,238855,3941843
Quercus_coccinea,238857,3931254
Quercus_coccinea,238863,3939031
Quercus_coccinea,238894,3946211
Quercus_coccinea,238962,3950523
Quercus_coccinea,239042,3941995
Quercus_coccinea,239047,3935641
Quercus_coccinea,239153,3932570
Quercus_coccinea,239182,3946299
Quercus_coccinea,239183,3935425
Quercus_coccinea,239260,3932407
Quercus_coccinea,239274,3944310
Quercus_coccinea,239283,3942052
Quercus_coccinea,239309,3932904
Quercus_coccinea,239431,3932297
Quercus_coccinea,239503,3938490
Quercus_coccinea,239522,3931523
Quercus_coccinea,239530,3938570
Quercus_coccinea,239593,3938635
Quercus_coccinea,239596,3930786
Quercus_coccinea,239599,3937842
Quercus_coccinea,239601,3932171
Quercus_coccinea,239670,3929604
Quercus_coccinea,239699,3941672
Quercus_coccinea,239778,3946250
Quercus_coccinea,239859,3930787
Quercus_coccinea,239863,3935855
Quercus_coccinea,240123,3930610
Quercus_coccinea,240124,3938730
Quercus_coccinea,240124,3938731
Quercus_coccinea,240150,3941823
Quercus_coccinea,240171,3938505
Quercus_coccinea,240172,3938506
Quercus_coccinea,240423,3930295
Quercus_coccinea,240446,3947951
Quercus_coccinea,240588,3941799
Quercus_coccinea,240612,3945879
Quercus_coccinea,240686,3945612
Quercus_coccinea,240757,3941317
Quercus_coccinea,240885,3941835
Quercus_coccinea,240917,3927207
Quercus_coccinea,241035,3945554
Quercus_coccinea,241044,3942528
Quercus_coccinea,241062,3942039
Quercus_coccinea,241078,3927270
Quercus_coccinea,241222,3945413
Quercus_coccinea,241294,3941596
Quercus_coccinea,241294,3941597
Quercus_coccinea,241298,3942911
Quercus_coccinea,241357,3944761
Quercus_coccinea,241422,3942394
Quercus_coccinea,241462,3938811
Quercus_coccinea,241535,3942550
Quercus_coccinea,241680,3930477
Quercus_coccinea,241719,3944914
Quercus_coccinea,241758,3945171
Quercus_coccinea,241758,3945172
Quercus_coccinea,241822,3945063
Quercus_coccinea,241823,3945064
Quercus_coccinea,241959,3945163
