Species,x,y
Regulus_satrapa,234022,3944415
Regulus_satrapa,235258,3944225
Regulus_satrapa,237281,3937532
Regulus_satrapa,237915,3947149
Regulus_satrapa,238344,3946373
Regulus_satrapa,239392,3937763
Regulus_satrapa,239825,3937955
Regulus_satrapa,240273,3945913
Regulus_satrapa,240332,3943731
Regulus_satrapa,240464,3943555
Regulus_satrapa,240491,3945785
Regulus_satrapa,241298,3942056
Regulus_satrapa,242127,3944469
Regulus_satrapa,243089,3930900
Regulus_satrapa,243161,3931052
Regulus_satrapa,243370,3931050
Regulus_satrapa,243884,3931087
Regulus_satrapa,244720,3928311
Regulus_satrapa,244732,3931431
Regulus_satrapa,244869,3932400
Regulus_satrapa,244924,3927882
Regulus_satrapa,244981,3928985
Regulus_satrapa,244994,3929283
Regulus_satrapa,245038,3932761
Regulus_satrapa,246794,3943355
Regulus_satrapa,249207,3939657
Regulus_satrapa,249235,3940521
Regulus_satrapa,249326,3939816
Regulus_satrapa,249397,3940719
Regulus_satrapa,249831,3940568
Regulus_satrapa,250064,3940979
Regulus_satrapa,250150,3941547
Regulus_satrapa,251292,3943905
Regulus_satrapa,251536,3940911
Regulus_satrapa,251834,3940819
Regulus_satrapa,252199,3940707
Regulus_satrapa,252461,3939902
Regulus_satrapa,252576,3939653
Regulus_satrapa,252613,3939452
Regulus_satrapa,253187,3949008
Regulus_satrapa,253360,3927240
Regulus_satrapa,256484,3947482
Regulus_satrapa,260361,3940953
Regulus_satrapa,260400,3941547
Regulus_satrapa,260497,3941631
Regulus_satrapa,261081,3939210
Regulus_satrapa,261479,3939412
Regulus_satrapa,261695,3939295
Regulus_satrapa,262016,3942213
Regulus_satrapa,262582,3942370
Regulus_satrapa,263086,3939945
Regulus_satrapa,263275,3940082
Regulus_satrapa,263441,3940239
Regulus_satrapa,263577,3940405
Regulus_satrapa,264328,3934373
Regulus_satrapa,264369,3940212
Regulus_satrapa,264539,3941629
Regulus_satrapa,264637,3951576
Regulus_satrapa,264642,3939914
Regulus_satrapa,264755,3941685
Regulus_satrapa,265010,3939654
Regulus_satrapa,265187,3939234
Regulus_satrapa,265239,3935095
Regulus_satrapa,265530,3938921
Regulus_satrapa,265684,3935744
Regulus_satrapa,266638,3936423
Regulus_satrapa,266719,3936667
Regulus_satrapa,267074,3937213
Regulus_satrapa,267251,3937565
Regulus_satrapa,267315,3927093
Regulus_satrapa,267518,3947053
Regulus_satrapa,268391,3938695
Regulus_satrapa,269495,3938690
Regulus_satrapa,269695,3926831
Regulus_satrapa,269719,3938757
Regulus_satrapa,269815,3938740
Regulus_satrapa,269933,3938661
Regulus_satrapa,270045,3938639
Regulus_satrapa,270161,3938623
Regulus_satrapa,270236,3947689
Regulus_satrapa,270283,3938633
Regulus_satrapa,270359,3938616
