Species,x,y
Sambucus_nigra,229678,3935930
Sambucus_nigra,229883,3935806
Sambucus_nigra,230109,3934296
Sambucus_nigra,230123,3934181
Sambucus_nigra,232621,3933175
Sambucus_nigra,234875,3945468
Sambucus_nigra,238725,3949298
Sambucus_nigra,240791,3941644
Sambucus_nigra,243027,3936731
Sambucus_nigra,243027,3936732
Sambucus_nigra,244745,3935574
Sambucus_nigra,249747,3939814
Sambucus_nigra,249758,3945747
Sambucus_nigra,249762,3939230
Sambucus_nigra,249776,3939255
Sambucus_nigra,250916,3946808
Sambucus_nigra,251116,3947008
Sambucus_nigra,251216,3946908
Sambucus_nigra,261704,3941361
Sambucus_nigra,266089,3926867
Sambucus_nigra,267050,3949325
Sambucus_nigra,268612,3927053
Sambucus_nigra,272733,3930503
Sambucus_nigra,272780,3929756
Sambucus_nigra,273899,3953773
Sambucus_nigra,278450,3948738
Sambucus_nigra,279929,3929039
Sambucus_nigra,280966,3928989
Sambucus_nigra,280966,3929213
Sambucus_nigra,281926,3953719
Sambucus_nigra,285029,3955298
Sambucus_nigra,290653,3936714
Sambucus_nigra,291295,3932209
Sambucus_nigra,291581,3932136
Sambucus_nigra,294028,3958591
Sambucus_nigra,300286,3958448
Sambucus_nigra,300935,3958344
Sambucus_nigra,301704,3959959
Sambucus_nigra,310936,3944991
Sambucus_nigra,312350,3948780
Sambucus_nigra,312726,3949142
