Species,x,y
Scolecocampa_liburna,244121,3927397
Scolecocampa_liburna,245076,3943259
Scolecocampa_liburna,246000,3948274
Scolecocampa_liburna,248438,3943416
Scolecocampa_liburna,248461,3943592
Scolecocampa_liburna,248536,3943119
Scolecocampa_liburna,248710,3943571
Scolecocampa_liburna,249410,3945124
Scolecocampa_liburna,249480,3945205
Scolecocampa_liburna,251770,3926404
Scolecocampa_liburna,252164,3929169
Scolecocampa_liburna,253047,3928775
Scolecocampa_liburna,256484,3947482
Scolecocampa_liburna,256521,3947351
Scolecocampa_liburna,263275,3925149
Scolecocampa_liburna,263903,3947885
Scolecocampa_liburna,263919,3948094
Scolecocampa_liburna,263946,3947793
Scolecocampa_liburna,263946,3947795
Scolecocampa_liburna,263962,3948002
Scolecocampa_liburna,263962,3948004
Scolecocampa_liburna,264155,3945069
Scolecocampa_liburna,264171,3945278
Scolecocampa_liburna,264199,3945002
Scolecocampa_liburna,264215,3945211
Scolecocampa_liburna,264277,3945045
Scolecocampa_liburna,264293,3945254
Scolecocampa_liburna,265687,3950695
Scolecocampa_liburna,267754,3927974
Scolecocampa_liburna,268504,3926530
Scolecocampa_liburna,270422,3952199
Scolecocampa_liburna,273826,3952003
Scolecocampa_liburna,279031,3926782
Scolecocampa_liburna,280318,3927417
Scolecocampa_liburna,284081,3953721
Scolecocampa_liburna,284087,3952889
Scolecocampa_liburna,284103,3953099
Scolecocampa_liburna,284340,3954737
Scolecocampa_liburna,284587,3954109
Scolecocampa_liburna,284603,3954319
Scolecocampa_liburna,286667,3953270
Scolecocampa_liburna,286683,3953480
Scolecocampa_liburna,291781,3932248
Scolecocampa_liburna,291888,3932912
Scolecocampa_liburna,295061,3960340
Scolecocampa_liburna,298425,3965061
Scolecocampa_liburna,299567,3965526
Scolecocampa_liburna,299626,3962018
Scolecocampa_liburna,299884,3961587
Scolecocampa_liburna,299942,3960270
Scolecocampa_liburna,299992,3961138
Scolecocampa_liburna,300163,3959052
Scolecocampa_liburna,300205,3959804
Scolecocampa_liburna,300363,3966793
Scolecocampa_liburna,300420,3966572
Scolecocampa_liburna,309527,3958867
Scolecocampa_liburna,313758,3945810
