Species,x,y
Setophaga_caerulescens,234159,3944237
Setophaga_caerulescens,234366,3944188
Setophaga_caerulescens,234459,3943935
Setophaga_caerulescens,236767,3947056
Setophaga_caerulescens,237114,3947557
Setophaga_caerulescens,237624,3936788
Setophaga_caerulescens,238016,3936272
Setophaga_caerulescens,238219,3936336
Setophaga_caerulescens,238384,3936448
Setophaga_caerulescens,238408,3937281
Setophaga_caerulescens,238525,3936489
Setophaga_caerulescens,238679,3936556
Setophaga_caerulescens,238735,3936086
Setophaga_caerulescens,238804,3936213
Setophaga_caerulescens,238818,3936373
Setophaga_caerulescens,238990,3935761
Setophaga_caerulescens,239061,3941998
Setophaga_caerulescens,239209,3932760
Setophaga_caerulescens,239260,3932407
Setophaga_caerulescens,239384,3932170
Setophaga_caerulescens,239632,3935509
Setophaga_caerulescens,239800,3947173
Setophaga_caerulescens,239998,3938121
Setophaga_caerulescens,241227,3934499
Setophaga_caerulescens,241422,3942394
Setophaga_caerulescens,241507,3933917
Setophaga_caerulescens,241580,3933759
Setophaga_caerulescens,241874,3942950
Setophaga_caerulescens,242001,3933310
Setophaga_caerulescens,242004,3933162
Setophaga_caerulescens,242093,3933422
Setophaga_caerulescens,242116,3935962
Setophaga_caerulescens,242177,3930449
Setophaga_caerulescens,242180,3943123
Setophaga_caerulescens,242200,3933177
Setophaga_caerulescens,242484,3932509
Setophaga_caerulescens,242524,3932989
Setophaga_caerulescens,242655,3932359
Setophaga_caerulescens,242723,3932930
Setophaga_caerulescens,242740,3932723
Setophaga_caerulescens,242814,3930670
Setophaga_caerulescens,242867,3932249
Setophaga_caerulescens,243027,3936937
Setophaga_caerulescens,243161,3931052
Setophaga_caerulescens,243207,3943385
Setophaga_caerulescens,243370,3931050
Setophaga_caerulescens,243670,3931003
Setophaga_caerulescens,243771,3934964
Setophaga_caerulescens,243850,3930989
Setophaga_caerulescens,244027,3934990
Setophaga_caerulescens,244337,3942503
Setophaga_caerulescens,244582,3931196
Setophaga_caerulescens,244652,3931082
Setophaga_caerulescens,244820,3931671
Setophaga_caerulescens,244869,3932400
Setophaga_caerulescens,244910,3933765
Setophaga_caerulescens,245112,3929675
Setophaga_caerulescens,245133,3933697
Setophaga_caerulescens,245150,3930146
Setophaga_caerulescens,245179,3945874
Setophaga_caerulescens,245280,3931350
Setophaga_caerulescens,245310,3931122
Setophaga_caerulescens,247152,3944400
Setophaga_caerulescens,247404,3946383
Setophaga_caerulescens,247426,3946808
Setophaga_caerulescens,247457,3946697
Setophaga_caerulescens,247484,3946493
Setophaga_caerulescens,247748,3943635
Setophaga_caerulescens,248819,3939222
Setophaga_caerulescens,248828,3945768
Setophaga_caerulescens,248975,3939334
Setophaga_caerulescens,249207,3939657
Setophaga_caerulescens,249326,3939816
Setophaga_caerulescens,249507,3940529
Setophaga_caerulescens,249521,3946101
Setophaga_caerulescens,249538,3940321
Setophaga_caerulescens,249645,3946026
Setophaga_caerulescens,249683,3940281
Setophaga_caerulescens,249831,3940568
Setophaga_caerulescens,250064,3940979
Setophaga_caerulescens,250095,3941191
Setophaga_caerulescens,250150,3941547
Setophaga_caerulescens,250263,3924855
Setophaga_caerulescens,251397,3941049
Setophaga_caerulescens,251422,3943947
Setophaga_caerulescens,251536,3940911
Setophaga_caerulescens,251593,3940693
Setophaga_caerulescens,251959,3946849
Setophaga_caerulescens,252049,3940847
Setophaga_caerulescens,252149,3942426
Setophaga_caerulescens,252199,3940707
Setophaga_caerulescens,252203,3940702
Setophaga_caerulescens,252207,3941408
Setophaga_caerulescens,252208,3941736
Setophaga_caerulescens,252218,3942357
Setophaga_caerulescens,252227,3941183
Setophaga_caerulescens,252254,3940514
Setophaga_caerulescens,252266,3941959
Setophaga_caerulescens,252322,3941582
Setophaga_caerulescens,252334,3940144
Setophaga_caerulescens,252334,3940288
Setophaga_caerulescens,252461,3939902
Setophaga_caerulescens,252576,3939653
Setophaga_caerulescens,252613,3939452
Setophaga_caerulescens,252901,3943234
Setophaga_caerulescens,253072,3932642
Setophaga_caerulescens,253163,3938516
Setophaga_caerulescens,253322,3938617
Setophaga_caerulescens,253364,3927550
Setophaga_caerulescens,253369,3938791
Setophaga_caerulescens,253536,3927202
Setophaga_caerulescens,253546,3939013
Setophaga_caerulescens,253554,3933650
Setophaga_caerulescens,253675,3934245
Setophaga_caerulescens,253679,3937845
Setophaga_caerulescens,253680,3938552
Setophaga_caerulescens,253722,3934430
Setophaga_caerulescens,253766,3936961
Setophaga_caerulescens,253788,3936693
Setophaga_caerulescens,253922,3937894
Setophaga_caerulescens,253932,3938411
Setophaga_caerulescens,254064,3938169
Setophaga_caerulescens,254082,3950198
Setophaga_caerulescens,254089,3937911
Setophaga_caerulescens,254222,3937978
Setophaga_caerulescens,254260,3938191
Setophaga_caerulescens,254391,3944767
Setophaga_caerulescens,254635,3945822
Setophaga_caerulescens,254904,3939559
Setophaga_caerulescens,255991,3939522
Setophaga_caerulescens,256175,3939494
Setophaga_caerulescens,256389,3939434
Setophaga_caerulescens,256546,3947459
Setophaga_caerulescens,256607,3939414
Setophaga_caerulescens,257050,3939484
Setophaga_caerulescens,257229,3939565
Setophaga_caerulescens,257234,3925981
Setophaga_caerulescens,257444,3939560
Setophaga_caerulescens,259608,3939330
Setophaga_caerulescens,260073,3940725
Setophaga_caerulescens,260179,3939104
Setophaga_caerulescens,260234,3940517
Setophaga_caerulescens,260292,3940776
Setophaga_caerulescens,260400,3941547
Setophaga_caerulescens,260401,3941321
Setophaga_caerulescens,260412,3941134
Setophaga_caerulescens,260497,3941631
Setophaga_caerulescens,260511,3940488
Setophaga_caerulescens,260639,3941534
Setophaga_caerulescens,260741,3940101
Setophaga_caerulescens,260821,3941534
Setophaga_caerulescens,260868,3939625
Setophaga_caerulescens,260920,3939964
Setophaga_caerulescens,261015,3939775
Setophaga_caerulescens,261025,3941425
Setophaga_caerulescens,261042,3941646
Setophaga_caerulescens,261240,3941389
Setophaga_caerulescens,261286,3939333
Setophaga_caerulescens,261363,3941274
Setophaga_caerulescens,261477,3941124
Setophaga_caerulescens,261599,3941945
Setophaga_caerulescens,261617,3941477
Setophaga_caerulescens,261650,3941224
Setophaga_caerulescens,261655,3942180
Setophaga_caerulescens,261720,3948963
Setophaga_caerulescens,261859,3942109
Setophaga_caerulescens,262219,3942300
Setophaga_caerulescens,262282,3944337
Setophaga_caerulescens,262510,3944360
Setophaga_caerulescens,262582,3942370
Setophaga_caerulescens,262740,3944405
Setophaga_caerulescens,262768,3942469
Setophaga_caerulescens,262881,3939788
Setophaga_caerulescens,262971,3942501
Setophaga_caerulescens,263086,3939945
Setophaga_caerulescens,263144,3944551
Setophaga_caerulescens,263167,3942414
Setophaga_caerulescens,263327,3944641
Setophaga_caerulescens,263334,3942429
Setophaga_caerulescens,263521,3943934
Setophaga_caerulescens,263544,3944649
Setophaga_caerulescens,263554,3942420
Setophaga_caerulescens,263636,3952454
Setophaga_caerulescens,263667,3952651
Setophaga_caerulescens,263739,3940663
Setophaga_caerulescens,263772,3952860
Setophaga_caerulescens,263777,3942388
Setophaga_caerulescens,263806,3944807
Setophaga_caerulescens,263821,3952052
Setophaga_caerulescens,263849,3940852
Setophaga_caerulescens,263853,3940475
Setophaga_caerulescens,263859,3953082
Setophaga_caerulescens,263912,3953297
Setophaga_caerulescens,263925,3940434
Setophaga_caerulescens,263933,3944044
Setophaga_caerulescens,263949,3944925
Setophaga_caerulescens,263992,3942406
Setophaga_caerulescens,264005,3951987
Setophaga_caerulescens,264009,3953494
Setophaga_caerulescens,264140,3951815
Setophaga_caerulescens,264170,3945008
Setophaga_caerulescens,264205,3945178
Setophaga_caerulescens,264214,3942441
Setophaga_caerulescens,264219,3953601
Setophaga_caerulescens,264285,3951723
Setophaga_caerulescens,264290,3943793
Setophaga_caerulescens,264349,3941294
Setophaga_caerulescens,264349,3945361
Setophaga_caerulescens,264380,3953657
Setophaga_caerulescens,264415,3951644
Setophaga_caerulescens,264501,3941445
Setophaga_caerulescens,264526,3945559
Setophaga_caerulescens,264533,3947723
Setophaga_caerulescens,264539,3941629
Setophaga_caerulescens,264586,3953767
Setophaga_caerulescens,264610,3947594
Setophaga_caerulescens,264637,3951576
Setophaga_caerulescens,264696,3945787
Setophaga_caerulescens,264782,3947502
Setophaga_caerulescens,264788,3953833
Setophaga_caerulescens,264791,3942580
Setophaga_caerulescens,264796,3945881
Setophaga_caerulescens,264871,3951496
Setophaga_caerulescens,264929,3941797
Setophaga_caerulescens,264929,3942699
Setophaga_caerulescens,264937,3945912
Setophaga_caerulescens,264974,3931023
Setophaga_caerulescens,265010,3939654
Setophaga_caerulescens,265049,3953664
Setophaga_caerulescens,265057,3930119
Setophaga_caerulescens,265081,3951441
Setophaga_caerulescens,265115,3941952
Setophaga_caerulescens,265143,3930750
Setophaga_caerulescens,265152,3945962
Setophaga_caerulescens,265157,3942680
Setophaga_caerulescens,265203,3951271
Setophaga_caerulescens,265204,3953766
Setophaga_caerulescens,265245,3930079
Setophaga_caerulescens,265245,3943651
Setophaga_caerulescens,265246,3942100
Setophaga_caerulescens,265247,3929029
Setophaga_caerulescens,265296,3942757
Setophaga_caerulescens,265305,3951283
Setophaga_caerulescens,265310,3942313
Setophaga_caerulescens,265346,3951077
Setophaga_caerulescens,265379,3946065
Setophaga_caerulescens,265417,3950850
Setophaga_caerulescens,265538,3935648
Setophaga_caerulescens,265580,3938675
Setophaga_caerulescens,265732,3953457
Setophaga_caerulescens,265763,3938538
Setophaga_caerulescens,265932,3950779
Setophaga_caerulescens,266173,3935745
Setophaga_caerulescens,266241,3935878
Setophaga_caerulescens,266649,3947363
Setophaga_caerulescens,266855,3947320
Setophaga_caerulescens,266871,3936798
Setophaga_caerulescens,266978,3937011
Setophaga_caerulescens,266992,3935290
Setophaga_caerulescens,267020,3947187
Setophaga_caerulescens,267143,3947157
Setophaga_caerulescens,267251,3937565
Setophaga_caerulescens,267350,3947074
Setophaga_caerulescens,267385,3938005
Setophaga_caerulescens,267518,3947053
Setophaga_caerulescens,267773,3931139
Setophaga_caerulescens,267786,3947050
Setophaga_caerulescens,267823,3928024
Setophaga_caerulescens,267972,3928745
Setophaga_caerulescens,268003,3947073
Setophaga_caerulescens,268208,3931125
Setophaga_caerulescens,268241,3946962
Setophaga_caerulescens,268391,3931143
Setophaga_caerulescens,268486,3946915
Setophaga_caerulescens,268549,3926183
Setophaga_caerulescens,268580,3931182
Setophaga_caerulescens,268590,3949581
Setophaga_caerulescens,268695,3946898
Setophaga_caerulescens,268752,3931296
Setophaga_caerulescens,268807,3949213
Setophaga_caerulescens,268877,3946810
Setophaga_caerulescens,268901,3948820
Setophaga_caerulescens,268910,3949009
Setophaga_caerulescens,268953,3948630
Setophaga_caerulescens,269017,3931302
Setophaga_caerulescens,269094,3946680
Setophaga_caerulescens,269231,3946570
Setophaga_caerulescens,269270,3931325
Setophaga_caerulescens,269293,3946380
Setophaga_caerulescens,269301,3946854
Setophaga_caerulescens,269339,3931153
Setophaga_caerulescens,269361,3946996
Setophaga_caerulescens,269396,3947981
Setophaga_caerulescens,269493,3947503
Setophaga_caerulescens,269517,3947866
Setophaga_caerulescens,269522,3947728
Setophaga_caerulescens,269533,3946460
Setophaga_caerulescens,269536,3948311
Setophaga_caerulescens,269691,3931262
Setophaga_caerulescens,269875,3948327
Setophaga_caerulescens,269914,3931418
Setophaga_caerulescens,270045,3948251
Setophaga_caerulescens,270114,3931358
Setophaga_caerulescens,270119,3947772
Setophaga_caerulescens,270141,3930989
