Species,x,y
Spilosoma_congrua,234040,3944482
Spilosoma_congrua,238755,3928755
Spilosoma_congrua,239142,3928653
Spilosoma_congrua,239253,3928719
Spilosoma_congrua,244121,3927397
Spilosoma_congrua,245076,3943259
Spilosoma_congrua,245079,3943452
Spilosoma_congrua,246000,3948274
Spilosoma_congrua,248438,3943416
Spilosoma_congrua,248536,3943119
Spilosoma_congrua,251770,3926404
Spilosoma_congrua,252196,3929336
Spilosoma_congrua,252437,3928875
Spilosoma_congrua,253047,3928775
Spilosoma_congrua,256321,3947482
Spilosoma_congrua,256427,3947513
Spilosoma_congrua,256484,3947482
Spilosoma_congrua,256496,3947275
Spilosoma_congrua,256521,3947351
Spilosoma_congrua,263275,3925149
Spilosoma_congrua,265526,3949769
Spilosoma_congrua,266434,3948640
Spilosoma_congrua,267754,3927974
Spilosoma_congrua,268504,3926530
Spilosoma_congrua,270287,3952351
Spilosoma_congrua,270419,3952088
Spilosoma_congrua,272416,3929229
Spilosoma_congrua,274450,3946767
Spilosoma_congrua,276429,3946162
Spilosoma_congrua,276499,3934505
Spilosoma_congrua,280318,3927417
Spilosoma_congrua,282396,3956671
Spilosoma_congrua,289947,3937460
Spilosoma_congrua,290364,3937609
Spilosoma_congrua,290792,3936489
Spilosoma_congrua,291133,3931709
Spilosoma_congrua,291499,3931811
Spilosoma_congrua,291781,3932248
Spilosoma_congrua,291888,3932912
Spilosoma_congrua,297088,3965869
Spilosoma_congrua,298142,3964955
Spilosoma_congrua,298425,3965061
Spilosoma_congrua,299567,3965526
Spilosoma_congrua,299626,3962018
Spilosoma_congrua,299884,3961587
Spilosoma_congrua,300163,3959052
Spilosoma_congrua,300205,3959804
Spilosoma_congrua,300363,3966793
Spilosoma_congrua,300420,3966572
Spilosoma_congrua,302832,3968069
Spilosoma_congrua,307827,3943480
Spilosoma_congrua,309517,3952830
Spilosoma_congrua,311516,3938580
Spilosoma_congrua,311854,3946009
Spilosoma_congrua,312007,3939804
Spilosoma_congrua,312166,3940057
Spilosoma_congrua,312180,3940009
Spilosoma_congrua,314385,3945734
