Species,x,y
Stellaria_corei,229894,3935280
Stellaria_corei,240119,3935182
Stellaria_corei,242141,3934592
Stellaria_corei,243416,3936640
Stellaria_corei,249257,3941292
Stellaria_corei,249480,3939116
Stellaria_corei,249694,3938985
Stellaria_corei,250565,3939021
Stellaria_corei,259746,3943891
Stellaria_corei,260389,3941610
Stellaria_corei,260392,3940891
Stellaria_corei,260442,3941729
Stellaria_corei,260680,3941218
Stellaria_corei,261125,3942711
Stellaria_corei,264532,3934513
Stellaria_corei,266567,3936232
Stellaria_corei,267242,3937543
Stellaria_corei,268327,3938702
Stellaria_corei,278626,3945715
Stellaria_corei,279158,3949332
Stellaria_corei,279839,3943738
Stellaria_corei,284681,3948445
Stellaria_corei,285341,3947623
Stellaria_corei,294668,3960063
Stellaria_corei,295732,3942957
Stellaria_corei,299114,3957830
Stellaria_corei,299225,3945930
Stellaria_corei,303062,3936359
Stellaria_corei,313238,3940362
Stellaria_corei,313363,3940632
