Species,x,y
Synorthocladius_semivirens,234193,3944224
Synorthocladius_semivirens,238073,3948407
Synorthocladius_semivirens,239485,3929208
Synorthocladius_semivirens,241446,3942374
Synorthocladius_semivirens,242353,3950394
Synorthocladius_semivirens,252403,3945445
Synorthocladius_semivirens,253226,3928829
Synorthocladius_semivirens,257576,3936109
Synorthocladius_semivirens,258706,3932159
Synorthocladius_semivirens,259146,3942589
Synorthocladius_semivirens,259266,3940699
Synorthocladius_semivirens,261145,3950756
Synorthocladius_semivirens,262426,3935039
Synorthocladius_semivirens,267386,3941879
Synorthocladius_semivirens,268866,3947259
Synorthocladius_semivirens,271546,3954110
Synorthocladius_semivirens,272076,3935829
Synorthocladius_semivirens,273736,3952050
Synorthocladius_semivirens,275276,3953100
Synorthocladius_semivirens,276270,3945424
Synorthocladius_semivirens,282946,3948800
Synorthocladius_semivirens,287678,3938192
Synorthocladius_semivirens,288036,3939189
Synorthocladius_semivirens,299616,3958040
Synorthocladius_semivirens,300176,3959720
Synorthocladius_semivirens,301187,3957814
Synorthocladius_semivirens,302797,3936620
Synorthocladius_semivirens,303247,3947510
Synorthocladius_semivirens,303367,3937090
Synorthocladius_semivirens,303437,3936160
Synorthocladius_semivirens,305067,3945610
Synorthocladius_semivirens,305607,3945870
Synorthocladius_semivirens,308657,3944560
Synorthocladius_semivirens,312384,3948991
