Species,x,y
Tsuga_canadensis,227487,3939640
Tsuga_canadensis,228535,3938968
Tsuga_canadensis,228688,3938914
Tsuga_canadensis,228854,3938720
Tsuga_canadensis,228968,3936040
Tsuga_canadensis,228970,3935963
Tsuga_canadensis,228971,3935992
Tsuga_canadensis,229033,3936004
Tsuga_canadensis,229056,3938781
Tsuga_canadensis,229058,3938836
Tsuga_canadensis,229063,3935134
Tsuga_canadensis,229155,3938745
Tsuga_canadensis,229277,3935993
Tsuga_canadensis,229278,3935993
Tsuga_canadensis,229330,3938567
Tsuga_canadensis,229354,3935999
Tsuga_canadensis,229363,3935836
Tsuga_canadensis,229399,3934883
Tsuga_canadensis,229438,3938792
Tsuga_canadensis,229455,3936059
Tsuga_canadensis,229464,3936059
Tsuga_canadensis,229464,3936068
Tsuga_canadensis,229486,3936060
Tsuga_canadensis,229504,3936191
Tsuga_canadensis,229511,3936124
Tsuga_canadensis,229563,3938732
Tsuga_canadensis,229626,3935920
Tsuga_canadensis,229678,3935930
Tsuga_canadensis,229693,3935980
Tsuga_canadensis,229695,3934995
Tsuga_canadensis,229716,3936615
Tsuga_canadensis,229757,3934914
Tsuga_canadensis,229775,3935130
Tsuga_canadensis,229777,3938850
Tsuga_canadensis,229793,3935198
Tsuga_canadensis,229795,3938903
Tsuga_canadensis,229815,3934823
Tsuga_canadensis,229830,3935137
Tsuga_canadensis,229832,3935348
Tsuga_canadensis,229854,3935826
Tsuga_canadensis,229883,3935806
Tsuga_canadensis,229886,3934713
Tsuga_canadensis,229904,3934713
Tsuga_canadensis,229921,3937089
Tsuga_canadensis,229946,3935592
Tsuga_canadensis,229957,3935267
Tsuga_canadensis,229965,3935824
Tsuga_canadensis,229970,3935758
Tsuga_canadensis,230000,3935858
Tsuga_canadensis,230042,3934570
Tsuga_canadensis,230078,3934268
Tsuga_canadensis,230109,3934296
Tsuga_canadensis,230169,3935762
Tsuga_canadensis,230173,3935804
Tsuga_canadensis,230182,3935811
Tsuga_canadensis,230192,3938835
Tsuga_canadensis,230197,3935803
Tsuga_canadensis,230232,3939245
Tsuga_canadensis,230264,3934567
Tsuga_canadensis,230291,3939421
Tsuga_canadensis,230293,3938856
Tsuga_canadensis,230307,3939034
Tsuga_canadensis,230362,3939051
Tsuga_canadensis,230366,3939180
Tsuga_canadensis,230402,3934339
Tsuga_canadensis,230405,3937824
Tsuga_canadensis,230405,3938984
Tsuga_canadensis,230429,3938791
Tsuga_canadensis,230455,3937767
Tsuga_canadensis,230473,3938827
Tsuga_canadensis,230482,3938516
Tsuga_canadensis,230519,3939436
Tsuga_canadensis,230525,3938746
Tsuga_canadensis,230588,3938934
Tsuga_canadensis,230763,3933981
Tsuga_canadensis,230805,3933868
Tsuga_canadensis,230822,3933868
Tsuga_canadensis,230968,3934696
Tsuga_canadensis,231029,3938997
Tsuga_canadensis,231141,3934776
Tsuga_canadensis,232621,3933175
Tsuga_canadensis,232755,3933168
Tsuga_canadensis,234049,3940888
Tsuga_canadensis,234135,3940968
Tsuga_canadensis,234220,3932696
Tsuga_canadensis,234325,3939788
Tsuga_canadensis,234335,3944268
Tsuga_canadensis,234360,3943967
Tsuga_canadensis,234365,3944158
Tsuga_canadensis,234435,3941178
Tsuga_canadensis,234459,3943935
Tsuga_canadensis,234509,3944683
Tsuga_canadensis,234560,3944957
Tsuga_canadensis,234615,3940364
Tsuga_canadensis,234627,3939512
Tsuga_canadensis,234635,3939628
Tsuga_canadensis,234662,3933322
Tsuga_canadensis,234665,3934450
Tsuga_canadensis,234666,3944884
Tsuga_canadensis,234667,3944076
Tsuga_canadensis,234677,3934772
Tsuga_canadensis,234679,3933565
Tsuga_canadensis,234695,3933857
Tsuga_canadensis,234738,3934142
Tsuga_canadensis,234796,3945458
Tsuga_canadensis,234805,3940738
Tsuga_canadensis,234809,3941179
Tsuga_canadensis,234814,3944216
Tsuga_canadensis,234837,3945369
Tsuga_canadensis,234857,3940028
Tsuga_canadensis,234872,3935256
Tsuga_canadensis,234872,3939797
Tsuga_canadensis,234875,3945468
Tsuga_canadensis,234885,3939772
Tsuga_canadensis,234903,3940902
Tsuga_canadensis,234919,3941498
Tsuga_canadensis,234946,3940496
Tsuga_canadensis,235032,3940477
Tsuga_canadensis,235041,3944298
Tsuga_canadensis,235055,3945524
Tsuga_canadensis,235057,3941843
Tsuga_canadensis,235115,3943996
Tsuga_canadensis,235122,3941046
Tsuga_canadensis,235131,3935384
Tsuga_canadensis,235137,3944015
Tsuga_canadensis,235150,3943700
Tsuga_canadensis,235187,3944036
Tsuga_canadensis,235187,3944037
Tsuga_canadensis,235215,3943228
Tsuga_canadensis,235258,3944225
Tsuga_canadensis,235268,3945686
Tsuga_canadensis,235280,3944031
Tsuga_canadensis,235302,3942105
Tsuga_canadensis,235311,3943518
Tsuga_canadensis,235315,3945788
Tsuga_canadensis,235323,3941089
Tsuga_canadensis,235329,3939887
Tsuga_canadensis,235333,3944042
Tsuga_canadensis,235333,3944043
Tsuga_canadensis,235335,3943168
Tsuga_canadensis,235341,3935513
Tsuga_canadensis,235348,3943903
Tsuga_canadensis,235348,3943904
Tsuga_canadensis,235372,3942326
Tsuga_canadensis,235381,3947774
Tsuga_canadensis,235444,3942480
Tsuga_canadensis,235446,3943966
Tsuga_canadensis,235453,3945836
Tsuga_canadensis,235471,3943140
Tsuga_canadensis,235524,3935705
Tsuga_canadensis,235528,3943176
Tsuga_canadensis,235585,3946080
Tsuga_canadensis,235628,3938674
Tsuga_canadensis,235632,3947354
Tsuga_canadensis,235661,3947788
Tsuga_canadensis,235665,3938428
Tsuga_canadensis,235690,3942734
Tsuga_canadensis,235700,3943230
Tsuga_canadensis,235715,3940099
Tsuga_canadensis,235718,3935865
Tsuga_canadensis,235760,3946313
Tsuga_canadensis,235773,3947618
Tsuga_canadensis,235891,3947407
Tsuga_canadensis,235927,3942957
Tsuga_canadensis,235940,3936198
Tsuga_canadensis,235944,3935957
Tsuga_canadensis,235956,3938293
Tsuga_canadensis,235984,3948130
Tsuga_canadensis,235998,3938472
Tsuga_canadensis,236011,3946429
Tsuga_canadensis,236015,3939208
Tsuga_canadensis,236115,3942528
Tsuga_canadensis,236144,3936315
Tsuga_canadensis,236147,3942606
Tsuga_canadensis,236171,3948071
Tsuga_canadensis,236181,3946607
