Species,x,y
Ulmus_americana,227487,3939640
Ulmus_americana,227869,3940564
Ulmus_americana,228808,3936590
Ulmus_americana,228898,3936877
Ulmus_americana,229467,3938403
Ulmus_americana,229791,3934875
Ulmus_americana,229903,3935283
Ulmus_americana,230717,3933727
Ulmus_americana,240215,3928825
Ulmus_americana,240250,3928800
Ulmus_americana,240296,3928800
Ulmus_americana,244427,3941616
Ulmus_americana,244969,3956295
Ulmus_americana,245679,3928206
Ulmus_americana,245862,3944302
Ulmus_americana,245892,3948077
Ulmus_americana,248742,3943550
Ulmus_americana,249373,3943131
Ulmus_americana,251147,3947155
Ulmus_americana,252696,3928863
Ulmus_americana,254260,3947166
Ulmus_americana,254910,3949327
Ulmus_americana,254911,3946304
Ulmus_americana,255045,3945962
Ulmus_americana,255224,3948814
Ulmus_americana,255384,3948708
Ulmus_americana,256071,3947671
Ulmus_americana,256079,3947544
Ulmus_americana,258883,3950527
Ulmus_americana,259011,3950296
Ulmus_americana,259178,3950849
Ulmus_americana,259229,3950831
Ulmus_americana,259503,3950749
Ulmus_americana,259576,3950761
Ulmus_americana,259655,3950971
Ulmus_americana,259661,3950889
Ulmus_americana,259896,3951585
Ulmus_americana,259920,3951607
Ulmus_americana,259941,3951613
Ulmus_americana,260185,3951667
Ulmus_americana,260273,3951564
Ulmus_americana,260457,3951240
Ulmus_americana,260635,3950651
Ulmus_americana,261365,3950217
Ulmus_americana,261565,3949698
Ulmus_americana,261608,3949632
Ulmus_americana,261654,3949594
Ulmus_americana,261773,3949558
Ulmus_americana,262362,3949639
Ulmus_americana,262390,3949520
Ulmus_americana,262451,3949812
Ulmus_americana,262598,3949670
Ulmus_americana,262859,3949556
Ulmus_americana,263234,3949513
Ulmus_americana,263305,3949551
Ulmus_americana,263483,3949644
Ulmus_americana,263840,3949515
Ulmus_americana,265772,3949386
Ulmus_americana,265896,3949274
Ulmus_americana,265955,3949236
Ulmus_americana,266246,3948602
Ulmus_americana,266302,3948542
Ulmus_americana,267079,3948253
Ulmus_americana,267165,3948231
Ulmus_americana,267770,3948030
Ulmus_americana,270044,3945347
Ulmus_americana,270068,3945260
Ulmus_americana,270068,3945299
Ulmus_americana,270131,3945082
Ulmus_americana,270155,3944966
Ulmus_americana,270612,3952294
Ulmus_americana,270770,3952535
Ulmus_americana,270775,3951813
Ulmus_americana,271201,3951946
Ulmus_americana,271476,3950807
Ulmus_americana,271649,3949842
Ulmus_americana,271666,3928320
Ulmus_americana,271683,3950381
Ulmus_americana,271703,3928183
Ulmus_americana,271857,3950257
Ulmus_americana,271901,3948897
Ulmus_americana,272246,3928601
Ulmus_americana,273240,3927447
Ulmus_americana,273461,3952259
Ulmus_americana,273502,3952001
Ulmus_americana,273697,3951861
Ulmus_americana,276312,3954229
Ulmus_americana,276327,3954347
Ulmus_americana,276348,3954245
Ulmus_americana,276419,3953996
Ulmus_americana,280194,3929631
Ulmus_americana,280235,3929587
Ulmus_americana,281526,3954459
Ulmus_americana,281549,3954908
Ulmus_americana,281626,3954629
Ulmus_americana,281700,3954816
Ulmus_americana,281761,3954903
Ulmus_americana,281796,3954935
Ulmus_americana,281989,3955293
Ulmus_americana,282006,3955375
Ulmus_americana,282090,3955577
Ulmus_americana,282257,3955740
Ulmus_americana,282292,3956342
Ulmus_americana,282377,3956141
Ulmus_americana,282757,3956373
Ulmus_americana,283001,3959454
Ulmus_americana,283102,3959432
Ulmus_americana,283104,3959505
Ulmus_americana,283130,3955998
Ulmus_americana,289900,3932785
Ulmus_americana,289923,3932771
Ulmus_americana,290055,3932855
Ulmus_americana,290378,3937210
Ulmus_americana,290399,3937137
Ulmus_americana,290408,3937071
Ulmus_americana,290711,3936336
Ulmus_americana,290867,3959372
Ulmus_americana,290892,3959816
Ulmus_americana,290920,3959666
Ulmus_americana,291127,3931552
Ulmus_americana,291129,3934471
Ulmus_americana,291143,3933942
Ulmus_americana,291150,3933995
Ulmus_americana,291188,3931842
Ulmus_americana,291214,3934033
Ulmus_americana,291227,3931445
Ulmus_americana,291298,3931354
Ulmus_americana,291453,3959638
Ulmus_americana,291522,3930923
Ulmus_americana,291733,3935375
Ulmus_americana,294683,3959561
Ulmus_americana,297039,3939845
Ulmus_americana,297115,3939829
Ulmus_americana,297198,3940022
Ulmus_americana,297249,3940101
Ulmus_americana,297505,3940714
Ulmus_americana,299541,3961961
Ulmus_americana,299901,3943613
Ulmus_americana,300043,3960859
Ulmus_americana,300265,3959358
Ulmus_americana,300372,3959067
Ulmus_americana,303329,3960960
Ulmus_americana,307732,3959654
Ulmus_americana,309429,3959059
Ulmus_americana,310796,3944302
Ulmus_americana,312146,3947094
Ulmus_americana,312245,3946935
