Species,x,y
Ulmus_rubra,227470,3939805
Ulmus_rubra,227869,3940564
Ulmus_rubra,228487,3934437
Ulmus_rubra,228635,3938622
Ulmus_rubra,228835,3938698
Ulmus_rubra,228881,3937157
Ulmus_rubra,228898,3936877
Ulmus_rubra,229297,3934115
Ulmus_rubra,229367,3935189
Ulmus_rubra,229455,3936059
Ulmus_rubra,229462,3936031
Ulmus_rubra,229464,3936059
Ulmus_rubra,229695,3934995
Ulmus_rubra,229712,3934775
Ulmus_rubra,229720,3934941
Ulmus_rubra,229747,3934716
Ulmus_rubra,229757,3934914
Ulmus_rubra,229767,3934915
Ulmus_rubra,229775,3934909
Ulmus_rubra,229782,3934870
Ulmus_rubra,229894,3935280
Ulmus_rubra,230140,3934267
Ulmus_rubra,230307,3939034
Ulmus_rubra,230369,3939596
Ulmus_rubra,230525,3938746
Ulmus_rubra,230717,3933727
Ulmus_rubra,238725,3949298
Ulmus_rubra,239314,3950720
Ulmus_rubra,239384,3953761
Ulmus_rubra,243272,3942166
Ulmus_rubra,244260,3956335
Ulmus_rubra,244278,3956345
Ulmus_rubra,245556,3948381
Ulmus_rubra,245726,3948128
Ulmus_rubra,245823,3947980
Ulmus_rubra,245836,3947998
Ulmus_rubra,245856,3948228
Ulmus_rubra,245859,3948407
Ulmus_rubra,245867,3948372
Ulmus_rubra,245870,3948211
Ulmus_rubra,245883,3948352
Ulmus_rubra,245892,3948077
Ulmus_rubra,245908,3948562
Ulmus_rubra,245916,3948308
Ulmus_rubra,247776,3943228
Ulmus_rubra,250166,3947458
Ulmus_rubra,250216,3947398
Ulmus_rubra,250306,3947658
Ulmus_rubra,250416,3947328
Ulmus_rubra,250446,3947428
Ulmus_rubra,250916,3946808
Ulmus_rubra,250916,3947008
Ulmus_rubra,250938,3947415
Ulmus_rubra,250946,3947358
Ulmus_rubra,251069,3947106
Ulmus_rubra,251080,3947268
Ulmus_rubra,251116,3947008
Ulmus_rubra,251116,3947058
Ulmus_rubra,251166,3946978
Ulmus_rubra,251216,3946908
Ulmus_rubra,251274,3946970
Ulmus_rubra,251706,3929400
Ulmus_rubra,252122,3957168
Ulmus_rubra,256807,3925890
Ulmus_rubra,260331,3944295
Ulmus_rubra,271590,3928390
Ulmus_rubra,272226,3928789
Ulmus_rubra,272281,3928871
Ulmus_rubra,272401,3926556
Ulmus_rubra,273899,3953773
Ulmus_rubra,281463,3929586
Ulmus_rubra,281926,3953719
Ulmus_rubra,283371,3958591
Ulmus_rubra,283394,3958157
Ulmus_rubra,283401,3958417
Ulmus_rubra,289611,3932777
Ulmus_rubra,289670,3939859
Ulmus_rubra,289886,3939671
Ulmus_rubra,290109,3939678
Ulmus_rubra,290425,3939430
Ulmus_rubra,290576,3939291
Ulmus_rubra,290714,3938207
Ulmus_rubra,291295,3932209
Ulmus_rubra,292082,3935379
Ulmus_rubra,302859,3968025
Ulmus_rubra,303031,3968453
Ulmus_rubra,303350,3968091
Ulmus_rubra,307441,3956724
Ulmus_rubra,308446,3957651
Ulmus_rubra,308557,3957853
Ulmus_rubra,308680,3956867
Ulmus_rubra,309194,3958505
