Species,x,y
Viola_canadensis,228835,3938698
Viola_canadensis,229295,3938568
Viola_canadensis,229316,3935993
Viola_canadensis,229330,3938567
Viola_canadensis,229438,3938792
Viola_canadensis,229894,3935280
Viola_canadensis,230307,3939034
Viola_canadensis,235701,3938595
Viola_canadensis,239032,3935441
Viola_canadensis,239863,3935855
Viola_canadensis,240119,3935182
Viola_canadensis,240145,3934851
Viola_canadensis,240189,3934841
Viola_canadensis,240281,3935230
Viola_canadensis,240476,3934531
Viola_canadensis,240477,3934532
Viola_canadensis,240972,3934637
Viola_canadensis,240973,3934638
Viola_canadensis,241185,3935110
Viola_canadensis,241193,3935214
Viola_canadensis,241219,3934692
Viola_canadensis,242116,3934588
Viola_canadensis,242140,3934591
Viola_canadensis,242319,3936164
Viola_canadensis,242350,3934601
Viola_canadensis,242372,3934603
Viola_canadensis,242491,3936408
Viola_canadensis,242492,3936408
Viola_canadensis,242690,3936957
Viola_canadensis,242691,3936958
Viola_canadensis,242827,3930394
Viola_canadensis,242856,3937445
Viola_canadensis,242856,3937446
Viola_canadensis,243416,3936640
Viola_canadensis,245004,3937321
Viola_canadensis,245386,3936953
Viola_canadensis,245690,3936871
Viola_canadensis,245691,3936871
Viola_canadensis,246664,3940577
Viola_canadensis,246867,3940688
Viola_canadensis,247916,3943008
Viola_canadensis,248491,3939583
Viola_canadensis,248954,3941865
Viola_canadensis,249204,3939540
Viola_canadensis,249257,3941292
Viola_canadensis,249306,3941288
Viola_canadensis,249436,3941695
Viola_canadensis,249437,3941696
Viola_canadensis,249676,3938988
Viola_canadensis,249693,3938984
Viola_canadensis,249746,3946031
Viola_canadensis,249747,3939814
Viola_canadensis,249758,3945747
Viola_canadensis,249762,3939230
Viola_canadensis,249776,3939255
Viola_canadensis,249881,3939372
Viola_canadensis,250040,3941089
Viola_canadensis,250068,3941029
Viola_canadensis,250211,3941558
Viola_canadensis,253450,3929582
Viola_canadensis,254190,3932857
Viola_canadensis,257529,3934111
Viola_canadensis,258770,3943500
Viola_canadensis,260276,3941969
Viola_canadensis,260389,3941610
Viola_canadensis,260391,3940890
Viola_canadensis,260392,3940891
Viola_canadensis,260396,3940889
Viola_canadensis,260598,3941252
Viola_canadensis,260622,3941157
Viola_canadensis,260865,3941272
Viola_canadensis,261116,3942709
Viola_canadensis,261124,3942711
Viola_canadensis,261125,3942711
Viola_canadensis,261199,3939414
Viola_canadensis,261222,3939413
Viola_canadensis,261672,3939564
Viola_canadensis,261692,3939608
Viola_canadensis,271591,3950463
Viola_canadensis,272226,3928789
Viola_canadensis,272234,3932717
Viola_canadensis,272458,3948077
Viola_canadensis,272530,3930846
Viola_canadensis,272733,3930503
Viola_canadensis,273899,3953773
Viola_canadensis,274037,3946327
Viola_canadensis,274286,3946474
Viola_canadensis,274306,3949659
Viola_canadensis,274965,3947446
Viola_canadensis,275026,3950105
Viola_canadensis,275569,3945426
Viola_canadensis,275716,3946979
Viola_canadensis,275951,3951178
Viola_canadensis,276587,3951494
Viola_canadensis,277263,3951199
Viola_canadensis,277359,3950689
Viola_canadensis,278168,3953212
Viola_canadensis,278626,3945715
Viola_canadensis,279203,3952561
Viola_canadensis,281168,3951709
Viola_canadensis,282941,3959639
Viola_canadensis,283048,3951067
Viola_canadensis,286386,3940669
Viola_canadensis,294006,3958436
Viola_canadensis,295732,3942957
Viola_canadensis,299114,3957830
Viola_canadensis,299225,3945930
Viola_canadensis,308155,3957508
