Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Acer_spicatum,465,1.6087,1.8079,500,0.9389,51,1.7492,0.9352,0.0106,10464,5.5364,3.9236,1.4288,2.6613,2.9832,3.6796,0.6961,0.6665,0.3124,1.3144,0.0000,1.8502,1.4098,0.1460,0.0555,0.5829,0.1992,0.0612,0.7289,60.9222,2.3688,4.2822,0.0362,0.6152,0.1408,0.5736,0.3895,0.4552,1.2245,0.6930,0.0629,7.6693,0.0978,1.0000,0.0120,0.5730,0.0065,0.0000,3.531E-10,5.0000,0.0648,0.2988,0.0237,0.0196,1.045E-26,10.0000,0.1431,0.2049,0.0409,0.0784,3.799E-37,0.0244,0.0013,0.9348,0.0000,0.0000,2.967E-2,18.7596,0.2605,0.1315,0.0989,0.1373,3.62E-54,21.1045,0.2900,0.1188,0.1183,0.1765,7.285E-55,18.7596,0.2605,0.1315,0.0989,0.1373,3.62E-54,17.8215,0.2483,0.1372,0.0989,0.1373,1.54E-51,19.5187,0.2685,0.1272,0.1118,0.1373,2.703E-56,4.5166,0.0568,0.3141,0.0194,0.0196,5.865E-25,10.0272,0.1438,0.2046,0.0409,0.0784,3.274E-37
Acer_spicatum,464,1.6526,1.8496,500,0.9416,52,1.4034,0.9093,0.0187,10463,4.0684,2.7958,3.1350,2.2178,2.7774,3.4745,1.3066,0.8034,0.0063,0.0045,0.0000,1.3473,1.4145,0.1532,0.1534,0.6578,0.2581,0.1185,0.4540,61.4052,5.5808,4.2089,0.1468,0.2737,0.1359,0.2778,0.1800,0.4733,1.2731,0.8752,0.0228,7.6279,0.0941,1.0000,0.0123,0.5252,0.0043,0.0192,2.37E-11,5.0000,0.0700,0.2797,0.0302,0.0577,9.307E-27,10.0000,0.1477,0.1955,0.0453,0.1154,2.616E-36,0.0051,0.0005,0.9663,0.0000,0.0000,8.892E-2,18.2846,0.2583,0.1295,0.0991,0.1923,2.326E-48,20.3249,0.2826,0.1186,0.1185,0.1923,1.331E-53,14.5159,0.2071,0.1540,0.0668,0.1346,3.759E-46,15.0222,0.2129,0.1503,0.0776,0.1538,4.499E-45,15.0090,0.2126,0.1503,0.0733,0.1346,1.75E-47,3.4869,0.0452,0.3294,0.0172,0.0385,1.541E-22,9.9385,0.1473,0.1963,0.0453,0.1154,3.932E-36
Acer_spicatum,464,1.6747,1.8723,500,0.9424,52,1.0236,0.8799,0.0220,10464,2.2269,2.1336,0.6311,6.3004,2.9508,3.6924,1.7344,0.5892,0.0026,0.5438,0.0000,1.6940,1.3724,0.2212,0.1729,0.6714,0.1656,0.0509,1.8952,56.4973,7.3663,5.0514,0.1429,0.3038,0.1763,0.6696,0.2691,0.8924,0.9076,0.6275,0.0469,7.5991,0.0910,1.0000,0.0122,0.5349,0.0065,0.0385,3.45E-10,5.0000,0.0640,0.2827,0.0237,0.0577,2.208E-26,10.0000,0.1355,0.1915,0.0453,0.1731,1.224E-31,0.0117,0.0006,0.9326,0.0000,0.0192,8.303E-2,17.0340,0.2368,0.1312,0.0991,0.3269,2.821E-31,19.2213,0.2649,0.1188,0.1185,0.3846,8.944E-29,11.6925,0.1588,0.1728,0.0474,0.2115,3.815E-32,10.4960,0.1430,0.1856,0.0453,0.1731,6.233E-33,6.5637,0.0850,0.2451,0.0280,0.0577,7.398E-32,4.0686,0.0503,0.3120,0.0172,0.0385,2.518E-24,10.0636,0.1366,0.1907,0.0453,0.1731,8.425E-32
Acer_spicatum,464,1.6594,1.8590,500,0.9432,52,0.9832,0.8564,0.0350,10463,7.9149,3.0129,1.3186,1.1884,2.1917,3.8986,1.1560,0.6790,0.0384,0.0664,0.0000,1.7778,1.6986,0.1360,0.3069,0.7813,0.1699,0.0342,0.7365,59.4141,5.1979,4.6585,0.0314,0.5270,0.2112,0.3296,0.2857,0.2659,1.1478,0.8130,0.0120,7.6192,0.0934,1.0000,0.0126,0.4968,0.0043,0.1154,1.114E-8,5.0000,0.0761,0.2703,0.0237,0.1346,2.169E-22,10.0000,0.1520,0.1928,0.0474,0.1538,3.495E-33,0.1497,0.0026,0.7560,0.0000,0.0769,2.514E-3,17.7430,0.2523,0.1314,0.0991,0.1923,1.573E-47,19.9734,0.2817,0.1196,0.1185,0.1923,4.191E-53,11.5801,0.1728,0.1769,0.0517,0.1538,5.811E-37,11.9976,0.1776,0.1731,0.0625,0.1731,5.968E-36,19.9734,0.2817,0.1196,0.1185,0.1923,4.191E-53,3.3329,0.0468,0.3213,0.0108,0.1346,2.207E-17,9.8388,0.1495,0.1946,0.0474,0.1538,8.645E-33
Acer_spicatum,465,1.6070,1.8125,500,0.9392,51,1.9371,0.9492,0.0089,10464,6.6956,0.7525,3.3044,3.2290,2.4454,4.0279,1.9185,0.2622,0.0118,1.0078,0.0000,1.6451,1.9695,0.2208,0.1053,0.9300,0.1083,0.0940,0.8544,59.4236,2.5834,4.2559,0.2422,0.2052,0.0772,0.3450,0.2430,0.4784,1.5252,1.0383,0.0000,7.6777,0.0988,1.0000,0.0124,0.5697,0.0065,0.0000,2.702E-10,5.0000,0.0664,0.3002,0.0258,0.0000,5.5E-28,10.0000,0.1443,0.2078,0.0495,0.0588,1.976E-38,0.0201,0.0012,0.9395,0.0000,0.0000,3.498E-2,18.5175,0.2534,0.1352,0.0989,0.0588,7.218E-64,21.3514,0.2901,0.1196,0.1204,0.0980,0E0,15.2214,0.2133,0.1575,0.0688,0.0588,1.423E-53,24.2761,0.3268,0.1060,0.1398,0.0980,0E0,18.6929,0.2552,0.1341,0.1032,0.0588,1.721E-64,2.7592,0.0320,0.3952,0.0108,0.0000,4.997E-19,10.1196,0.1462,0.2063,0.0495,0.0588,9.246E-39
Acer_spicatum,465,1.6243,1.8269,500,0.9399,51,1.7070,0.9281,0.0165,10464,5.2396,0.7642,3.7160,2.5185,2.6836,4.0783,0.6464,1.0920,0.2285,0.0626,0.0144,1.1502,0.7704,0.1761,0.0958,0.8875,0.1540,0.1305,0.5423,64.8222,1.7420,2.0900,0.0675,0.4811,0.5065,1.7096,0.3563,0.3037,1.5416,1.0119,0.4166,7.6555,0.0964,1.0000,0.0121,0.5585,0.0065,0.0196,6.489E-10,5.0000,0.0650,0.2911,0.0258,0.0588,8.082E-25,10.0000,0.1437,0.1993,0.0602,0.0784,1.877E-38,0.0110,0.0008,0.9547,0.0000,0.0000,5.99E-2,18.8914,0.2693,0.1277,0.0989,0.1176,5.746E-59,21.1248,0.2968,0.1163,0.1161,0.1373,2.195E-62,17.7358,0.2551,0.1343,0.0903,0.1176,1.223E-55,19.8378,0.2827,0.1227,0.1075,0.1176,1.036E-61,19.8378,0.2827,0.1227,0.1075,0.1176,1.036E-61,4.2942,0.0544,0.3136,0.0172,0.0588,2.205E-22,9.7886,0.1413,0.2018,0.0538,0.0784,7.591E-38
Acer_spicatum,465,1.6384,1.8425,500,0.9410,51,1.4263,0.9079,0.0168,10464,5.4067,4.9950,0.3086,0.4861,2.5293,4.8381,0.9941,0.3741,0.0000,0.6296,0.0158,1.2820,1.6597,0.1757,0.0277,1.6023,0.4359,0.0923,0.2565,65.0718,1.5922,2.8851,0.2814,0.3248,0.3822,0.3820,0.2222,0.8475,1.3615,0.5339,0.0058,7.6366,0.0947,1.0000,0.0118,0.5465,0.0065,0.0000,3.886E-11,5.0000,0.0657,0.2839,0.0258,0.0784,2.789E-24,10.0000,0.1474,0.1962,0.0366,0.1176,2.785E-35,0.0214,0.0011,0.9336,0.0000,0.0000,2.84E-2,17.2443,0.2462,0.1359,0.0968,0.2353,1.551E-39,19.6070,0.2749,0.1226,0.1226,0.2353,1.025E-44,14.0061,0.2011,0.1584,0.0645,0.2157,8.946E-35,11.9071,0.1724,0.1765,0.0538,0.1765,4.158E-34,10.1291,0.1494,0.1947,0.0366,0.1176,1.252E-35,4.2997,0.0546,0.3058,0.0194,0.0588,3.499E-23,9.8463,0.1444,0.1980,0.0366,0.1176,7.079E-35
Acer_spicatum,464,1.6398,1.8342,500,0.9403,52,1.5198,0.9184,0.0143,10463,5.5864,0.9498,2.9313,0.0779,3.0412,4.3071,0.5289,0.9182,0.5431,0.0349,0.0000,1.4034,0.7703,0.1068,0.3429,1.0109,0.3604,0.0832,0.2668,65.6197,2.7877,4.6754,0.2149,0.2117,0.2446,0.2718,0.2648,0.3364,1.4260,0.6450,0.0386,7.6465,0.0957,1.0000,0.0128,0.5539,0.0065,0.0192,2.95E-10,5.0000,0.0636,0.2956,0.0280,0.0385,3.367E-26,10.0000,0.1387,0.2026,0.0453,0.1154,1.008E-34,0.0095,0.0007,0.9480,0.0000,0.0000,4.563E-2,18.4676,0.2536,0.1307,0.0991,0.1923,7.373E-48,20.7019,0.2824,0.1185,0.1185,0.1923,1.186E-53,14.0083,0.1937,0.1616,0.0647,0.1154,7.694E-46,16.2311,0.2249,0.1449,0.0905,0.1538,4.2E-47,15.1082,0.2100,0.1529,0.0776,0.1154,5.802E-49,3.7279,0.0456,0.3402,0.0172,0.0192,9.339E-23,10.2122,0.1417,0.2000,0.0453,0.1154,2.741E-35
Acer_spicatum,464,1.6517,1.8411,500,0.9400,52,1.3179,0.9048,0.0145,10463,5.1174,0.2898,4.1019,1.0334,2.2204,3.7683,1.1060,0.7318,0.4105,0.3034,0.0333,1.6963,1.1043,0.1764,0.0703,0.3910,0.1980,0.1577,1.2043,65.9953,2.6012,3.4421,0.0836,0.1409,0.3906,0.2451,0.4234,0.3751,1.0706,0.9328,0.1850,7.6245,0.0934,1.0000,0.0113,0.5672,0.0065,0.0000,1.502E-10,5.0000,0.0604,0.2847,0.0302,0.0385,1.46E-27,10.0000,0.1437,0.1933,0.0474,0.1731,2.834E-31,0.0106,0.0009,0.9615,0.0000,0.0000,7.447E-2,15.8490,0.2239,0.1417,0.0991,0.2115,4.459E-41,19.5332,0.2723,0.1200,0.1207,0.2115,4.658E-50,12.0619,0.1743,0.1718,0.0517,0.1923,2.719E-34,10.9058,0.1577,0.1833,0.0517,0.1923,1.342E-31,7.9096,0.1103,0.2214,0.0409,0.0769,1.865E-34,3.3282,0.0361,0.3508,0.0151,0.0385,1.36E-20,9.8030,0.1408,0.1956,0.0474,0.1731,8.765E-31
Acer_spicatum,464,1.6301,1.8189,500,0.9386,52,1.7419,0.9325,0.0104,10463,7.2912,1.3227,1.2555,2.3823,2.2575,3.7670,3.8843,0.6512,0.1074,0.5929,0.0000,1.9587,1.3470,0.1534,0.1102,1.0980,0.1188,0.0683,2.1447,59.4133,1.6824,3.7404,0.1200,0.2416,0.3230,0.4153,0.5315,0.8247,1.2197,0.9356,0.0412,7.6544,0.0963,1.0000,0.0123,0.5604,0.0065,0.0000,8.439E-11,5.0000,0.0654,0.2963,0.0302,0.0192,1.548E-27,10.0000,0.1379,0.2040,0.0474,0.0385,3.555E-42,0.0178,0.0010,0.9388,0.0000,0.0000,3.284E-2,17.7139,0.2437,0.1359,0.0991,0.1538,8.339E-51,20.2824,0.2765,0.1211,0.1207,0.1923,2.528E-52,12.6226,0.1759,0.1753,0.0517,0.0577,3.031E-48,17.3190,0.2383,0.1384,0.0991,0.1346,2.337E-52,11.9213,0.1654,0.1822,0.0517,0.0385,2.499E-48,4.6135,0.0590,0.3079,0.0216,0.0192,3.888E-26,10.1950,0.1407,0.2016,0.0474,0.0385,8.728E-43
