Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Acronicta_haesitata,69,2.7305,3.5705,500,0.9834,9,1.7205,0.8585,0.0797,10069,6.2369,4.0789,0.8168,3.7140,6.6530,15.6073,0.9176,0.0599,1.7450,4.5421,0.1466,5.6435,8.0110,4.4566,20.1540,4.8472,0.1718,0.0000,1.1776,0.7510,1.0312,1.6486,0.3880,0.3255,2.3667,1.8497,1.6327,0.0499,0.8408,0.1361,0.0000,6.5844,0.0336,1.0000,0.0048,0.5148,0.0145,0.2222,1.053E-1,5.0000,0.0213,0.2505,0.0145,0.2222,1.359E-3,10.0000,0.0490,0.1437,0.0145,0.2222,3.484E-5,0.8737,0.0042,0.5348,0.0000,0.1111,3.16E-2,27.7724,0.2234,0.0342,0.0870,0.3333,1.222E-7,21.3574,0.1451,0.0547,0.0580,0.3333,1.953E-6,17.6611,0.1075,0.0734,0.0145,0.2222,3.617E-7,5.9486,0.0261,0.2223,0.0145,0.2222,6.266E-4,21.3574,0.1451,0.0547,0.0435,0.2222,4.796E-8,6.3167,0.0279,0.2127,0.0145,0.2222,4.705E-4,17.9466,0.1093,0.0718,0.0290,0.2222,3.112E-7
Acronicta_haesitata,71,2.5892,3.3807,500,0.9809,7,2.7464,0.9771,0.0103,10071,6.7099,5.1135,0.5506,4.3561,4.6533,14.1207,0.7737,0.0208,0.3581,2.3673,0.0895,6.8077,8.0505,6.3839,21.9730,3.9381,0.1139,0.0000,2.5864,0.9175,1.4245,1.8281,0.1968,0.1320,1.9890,2.0123,1.3956,0.0000,0.9731,0.1641,0.0000,6.7162,0.0385,1.0000,0.0054,0.5897,0.0000,0.0000,2.48E-2,5.0000,0.0211,0.3062,0.0000,0.0000,2.525E-4,10.0000,0.0451,0.1792,0.0423,0.0000,5.941E-6,6.5136,0.0283,0.2568,0.0000,0.0000,7.36E-5,32.3311,0.2757,0.0289,0.0986,0.2857,4.029E-7,23.6440,0.1564,0.0563,0.0563,0.2857,1.079E-5,21.7399,0.1353,0.0654,0.0423,0.0000,5.137E-9,21.7399,0.1353,0.0654,0.0423,0.0000,5.137E-9,21.7399,0.1353,0.0654,0.0423,0.0000,5.137E-9,6.5136,0.0283,0.2568,0.0000,0.0000,7.36E-5,19.0157,0.1075,0.0819,0.0423,0.0000,2.476E-8
Acronicta_haesitata,69,2.6708,3.5298,500,0.9849,9,2.1499,0.8139,0.1134,10069,3.4716,3.2333,2.6660,1.5695,6.6088,16.7311,1.0585,0.0251,1.6896,8.7506,0.3400,6.1248,9.9215,5.1740,16.4399,1.9959,0.0120,0.0000,1.2954,0.7633,0.7064,2.0898,1.2192,0.1927,2.1121,2.2161,1.0191,0.0000,2.4802,0.0289,0.0647,6.6391,0.0355,1.0000,0.0048,0.5381,0.0000,0.2222,1.333E-1,5.0000,0.0215,0.2608,0.0000,0.2222,1.762E-3,10.0000,0.0496,0.1478,0.0435,0.2222,4.202E-5,7.3555,0.0332,0.1952,0.0000,0.2222,2.67E-4,29.3666,0.2603,0.0315,0.0870,0.2222,1.044E-9,24.7902,0.1960,0.0435,0.0435,0.2222,9.818E-9,27.0078,0.2246,0.0371,0.0435,0.2222,3.287E-9,6.2569,0.0271,0.2223,0.0000,0.2222,6.266E-4,33.7559,0.3248,0.0234,0.1159,0.2222,1.342E-10,6.6958,0.0295,0.2107,0.0000,0.2222,4.425E-4,17.5140,0.1104,0.0759,0.0435,0.2222,4.544E-7
Acronicta_haesitata,69,2.6582,3.5221,500,0.9821,9,1.4031,0.8815,0.0800,10069,7.3161,3.9492,1.0868,2.5764,4.2112,15.2761,0.7267,0.0000,0.6382,8.2813,0.0000,4.9011,6.2563,5.1995,22.5543,3.8712,0.1992,0.0000,1.2437,0.3920,1.0467,3.0268,0.3823,0.2676,1.4026,1.8967,2.1430,0.0000,0.8673,0.2235,0.0642,6.6633,0.0363,1.0000,0.0051,0.5901,0.0000,0.1111,6.294E-2,5.0000,0.0193,0.3014,0.0000,0.1111,4.489E-4,10.0000,0.0423,0.1719,0.0435,0.1111,5.817E-6,6.1357,0.0242,0.2616,0.0000,0.1111,1.515E-4,31.3061,0.2575,0.0292,0.0870,0.4444,2.423E-6,20.1427,0.1214,0.0698,0.0725,0.3333,8.087E-6,31.3061,0.2575,0.0292,0.0870,0.4444,2.423E-6,14.5895,0.0717,0.1111,0.0435,0.1111,1.887E-7,18.1418,0.1028,0.0821,0.0435,0.1111,1.728E-8,6.1357,0.0242,0.2616,0.0000,0.1111,1.515E-4,18.8153,0.1097,0.0778,0.0435,0.2222,5.377E-7
Acronicta_haesitata,70,2.6373,3.4209,500,0.9804,8,2.1551,0.9195,0.0618,10070,9.1846,3.6316,2.6761,0.5981,5.9662,17.6685,0.8666,0.1318,1.4185,2.3023,0.0268,4.9991,9.4120,4.1128,20.6846,5.0486,0.4624,0.0000,0.9324,0.8986,0.6560,2.4595,0.4184,0.3235,2.6250,0.6939,0.7331,0.0188,0.8604,0.1901,0.0000,6.6822,0.0373,1.0000,0.0051,0.5761,0.0000,0.0000,1.213E-2,5.0000,0.0210,0.2928,0.0000,0.1250,1.097E-3,10.0000,0.0457,0.1704,0.0429,0.1250,2.84E-5,5.1935,0.0218,0.2858,0.0000,0.1250,9.344E-4,31.6218,0.2688,0.0294,0.1000,0.2500,1.716E-8,23.6499,0.1615,0.0529,0.0571,0.2500,5.611E-7,23.6257,0.1611,0.0529,0.0429,0.1250,8.879E-9,13.2884,0.0655,0.1250,0.0429,0.1250,3.402E-6,23.6257,0.1611,0.0529,0.0429,0.1250,8.879E-9,5.1935,0.0218,0.2858,0.0000,0.1250,9.344E-4,18.5985,0.1074,0.0792,0.0429,0.1250,1.461E-7
Acronicta_haesitata,70,2.6811,3.4808,500,0.9770,8,1.5871,0.9347,0.0211,10070,6.8466,11.3416,1.2224,0.0293,6.1422,15.7964,0.6171,0.0271,0.0036,4.8805,0.1715,4.9611,9.5617,6.0046,16.7303,4.5773,0.3017,0.0000,1.2827,1.0301,0.6100,1.9955,0.3278,0.1436,2.1809,0.8603,0.7820,0.0149,1.4143,0.0563,0.0865,6.6213,0.0347,1.0000,0.0048,0.5603,0.0000,0.0000,9.71E-3,5.0000,0.0196,0.2755,0.0429,0.0000,3.316E-5,10.0000,0.0449,0.1540,0.0429,0.1250,1.423E-5,3.5910,0.0140,0.3373,0.0000,0.0000,1.677E-4,26.7057,0.2188,0.0373,0.1000,0.3750,3.697E-6,18.5569,0.1113,0.0702,0.0714,0.3750,7.975E-5,25.2294,0.1941,0.0416,0.0857,0.3750,6.283E-6,11.0422,0.0508,0.1384,0.0429,0.1250,6.849E-6,9.5793,0.0424,0.1609,0.0429,0.0000,4.486E-7,3.5910,0.0140,0.3373,0.0000,0.0000,1.677E-4,17.8595,0.1049,0.0745,0.0571,0.3750,1.059E-4
Acronicta_haesitata,71,2.7126,3.5201,500,0.9791,7,0.8815,0.7549,0.1059,10071,3.9239,6.5174,2.9294,0.8027,5.1300,14.7736,0.7824,0.1531,1.5259,5.7306,0.0841,7.6687,9.4075,5.9739,17.2717,4.3609,0.2582,0.0678,0.5113,0.8021,1.6494,2.3529,0.2625,0.1682,2.0250,1.6741,1.3681,0.0000,1.6853,0.1393,0.0000,6.6126,0.0344,1.0000,0.0047,0.5426,0.0141,0.1429,9.56E-2,5.0000,0.0206,0.2648,0.0141,0.4286,8.505E-2,10.0000,0.0462,0.1493,0.0282,0.4286,1.191E-2,0.4161,0.0025,0.6651,0.0000,0.0000,5.756E-2,33.4818,0.3177,0.0222,0.0986,0.4286,8.117E-6,21.1228,0.1415,0.0563,0.0563,0.4286,3.063E-4,25.3512,0.1934,0.0406,0.0563,0.4286,8.624E-5,1.9910,0.0084,0.4286,0.0141,0.4286,3.469E-1,46.8795,0.5735,0.0092,0.1831,0.4286,2.489E-7,6.9294,0.0297,0.2081,0.0141,0.4286,3.822E-2,17.7976,0.1063,0.0739,0.0563,0.4286,8.688E-4
Acronicta_haesitata,71,2.6024,3.4334,500,0.9809,7,2.3814,0.9512,0.0281,10071,5.2796,7.6034,2.6184,0.6701,7.1210,16.3772,0.9020,0.3192,0.0315,3.3691,0.1371,6.3436,8.5656,5.6543,17.2069,5.4873,0.7480,0.0000,0.6197,0.4562,0.9937,1.8182,0.4852,0.1022,1.6493,1.7314,2.2096,0.0093,1.4089,0.0819,0.0000,6.7056,0.0380,1.0000,0.0052,0.5835,0.0000,0.0000,2.302E-2,5.0000,0.0210,0.2940,0.0000,0.0000,1.899E-4,10.0000,0.0461,0.1677,0.0423,0.1429,1.334E-4,5.6890,0.0241,0.2698,0.0000,0.0000,1.04E-4,27.2948,0.2150,0.0399,0.0986,0.2857,1.989E-6,22.7468,0.1591,0.0563,0.0563,0.2857,1.079E-5,23.0531,0.1633,0.0550,0.0563,0.2857,9.631E-6,11.6572,0.0570,0.1429,0.0423,0.1429,5.227E-5,19.0735,0.1170,0.0752,0.0563,0.1429,1.181E-6,5.6890,0.0241,0.2698,0.0000,0.0000,1.04E-4,18.1696,0.1087,0.0810,0.0563,0.1429,1.843E-6
Acronicta_haesitata,71,2.5685,3.3839,500,0.9812,7,3.1418,0.9346,0.0569,10071,9.3869,2.9314,1.5927,1.3597,6.8668,18.9936,0.6516,0.0533,0.5577,3.2113,0.1228,6.2673,9.6345,3.2088,20.3972,3.7863,0.1431,0.0000,0.6137,0.6992,0.5742,1.6506,0.2450,0.2228,2.4730,2.5566,0.9469,0.0000,0.7350,0.1181,0.0000,6.7334,0.0393,1.0000,0.0054,0.5772,0.0000,0.0000,2.134E-2,5.0000,0.0220,0.2936,0.0000,0.1429,3.356E-3,10.0000,0.0490,0.1711,0.0423,0.1429,1.498E-4,6.7377,0.0301,0.2390,0.0000,0.1429,1.037E-3,31.2122,0.2665,0.0320,0.0845,0.1429,7.273E-9,23.3705,0.1647,0.0563,0.0563,0.1429,2.122E-7,23.9276,0.1726,0.0539,0.0563,0.1429,1.64E-7,11.9382,0.0602,0.1429,0.0423,0.1429,5.227E-5,52.1955,0.6593,0.0080,0.2676,0.1429,1.882E-12,6.7377,0.0301,0.2390,0.0000,0.1429,1.037E-3,18.2765,0.1120,0.0834,0.0563,0.1429,2.188E-6
Acronicta_haesitata,71,2.5687,3.3823,500,0.9763,7,3.4369,0.9745,0.0199,10071,7.5824,7.2086,3.0983,0.3994,6.4250,17.6296,0.9331,0.2859,0.0161,1.7388,0.1223,5.1550,10.1705,5.5314,17.8083,2.9003,0.5300,0.0000,1.6992,0.9066,0.5704,1.6916,0.5882,0.0000,1.9230,1.8486,1.1720,0.0000,1.9486,0.0928,0.0240,6.7388,0.0394,1.0000,0.0055,0.5741,0.0000,0.0000,2.056E-2,5.0000,0.0223,0.2916,0.0423,0.0000,1.794E-4,10.0000,0.0488,0.1687,0.0423,0.0000,3.889E-6,4.1250,0.0184,0.3269,0.0000,0.0000,3.988E-4,31.3776,0.2778,0.0309,0.0986,0.1429,5.91E-9,20.1897,0.1277,0.0704,0.0704,0.1429,8.008E-7,19.8294,0.1254,0.0725,0.0563,0.1429,9.522E-7,11.7501,0.0599,0.1429,0.0563,0.1429,5.227E-5,49.4358,0.5923,0.0095,0.2254,0.1429,5.209E-12,4.1250,0.0184,0.3269,0.0000,0.0000,3.988E-4,18.0430,0.1088,0.0838,0.0563,0.1429,2.251E-6
