Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Acronicta_innotata,130,2.5502,3.1136,500,0.9716,15,2.4987,0.9364,0.0321,10130,11.1466,2.7885,1.7087,0.1673,8.8557,14.6369,0.5345,0.0971,0.6210,4.7746,0.8988,1.9906,4.3664,1.2264,11.2724,0.5898,0.4170,2.7239,0.3174,0.1558,10.8232,10.5241,0.1640,0.4026,0.7144,1.3439,0.6026,0.9940,1.0671,4.0749,0.0000,6.7524,0.0390,1.0000,0.0051,0.5360,0.0077,0.0000,8.667E-5,5.0000,0.0235,0.2524,0.0231,0.0667,4.888E-8,10.0000,0.0563,0.1416,0.0308,0.2000,1.936E-8,0.0764,0.0009,0.8346,0.0000,0.0000,6.634E-2,19.8302,0.1560,0.0608,0.0923,0.2000,9.782E-13,16.1493,0.1122,0.0814,0.0846,0.2000,3.065E-11,16.1198,0.1121,0.0815,0.0692,0.2000,3.109E-11,8.4298,0.0447,0.1667,0.0308,0.2000,1.273E-7,25.4693,0.2326,0.0404,0.1231,0.2000,7.619E-15,6.5590,0.0327,0.2063,0.0231,0.1333,8.425E-8,15.7028,0.1069,0.0845,0.0692,0.2000,4.727E-11
Acronicta_innotata,130,2.6313,3.2172,500,0.9768,15,1.7272,0.8888,0.0474,10130,3.4487,10.5951,1.7177,4.1047,7.8701,13.0611,0.2333,0.0681,0.2387,0.6956,0.3981,2.2854,5.7109,1.3260,13.9402,0.3845,0.2206,4.0213,0.1721,0.1881,9.7879,8.9553,0.2436,1.1186,0.9808,1.2850,0.6556,0.9842,1.6383,3.6704,0.0000,6.6875,0.0363,1.0000,0.0048,0.5194,0.0077,0.0667,8.047E-4,5.0000,0.0228,0.2411,0.0154,0.2000,8.248E-6,10.0000,0.0543,0.1327,0.0154,0.2000,9.15E-9,0.1313,0.0011,0.7832,0.0000,0.0000,2.56E-2,22.1972,0.1845,0.0464,0.0923,0.4667,1.03E-7,16.4869,0.1148,0.0734,0.0769,0.4667,3.401E-6,19.2942,0.1438,0.0582,0.0769,0.4667,5.878E-7,6.4127,0.0306,0.2000,0.0154,0.2000,1.011E-6,10.8374,0.0614,0.1219,0.0231,0.2000,3.43E-9,6.4206,0.0307,0.1998,0.0154,0.2000,1E-6,15.5962,0.1052,0.0792,0.0692,0.4000,3.929E-7
Acronicta_innotata,130,2.5668,3.1601,500,0.9777,15,2.2945,0.9184,0.0570,10130,4.5497,6.1321,1.5596,0.6534,7.6878,14.3329,0.3311,0.7144,0.1967,4.5800,0.6087,2.1352,4.2168,2.4466,15.9029,0.4465,0.2396,1.9890,0.2819,0.2573,12.6185,7.5485,0.0403,1.2458,0.2327,0.8544,0.6677,1.2831,1.6201,4.6267,0.0000,6.7484,0.0387,1.0000,0.0051,0.5598,0.0000,0.0667,2.127E-3,5.0000,0.0224,0.2684,0.0077,0.0667,1.133E-7,10.0000,0.0518,0.1499,0.0308,0.0667,3.715E-11,1.2812,0.0063,0.5182,0.0000,0.0667,7.791E-4,24.6820,0.2096,0.0425,0.1000,0.2000,1.42E-14,17.2366,0.1164,0.0769,0.0769,0.2000,1.56E-11,24.1973,0.2004,0.0440,0.0846,0.2000,2.131E-14,13.8749,0.0805,0.1031,0.0385,0.1333,1.271E-11,13.8742,0.0805,0.1031,0.0385,0.0667,2.067E-13,5.0779,0.0228,0.2656,0.0077,0.0667,9.831E-8,16.1656,0.1063,0.0841,0.0615,0.2000,4.474E-11
Acronicta_innotata,130,2.5388,3.1670,500,0.9771,15,2.6207,0.9358,0.0429,10130,6.5563,7.1659,1.5444,3.4930,7.9573,12.6111,0.7267,0.0845,0.5050,3.0774,0.4022,1.3466,4.9786,2.2335,10.9264,0.3656,0.5497,1.5719,0.4208,0.1427,11.5199,9.6571,0.0939,1.0958,1.0800,0.9091,0.5359,1.2175,2.3556,4.8757,0.0000,6.7535,0.0392,1.0000,0.0053,0.5214,0.0077,0.0667,8.456E-4,5.0000,0.0249,0.2442,0.0154,0.0667,3.11E-8,10.0000,0.0586,0.1393,0.0308,0.1333,5.914E-10,0.0708,0.0008,0.8269,0.0000,0.0000,5.783E-2,26.5124,0.2569,0.0381,0.1000,0.1333,3.488E-17,19.6239,0.1546,0.0615,0.0615,0.1333,1.681E-14,23.0027,0.2012,0.0482,0.0615,0.1333,7.211E-16,10.4503,0.0618,0.1334,0.0308,0.1333,3.404E-10,43.0155,0.5210,0.0145,0.2077,0.1333,1.293E-22,6.2277,0.0327,0.2088,0.0154,0.0667,3.612E-9,15.5789,0.1066,0.0846,0.0538,0.1333,1.014E-12
Acronicta_innotata,130,2.5818,3.1841,500,0.9784,15,2.5117,0.9478,0.0290,10130,7.0196,9.8207,1.5420,1.5235,8.1672,13.8308,0.1026,0.0542,0.1304,0.7455,0.6562,1.8668,5.3736,2.2160,16.1026,0.5625,0.2898,1.5872,0.2238,0.2035,9.9912,6.8180,0.1230,1.0451,1.1345,0.9512,1.0856,1.3099,1.4992,3.9323,0.0915,6.7190,0.0377,1.0000,0.0049,0.5259,0.0077,0.0000,6.503E-5,5.0000,0.0233,0.2423,0.0154,0.0667,2.798E-8,10.0000,0.0570,0.1349,0.0154,0.1333,3.954E-10,0.2293,0.0017,0.7315,0.0000,0.0000,9.186E-3,24.4902,0.2149,0.0420,0.1000,0.2000,1.202E-14,19.3837,0.1533,0.0606,0.0615,0.1333,1.394E-14,19.3619,0.1527,0.0606,0.0462,0.1333,1.394E-14,10.1234,0.0581,0.1334,0.0154,0.1333,3.404E-10,21.9327,0.1863,0.0502,0.0692,0.1333,1.242E-15,6.4205,0.0316,0.2009,0.0154,0.0667,2.125E-9,15.5566,0.1098,0.0816,0.0385,0.1333,6.418E-13
Acronicta_innotata,130,2.5771,3.1326,500,0.9761,15,1.9257,0.9039,0.0501,10130,9.4412,4.4608,3.1091,2.4640,8.8180,11.2161,0.2320,0.5234,0.2073,2.6727,0.8060,2.6261,4.8879,2.5931,17.2988,0.3566,0.2410,1.1496,0.4488,0.0407,9.1195,8.4048,0.0000,1.2484,0.5419,0.8952,1.1008,0.9275,1.0641,3.1047,0.0000,6.7186,0.0377,1.0000,0.0049,0.5350,0.0077,0.1333,7.868E-3,5.0000,0.0233,0.2454,0.0154,0.1333,7.334E-7,10.0000,0.0557,0.1376,0.0231,0.1333,5.07E-10,0.0834,0.0009,0.8347,0.0000,0.0000,6.658E-2,19.6051,0.1496,0.0597,0.1000,0.2000,7.905E-13,16.5956,0.1148,0.0759,0.0769,0.2000,1.34E-11,14.5623,0.0956,0.0900,0.0308,0.1333,2.251E-12,10.3174,0.0583,0.1334,0.0231,0.1333,3.404E-10,16.3174,0.1115,0.0776,0.0538,0.1333,3.341E-13,3.6662,0.0161,0.3006,0.0077,0.1333,8.932E-6,15.7260,0.1064,0.0816,0.0462,0.1333,6.418E-13
Acronicta_innotata,131,2.5277,3.1313,500,0.9754,14,2.6444,0.9729,0.0083,10131,3.5635,7.9313,0.6356,7.3493,6.9514,14.0777,0.5259,0.1028,0.1898,2.0441,0.5115,2.1079,5.9851,1.9815,10.3058,0.6847,0.4035,1.7915,0.2353,1.3763,9.1625,9.2173,0.1145,1.9190,0.2419,0.6774,0.6613,0.8322,1.8031,6.6161,0.0000,6.7697,0.0397,1.0000,0.0053,0.5387,0.0076,0.0000,1.735E-4,5.0000,0.0239,0.2591,0.0153,0.0000,6.147E-9,10.0000,0.0557,0.1475,0.0153,0.0000,2.3E-12,0.0565,0.0007,0.8579,0.0000,0.0000,1.169E-1,22.1143,0.1752,0.0538,0.0992,0.2857,1.663E-10,17.3629,0.1238,0.0774,0.0840,0.0714,4.638E-14,13.9149,0.0880,0.1031,0.0305,0.0000,1.523E-14,18.3734,0.1327,0.0715,0.0840,0.0714,1.657E-14,13.9704,0.0881,0.1026,0.0382,0.0000,1.424E-14,6.6513,0.0332,0.2105,0.0153,0.0000,3.363E-10,16.0623,0.1087,0.0860,0.0534,0.0714,1.806E-13
Acronicta_innotata,131,2.5522,3.1546,500,0.9753,14,2.0880,0.8813,0.0595,10131,10.3382,4.3187,1.7271,0.7804,9.4974,13.5478,0.4156,0.3380,0.0811,3.7399,0.8265,2.2672,4.1907,2.1390,11.8223,0.6522,0.2505,1.5344,0.3013,0.1690,11.1582,9.1471,0.2392,1.5585,0.6799,0.9214,0.8962,1.1488,1.5358,3.7733,0.0045,6.7688,0.0397,1.0000,0.0053,0.5482,0.0076,0.0714,2.777E-3,5.0000,0.0237,0.2620,0.0229,0.2143,6.382E-5,10.0000,0.0538,0.1470,0.0305,0.2143,1.631E-7,0.0648,0.0008,0.8518,0.0000,0.0000,1.059E-1,25.0492,0.2202,0.0427,0.0992,0.2857,1.738E-11,19.8900,0.1523,0.0622,0.0611,0.2857,6.86E-10,19.5471,0.1456,0.0639,0.0534,0.2857,8.895E-10,6.5821,0.0323,0.2143,0.0229,0.2143,8.276E-6,38.3431,0.4442,0.0185,0.1603,0.2857,4.295E-15,3.3571,0.0155,0.3339,0.0076,0.1429,8.38E-5,15.8973,0.1060,0.0859,0.0534,0.2857,1.578E-8
Acronicta_innotata,132,2.5963,3.1912,500,0.9774,13,2.3744,0.9142,0.0524,10132,7.8354,4.5664,6.3341,1.5798,7.7399,14.5920,0.1482,0.0246,0.1427,0.7306,0.3820,1.9760,4.6669,2.4473,17.5661,0.4749,0.3314,2.1855,0.3404,0.1437,12.1929,7.2734,0.1082,1.2814,0.4522,0.9524,0.6721,0.5714,1.2821,0.9899,0.0161,6.7140,0.0375,1.0000,0.0050,0.4972,0.0076,0.0769,1.607E-3,5.0000,0.0253,0.2291,0.0152,0.0769,2.141E-7,10.0000,0.0615,0.1299,0.0227,0.1538,1.075E-8,0.0763,0.0008,0.8087,0.0000,0.0000,6.33E-2,23.8403,0.2090,0.0427,0.0985,0.3077,2.906E-10,19.0536,0.1496,0.0606,0.0606,0.2308,1.612E-10,19.4013,0.1542,0.0590,0.0606,0.2308,1.243E-10,8.3159,0.0477,0.1539,0.0152,0.1538,6.588E-8,13.9788,0.0959,0.0913,0.0303,0.1538,2.405E-10,6.0494,0.0315,0.1999,0.0152,0.1538,1.058E-6,15.3880,0.1077,0.0812,0.0606,0.2308,2.841E-9
Acronicta_innotata,131,2.5715,3.1521,500,0.9772,14,2.5221,0.9102,0.0491,10131,10.0714,8.0227,0.1920,0.6803,7.3761,14.3907,0.2573,0.0054,0.0000,2.5629,0.5310,2.3187,4.7305,2.4021,14.6146,0.5976,0.2161,2.1518,0.2432,0.2618,9.4325,9.0027,0.0627,1.1479,0.4960,0.8939,0.7387,1.2920,1.4848,3.8225,0.0000,6.7203,0.0378,1.0000,0.0050,0.5173,0.0076,0.0714,1.383E-3,5.0000,0.0241,0.2395,0.0076,0.1429,1.964E-6,10.0000,0.0580,0.1347,0.0305,0.1429,2.497E-9,0.0687,0.0008,0.8339,0.0000,0.0000,7.86E-2,21.9572,0.1859,0.0497,0.0916,0.2143,1.462E-12,17.6531,0.1321,0.0687,0.0687,0.2143,4.819E-11,20.3537,0.1635,0.0560,0.0687,0.2143,5.245E-12,9.4194,0.0533,0.1428,0.0153,0.1429,4.944E-9,12.6317,0.0789,0.1049,0.0458,0.1429,1.322E-10,6.3327,0.0316,0.2014,0.0076,0.1429,2.681E-7,15.4939,0.1066,0.0818,0.0687,0.2143,3.173E-10
