Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Adiantum_pedatum,267,1.5009,1.8696,500,0.9432,30,1.3393,0.8921,0.0266,10266,1.0962,1.3196,2.6186,0.7032,2.9925,4.4843,1.3004,0.1662,2.2315,2.7313,0.7968,1.6648,5.7377,3.2202,0.1135,0.5598,0.1652,0.0309,0.9583,26.7665,4.4587,5.4246,0.3898,1.5615,1.8571,8.7076,0.2757,16.2440,1.0133,0.4102,0.0000,7.7738,0.1127,1.0000,0.0175,0.6113,0.0037,0.0000,6.292E-6,5.0000,0.0694,0.3797,0.0112,0.1000,2.152E-9,10.0000,0.1274,0.2704,0.0187,0.1333,9.712E-14,0.4893,0.0100,0.6982,0.0000,0.0000,1.586E-4,21.9519,0.2552,0.1487,0.0974,0.2333,9.403E-22,26.6409,0.3069,0.1207,0.1199,0.2667,3.501E-25,26.2164,0.3025,0.1229,0.1124,0.2667,1.194E-24,17.2512,0.2063,0.1851,0.0749,0.2000,2.113E-18,14.6710,0.1783,0.2100,0.0599,0.1333,5.232E-19,6.1206,0.0825,0.3482,0.0112,0.1000,1.123E-10,12.7884,0.1589,0.2315,0.0412,0.1333,8.121E-17
Adiantum_pedatum,267,1.4934,1.8416,500,0.9411,30,1.4874,0.9180,0.0163,10267,4.4038,1.2746,0.0566,2.8590,3.3464,4.4191,1.2574,0.2534,0.9332,2.2367,2.3252,2.0807,9.5600,2.4594,0.1603,0.4132,0.2287,0.0755,0.5875,23.6039,3.9075,4.0390,0.3114,1.0937,1.6941,9.6955,0.1949,14.7986,1.5320,0.1988,0.0000,7.7823,0.1141,1.0000,0.0184,0.6091,0.0037,0.0000,5.733E-6,5.0000,0.0710,0.3853,0.0112,0.0000,2.29E-12,10.0000,0.1271,0.2763,0.0337,0.0333,1.388E-17,0.7982,0.0153,0.6367,0.0000,0.0000,1.756E-5,22.7435,0.2615,0.1479,0.0974,0.2000,4.018E-24,25.9769,0.2949,0.1281,0.1273,0.2333,6.156E-26,21.2397,0.2465,0.1581,0.0824,0.1000,4.053E-29,21.9044,0.2526,0.1535,0.0899,0.1667,2.583E-25,21.4587,0.2481,0.1565,0.0861,0.1000,1.875E-29,4.4327,0.0642,0.4036,0.0075,0.0000,1.389E-11,13.0816,0.1623,0.2335,0.0449,0.1000,3.071E-18
Adiantum_pedatum,267,1.5397,1.8954,500,0.9441,30,0.9996,0.8727,0.0242,10266,0.6265,3.2646,0.4032,3.2368,2.5817,4.6935,0.7083,0.1726,0.5123,3.4779,0.0874,1.6709,7.9441,2.8521,0.1094,0.4180,0.1477,0.0700,0.8286,23.4389,8.0636,6.1569,0.1868,1.4172,1.8830,8.7861,0.1964,13.8389,1.8880,0.3202,0.0182,7.7288,0.1078,1.0000,0.0169,0.5996,0.0037,0.0000,3.813E-6,5.0000,0.0672,0.3726,0.0150,0.1333,1.09E-8,10.0000,0.1231,0.2634,0.0262,0.1333,3.152E-14,0.9644,0.0165,0.6042,0.0000,0.0000,4.65E-6,20.5837,0.2371,0.1523,0.0974,0.4000,4.358E-12,25.1856,0.2849,0.1236,0.1236,0.4000,1.117E-15,27.9770,0.3148,0.1092,0.1311,0.4000,3.366E-18,15.0036,0.1770,0.2000,0.0562,0.2000,1.048E-16,11.5826,0.1414,0.2403,0.0375,0.1333,4.899E-16,4.5371,0.0619,0.3874,0.0112,0.1000,4.123E-9,13.0887,0.1566,0.2213,0.0412,0.1667,3.374E-16
Adiantum_pedatum,267,1.4906,1.8185,500,0.9384,30,1.4735,0.9281,0.0132,10266,3.0646,0.4056,2.6311,0.2139,2.7478,2.9512,1.1963,0.1229,3.8283,2.5219,1.2998,2.0341,10.1851,2.6867,0.1308,0.5682,0.1678,0.2270,0.4676,21.6445,8.1018,5.2730,0.2208,0.9080,2.6392,7.0989,0.2557,15.0800,0.8649,0.4623,0.0000,7.7909,0.1152,1.0000,0.0186,0.6191,0.0037,0.0000,8.698E-6,5.0000,0.0713,0.3935,0.0112,0.0000,5.251E-12,10.0000,0.1246,0.2834,0.0412,0.0333,4.98E-17,0.9924,0.0184,0.6200,0.0000,0.0000,9.017E-6,21.3180,0.2411,0.1605,0.0974,0.1000,1.322E-28,26.4519,0.2937,0.1273,0.1273,0.1333,2.898E-34,26.0936,0.2899,0.1294,0.1161,0.1333,1.185E-33,25.4134,0.2834,0.1334,0.1161,0.1333,1.636E-32,25.3166,0.2830,0.1338,0.1161,0.1000,3.321E-35,5.1110,0.0727,0.3901,0.0112,0.0000,3.737E-12,13.3541,0.1597,0.2355,0.0524,0.0667,1.058E-19
Adiantum_pedatum,267,1.5382,1.8792,500,0.9416,30,1.0597,0.8646,0.0314,10266,3.9339,1.5414,0.2701,0.7288,3.8913,4.5795,2.0615,0.0910,2.3658,1.8245,0.0840,1.5426,6.9378,2.2683,0.1488,0.5088,0.1930,0.0709,0.4009,26.1723,4.2399,4.7323,0.3240,1.7346,3.7431,8.6408,0.2429,14.5195,2.0961,0.1114,0.0000,7.7467,0.1097,1.0000,0.0181,0.5858,0.0037,0.0667,5.573E-5,5.0000,0.0712,0.3675,0.0112,0.1000,7.28E-10,10.0000,0.1289,0.2630,0.0337,0.1667,6.452E-13,0.6073,0.0117,0.6447,0.0000,0.0000,2.386E-5,22.2727,0.2616,0.1435,0.0974,0.2333,1.052E-22,25.0271,0.2909,0.1273,0.1273,0.2667,1.161E-23,23.2629,0.2722,0.1373,0.1011,0.2333,6.618E-24,15.1684,0.1857,0.2000,0.0637,0.2000,1.048E-16,24.1542,0.2821,0.1322,0.1124,0.2333,5.296E-25,5.9184,0.0827,0.3428,0.0112,0.1000,6.373E-11,12.8273,0.1607,0.2253,0.0412,0.1667,7.848E-16
Adiantum_pedatum,267,1.4869,1.8037,500,0.9373,30,1.5521,0.9221,0.0207,10266,1.2652,1.4512,1.3811,2.4001,2.6206,4.4015,1.0748,0.1173,0.7427,2.9884,0.6769,1.6040,10.0719,2.7619,0.0836,0.5167,0.1870,0.0187,0.7186,23.7454,4.5091,5.2686,0.1413,1.1534,1.7273,10.0502,0.2895,16.2747,1.5890,0.1693,0.0000,7.7972,0.1157,1.0000,0.0192,0.6184,0.0000,0.0000,8.424E-6,5.0000,0.0708,0.3931,0.0150,0.0333,6.329E-11,10.0000,0.1247,0.2821,0.0337,0.0333,3.976E-17,1.0862,0.0205,0.6082,0.0000,0.0000,5.515E-6,20.1745,0.2342,0.1685,0.0974,0.1000,4.914E-27,24.3986,0.2757,0.1391,0.1386,0.1667,2.178E-28,19.0518,0.2233,0.1775,0.0787,0.1000,1.93E-25,22.8843,0.2592,0.1488,0.1199,0.1333,1.143E-28,15.1221,0.1793,0.2142,0.0637,0.0333,4.799E-24,3.8380,0.0572,0.4335,0.0075,0.0333,1.893E-9,13.1583,0.1603,0.2370,0.0562,0.0333,2.77E-21
Adiantum_pedatum,267,1.5338,1.8884,500,0.9443,30,0.9848,0.8680,0.0279,10266,3.9413,1.5523,0.0073,0.4101,3.3877,4.9225,1.0632,0.1619,3.3216,2.6127,0.5499,1.6102,8.7661,2.8629,0.3628,0.7361,0.1666,0.0406,0.7513,24.7777,4.2929,5.7985,0.6209,0.8978,1.8819,8.1628,0.2959,14.6182,1.2463,0.1324,0.0475,7.7551,0.1109,1.0000,0.0182,0.6043,0.0000,0.0333,2.469E-5,5.0000,0.0698,0.3813,0.0112,0.0333,2.033E-11,10.0000,0.1233,0.2720,0.0337,0.1667,2.424E-12,2.4283,0.0373,0.4874,0.0000,0.0333,7.548E-8,22.3731,0.2544,0.1461,0.0974,0.3667,2.093E-14,27.3680,0.3029,0.1167,0.1161,0.4000,8.248E-17,27.3680,0.3029,0.1167,0.1161,0.4000,8.248E-17,12.7524,0.1557,0.2333,0.0487,0.2333,2.465E-12,6.5559,0.0861,0.3395,0.0187,0.0333,2.013E-13,3.7901,0.0548,0.4228,0.0037,0.0333,8.165E-10,13.2526,0.1607,0.2273,0.0524,0.2333,8.928E-13
Adiantum_pedatum,268,1.5328,1.8921,500,0.9439,29,0.7472,0.8396,0.0313,10267,3.4998,1.1370,1.6862,0.3386,3.0635,4.0140,1.4383,0.1267,0.2449,2.0902,1.7029,1.2775,7.3680,2.8278,0.0654,0.3361,0.0770,0.1183,0.5642,24.4233,3.6270,5.5805,0.3833,1.1630,2.0443,10.7510,0.2534,17.1386,2.3372,0.3139,0.0082,7.7496,0.1100,1.0000,0.0175,0.5929,0.0037,0.0345,2.208E-5,5.0000,0.0700,0.3726,0.0112,0.1034,2.667E-9,10.0000,0.1268,0.2654,0.0373,0.2414,8.987E-10,0.8669,0.0155,0.6108,0.0000,0.0000,8.588E-6,21.4535,0.2521,0.1494,0.0933,0.3793,5.431E-13,25.1342,0.2886,0.1269,0.1269,0.4828,1.354E-10,19.4244,0.2291,0.1639,0.0746,0.3448,4.47E-13,10.0520,0.1274,0.2646,0.0373,0.2759,1.015E-8,5.9876,0.0812,0.3454,0.0187,0.1034,2.156E-10,3.2621,0.0492,0.4355,0.0037,0.1034,2.752E-7,12.9086,0.1590,0.2260,0.0448,0.2759,7.056E-11
Adiantum_pedatum,268,1.5226,1.8826,500,0.9434,29,1.2404,0.8823,0.0290,10267,1.1189,0.6422,1.0194,4.9049,2.6847,4.9652,1.3584,0.2203,2.1179,0.3945,0.0339,2.3460,7.1220,2.3214,0.2023,0.4481,0.2741,0.0095,0.6655,26.8100,3.5747,6.6221,0.2867,1.6541,1.7217,9.7870,0.3555,14.6495,1.4273,0.2622,0.0000,7.7652,0.1120,1.0000,0.0186,0.6027,0.0037,0.0000,6.15E-6,5.0000,0.0702,0.3792,0.0187,0.1034,4.665E-9,10.0000,0.1273,0.2724,0.0187,0.1379,4.938E-13,0.6876,0.0133,0.6475,0.0000,0.0000,3.545E-5,22.0293,0.2537,0.1489,0.0970,0.2414,1.452E-20,25.8351,0.2930,0.1257,0.1269,0.2414,4.374E-25,21.3631,0.2469,0.1536,0.0896,0.2069,6.407E-22,15.0973,0.1798,0.2069,0.0597,0.2069,3.256E-15,29.1234,0.3228,0.1087,0.1418,0.2414,1.233E-29,2.6851,0.0409,0.4718,0.0037,0.0690,3.636E-7,13.0939,0.1577,0.2296,0.0410,0.2069,2.678E-13
Adiantum_pedatum,268,1.5061,1.8556,500,0.9408,29,1.2383,0.8716,0.0307,10267,5.0167,2.0547,0.1006,0.2796,3.2063,3.6434,1.6323,0.0476,2.1698,1.7379,0.0481,1.7732,9.7013,2.9042,0.1485,0.4928,0.1893,0.0289,0.6359,26.5187,3.5552,6.8612,0.4311,1.0164,2.1810,7.5127,0.3344,14.9562,0.5798,0.2422,0.0000,7.7667,0.1118,1.0000,0.0182,0.6014,0.0037,0.0345,3.107E-5,5.0000,0.0706,0.3760,0.0112,0.0690,3.388E-10,10.0000,0.1256,0.2677,0.0373,0.1379,2.413E-13,0.6900,0.0133,0.6465,0.0000,0.0345,1.633E-4,21.9155,0.2566,0.1468,0.0970,0.2759,7.767E-19,25.5187,0.2963,0.1252,0.1269,0.3448,3.186E-18,21.9009,0.2563,0.1468,0.0933,0.2759,7.767E-19,12.7151,0.1573,0.2296,0.0597,0.2414,6.246E-12,10.7655,0.1338,0.2559,0.0410,0.1379,3.677E-14,5.7131,0.0795,0.3557,0.0112,0.0690,4.839E-11,12.6915,0.1569,0.2299,0.0597,0.2069,2.818E-13
