Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Aglossa_cuprina,21,4.6331,5.6064,500,0.9989,4,-0.5550,0.7764,0.1181,10021,7.1713,1.0507,1.0233,1.5559,3.6849,13.9072,15.0289,2.7287,0.2603,4.2542,0.6872,5.5294,9.5692,0.0303,14.4280,1.4960,0.1806,0.0000,0.0000,2.3870,1.3242,0.0000,10.5959,0.1438,0.3437,0.3718,0.2615,0.0000,0.3268,1.6552,0.0040,4.5925,0.0043,1.0000,0.0016,0.1183,0.0000,0.5000,7.126E-2,5.0000,0.0132,0.0379,0.0000,0.5000,8.198E-3,10.0000,0.0423,0.0175,0.0000,0.5000,1.787E-3,28.2645,0.2786,0.0028,0.0000,0.5000,4.667E-5,34.2439,0.5189,0.0019,0.0952,0.5000,2.151E-5,28.2645,0.2786,0.0028,0.0000,0.5000,4.667E-5,28.2645,0.2786,0.0028,0.0000,0.5000,4.667E-5,0.0402,0.0001,0.3329,0.0000,0.2500,1.107E-1,37.8230,0.6918,0.0018,0.1429,0.5000,1.931E-5,2.0801,0.0039,0.0769,0.0000,0.5000,3.198E-2,15.2819,0.0889,0.0098,0.0000,0.5000,5.664E-4
Aglossa_cuprina,21,4.4335,5.5107,500,0.9987,4,3.2230,0.9668,0.0261,10021,6.6835,5.8741,3.1351,0.5329,5.2844,11.4199,7.3714,2.6423,0.0950,1.5701,0.1322,2.9050,17.0092,0.0924,25.4305,2.2421,0.1955,0.0000,0.0000,0.6048,0.0125,0.0000,1.5109,0.2086,0.7385,0.1229,0.1624,0.0000,2.2908,1.7331,0.0000,4.7936,0.0052,1.0000,0.0014,0.1810,0.0000,0.0000,1.074E-3,5.0000,0.0101,0.0589,0.0000,0.2500,7.803E-4,10.0000,0.0336,0.0262,0.0000,0.2500,7.089E-5,22.9099,0.1623,0.0059,0.0000,0.5000,2.064E-4,35.8943,0.4981,0.0020,0.0952,0.5000,2.384E-5,22.9099,0.1623,0.0059,0.0000,0.5000,2.064E-4,22.9099,0.1623,0.0059,0.0000,0.5000,2.064E-4,1.9758,0.0030,0.1234,0.0000,0.0000,2.322E-4,1.9758,0.0030,0.1234,0.0000,0.0000,2.322E-4,2.8556,0.0048,0.0957,0.0000,0.2500,3.254E-3,16.5635,0.0796,0.0120,0.0000,0.2500,6.807E-6
Aglossa_cuprina,23,4.4072,5.4654,500,0.9987,2,5.5573,0.9985,0.0003,10023,5.8683,5.8150,1.1780,0.3424,2.6978,10.8147,10.8486,1.6306,0.0970,5.6047,0.8055,2.8804,15.2505,0.1475,17.7441,1.8161,0.0741,0.0000,0.0000,0.6159,0.0268,0.0000,11.7487,0.1619,0.4796,0.1009,0.2267,0.0000,1.1143,1.9072,0.0027,4.8071,0.0053,1.0000,0.0014,0.1725,0.0000,0.0000,2.976E-2,5.0000,0.0104,0.0530,0.0000,0.0000,2.807E-3,10.0000,0.0412,0.0232,0.0000,0.0000,5.404E-4,22.2356,0.1693,0.0065,0.0000,0.0000,4.206E-5,36.9501,0.5661,0.0021,0.0870,0.0000,4.39E-6,22.2356,0.1693,0.0065,0.0000,0.0000,4.206E-5,22.2356,0.1693,0.0065,0.0000,0.0000,4.206E-5,44.6083,0.7203,0.0016,0.1739,0.0000,2.548E-6,44.6083,0.7203,0.0016,0.1739,0.0000,2.548E-6,2.8135,0.0048,0.0904,0.0000,0.0000,8.171E-3,15.7684,0.0884,0.0122,0.0000,0.0000,1.482E-4
Aglossa_cuprina,21,4.6091,5.7462,500,0.9990,4,2.0432,0.9342,0.0533,10021,3.9927,9.2416,0.4965,2.8985,4.0301,13.4690,3.6647,1.7650,0.8876,8.5343,0.1454,2.6776,12.4639,0.0000,27.6841,1.2305,0.0000,0.0464,0.0000,1.8916,0.0000,0.0213,2.5792,0.0000,0.0356,0.1072,0.5044,0.0000,0.8070,0.7396,0.0861,4.5941,0.0042,1.0000,0.0010,0.1880,0.0000,0.2500,2.283E-2,5.0000,0.0083,0.0502,0.0000,0.2500,4.868E-4,10.0000,0.0344,0.0197,0.0000,0.2500,2.994E-5,30.5173,0.5085,0.0020,0.0000,0.7500,7.959E-3,33.6612,0.6603,0.0018,0.0952,0.7500,7.166E-3,30.5173,0.5085,0.0020,0.0000,0.7500,7.959E-3,30.5173,0.5085,0.0020,0.0000,0.7500,7.959E-3,0.5526,0.0005,0.2500,0.0000,0.2500,5.077E-2,0.5495,0.0005,0.2506,0.0000,0.0000,3.942E-3,3.1221,0.0039,0.0822,0.0000,0.2500,2.087E-3,15.3082,0.0750,0.0098,0.0000,0.2500,3.714E-6
Aglossa_cuprina,24,4.4038,5.4308,500,0.9985,1,5.7568,0.9987,-1.0000,10024,5.3546,5.5068,0.5394,1.0166,4.3105,10.4596,6.7423,1.5171,2.2185,5.0268,0.3621,4.2886,15.7949,0.0371,13.8290,1.8889,0.0877,0.0000,0.7883,0.2070,1.1231,0.0000,14.9407,0.1468,0.5910,0.0734,0.2354,0.0000,1.1669,1.7289,0.0181,4.8146,0.0053,1.0000,0.0014,0.1820,0.0000,0.0000,1.82E-1,5.0000,0.0100,0.0548,0.0000,0.0000,5.477E-2,10.0000,0.0398,0.0236,0.0000,0.0000,2.364E-2,19.4024,0.1283,0.0083,0.0000,0.0000,8.28E-3,34.6276,0.5255,0.0022,0.0833,0.0000,2.195E-3,19.4024,0.1283,0.0083,0.0000,0.0000,8.28E-3,19.4024,0.1283,0.0083,0.0000,0.0000,8.28E-3,54.8990,0.7955,0.0013,0.4167,0.0000,1.297E-3,54.8990,0.7955,0.0013,0.4167,0.0000,1.297E-3,2.9718,0.0049,0.0901,0.0000,0.0000,9.008E-2,15.6420,0.0841,0.0123,0.0000,0.0000,1.227E-2
Aglossa_cuprina,23,4.3995,5.4461,500,0.9986,2,5.6004,0.9987,0.0004,10023,6.0556,1.5022,2.1984,2.4473,3.0826,13.3371,10.1720,1.1470,0.0218,3.0806,0.4215,3.7849,14.1218,0.0403,25.0397,2.3415,0.1080,0.0000,0.0000,1.0335,0.0058,0.0000,6.5350,0.1593,0.7123,0.0612,0.2710,0.0000,0.9551,1.3646,0.0000,4.8327,0.0054,1.0000,0.0014,0.1825,0.0000,0.0000,3.33E-2,5.0000,0.0102,0.0568,0.0000,0.0000,3.223E-3,10.0000,0.0394,0.0247,0.0000,0.0000,6.122E-4,21.6929,0.1574,0.0070,0.0000,0.0000,4.878E-5,36.0931,0.5411,0.0021,0.0870,0.0000,4.39E-6,21.6929,0.1574,0.0070,0.0000,0.0000,4.878E-5,21.6929,0.1574,0.0070,0.0000,0.0000,4.878E-5,44.5365,0.7196,0.0016,0.1739,0.0000,2.548E-6,44.5365,0.7196,0.0016,0.1739,0.0000,2.548E-6,2.9117,0.0050,0.0938,0.0000,0.0000,8.795E-3,16.0038,0.0889,0.0125,0.0000,0.0000,1.555E-4
Aglossa_cuprina,22,4.4028,5.5061,500,0.9986,3,4.7487,0.9974,0.0013,10022,9.9885,2.5481,1.3082,2.1910,4.5810,10.6075,4.7668,1.3623,0.5181,7.3958,0.0284,3.3916,14.9280,0.0277,13.5107,1.8471,0.1011,0.0000,0.0000,0.5397,0.0000,0.0000,15.0299,0.1479,0.6012,0.0697,0.3228,0.0000,1.5704,2.6165,0.0000,4.8230,0.0053,1.0000,0.0013,0.1993,0.0000,0.0000,7.912E-3,5.0000,0.0092,0.0622,0.0000,0.0000,2.402E-4,10.0000,0.0336,0.0264,0.0000,0.0000,1.849E-5,19.1782,0.1121,0.0093,0.0000,0.0000,7.991E-7,37.2838,0.6456,0.0020,0.0909,0.3333,1.193E-5,19.1782,0.1121,0.0093,0.0000,0.0000,7.991E-7,19.1782,0.1121,0.0093,0.0000,0.0000,7.991E-7,23.3469,0.1646,0.0058,0.0455,0.0000,1.938E-7,23.3469,0.1646,0.0058,0.0455,0.0000,1.938E-7,3.2236,0.0049,0.0945,0.0000,0.0000,8.437E-4,16.4388,0.0885,0.0124,0.0000,0.0000,1.894E-6
Aglossa_cuprina,24,4.4583,5.4860,500,0.9985,1,1.9506,0.9886,-1.0000,10024,4.9325,4.0315,2.5940,3.2483,5.5497,8.2250,9.9806,2.1518,0.0000,5.1417,0.0879,5.3771,15.3206,0.0254,13.5709,1.9649,0.0234,0.0000,0.0000,0.5769,0.0000,0.0000,12.5584,0.0957,0.4586,0.1542,0.3963,0.0000,1.3425,2.1871,0.0051,4.7652,0.0050,1.0000,0.0013,0.1920,0.0000,0.0000,1.92E-1,5.0000,0.0094,0.0586,0.0000,0.0000,5.856E-2,10.0000,0.0312,0.0241,0.0000,0.0000,2.414E-2,17.5597,0.1016,0.0089,0.0000,1.0000,1E0,34.0528,0.5886,0.0021,0.0833,1.0000,1E0,17.5597,0.1016,0.0089,0.0000,1.0000,1E0,17.5597,0.1016,0.0089,0.0000,1.0000,1E0,15.5221,0.0761,0.0114,0.0000,0.0000,1.137E-2,15.5221,0.0761,0.0114,0.0000,0.0000,1.137E-2,3.1558,0.0047,0.0912,0.0000,0.0000,9.118E-2,15.3553,0.0750,0.0117,0.0000,0.0000,1.167E-2
Aglossa_cuprina,22,4.3758,5.4694,500,0.9987,3,5.6665,0.9987,0.0003,10022,8.6524,2.1702,0.3887,3.4392,3.5296,13.1853,10.5500,1.4262,0.6116,4.5398,0.3022,3.5139,13.3466,0.0339,16.2114,2.1141,0.1322,0.0000,0.0000,0.4145,0.0896,0.0000,12.4571,0.1826,0.4973,0.1116,0.3314,0.0000,0.8096,0.9561,0.0029,4.8374,0.0055,1.0000,0.0014,0.1835,0.0000,0.0000,6.178E-3,5.0000,0.0101,0.0577,0.0000,0.0000,1.918E-4,10.0000,0.0390,0.0253,0.0000,0.0000,1.628E-5,22.1684,0.1575,0.0070,0.0000,0.0000,3.407E-7,37.1412,0.5545,0.0020,0.0909,0.0000,7.947E-9,22.1684,0.1575,0.0070,0.0000,0.0000,3.407E-7,22.1684,0.1575,0.0070,0.0000,0.0000,3.407E-7,41.7003,0.7336,0.0018,0.1818,0.0000,5.794E-9,41.7003,0.7336,0.0018,0.1818,0.0000,5.794E-9,2.9315,0.0050,0.0942,0.0000,0.0000,8.357E-4,16.2723,0.0878,0.0126,0.0000,0.0000,1.987E-6
Aglossa_cuprina,24,4.3967,5.4279,500,0.9985,1,5.8515,0.9992,-1.0000,10024,4.3850,3.1336,0.3377,0.3402,4.6451,11.2037,9.8768,3.5315,1.1436,7.3817,0.4585,3.9548,14.9037,0.1459,14.3762,2.0454,0.0650,0.0000,0.0000,0.4026,0.0484,0.0000,12.3811,0.1163,0.4395,0.0659,0.2571,0.0000,1.1975,3.1632,0.0000,4.8159,0.0053,1.0000,0.0013,0.1843,0.0000,0.0000,1.843E-1,5.0000,0.0101,0.0557,0.0000,0.0000,5.567E-2,10.0000,0.0400,0.0238,0.0000,0.0000,2.384E-2,19.1926,0.1255,0.0084,0.0000,0.0000,8.38E-3,34.6368,0.5287,0.0023,0.0833,0.0000,2.294E-3,19.1926,0.1255,0.0084,0.0000,0.0000,8.38E-3,19.1926,0.1255,0.0084,0.0000,0.0000,8.38E-3,74.9968,0.8107,0.0007,0.6250,0.0000,6.983E-4,74.9968,0.8107,0.0007,0.6250,0.0000,6.983E-4,3.0001,0.0049,0.0905,0.0000,0.0000,9.048E-2,15.6748,0.0840,0.0123,0.0000,0.0000,1.227E-2
