Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Aglossa_disciferalis,24,4.5321,5.4651,500,0.9986,3,0.2559,0.8273,0.1365,10024,13.8356,8.9288,1.7409,0.7969,8.7873,7.3415,14.5560,0.0000,0.0000,1.9268,0.0094,2.2320,11.0514,0.0759,22.0980,1.3191,0.5436,0.2982,0.0211,0.3721,0.0000,0.0156,0.7555,0.0866,0.1279,0.6290,0.0668,0.0000,2.2841,0.0999,0.0000,4.6986,0.0047,1.0000,0.0011,0.1755,0.0000,0.3333,8.157E-2,5.0000,0.0090,0.0498,0.0000,0.3333,7.188E-3,10.0000,0.0337,0.0183,0.0000,0.3333,9.877E-4,17.3712,0.1385,0.0067,0.0000,0.6667,1.992E-2,35.1888,0.5134,0.0021,0.0417,1.0000,1E0,17.3712,0.1385,0.0067,0.0000,0.6667,1.992E-2,17.3712,0.1385,0.0067,0.0000,0.6667,1.992E-2,0.2187,0.0002,0.3333,0.0000,0.3333,2.592E-1,16.4574,0.1153,0.0073,0.0000,0.3333,1.583E-4,2.9049,0.0044,0.0861,0.0000,0.3333,2.096E-2,13.3390,0.0714,0.0109,0.0000,0.3333,3.522E-4
Aglossa_disciferalis,23,4.3491,5.3117,500,0.9985,4,5.4937,0.9989,0.0004,10023,6.5694,7.9124,2.8054,2.8463,7.8912,8.2977,10.6550,0.9651,1.1722,2.3356,0.0071,5.8362,4.2375,0.1521,30.1759,1.4569,0.1479,0.3748,0.0253,0.1018,0.0000,0.0000,1.6226,0.0000,0.0453,0.9420,0.3575,0.0323,3.0345,0.0000,0.0000,4.8865,0.0058,1.0000,0.0016,0.1704,0.0000,0.0000,8.433E-4,5.0000,0.0113,0.0558,0.0000,0.0000,9.675E-6,10.0000,0.0365,0.0244,0.0000,0.0000,3.57E-7,17.2948,0.1109,0.0099,0.0000,0.0000,9.518E-9,39.8078,0.5309,0.0023,0.0870,0.0000,2.773E-11,17.2948,0.1109,0.0099,0.0000,0.0000,9.518E-9,17.2948,0.1109,0.0099,0.0000,0.0000,9.518E-9,41.9326,0.5739,0.0020,0.1739,0.0000,1.585E-11,41.9326,0.5739,0.0020,0.1739,0.0000,1.585E-11,2.7179,0.0052,0.0937,0.0000,0.0000,7.703E-5,14.7880,0.0794,0.0132,0.0000,0.0000,3.008E-8
Aglossa_disciferalis,24,4.3433,5.2864,500,0.9984,3,5.6318,0.9990,0.0004,10024,13.0952,7.9710,1.4168,0.5538,8.2671,8.9238,11.7295,0.0275,0.0000,6.0564,0.0146,2.5706,9.2882,0.1078,23.7881,1.5375,0.1237,0.3413,0.0217,0.0826,0.0000,0.0000,0.4689,0.0000,0.1914,0.7398,0.3117,0.0381,2.3327,0.0000,0.0000,4.8967,0.0058,1.0000,0.0014,0.1861,0.0000,0.0000,6.44E-3,5.0000,0.0108,0.0590,0.0000,0.0000,2.049E-4,10.0000,0.0361,0.0251,0.0000,0.0000,1.589E-5,17.0575,0.1020,0.0100,0.0000,0.0000,9.928E-7,37.1969,0.5240,0.0026,0.0417,0.0000,1.745E-8,17.0575,0.1020,0.0100,0.0000,0.0000,9.928E-7,17.0575,0.1020,0.0100,0.0000,0.0000,9.928E-7,46.1365,0.6447,0.0017,0.2083,0.0000,4.878E-9,46.1365,0.6447,0.0017,0.2083,0.0000,4.878E-9,2.9285,0.0053,0.0952,0.0000,0.0000,8.62E-4,14.7771,0.0740,0.0133,0.0000,0.0000,2.336E-6
Aglossa_disciferalis,24,4.6914,5.5179,500,0.9987,3,-1.0032,0.7743,0.1785,10024,6.2992,11.6433,2.3050,2.0452,6.2097,6.6975,12.3660,0.1219,0.0000,4.7126,0.0000,4.0108,13.8812,0.0037,24.8822,0.9686,0.1159,0.0000,0.0000,0.0000,0.0000,0.0351,0.3862,0.9385,0.0000,0.6600,0.0235,0.0269,1.6672,0.0000,0.0000,4.5504,0.0041,1.0000,0.0013,0.1302,0.0000,0.3333,4.643E-2,5.0000,0.0109,0.0366,0.0000,0.3333,3.923E-3,10.0000,0.0384,0.0140,0.0000,0.3333,5.797E-4,18.7140,0.1930,0.0049,0.0000,0.6667,1.459E-2,33.9110,0.5757,0.0021,0.0833,1.0000,1E0,18.7140,0.1930,0.0049,0.0000,0.6667,1.459E-2,18.7140,0.1930,0.0049,0.0000,0.6667,1.459E-2,0.0940,0.0001,0.3333,0.0000,0.3333,2.592E-1,12.7304,0.0729,0.0093,0.0000,0.3333,2.566E-4,2.3238,0.0038,0.0751,0.0000,0.3333,1.608E-2,12.6635,0.0714,0.0094,0.0000,0.3333,2.622E-4
Aglossa_disciferalis,24,4.3804,5.3053,500,0.9985,3,5.5143,0.9989,0.0004,10024,7.7402,9.5489,5.3822,0.3479,6.1969,8.2403,13.6544,1.9023,0.0190,2.1783,0.0418,3.6941,10.6310,0.1097,24.1409,1.1434,0.2627,0.3473,0.0478,0.0487,0.0000,0.0000,0.9742,0.0000,0.0417,0.7818,0.3759,0.0548,2.0939,0.0000,0.0000,4.8485,0.0056,1.0000,0.0015,0.1649,0.0000,0.0000,4.484E-3,5.0000,0.0116,0.0531,0.0000,0.0000,1.495E-4,10.0000,0.0366,0.0229,0.0000,0.0000,1.208E-5,16.6215,0.1123,0.0097,0.0000,0.0000,9.061E-7,36.5296,0.5264,0.0026,0.0417,0.0000,1.745E-8,16.6215,0.1123,0.0097,0.0000,0.0000,9.061E-7,16.6215,0.1123,0.0097,0.0000,0.0000,9.061E-7,47.5607,0.6828,0.0017,0.2917,0.0000,4.878E-9,47.5607,0.6828,0.0017,0.2917,0.0000,4.878E-9,2.6304,0.0051,0.0921,0.0000,0.0000,7.807E-4,14.4321,0.0723,0.0127,0.0000,0.0000,2.034E-6
Aglossa_disciferalis,25,4.3882,5.2739,500,0.9984,2,4.7797,0.9977,0.0016,10025,6.2990,11.5808,0.8974,4.7036,5.8504,10.0731,12.4986,0.1133,0.5021,2.0593,0.0000,3.0881,9.8009,0.0707,26.0023,1.3676,0.1731,0.5181,0.0088,0.0137,0.0000,0.0000,0.5621,0.0000,0.1352,0.7244,0.4426,0.0199,2.4951,0.0000,0.0000,4.8420,0.0055,1.0000,0.0013,0.1799,0.0000,0.0000,3.235E-2,5.0000,0.0112,0.0559,0.0000,0.0000,3.12E-3,10.0000,0.0340,0.0236,0.0000,0.0000,5.589E-4,16.9973,0.1063,0.0091,0.0000,0.0000,8.24E-5,36.3350,0.5027,0.0024,0.0800,0.5000,4.782E-3,16.9973,0.1063,0.0091,0.0000,0.0000,8.24E-5,16.9973,0.1063,0.0091,0.0000,0.0000,8.24E-5,24.7582,0.3059,0.0046,0.0400,0.0000,2.105E-5,24.7582,0.3059,0.0046,0.0400,0.0000,2.105E-5,2.8468,0.0050,0.0919,0.0000,0.0000,8.44E-3,14.3659,0.0725,0.0126,0.0000,0.0000,1.58E-4
Aglossa_disciferalis,25,4.4295,5.2812,500,0.9982,2,3.9380,0.9946,0.0033,10025,4.0346,7.6418,5.4706,1.0240,7.0236,9.8237,15.6347,0.0516,0.0000,4.7674,0.0010,4.1946,8.8488,0.0724,25.2889,1.4213,0.1986,0.4242,0.0000,0.0000,0.0000,0.0000,0.8453,0.0000,0.0694,0.6366,0.5320,0.0107,1.9841,0.0000,0.0000,4.8069,0.0053,1.0000,0.0014,0.1664,0.0000,0.0000,2.768E-2,5.0000,0.0112,0.0530,0.0000,0.0000,2.806E-3,10.0000,0.0347,0.0230,0.0000,0.0000,5.31E-4,16.0153,0.0881,0.0101,0.0000,0.0000,1.015E-4,34.6445,0.5565,0.0024,0.0800,0.5000,4.782E-3,16.0153,0.0881,0.0101,0.0000,0.0000,1.015E-4,16.0153,0.0881,0.0101,0.0000,0.0000,1.015E-4,16.0153,0.0881,0.0101,0.0000,0.0000,1.015E-4,16.0153,0.0881,0.0101,0.0000,0.0000,1.015E-4,2.7169,0.0049,0.0904,0.0000,0.0000,8.167E-3,14.6300,0.0691,0.0122,0.0000,0.0000,1.481E-4
Aglossa_disciferalis,24,4.3683,5.2773,500,0.9984,3,5.0059,0.9979,0.0011,10024,9.3130,11.8148,0.7856,2.4344,5.9046,6.7393,11.9896,1.1188,0.3915,2.0987,0.0000,3.8246,12.2108,0.0395,25.8198,1.0132,0.0978,0.4358,0.0071,0.0060,0.0000,0.0000,0.7164,0.0000,0.1302,0.7196,0.1099,0.0097,2.2691,0.0000,0.0000,4.8646,0.0056,1.0000,0.0013,0.1948,0.0000,0.0000,7.396E-3,5.0000,0.0104,0.0606,0.0000,0.0000,2.22E-4,10.0000,0.0330,0.0253,0.0000,0.0000,1.627E-5,16.8747,0.0987,0.0099,0.0000,0.0000,9.633E-7,37.5070,0.5309,0.0024,0.0833,0.3333,1.717E-5,16.8747,0.0987,0.0099,0.0000,0.0000,9.633E-7,16.8747,0.0987,0.0099,0.0000,0.0000,9.633E-7,24.5708,0.2965,0.0048,0.0417,0.0000,1.098E-7,24.5708,0.2965,0.0048,0.0417,0.0000,1.098E-7,3.0346,0.0051,0.0950,0.0000,0.0000,8.566E-4,14.7654,0.0732,0.0129,0.0000,0.0000,2.131E-6
Aglossa_disciferalis,26,4.4119,5.2783,500,0.9984,1,5.4101,0.9984,-1.0000,10026,8.2897,5.7818,2.0452,2.9635,5.2217,6.8570,13.0061,1.0918,0.0005,4.2079,0.0041,5.1985,9.4798,0.0612,29.2761,1.3180,0.2254,0.4697,0.0559,0.1351,0.0000,0.0000,1.0217,0.0000,0.1913,0.7516,0.2223,0.0594,2.0646,0.0000,0.0000,4.8141,0.0054,1.0000,0.0016,0.1527,0.0000,0.0000,1.527E-1,5.0000,0.0123,0.0482,0.0000,0.0000,4.817E-2,10.0000,0.0397,0.0204,0.0000,0.0000,2.045E-2,15.4433,0.0989,0.0098,0.0000,0.0000,9.775E-3,35.9645,0.4951,0.0025,0.0385,0.0000,2.494E-3,15.4433,0.0989,0.0098,0.0000,0.0000,9.775E-3,15.4433,0.0989,0.0098,0.0000,0.0000,9.775E-3,50.8675,0.7333,0.0015,0.3462,0.0000,1.496E-3,50.8675,0.7333,0.0015,0.3462,0.0000,1.496E-3,2.5229,0.0049,0.0867,0.0000,0.0000,8.667E-2,13.6339,0.0701,0.0123,0.0000,0.0000,1.227E-2
Aglossa_disciferalis,24,4.3354,5.2927,500,0.9984,3,4.8652,0.9971,0.0021,10024,9.1198,11.8951,1.9378,0.9615,8.4090,9.9292,12.1484,0.0783,0.0000,0.1031,0.0165,3.7890,7.2281,0.1195,28.1256,1.3964,0.1955,0.3747,0.0240,0.0000,0.0000,0.0000,0.5326,0.0000,0.1137,0.5622,0.4270,0.0585,2.4547,0.0000,0.0000,4.9040,0.0059,1.0000,0.0015,0.1740,0.0000,0.0000,5.266E-3,5.0000,0.0120,0.0557,0.0000,0.0000,1.725E-4,10.0000,0.0379,0.0240,0.0000,0.0000,1.39E-5,15.8499,0.0967,0.0114,0.0000,0.0000,1.471E-6,37.5262,0.5150,0.0025,0.0417,0.3333,1.863E-5,15.8499,0.0967,0.0114,0.0000,0.0000,1.471E-6,15.8499,0.0967,0.0114,0.0000,0.0000,1.471E-6,19.3016,0.1575,0.0080,0.0417,0.0000,5.083E-7,19.3016,0.1575,0.0080,0.0417,0.0000,5.083E-7,2.7865,0.0053,0.0927,0.0000,0.0000,7.96E-4,14.4634,0.0771,0.0134,0.0000,0.0000,2.389E-6
