Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Agrostis_perennans,39,2.2178,3.0815,500,0.9780,5,0.0545,0.8256,0.0549,10039,8.0064,5.2450,6.1360,3.7697,5.4651,23.9632,2.9603,0.0503,0.6853,8.8052,0.0000,10.0928,15.3215,2.2391,0.1465,0.1168,0.0629,0.5688,0.0852,0.0000,0.4737,0.0539,4.4144,0.0845,0.1751,0.1810,0.3650,0.0053,0.4379,0.0892,0.0000,7.0067,0.0533,1.0000,0.0073,0.6884,0.0000,0.0000,1.546E-1,5.0000,0.0248,0.3865,0.0000,0.0000,8.624E-3,10.0000,0.0509,0.2378,0.0000,0.2000,1.294E-2,14.4633,0.0777,0.1650,0.0000,0.6000,1.93E-1,24.6051,0.1663,0.0772,0.0769,0.6000,5.092E-2,24.6051,0.1663,0.0772,0.0769,0.6000,5.092E-2,24.6051,0.1663,0.0772,0.0769,0.6000,5.092E-2,11.7570,0.0614,0.2051,0.0000,0.2000,7.396E-3,5.2895,0.0260,0.3742,0.0000,0.0000,7.341E-3,8.4846,0.0421,0.2721,0.0000,0.2000,2.145E-2,19.7591,0.1175,0.1100,0.0513,0.6000,9.647E-2
Agrostis_perennans,39,2.0374,2.9332,500,0.9783,5,1.4751,0.8871,0.0737,10039,11.9205,0.4799,2.9663,2.1369,11.0797,22.2062,1.8480,0.0281,0.2453,5.6337,0.0000,10.6177,12.3230,2.8701,0.2318,0.3978,0.0664,0.4466,1.7436,0.0000,2.4855,0.3373,6.4975,0.0000,0.0596,0.1826,1.0683,1.5481,0.2615,0.2261,0.0917,7.2017,0.0650,1.0000,0.0089,0.6985,0.0000,0.0000,1.662E-1,5.0000,0.0303,0.3965,0.0000,0.2000,8.434E-2,10.0000,0.0616,0.2513,0.0000,0.2000,1.594E-2,14.3629,0.0923,0.1802,0.0000,0.2000,4.512E-3,26.2243,0.2061,0.0806,0.0769,0.4000,4.621E-3,26.2243,0.2061,0.0806,0.0769,0.4000,4.621E-3,22.9813,0.1695,0.0995,0.0256,0.2000,4.513E-4,12.9536,0.0819,0.2000,0.0000,0.2000,6.723E-3,23.0689,0.1717,0.0989,0.0513,0.2000,4.408E-4,8.2952,0.0507,0.2899,0.0000,0.2000,2.711E-2,18.6249,0.1270,0.1336,0.0256,0.2000,1.422E-3
Agrostis_perennans,39,2.2754,3.1777,500,0.9816,5,-0.6063,0.5866,0.1487,10039,13.7884,0.3999,6.1995,0.0021,9.2685,20.2294,2.6756,0.1151,1.3805,1.8485,0.0000,10.0260,18.9992,2.6274,0.1651,0.4189,0.0000,0.4597,0.0156,3.5426,0.0628,0.1230,5.1336,0.1255,0.0747,0.0022,0.7527,1.0487,0.2011,0.1942,0.1196,6.9839,0.0520,1.0000,0.0067,0.6613,0.0000,0.4000,7.821E-1,5.0000,0.0260,0.3629,0.0000,0.6000,5.961E-1,10.0000,0.0520,0.2246,0.0000,0.6000,3.138E-1,12.0654,0.0646,0.1886,0.0000,0.6000,2.395E-1,26.2985,0.1917,0.0643,0.0769,0.6000,3.633E-2,23.8330,0.1612,0.0769,0.0769,0.6000,5.055E-2,22.6995,0.1494,0.0835,0.0256,0.6000,5.876E-2,2.1352,0.0122,0.5287,0.0000,0.6000,8.464E-1,31.5446,0.2660,0.0452,0.1282,0.6000,1.866E-2,7.9898,0.0412,0.2692,0.0000,0.6000,4.075E-1,19.2978,0.1175,0.1075,0.0256,0.6000,9.263E-2
Agrostis_perennans,39,2.1991,3.0979,500,0.9789,5,-0.4836,0.6481,0.1773,10039,3.6537,4.9042,4.4942,3.4805,11.0722,20.7300,2.3144,0.1878,0.1375,8.5679,0.0247,9.8892,16.4725,2.6973,0.4949,0.5843,0.1932,0.0000,0.1205,1.7594,0.0768,0.2580,4.1260,0.3519,0.0000,1.4110,1.0071,0.4370,0.2076,0.3460,0.0000,7.0332,0.0554,1.0000,0.0073,0.6727,0.0000,0.2000,4.728E-1,5.0000,0.0270,0.3725,0.0000,0.4000,2.712E-1,10.0000,0.0554,0.2337,0.0000,0.4000,8.707E-2,11.1702,0.0627,0.2127,0.0000,0.4000,6.811E-2,28.7164,0.2175,0.0625,0.0769,0.6000,3.436E-2,27.4449,0.2045,0.0678,0.0769,0.6000,4.009E-2,27.4449,0.2045,0.0678,0.0513,0.6000,4.009E-2,4.3700,0.0237,0.4000,0.0000,0.4000,3.175E-1,18.3061,0.1138,0.1253,0.0256,0.4000,1.616E-2,8.0056,0.0431,0.2774,0.0000,0.4000,1.345E-1,19.8071,0.1261,0.1129,0.0256,0.6000,1.01E-1
Agrostis_perennans,40,2.3668,3.3575,500,0.9854,4,-1.7418,0.5707,0.0941,10040,9.6282,2.2043,8.0055,0.0326,9.5071,24.1931,1.4269,0.0088,0.1677,3.8627,0.5364,8.2278,16.1469,2.1093,0.0655,0.3779,0.5987,0.2365,0.3610,5.1596,0.2222,0.1718,5.4778,0.0000,0.1426,0.0755,0.1914,0.3016,0.1019,0.3410,0.1175,6.8839,0.0469,1.0000,0.0061,0.6438,0.0000,0.2500,5.52E-1,5.0000,0.0236,0.3438,0.0000,0.7500,8.146E-1,10.0000,0.0495,0.2086,0.0000,0.7500,6.077E-1,16.6509,0.0938,0.1201,0.0000,1.0000,1E0,32.0122,0.2595,0.0396,0.1000,1.0000,1E0,27.4097,0.1992,0.0548,0.0500,1.0000,1E0,27.4097,0.1992,0.0548,0.0500,1.0000,1E0,2.6520,0.0131,0.4692,0.0000,0.5000,6.4E-1,0.6540,0.0046,0.7064,0.0000,0.0000,2.49E-1,7.7253,0.0374,0.2580,0.0000,0.7500,6.968E-1,19.4132,0.1183,0.0972,0.0500,1.0000,1E0
Agrostis_perennans,40,2.1906,3.1222,500,0.9831,4,-0.7223,0.6723,0.1627,10040,16.4584,3.7914,2.9901,0.1249,8.5606,19.8875,1.8717,0.2944,0.8065,6.3876,0.7647,12.5437,14.5269,0.8290,0.0841,0.3858,0.3400,0.0829,0.0946,0.0000,0.3436,0.1191,1.4665,0.0064,0.3681,0.1092,0.1911,1.2806,4.6583,0.5208,0.1118,7.0479,0.0558,1.0000,0.0077,0.6673,0.0000,0.2500,5.938E-1,5.0000,0.0269,0.3691,0.0000,0.2500,1.455E-1,10.0000,0.0550,0.2295,0.0000,0.5000,2.276E-1,18.0813,0.1159,0.1234,0.0000,0.7500,4.095E-1,31.3324,0.2569,0.0508,0.1000,0.7500,1.882E-1,25.7514,0.1906,0.0731,0.0750,0.7500,2.619E-1,25.2295,0.1841,0.0757,0.0250,0.7500,2.701E-1,8.1469,0.0448,0.2699,0.0000,0.2500,6.274E-2,8.1469,0.0448,0.2699,0.0000,0.2500,6.274E-2,8.1469,0.0448,0.2699,0.0000,0.2500,6.274E-2,19.1508,0.1248,0.1145,0.0250,0.7500,3.853E-1
Agrostis_perennans,40,2.1022,3.0213,500,0.9800,4,1.5214,0.9147,0.0398,10040,16.1651,1.1855,1.9323,0.3506,11.4520,20.4210,3.4090,0.1038,0.2852,6.5111,0.5598,10.1991,13.3309,2.5740,0.1222,0.3946,0.1922,0.0000,0.1048,0.0000,3.0787,0.0000,4.8937,0.1001,0.1291,0.6888,0.8201,0.1010,0.5340,0.3617,0.0000,7.1424,0.0614,1.0000,0.0084,0.6921,0.0000,0.0000,2.295E-1,5.0000,0.0292,0.3922,0.0000,0.0000,2.367E-2,10.0000,0.0588,0.2479,0.0000,0.0000,3.777E-3,12.6929,0.0768,0.2008,0.0000,0.0000,1.626E-3,34.2209,0.2952,0.0466,0.1000,0.5000,1.224E-2,30.3511,0.2427,0.0599,0.0500,0.5000,1.982E-2,30.3511,0.2427,0.0599,0.0500,0.5000,1.982E-2,14.2153,0.0865,0.1792,0.0250,0.2500,1.992E-2,14.2145,0.0865,0.1792,0.0250,0.0000,1.031E-3,8.3411,0.0480,0.2851,0.0000,0.0000,6.603E-3,19.1771,0.1276,0.1259,0.0250,0.5000,7.989E-2
Agrostis_perennans,40,2.1265,3.1162,500,0.9815,4,1.6912,0.9220,0.0492,10040,14.7006,3.9793,2.8831,0.0221,7.5407,17.6082,2.6514,0.0888,0.2945,8.8144,0.2060,10.1129,13.6727,2.7793,0.1448,0.5749,0.0000,0.7259,0.1483,0.0288,1.8516,0.0467,8.5918,0.0000,0.1212,0.5534,1.0863,0.5200,0.1362,0.1160,0.0000,7.1226,0.0605,1.0000,0.0083,0.6966,0.0000,0.0000,2.355E-1,5.0000,0.0282,0.3955,0.0000,0.0000,2.447E-2,10.0000,0.0574,0.2502,0.0000,0.0000,3.919E-3,16.8322,0.1043,0.1503,0.0000,0.2500,1.205E-2,33.7435,0.2801,0.0490,0.1000,0.5000,1.348E-2,27.1482,0.2039,0.0748,0.0750,0.2500,1.58E-3,23.2062,0.1601,0.0969,0.0250,0.2500,3.376E-3,10.2661,0.0590,0.2449,0.0000,0.2500,4.797E-2,10.2613,0.0589,0.2449,0.0000,0.0000,3.598E-3,8.3022,0.0470,0.2884,0.0000,0.0000,6.922E-3,19.6605,0.1265,0.1234,0.0250,0.2500,6.822E-3
Agrostis_perennans,40,2.0310,2.9300,500,0.9743,4,3.7459,0.9843,0.0105,10040,11.1144,5.8483,3.7010,1.3977,8.2833,22.4540,1.6196,0.0257,0.4554,7.9153,0.6612,10.7834,10.7572,2.6955,0.4594,0.4492,1.2236,0.0895,0.0771,0.0000,2.8314,0.0996,1.3392,0.0000,0.0713,0.2544,0.1914,1.5559,3.0549,0.5909,0.0000,7.2114,0.0658,1.0000,0.0090,0.6865,0.0000,0.0000,2.22E-1,5.0000,0.0320,0.3956,0.0000,0.0000,2.45E-2,10.0000,0.0626,0.2525,0.0250,0.0000,4.064E-3,7.4554,0.0459,0.3131,0.0000,0.0000,9.616E-3,27.6518,0.2209,0.0756,0.1000,0.0000,3.266E-5,27.5264,0.2202,0.0761,0.0750,0.0000,3.353E-5,23.5797,0.1801,0.0975,0.0250,0.0000,9.041E-5,33.6833,0.2945,0.0515,0.1500,0.0000,7.031E-6,33.6833,0.2945,0.0515,0.1500,0.0000,7.031E-6,7.4554,0.0459,0.3131,0.0000,0.0000,9.616E-3,18.6288,0.1283,0.1349,0.0250,0.0000,3.308E-4
Agrostis_perennans,40,2.2935,3.2452,500,0.9882,4,-0.7751,0.5578,0.1983,10040,12.6653,3.0144,4.1348,0.0421,8.7849,23.0528,1.6531,0.1873,0.5031,8.3840,0.0000,8.6256,14.5768,1.1337,0.0076,0.3017,0.0149,0.2906,0.3487,2.9434,0.1499,0.2901,6.2600,0.0000,0.5303,0.2641,0.8975,0.3985,0.2012,0.3434,0.0000,6.9442,0.0497,1.0000,0.0063,0.6348,0.0000,0.5000,8.585E-1,5.0000,0.0255,0.3351,0.0000,0.5000,4.105E-1,10.0000,0.0545,0.2019,0.0000,0.5000,1.837E-1,28.7618,0.2376,0.0499,0.0000,0.7500,1.852E-1,33.9885,0.3110,0.0358,0.1000,0.7500,1.355E-1,31.2860,0.2779,0.0424,0.0500,0.7500,1.592E-1,28.7618,0.2376,0.0499,0.0000,0.7500,1.852E-1,2.1298,0.0115,0.5000,0.0000,0.5000,6.875E-1,19.6684,0.1313,0.0934,0.0000,0.5000,4.608E-2,7.7051,0.0397,0.2503,0.0000,0.5000,2.622E-1,18.3122,0.1175,0.1033,0.0000,0.5000,5.554E-2
