Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Allacma_species,58,4.7634,5.0663,500,0.9971,7,5.0566,0.9971,0.0007,10058,5.6339,3.9461,4.0388,2.1790,34.9552,0.6805,0.6383,1.9278,0.0000,1.4030,0.0000,0.0442,6.6465,0.0000,0.0000,3.1501,0.1814,0.4031,0.7560,5.6722,0.0114,0.0000,0.1209,0.0000,0.0000,20.0778,4.7276,2.8061,0.0000,0.0000,0.0000,4.4727,0.0040,1.0000,0.0012,0.0700,0.0000,0.0000,8.231E-9,5.0000,0.0456,0.0075,0.0000,0.0000,1.282E-15,10.0000,0.5332,0.0055,0.0517,0.1429,1.863E-13,8.6902,0.5012,0.0058,0.0000,0.0000,2.12E-16,12.2888,0.5332,0.0055,0.0517,0.1429,1.863E-13,8.6902,0.5012,0.0058,0.0000,0.0000,2.12E-16,8.6902,0.5012,0.0058,0.0000,0.0000,2.12E-16,8.6902,0.5012,0.0058,0.0000,0.0000,2.12E-16,8.6902,0.5012,0.0058,0.0000,0.0000,2.12E-16,1.8430,0.0035,0.0338,0.0000,0.0000,5.044E-11,4.4702,0.0302,0.0086,0.0000,0.0000,3.623E-15
Allacma_species,58,4.7514,5.0606,500,0.9971,7,5.0639,0.9974,0.0007,10058,3.3528,1.8824,0.0000,1.2771,30.1584,2.6433,3.2836,2.1744,0.0000,4.0827,0.0000,3.8445,8.1092,0.0000,0.0000,1.8708,0.1432,0.2914,0.8711,8.5875,0.9185,0.0000,0.0920,0.1153,0.0000,21.9832,3.7946,0.5239,0.0000,0.0000,0.0000,4.4770,0.0040,1.0000,0.0012,0.0706,0.0000,0.0000,8.734E-9,5.0000,0.0414,0.0076,0.0000,0.0000,1.406E-15,10.0000,0.4995,0.0055,0.0000,0.0000,1.462E-16,11.1344,0.4995,0.0055,0.0000,0.0000,1.462E-16,12.3826,0.5234,0.0055,0.0517,0.1429,1.863E-13,11.1344,0.4995,0.0055,0.0000,0.0000,1.462E-16,11.1344,0.4995,0.0055,0.0000,0.0000,1.462E-16,11.1344,0.4995,0.0055,0.0000,0.0000,1.462E-16,11.1344,0.4995,0.0055,0.0000,0.0000,1.462E-16,1.8516,0.0035,0.0341,0.0000,0.0000,5.364E-11,4.5347,0.0303,0.0086,0.0000,0.0000,3.623E-15
Allacma_species,58,4.7552,5.0637,500,0.9971,7,5.0806,0.9964,0.0007,10058,1.6493,5.1480,2.5374,3.1330,37.4949,0.8605,6.0378,1.6004,0.0000,2.4105,0.0000,1.3714,8.6858,0.0000,0.1909,1.8054,0.1602,0.3675,1.0332,2.8344,0.0196,0.0000,0.0819,0.0000,0.0000,17.6098,4.1908,0.7773,0.0000,0.0000,0.0000,4.4775,0.0040,1.0000,0.0011,0.0748,0.0000,0.0000,1.306E-8,5.0000,0.0421,0.0075,0.0000,0.0000,1.282E-15,10.0000,0.5340,0.0054,0.0690,0.0000,1.286E-16,8.8866,0.5197,0.0058,0.0000,0.0000,2.12E-16,13.8764,0.5340,0.0054,0.0690,0.0000,1.286E-16,8.8866,0.5197,0.0058,0.0000,0.0000,2.12E-16,8.8866,0.5197,0.0058,0.0000,0.0000,2.12E-16,19.3524,0.5801,0.0050,0.1379,0.0000,7.503E-17,19.3524,0.5801,0.0050,0.1379,0.0000,7.503E-17,1.8977,0.0035,0.0344,0.0000,0.0000,5.701E-11,4.4847,0.0285,0.0087,0.0000,0.0000,3.925E-15
Allacma_species,58,4.7840,5.0610,500,0.9971,7,4.4796,0.9966,0.0009,10058,6.1407,4.9295,0.0314,2.9027,30.4806,0.3232,0.1759,3.5454,0.0000,1.3357,0.0000,2.4633,4.9748,0.0158,0.1457,1.6214,0.1594,0.2544,1.0058,0.0159,0.7489,0.0000,0.1337,0.0000,0.0000,34.2905,4.0582,0.2471,0.0000,0.0000,0.0000,4.4487,0.0039,1.0000,0.0013,0.0622,0.0000,0.0000,3.618E-9,5.0000,0.0877,0.0069,0.0000,0.0000,7.151E-16,10.0000,0.5336,0.0053,0.0172,0.4286,2.665E-8,7.5395,0.2407,0.0057,0.0000,0.0000,1.877E-16,27.2091,0.5764,0.0044,0.0862,0.4286,1.268E-8,7.5395,0.2407,0.0057,0.0000,0.0000,1.877E-16,7.5395,0.2407,0.0057,0.0000,0.0000,1.877E-16,7.5395,0.2407,0.0057,0.0000,0.0000,1.877E-16,7.5395,0.2407,0.0057,0.0000,0.0000,1.877E-16,1.6873,0.0033,0.0336,0.0000,0.0000,4.84E-11,4.2265,0.0264,0.0085,0.0000,0.0000,3.079E-15
Allacma_species,58,4.7570,5.0628,500,0.9971,7,5.0514,0.9966,0.0007,10058,6.5610,1.5637,1.5877,0.0047,36.5691,3.2023,3.4141,1.8877,0.0000,4.0412,0.0000,0.0028,7.6964,0.0000,0.1992,3.2427,0.1644,0.3251,1.1351,3.3852,0.0030,0.0000,0.0000,0.0000,0.0000,19.0706,4.9077,1.0362,0.0000,0.0000,0.0000,4.4807,0.0040,1.0000,0.0012,0.0708,0.0000,0.0000,8.908E-9,5.0000,0.0422,0.0077,0.0000,0.0000,1.541E-15,10.0000,0.5134,0.0055,0.0000,0.0000,1.462E-16,11.3732,0.5134,0.0055,0.0000,0.0000,1.462E-16,12.6275,0.5255,0.0055,0.0517,0.1429,1.863E-13,11.3732,0.5134,0.0055,0.0000,0.0000,1.462E-16,11.3732,0.5134,0.0055,0.0000,0.0000,1.462E-16,11.3732,0.5134,0.0055,0.0000,0.0000,1.462E-16,11.3732,0.5134,0.0055,0.0000,0.0000,1.462E-16,1.8295,0.0035,0.0347,0.0000,0.0000,6.056E-11,4.5554,0.0314,0.0087,0.0000,0.0000,3.925E-15
Allacma_species,59,4.7360,5.0465,500,0.9971,6,5.0829,0.9971,0.0006,10059,5.7201,3.9724,2.7640,0.0258,35.5539,1.7185,0.3508,1.0404,0.0000,3.2827,0.0000,2.6157,9.3080,0.0000,0.0684,2.1284,0.1620,0.3192,0.9175,6.0011,1.5925,0.0173,0.0000,0.0000,0.0000,17.7993,3.9487,0.6932,0.0000,0.0000,0.0000,4.4943,0.0040,1.0000,0.0011,0.0760,0.0000,0.0000,1.92E-7,5.0000,0.0447,0.0076,0.0000,0.0000,1.86E-13,10.0000,0.5237,0.0055,0.0000,0.0000,2.672E-14,12.5513,0.5237,0.0055,0.0000,0.0000,2.672E-14,13.8403,0.5357,0.0055,0.0678,0.0000,2.672E-14,12.5513,0.5237,0.0055,0.0000,0.0000,2.672E-14,12.5513,0.5237,0.0055,0.0000,0.0000,2.672E-14,30.2784,0.5844,0.0043,0.1356,0.0000,6.102E-15,30.2784,0.5844,0.0043,0.1356,0.0000,6.102E-15,1.9341,0.0035,0.0340,0.0000,0.0000,1.545E-9,4.4959,0.0279,0.0088,0.0000,0.0000,4.797E-13
Allacma_species,59,4.7303,5.0428,500,0.9971,6,5.0997,0.9985,0.0003,10059,1.0522,4.9932,3.1860,4.5063,29.4413,4.4338,0.1884,3.3913,0.0000,6.0150,0.0000,3.4961,9.0228,0.0000,0.0663,2.4808,0.1461,0.3246,1.0057,4.0332,0.0121,0.0000,0.0879,0.0000,0.0000,16.3735,5.3280,0.4156,0.0000,0.0000,0.0000,4.5026,0.0041,1.0000,0.0012,0.0753,0.0000,0.0000,1.817E-7,5.0000,0.0462,0.0078,0.0000,0.0000,2.174E-13,10.0000,0.5392,0.0055,0.0678,0.0000,2.672E-14,9.0932,0.5175,0.0059,0.0000,0.0000,4.072E-14,13.9548,0.5392,0.0055,0.0678,0.0000,2.672E-14,9.0932,0.5175,0.0059,0.0000,0.0000,4.072E-14,9.0932,0.5175,0.0059,0.0000,0.0000,4.072E-14,49.4642,0.5880,0.0031,0.2881,0.0000,8.567E-16,49.4642,0.5880,0.0031,0.2881,0.0000,8.567E-16,1.9376,0.0036,0.0339,0.0000,0.0000,1.518E-9,4.5461,0.0261,0.0089,0.0000,0.0000,5.13E-13
Allacma_species,59,4.7536,5.0503,500,0.9971,6,5.0317,0.9966,0.0008,10059,0.2599,1.1521,1.8720,5.2306,34.9372,3.0183,3.5773,2.5550,0.0000,3.7453,0.0000,0.0726,8.0810,0.0000,0.0000,1.9396,0.1598,0.4103,0.5784,6.3037,0.0000,0.0000,0.0665,0.0000,0.0377,19.9338,4.4287,1.6402,0.0000,0.0000,0.0000,4.4833,0.0040,1.0000,0.0013,0.0660,0.0000,0.0000,8.273E-8,5.0000,0.0479,0.0074,0.0000,0.0000,1.585E-13,10.0000,0.5238,0.0056,0.0508,0.1667,3.194E-11,8.6483,0.5057,0.0059,0.0000,0.0000,4.072E-14,15.9302,0.5238,0.0052,0.0508,0.1667,2.206E-11,8.6483,0.5057,0.0059,0.0000,0.0000,4.072E-14,8.6483,0.5057,0.0059,0.0000,0.0000,4.072E-14,8.6483,0.5057,0.0059,0.0000,0.0000,4.072E-14,8.6483,0.5057,0.0059,0.0000,0.0000,4.072E-14,1.7765,0.0035,0.0334,0.0000,0.0000,1.389E-9,4.4053,0.0302,0.0087,0.0000,0.0000,4.483E-13
Allacma_species,59,4.7492,5.0460,500,0.9971,6,5.0295,0.9966,0.0008,10059,4.0337,3.4016,4.6344,0.0016,31.8612,0.8808,2.0742,1.7846,0.0000,7.9837,0.0000,2.8051,8.7458,0.0000,0.0557,2.0017,0.1479,0.3166,0.9798,7.3753,0.0022,0.0000,0.0033,0.0000,0.0425,16.3590,3.8701,0.6391,0.0000,0.0000,0.0000,4.4928,0.0040,1.0000,0.0013,0.0695,0.0000,0.0000,1.126E-7,5.0000,0.0457,0.0078,0.0000,0.0000,2.174E-13,10.0000,0.5064,0.0056,0.0000,0.0000,2.977E-14,11.1186,0.5064,0.0056,0.0000,0.0000,2.977E-14,12.3492,0.5238,0.0056,0.0508,0.1667,3.194E-11,11.1186,0.5064,0.0056,0.0000,0.0000,2.977E-14,11.1186,0.5064,0.0056,0.0000,0.0000,2.977E-14,11.1186,0.5064,0.0056,0.0000,0.0000,2.977E-14,11.1186,0.5064,0.0056,0.0000,0.0000,2.977E-14,1.7907,0.0035,0.0352,0.0000,0.0000,1.9E-9,4.5332,0.0295,0.0088,0.0000,0.0000,4.797E-13
Allacma_species,59,4.7410,5.0465,500,0.9971,6,5.0657,0.9972,0.0007,10059,3.3440,1.8863,4.4053,0.0037,31.5531,3.3941,2.2215,2.6026,0.0000,7.7910,0.0000,0.0021,7.8496,0.0000,0.0000,3.6261,0.1750,0.2732,1.3883,3.0831,0.0458,0.0000,0.1739,0.2086,0.0000,20.4053,4.9441,0.6232,0.0000,0.0000,0.0000,4.4955,0.0041,1.0000,0.0014,0.0666,0.0000,0.0000,8.732E-8,5.0000,0.0473,0.0078,0.0000,0.0000,2.174E-13,10.0000,0.5625,0.0055,0.0678,0.0000,2.672E-14,9.1096,0.5351,0.0059,0.0000,0.0000,4.072E-14,25.8730,0.5625,0.0046,0.0678,0.0000,9.146E-15,9.1096,0.5351,0.0059,0.0000,0.0000,4.072E-14,9.1096,0.5351,0.0059,0.0000,0.0000,4.072E-14,25.8730,0.5625,0.0046,0.0678,0.0000,9.146E-15,25.8730,0.5625,0.0046,0.0678,0.0000,9.146E-15,1.7794,0.0035,0.0345,0.0000,0.0000,1.685E-9,4.5419,0.0324,0.0088,0.0000,0.0000,4.797E-13
