Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Allocapnia_species,37,4.1491,4.7981,500,0.9966,5,3.1036,0.9840,0.0081,10037,3.1609,1.6615,2.1920,1.7628,2.2092,3.6738,2.1977,0.0100,27.2595,0.0523,22.6887,0.5547,8.0270,0.0000,0.7195,1.6699,0.5009,0.0000,0.5323,0.3319,0.0622,0.1015,17.6280,0.0385,0.0075,0.6473,0.0790,0.0000,2.2308,0.0007,0.0000,5.0875,0.0072,1.0000,0.0017,0.1551,0.0000,0.0000,8.983E-5,5.0000,0.0182,0.0446,0.0000,0.2000,1.914E-5,10.0000,0.0605,0.0211,0.0270,0.4000,9.127E-5,9.5497,0.0579,0.0222,0.0000,0.4000,1.061E-4,19.5195,0.2126,0.0085,0.0811,0.4000,5.997E-6,9.5877,0.0579,0.0222,0.0270,0.4000,1.061E-4,9.5497,0.0579,0.0222,0.0000,0.4000,1.061E-4,4.6333,0.0163,0.0479,0.0000,0.0000,2.528E-7,4.6333,0.0163,0.0479,0.0000,0.0000,2.528E-7,2.5610,0.0064,0.0811,0.0000,0.0000,3.508E-6,12.4509,0.0854,0.0160,0.0811,0.4000,4.029E-5
Allocapnia_species,37,4.1171,4.7661,500,0.9964,5,3.3859,0.9776,0.0163,10037,5.5757,2.3115,0.3263,0.1695,4.2724,4.6725,1.1255,0.8458,23.0590,2.0345,20.2140,0.6761,9.2376,0.0000,7.7121,1.1467,0.3180,0.0000,0.1752,0.1572,0.0714,0.1837,11.8762,0.0000,0.0000,0.7914,0.1074,0.0000,2.9404,0.0000,0.0000,5.1030,0.0073,1.0000,0.0019,0.1485,0.0000,0.0000,7.21E-5,5.0000,0.0186,0.0448,0.0000,0.2000,1.948E-5,10.0000,0.0602,0.0213,0.0270,0.2000,1.016E-6,7.1897,0.0336,0.0310,0.0000,0.2000,4.495E-6,29.3697,0.4133,0.0051,0.0811,0.4000,1.302E-6,8.1571,0.0422,0.0270,0.0270,0.2000,2.6E-6,7.1897,0.0336,0.0310,0.0000,0.2000,4.495E-6,1.9799,0.0048,0.0951,0.0000,0.0000,7.798E-6,1.9799,0.0048,0.0951,0.0000,0.0000,7.798E-6,2.4730,0.0065,0.0810,0.0000,0.2000,2.013E-4,12.4964,0.0889,0.0163,0.0811,0.2000,3.517E-7
Allocapnia_species,38,4.0010,4.6655,500,0.9962,4,5.3757,0.9992,0.0003,10038,2.8030,1.0093,2.7186,0.8491,3.5077,4.8030,4.0531,0.0722,23.7665,0.1890,28.3700,0.5747,9.4317,0.0000,0.4917,1.4187,0.6408,0.0000,0.0116,0.5169,0.0619,0.1621,11.5055,0.0000,0.0000,0.8193,0.1008,0.0000,2.1220,0.0010,0.0000,5.2349,0.0084,1.0000,0.0022,0.1538,0.0000,0.0000,5.598E-4,5.0000,0.0201,0.0492,0.0000,0.0000,5.866E-6,10.0000,0.0643,0.0241,0.0263,0.0000,3.378E-7,7.7016,0.0404,0.0321,0.0000,0.0000,1.059E-6,18.8791,0.1959,0.0111,0.0789,0.0000,1.495E-8,9.2643,0.0567,0.0263,0.0263,0.0000,4.784E-7,7.7016,0.0404,0.0321,0.0000,0.0000,1.059E-6,67.5705,0.7768,0.0016,0.4737,0.0000,6.455E-12,67.5705,0.7768,0.0016,0.4737,0.0000,6.455E-12,2.4718,0.0074,0.0871,0.0000,0.0000,5.747E-5,12.5500,0.0968,0.0186,0.0526,0.0000,1.204E-7
Allocapnia_species,38,4.2595,4.9507,500,0.9975,4,0.1584,0.9048,0.0517,10038,3.9375,0.7157,1.8093,2.6998,3.5469,3.7107,1.3682,0.8779,31.2708,0.6645,18.1015,0.5472,7.4987,0.0000,1.0769,0.7429,0.5411,0.0000,0.0297,0.3646,0.0947,0.1515,16.6908,1.1947,0.0000,0.6321,0.1119,0.0000,1.5641,0.0000,0.0564,4.9840,0.0065,1.0000,0.0019,0.1263,0.0000,0.2500,7.299E-3,5.0000,0.0196,0.0351,0.0000,0.5000,7.038E-3,10.0000,0.0737,0.0162,0.0263,0.7500,6.339E-2,8.9737,0.0607,0.0182,0.0000,0.7500,7.095E-2,26.0241,0.3731,0.0051,0.0789,0.7500,2.017E-2,9.0188,0.0617,0.0182,0.0263,0.7500,7.095E-2,8.9737,0.0607,0.0182,0.0000,0.7500,7.095E-2,0.2327,0.0004,0.2500,0.0000,0.2500,5.081E-2,0.1897,0.0003,0.2685,0.0000,0.0000,5.196E-3,2.2748,0.0058,0.0708,0.0000,0.5000,2.733E-2,11.0150,0.0879,0.0145,0.0263,0.7500,5.692E-2
Allocapnia_species,38,4.1913,4.8760,500,0.9973,4,2.4221,0.8815,0.1016,10038,5.6932,1.2576,1.9854,0.9818,2.7566,3.3501,1.9934,0.8215,28.9866,1.0389,25.5882,0.4225,8.0584,0.0000,0.3854,1.1027,0.8196,0.0000,0.1122,1.2584,0.1769,0.1654,10.6591,0.0562,0.0000,0.4571,0.0641,0.0000,1.8088,0.0000,0.0000,5.0608,0.0070,1.0000,0.0021,0.1255,0.0000,0.2500,7.166E-3,5.0000,0.0215,0.0375,0.0000,0.2500,2.043E-4,10.0000,0.0690,0.0181,0.0000,0.2500,2.352E-5,13.4376,0.1225,0.0128,0.0000,0.2500,8.214E-6,26.1823,0.4091,0.0056,0.0789,0.2500,6.916E-7,13.4376,0.1225,0.0128,0.0000,0.2500,8.214E-6,13.4376,0.1225,0.0128,0.0000,0.2500,8.214E-6,0.2477,0.0004,0.2500,0.0000,0.2500,5.081E-2,67.1436,0.7437,0.0017,0.5526,0.2500,1.94E-8,2.1984,0.0062,0.0740,0.0000,0.2500,1.532E-3,11.3657,0.0869,0.0156,0.0000,0.2500,1.512E-5
Allocapnia_species,38,4.0471,4.7382,500,0.9966,4,4.4899,0.9957,0.0025,10038,6.3268,1.6916,0.3357,0.4847,2.6771,3.7192,1.6377,0.3517,28.0876,0.9475,21.5133,0.6755,8.3171,0.0095,0.2604,1.6373,0.6338,0.0000,0.1541,0.5165,0.0165,0.2525,16.5556,0.0210,0.0169,0.5901,0.2221,0.0000,2.3479,0.0000,0.0000,5.1844,0.0079,1.0000,0.0019,0.1559,0.0000,0.0000,5.908E-4,5.0000,0.0190,0.0471,0.0000,0.0000,4.93E-6,10.0000,0.0640,0.0228,0.0263,0.0000,2.709E-7,8.6086,0.0492,0.0270,0.0000,0.0000,5.312E-7,20.3887,0.2045,0.0092,0.0789,0.2500,3.058E-6,8.8176,0.0517,0.0263,0.0263,0.0000,4.784E-7,8.6086,0.0492,0.0270,0.0000,0.0000,5.312E-7,16.2620,0.1495,0.0127,0.0789,0.0000,2.562E-8,16.2620,0.1495,0.0127,0.0789,0.0000,2.562E-8,2.5222,0.0070,0.0842,0.0000,0.0000,5.022E-5,12.4182,0.0910,0.0177,0.0263,0.0000,9.888E-8
Allocapnia_species,38,4.0314,4.6912,500,0.9962,4,5.0564,0.9977,0.0008,10038,8.8196,0.4628,0.0202,0.0903,3.0287,3.3635,2.6638,0.0583,27.3264,2.3000,21.9286,0.4382,9.1900,0.0000,13.1371,1.6345,2.6261,0.0000,0.0341,0.3910,0.0717,0.1891,0.1898,0.0236,0.0000,0.6506,0.1240,0.0000,1.2380,0.0000,0.0000,5.1912,0.0080,1.0000,0.0021,0.1501,0.0000,0.0000,5.08E-4,5.0000,0.0198,0.0473,0.0000,0.0000,5.014E-6,10.0000,0.0642,0.0232,0.0526,0.0000,2.903E-7,7.9743,0.0437,0.0298,0.0000,0.0000,7.872E-7,17.9439,0.1853,0.0115,0.0789,0.0000,1.723E-8,8.9393,0.0512,0.0263,0.0263,0.0000,4.784E-7,7.9743,0.0437,0.0298,0.0000,0.0000,7.872E-7,33.6056,0.4458,0.0045,0.1579,0.0000,4.039E-10,33.6056,0.4458,0.0045,0.1579,0.0000,4.039E-10,2.4259,0.0071,0.0851,0.0000,0.0000,5.239E-5,12.6035,0.0947,0.0178,0.0526,0.0000,1.011E-7
Allocapnia_species,38,4.1241,4.7611,500,0.9967,4,3.7341,0.9802,0.0162,10038,2.6052,2.1479,2.3967,2.0022,3.2516,3.2184,1.8755,0.0253,30.0127,0.7144,22.4008,0.4954,7.8384,0.0000,0.6041,1.5313,0.5365,0.0000,0.0000,0.2516,0.0806,0.4430,15.4609,0.0000,0.0038,0.4082,0.0594,0.0382,1.5962,0.0017,0.0000,5.0951,0.0073,1.0000,0.0021,0.1276,0.0000,0.0000,2.652E-4,5.0000,0.0217,0.0399,0.0000,0.2500,2.474E-4,10.0000,0.0674,0.0199,0.0263,0.2500,3.117E-5,7.3778,0.0416,0.0273,0.0000,0.2500,7.969E-5,23.2556,0.2819,0.0069,0.0789,0.2500,1.292E-6,7.6805,0.0449,0.0263,0.0263,0.2500,7.133E-5,7.3778,0.0416,0.0273,0.0000,0.2500,7.969E-5,2.2396,0.0066,0.0759,0.0000,0.0000,3.321E-5,2.2396,0.0066,0.0759,0.0000,0.0000,3.321E-5,2.2396,0.0066,0.0759,0.0000,0.0000,3.321E-5,11.9565,0.0932,0.0162,0.0526,0.2500,1.692E-5
Allocapnia_species,38,4.0146,4.6791,500,0.9962,4,5.0387,0.9984,0.0006,10038,6.4234,1.2241,2.1277,1.1201,2.6571,4.1548,2.0561,0.0376,26.2459,0.2672,22.1490,0.6840,8.0942,0.0000,6.9213,1.7639,0.4167,0.0000,0.0299,0.7219,0.0654,0.1760,9.6610,0.0064,0.0000,0.6330,0.1733,0.0199,2.1703,0.0000,0.0000,5.2203,0.0083,1.0000,0.0022,0.1537,0.0000,0.0000,5.583E-4,5.0000,0.0197,0.0495,0.0000,0.0000,6.009E-6,10.0000,0.0663,0.0238,0.0526,0.0000,3.214E-7,8.6969,0.0499,0.0277,0.0000,0.0000,5.883E-7,19.6460,0.2030,0.0104,0.0789,0.0000,1.152E-8,9.1470,0.0548,0.0263,0.0263,0.0000,4.784E-7,8.6969,0.0499,0.0277,0.0000,0.0000,5.883E-7,43.0717,0.6034,0.0032,0.2105,0.0000,1.033E-10,43.0717,0.6034,0.0032,0.2105,0.0000,1.033E-10,2.4834,0.0073,0.0870,0.0000,0.0000,5.721E-5,12.5677,0.0929,0.0183,0.0526,0.0000,1.129E-7
Allocapnia_species,38,3.9926,4.6853,500,0.9964,4,4.1851,0.9951,0.0021,10038,6.0432,1.7202,3.0637,0.0980,2.4511,4.0343,0.4988,0.3025,18.5900,1.0257,27.6296,0.4653,8.4571,0.0000,8.5659,1.8547,0.7502,0.0000,0.1525,0.3736,0.0318,0.0875,11.0548,0.0101,0.0000,0.6758,0.3172,0.0013,1.7453,0.0000,0.0000,5.2363,0.0084,1.0000,0.0020,0.1631,0.0000,0.0000,7.073E-4,5.0000,0.0199,0.0517,0.0000,0.0000,7.146E-6,10.0000,0.0605,0.0258,0.0263,0.0000,4.432E-7,9.6969,0.0578,0.0268,0.0000,0.0000,5.157E-7,23.7081,0.2437,0.0084,0.0789,0.2500,2.329E-6,9.8632,0.0594,0.0263,0.0263,0.0000,4.784E-7,9.6969,0.0578,0.0268,0.0000,0.0000,5.157E-7,18.8719,0.1819,0.0117,0.0789,0.0000,1.846E-8,18.8719,0.1819,0.0117,0.0789,0.0000,1.846E-8,2.5924,0.0074,0.0878,0.0000,0.0000,5.934E-5,13.2582,0.0935,0.0186,0.0526,0.0000,1.204E-7
