Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Allotria_elonympha,83,2.5652,3.3269,500,0.9758,10,1.6899,0.8960,0.0507,10083,0.9910,1.4981,3.0660,1.6059,5.5949,12.6348,8.6420,0.0165,4.6644,0.5048,1.0990,4.9620,11.8701,0.9800,22.0147,0.1039,0.2870,0.0000,1.0136,0.7674,6.7834,2.5982,1.8889,1.5793,1.1496,0.7210,0.1852,0.5338,0.7200,1.4924,0.0319,6.7510,0.0399,1.0000,0.0054,0.5554,0.0000,0.0000,2.792E-3,5.0000,0.0238,0.2777,0.0241,0.1000,7.366E-5,10.0000,0.0531,0.1638,0.0361,0.3000,2.394E-4,1.2334,0.0063,0.5219,0.0000,0.0000,1.498E-3,28.9422,0.2402,0.0383,0.0964,0.4000,5.785E-7,22.5446,0.1623,0.0602,0.0602,0.3000,2.924E-7,22.2745,0.1604,0.0613,0.0482,0.3000,3.305E-7,7.9272,0.0400,0.2000,0.0241,0.2000,7.804E-5,6.7071,0.0328,0.2275,0.0241,0.1000,1.299E-5,6.7071,0.0328,0.2275,0.0241,0.1000,1.299E-5,17.9811,0.1163,0.0847,0.0361,0.3000,2.979E-6
Allotria_elonympha,83,2.5636,3.3804,500,0.9811,10,1.9222,0.9296,0.0315,10083,3.4630,2.2288,2.1832,0.2168,5.6653,12.6372,8.6178,0.0000,0.9050,2.4193,1.9810,5.6411,14.3371,1.4420,18.0117,0.2609,0.3158,0.2405,0.3152,0.0397,8.0106,1.9323,1.2609,1.5947,2.0563,2.0330,0.2557,1.1136,0.6641,0.0857,0.0718,6.7362,0.0393,1.0000,0.0054,0.5517,0.0000,0.0000,2.613E-3,5.0000,0.0231,0.2759,0.0120,0.1000,6.965E-5,10.0000,0.0520,0.1607,0.0120,0.1000,6.102E-7,1.0054,0.0054,0.5508,0.0000,0.0000,2.571E-3,30.6287,0.2642,0.0338,0.0964,0.5000,9.666E-6,22.3974,0.1632,0.0602,0.0602,0.3000,2.924E-7,27.2701,0.2201,0.0425,0.0602,0.4000,1.074E-6,13.2995,0.0769,0.1203,0.0120,0.1000,4.706E-8,13.2995,0.0769,0.1203,0.0120,0.1000,4.706E-8,6.6965,0.0323,0.2256,0.0120,0.1000,1.208E-5,17.9329,0.1149,0.0835,0.0482,0.3000,2.707E-6
Allotria_elonympha,83,2.4924,3.3487,500,0.9804,10,2.7613,0.9621,0.0213,10083,2.4333,0.8490,2.1978,1.7700,5.1560,13.9062,8.5057,0.1548,0.7551,2.5744,0.6992,5.1855,14.8993,0.8938,16.6700,0.2294,0.7415,0.0219,0.1513,1.6537,6.8753,3.7571,1.6099,1.2383,2.5030,1.9248,0.1373,0.3821,0.7768,1.3474,0.0000,6.7939,0.0419,1.0000,0.0059,0.5482,0.0120,0.0000,2.449E-3,5.0000,0.0253,0.2806,0.0120,0.0000,3.023E-6,10.0000,0.0556,0.1692,0.0120,0.1000,9.633E-7,0.4203,0.0030,0.6664,0.0000,0.0000,1.726E-2,29.7884,0.2431,0.0397,0.0964,0.3000,1.669E-8,23.6647,0.1773,0.0602,0.0602,0.1000,9.822E-11,21.9035,0.1554,0.0679,0.0361,0.1000,2.894E-10,16.5305,0.1053,0.1000,0.0120,0.1000,9.076E-9,24.8066,0.1902,0.0557,0.0602,0.1000,4.931E-11,6.4596,0.0342,0.2381,0.0120,0.0000,5.862E-7,18.1782,0.1206,0.0885,0.0241,0.1000,3.055E-9
Allotria_elonympha,83,2.4852,3.3959,500,0.9829,10,2.2734,0.9545,0.0206,10083,0.8828,2.2566,2.3369,2.8233,5.0639,16.1298,6.5876,0.1027,0.0115,4.6561,1.1942,4.5291,10.5277,1.5277,14.9093,0.1033,0.6640,0.0289,0.6157,1.9239,8.4213,2.7294,3.3589,2.2252,2.7366,1.9425,0.3950,0.5925,0.5598,0.1272,0.0366,6.8171,0.0429,1.0000,0.0061,0.5507,0.0120,0.0000,2.567E-3,5.0000,0.0257,0.2855,0.0120,0.0000,3.602E-6,10.0000,0.0565,0.1723,0.0120,0.2000,2.504E-5,0.4011,0.0030,0.6747,0.0000,0.0000,1.955E-2,34.2777,0.3107,0.0292,0.0843,0.4000,1.166E-7,31.1677,0.2665,0.0361,0.0361,0.3000,8.709E-9,31.8188,0.2751,0.0345,0.0361,0.3000,6.385E-9,9.9152,0.0559,0.1737,0.0120,0.2000,2.663E-5,9.9105,0.0559,0.1737,0.0120,0.0000,2.494E-8,6.6161,0.0350,0.2378,0.0120,0.0000,5.789E-7,18.1787,0.1203,0.0905,0.0120,0.2000,1.72E-7
Allotria_elonympha,85,2.4257,3.3102,500,0.9819,8,3.6833,0.9909,0.0051,10085,3.0890,1.0929,1.3663,0.9005,6.3172,14.0936,8.1113,0.3008,0.8864,3.9909,1.2264,4.7392,12.0184,0.7583,19.5412,0.3090,0.8860,0.0384,0.1092,1.7305,6.3906,2.7140,1.7225,1.1423,1.5711,2.3291,0.1179,0.3619,0.6283,1.5063,0.0108,6.8965,0.0466,1.0000,0.0064,0.5798,0.0118,0.0000,1.277E-2,5.0000,0.0262,0.3034,0.0118,0.0000,7.184E-5,10.0000,0.0577,0.1828,0.0118,0.0000,1.249E-6,0.9216,0.0061,0.5921,0.0000,0.0000,1.51E-2,32.2365,0.2828,0.0375,0.0941,0.1250,8.041E-10,28.7676,0.2414,0.0471,0.0471,0.0000,2.422E-11,24.5518,0.1892,0.0623,0.0235,0.0000,2.261E-10,29.1608,0.2468,0.0459,0.0471,0.0000,1.974E-11,29.1608,0.2468,0.0459,0.0471,0.0000,1.974E-11,7.0305,0.0376,0.2422,0.0118,0.0000,1.186E-5,18.0056,0.1228,0.0980,0.0235,0.0000,8.485E-9
Allotria_elonympha,83,2.5095,3.4593,500,0.9889,10,2.4155,0.8822,0.0772,10083,3.2481,0.9354,2.2274,1.0280,5.1220,15.1407,4.8132,0.0243,0.4044,2.8943,1.3224,5.9136,12.2308,1.1302,16.2575,0.1495,1.6961,0.0927,0.6705,0.9303,9.9071,3.4500,1.3074,2.2679,1.5586,3.0208,0.2865,0.8978,0.8692,0.0277,0.1755,6.8024,0.0422,1.0000,0.0057,0.5660,0.0000,0.1000,2.925E-2,5.0000,0.0246,0.2859,0.0000,0.2000,1.12E-3,10.0000,0.0550,0.1709,0.0000,0.2000,2.354E-5,17.6953,0.1149,0.0912,0.0000,0.2000,1.825E-7,36.1649,0.3393,0.0253,0.0964,0.2000,7.196E-12,24.3528,0.1875,0.0566,0.0602,0.2000,4.293E-9,17.6953,0.1149,0.0912,0.0000,0.2000,1.825E-7,8.3131,0.0437,0.2000,0.0000,0.2000,7.804E-5,47.4358,0.5426,0.0119,0.1807,0.2000,1.773E-14,6.7152,0.0345,0.2352,0.0000,0.2000,2.643E-4,17.9885,0.1178,0.0893,0.0120,0.2000,1.537E-7
Allotria_elonympha,84,2.5168,3.4433,500,0.9832,9,2.2322,0.9109,0.0434,10084,1.5073,1.7636,1.9591,0.1357,6.3929,14.3764,8.2240,0.2345,4.8274,0.0913,1.5353,5.3668,10.9895,1.1394,21.7520,0.3399,1.0134,0.0031,0.1836,0.1295,6.0425,2.4017,1.5226,1.0618,2.2183,1.7459,0.2508,0.8701,0.6342,1.2216,0.0658,6.8115,0.0425,1.0000,0.0058,0.5751,0.0119,0.0000,6.878E-3,5.0000,0.0241,0.2917,0.0119,0.2222,3.599E-3,10.0000,0.0537,0.1723,0.0119,0.2222,1.169E-4,0.9087,0.0053,0.5897,0.0000,0.0000,8.63E-3,33.5200,0.2984,0.0306,0.0952,0.3333,6.421E-8,29.7422,0.2426,0.0398,0.0357,0.3333,2.994E-7,29.7422,0.2426,0.0398,0.0357,0.3333,2.994E-7,7.3831,0.0375,0.2222,0.0119,0.2222,6.26E-4,4.0412,0.0190,0.3313,0.0119,0.0000,4.811E-5,6.9863,0.0347,0.2318,0.0119,0.2222,8.224E-4,18.0222,0.1193,0.0900,0.0238,0.3333,3.52E-5
Allotria_elonympha,85,2.5561,3.3547,500,0.9775,8,1.5541,0.9069,0.0578,10085,3.2646,0.6065,2.3121,0.7648,5.6085,12.4824,7.0000,0.1272,4.1492,1.1048,1.3516,4.3257,14.1666,1.0799,20.1685,0.2765,0.8760,0.0148,0.2066,1.0368,6.8574,3.2682,1.7425,2.4167,2.0295,1.0563,0.2458,0.5123,0.7767,0.1717,0.0000,6.7709,0.0407,1.0000,0.0057,0.5427,0.0118,0.0000,7.523E-3,5.0000,0.0248,0.2728,0.0235,0.1250,6.845E-4,10.0000,0.0554,0.1620,0.0235,0.1250,2.012E-5,0.9429,0.0054,0.5515,0.0000,0.0000,8.559E-3,29.9993,0.2537,0.0366,0.0941,0.2500,6.304E-8,26.1479,0.2070,0.0478,0.0471,0.2500,3.07E-7,25.2224,0.1961,0.0510,0.0353,0.2500,4.489E-7,13.0026,0.0771,0.1250,0.0235,0.1250,3.404E-6,16.2994,0.1058,0.0965,0.0235,0.1250,5.7E-7,6.5315,0.0334,0.2282,0.0235,0.1250,2.061E-4,17.7834,0.1212,0.0865,0.0353,0.2500,1.003E-5
Allotria_elonympha,85,2.5322,3.3129,500,0.9798,8,1.4634,0.9078,0.0362,10085,3.3122,1.7609,0.5509,1.3041,5.9240,15.1363,7.8539,0.1134,1.9478,3.0288,1.3714,4.4231,13.2065,0.8531,21.0626,0.2668,0.2222,0.0666,0.1652,0.4079,8.2297,1.9138,0.3775,0.6006,1.7026,1.4294,0.3076,0.7071,0.6080,1.1461,0.0000,6.7716,0.0408,1.0000,0.0056,0.5736,0.0118,0.0000,1.172E-2,5.0000,0.0227,0.2889,0.0118,0.0000,4.859E-5,10.0000,0.0518,0.1686,0.0118,0.2500,4.704E-4,0.9311,0.0053,0.5846,0.0000,0.0000,1.365E-2,22.6507,0.1636,0.0620,0.0941,0.5000,8.431E-4,22.4945,0.1626,0.0627,0.0706,0.5000,8.795E-4,22.4945,0.1626,0.0627,0.0471,0.5000,8.795E-4,6.2000,0.0291,0.2500,0.0118,0.2500,4.224E-3,5.9203,0.0276,0.2582,0.0118,0.0000,1.976E-5,7.0044,0.0334,0.2285,0.0118,0.2500,2.578E-3,18.0668,0.1166,0.0865,0.0471,0.5000,2.941E-3
Allotria_elonympha,83,2.5510,3.4819,500,0.9849,10,2.0224,0.9078,0.0421,10083,2.5552,0.5531,0.8264,3.5674,7.6072,15.6897,6.3646,0.1274,3.6193,0.5805,1.3631,5.8637,9.5937,1.6208,16.2436,0.4982,1.5018,0.0642,0.3725,1.5184,7.3146,1.9237,1.1080,1.5920,2.7200,1.7763,0.1247,0.7419,1.1530,1.4150,0.0000,6.7803,0.0412,1.0000,0.0057,0.5326,0.0000,0.0000,1.836E-3,5.0000,0.0253,0.2657,0.0120,0.1000,5.021E-5,10.0000,0.0572,0.1564,0.0120,0.2000,1.195E-5,2.2252,0.0113,0.4029,0.0000,0.1000,1.781E-3,33.6359,0.3079,0.0294,0.0964,0.5000,4.855E-6,26.0410,0.2158,0.0482,0.0482,0.5000,5.344E-5,30.9521,0.2753,0.0349,0.0602,0.5000,1.128E-5,8.2013,0.0447,0.1857,0.0120,0.2000,4.431E-5,8.2006,0.0447,0.1857,0.0120,0.1000,2.183E-6,6.4799,0.0337,0.2227,0.0120,0.1000,1.075E-5,17.3567,0.1245,0.0873,0.0361,0.4000,6.806E-5
