Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Amphinemura_wui,182,2.8649,3.2919,500,0.9854,21,3.1622,0.9846,0.0033,10180,2.7482,1.2379,0.9808,0.9466,0.8407,3.0312,3.8996,0.0583,0.0045,7.6094,27.2348,0.9445,2.4969,0.0659,5.4059,1.8248,0.0111,0.9686,0.7833,0.6548,1.4769,0.1718,4.9957,0.1173,0.2499,8.3212,0.0996,1.7488,19.6025,1.4687,0.0000,6.4063,0.0270,1.0000,0.0039,0.3199,0.0000,0.0000,4.041E-11,5.0000,0.0313,0.1187,0.0110,0.0000,3.637E-20,10.0000,0.0831,0.0640,0.0275,0.0476,2.66E-23,1.0772,0.0042,0.3086,0.0000,0.0000,1.899E-11,20.8952,0.2710,0.0282,0.0989,0.0952,7.099E-28,14.7407,0.1530,0.0423,0.0440,0.0476,6.901E-27,12.1662,0.1138,0.0523,0.0275,0.0476,4.606E-25,13.2563,0.1338,0.0476,0.0385,0.0476,7.277E-26,9.8043,0.0802,0.0654,0.0220,0.0000,1.35E-25,3.7147,0.0209,0.1477,0.0055,0.0000,3.627E-18,10.7648,0.0945,0.0594,0.0275,0.0476,5.985E-24
Amphinemura_wui,182,2.9126,3.3450,500,0.9864,21,2.8896,0.9632,0.0215,10180,1.3132,1.0201,2.0758,0.5979,1.0535,3.2767,3.3165,0.0380,0.2059,13.5400,19.9908,1.1090,2.3277,0.0521,3.5297,1.8659,0.0334,1.1767,0.2548,0.9551,1.8441,0.1837,7.9646,0.0376,0.1923,6.2249,0.4077,2.8655,20.9816,1.5531,0.0121,6.3571,0.0257,1.0000,0.0036,0.3167,0.0000,0.0476,1.511E-9,5.0000,0.0314,0.1092,0.0110,0.0476,1.101E-18,10.0000,0.0860,0.0584,0.0220,0.0952,6.938E-22,1.4057,0.0053,0.2644,0.0000,0.0476,4.393E-11,24.3367,0.3603,0.0227,0.0989,0.1429,3.17E-27,15.2800,0.1742,0.0373,0.0385,0.0952,1.444E-25,13.4283,0.1408,0.0429,0.0220,0.0952,2.032E-24,6.2745,0.0442,0.0906,0.0165,0.0952,2.672E-18,17.0856,0.2117,0.0330,0.0549,0.0952,1.405E-26,4.0030,0.0221,0.1300,0.0055,0.0476,3.476E-17,10.3293,0.0914,0.0566,0.0220,0.0952,3.759E-22
Amphinemura_wui,182,2.8886,3.3036,500,0.9853,21,2.9963,0.9757,0.0091,10180,2.9326,1.7082,0.1595,0.4196,1.7132,2.7927,3.1775,0.0142,0.0028,11.1739,23.7833,1.7699,2.1458,0.1537,3.9197,2.1290,0.0229,1.1902,1.1495,0.4978,1.3886,0.2186,5.8455,0.0403,0.1967,8.6741,0.5364,1.6182,19.6413,0.6476,0.3366,6.3738,0.0261,1.0000,0.0038,0.3209,0.0055,0.0000,4.31E-11,5.0000,0.0305,0.1153,0.0055,0.0476,3.237E-18,10.0000,0.0818,0.0623,0.0275,0.0952,2.3E-21,0.7458,0.0027,0.3664,0.0000,0.0000,6.969E-10,24.2994,0.3686,0.0229,0.0989,0.1429,3.7E-27,13.7847,0.1379,0.0439,0.0440,0.0952,3.118E-24,11.4442,0.1028,0.0540,0.0330,0.0952,1.571E-22,6.8470,0.0490,0.0889,0.0165,0.0952,1.882E-18,15.3000,0.1629,0.0389,0.0549,0.0952,3.151E-25,4.0520,0.0225,0.1356,0.0055,0.0476,8.032E-17,10.7829,0.0920,0.0576,0.0330,0.0952,5.203E-22
Amphinemura_wui,183,2.8825,3.3138,500,0.9856,20,3.0401,0.9829,0.0038,10182,2.3073,1.3206,0.0611,0.6484,1.2068,2.3929,3.1177,0.0358,0.0000,14.9104,14.4695,1.3786,2.6066,0.0677,4.2632,1.9572,0.0523,1.2430,1.0144,0.4015,0.9100,0.2138,6.0509,0.0259,0.1952,6.3864,0.5482,1.3981,29.6246,1.1185,0.0734,6.3653,0.0259,1.0000,0.0036,0.3284,0.0000,0.0000,2.131E-10,5.0000,0.0294,0.1154,0.0109,0.0000,1.754E-19,10.0000,0.0831,0.0605,0.0273,0.0000,4.315E-25,1.1375,0.0041,0.3082,0.0000,0.0000,5.976E-11,19.5397,0.2441,0.0287,0.0984,0.2000,9.09E-22,13.5473,0.1381,0.0437,0.0437,0.1000,5.909E-23,15.1668,0.1691,0.0386,0.0437,0.1500,9.551E-22,11.1774,0.0995,0.0537,0.0328,0.0500,1.416E-23,10.3723,0.0875,0.0581,0.0273,0.0000,1.949E-25,4.0615,0.0223,0.1359,0.0055,0.0000,4.635E-18,10.5724,0.0896,0.0571,0.0273,0.0500,4.44E-23
Amphinemura_wui,183,2.8882,3.3171,500,0.9858,20,3.1156,0.9849,0.0034,10182,2.6497,0.3605,0.4900,0.5849,1.5441,3.1032,3.4991,0.0448,0.0185,14.8664,18.7970,1.3334,2.7495,0.1301,3.3887,2.4081,0.0254,0.8940,0.7518,0.9766,0.8635,0.2151,5.9331,0.3884,0.1464,8.7470,0.5709,1.5730,21.9913,0.9476,0.0079,6.3915,0.0266,1.0000,0.0037,0.3448,0.0000,0.0000,5.649E-10,5.0000,0.0291,0.1202,0.0109,0.0000,3.972E-19,10.0000,0.0793,0.0633,0.0273,0.0000,1.083E-24,1.7184,0.0064,0.2582,0.0000,0.0000,1.734E-12,23.9452,0.3494,0.0237,0.0984,0.2000,4.296E-23,15.2895,0.1707,0.0394,0.0383,0.1000,9.148E-24,15.2895,0.1707,0.0394,0.0383,0.1000,9.148E-24,12.3706,0.1116,0.0500,0.0383,0.0500,3.62E-24,10.5584,0.0869,0.0597,0.0273,0.0000,3.322E-25,4.2471,0.0229,0.1370,0.0055,0.0000,5.43E-18,10.7530,0.0886,0.0585,0.0328,0.0500,7.195E-23
Amphinemura_wui,183,2.9375,3.3365,500,0.9859,20,2.4558,0.9406,0.0268,10181,1.9901,1.9926,0.2510,0.1168,1.2242,2.8772,2.9701,0.0258,0.0000,10.2587,17.2127,1.5042,2.8308,0.0499,3.9502,1.7748,0.0593,1.0968,0.5851,0.5682,2.4118,0.1098,3.9686,0.0415,0.1878,10.8986,0.2461,1.8113,27.8934,1.0888,0.0037,6.3538,0.0256,1.0000,0.0036,0.3168,0.0000,0.1000,9.602E-8,5.0000,0.0302,0.1104,0.0055,0.2000,1.522E-12,10.0000,0.0849,0.0592,0.0328,0.2000,8.833E-17,1.0755,0.0039,0.3056,0.0000,0.1000,5.177E-8,21.2878,0.2975,0.0256,0.0929,0.2500,1.864E-20,13.2963,0.1295,0.0437,0.0437,0.2000,7.269E-19,13.0651,0.1276,0.0446,0.0383,0.2000,9.979E-19,4.6345,0.0267,0.1176,0.0055,0.1000,2.765E-15,4.6345,0.0267,0.1176,0.0055,0.1000,2.765E-15,4.0903,0.0221,0.1298,0.0055,0.1000,1.61E-14,10.4951,0.0918,0.0564,0.0383,0.2000,4.06E-17
Amphinemura_wui,183,2.8946,3.3335,500,0.9863,20,3.1156,0.9791,0.0080,10181,1.9703,4.0682,0.9744,0.8740,1.3140,2.6658,3.2309,0.0360,0.0017,12.5983,19.7795,1.0507,2.1400,0.0476,3.7085,1.8150,0.0300,1.6130,1.1185,0.5496,1.9873,0.4400,3.1906,0.3978,0.3182,7.8203,0.3302,2.6202,22.7431,0.5474,0.0188,6.3568,0.0257,1.0000,0.0036,0.3208,0.0000,0.0000,1.332E-10,5.0000,0.0301,0.1129,0.0055,0.0500,1.778E-17,10.0000,0.0826,0.0598,0.0273,0.1000,1.625E-20,1.6729,0.0065,0.2426,0.0000,0.0000,4.99E-13,21.4744,0.3124,0.0254,0.0984,0.2000,1.353E-22,14.7055,0.1578,0.0389,0.0383,0.1500,1.088E-21,14.7055,0.1578,0.0389,0.0383,0.1500,1.088E-21,7.1019,0.0499,0.0835,0.0164,0.1000,6.259E-18,7.0950,0.0498,0.0835,0.0164,0.0500,5.971E-20,4.0111,0.0221,0.1340,0.0055,0.0500,4.522E-16,10.5490,0.0893,0.0566,0.0328,0.1500,6.027E-19
Amphinemura_wui,183,2.9109,3.3388,500,0.9864,20,2.6154,0.9710,0.0086,10181,3.0148,0.8455,0.5784,0.5352,1.1443,3.2162,3.0087,0.1128,0.1967,14.1902,16.4955,1.0607,2.8573,0.0805,3.7884,2.4645,0.0448,1.1544,0.8918,0.1031,2.0492,0.2198,4.5775,0.0312,0.2293,9.1960,0.1499,1.8930,24.6574,1.1958,0.0171,6.3520,0.0255,1.0000,0.0036,0.3202,0.0000,0.0000,1.284E-10,5.0000,0.0302,0.1116,0.0055,0.1000,1.092E-15,10.0000,0.0831,0.0591,0.0164,0.1500,1.267E-18,1.5999,0.0061,0.2486,0.0000,0.0000,8.129E-13,22.8396,0.3312,0.0237,0.0984,0.2500,5.69E-21,13.8828,0.1397,0.0413,0.0437,0.2500,2.171E-17,13.8262,0.1395,0.0414,0.0328,0.2000,3.137E-19,5.7079,0.0370,0.1000,0.0109,0.1000,1.554E-16,3.8956,0.0209,0.1355,0.0055,0.0000,4.383E-18,4.0264,0.0220,0.1322,0.0055,0.0500,3.52E-16,10.4854,0.0897,0.0563,0.0273,0.1500,5.52E-19
Amphinemura_wui,183,2.9458,3.3677,500,0.9866,20,2.3191,0.9527,0.0162,10181,2.6063,0.9183,0.7489,0.0686,1.5958,3.1825,3.1141,0.0642,0.6556,12.3663,18.9924,1.3641,1.9737,0.0597,3.4599,1.8238,0.0000,0.9558,0.9514,0.5922,1.6397,0.3938,2.8414,0.0088,0.1856,9.2065,0.1644,1.6223,27.5676,0.7570,0.1196,6.3249,0.0249,1.0000,0.0034,0.3142,0.0000,0.0000,8.8E-11,5.0000,0.0312,0.1060,0.0109,0.2000,8.064E-13,10.0000,0.0880,0.0562,0.0164,0.2000,3.843E-17,1.4566,0.0053,0.2555,0.0000,0.0000,1.403E-12,22.6264,0.3523,0.0233,0.0984,0.3500,3.922E-17,14.4505,0.1558,0.0382,0.0383,0.2500,6.977E-18,11.3305,0.1087,0.0495,0.0164,0.2000,5.208E-18,3.2001,0.0154,0.1500,0.0109,0.1500,7.093E-12,1.6223,0.0060,0.2395,0.0055,0.0000,3.845E-13,2.6956,0.0119,0.1701,0.0055,0.1500,5.646E-11,10.2625,0.0909,0.0548,0.0164,0.2000,2.599E-17
Amphinemura_wui,183,2.9360,3.3431,500,0.9871,20,2.1675,0.9485,0.0174,10181,2.9895,0.7451,2.5598,0.0535,1.5277,3.1008,3.4822,0.0176,0.3710,7.7741,16.5147,0.8892,2.0352,0.0301,4.6879,2.1487,0.0125,0.8736,0.4579,0.3391,1.9485,0.1195,4.5432,0.1795,0.0429,12.2139,0.6040,1.9230,27.0060,0.8093,0.0000,6.3567,0.0257,1.0000,0.0036,0.3098,0.0000,0.0000,6.629E-11,5.0000,0.0315,0.1111,0.0109,0.1500,4.886E-14,10.0000,0.0853,0.0602,0.0219,0.2500,5.746E-15,4.1590,0.0241,0.1280,0.0000,0.1500,5.138E-13,22.3579,0.3137,0.0246,0.0984,0.3000,9.774E-19,13.5528,0.1375,0.0437,0.0437,0.3000,2.805E-15,9.9792,0.0845,0.0603,0.0164,0.2000,1.175E-16,3.9966,0.0225,0.1318,0.0000,0.1500,8.378E-13,3.9928,0.0225,0.1318,0.0000,0.1000,2.1E-14,3.9928,0.0225,0.1318,0.0000,0.1000,2.1E-14,10.6365,0.0918,0.0566,0.0273,0.2500,2.3E-15
