Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Analeptura_lineola,135,3.6676,4.0123,500,0.9902,16,3.9249,0.9910,0.0026,10135,1.8495,1.7405,0.7882,2.7610,2.4242,5.0799,1.2444,0.0645,0.0176,9.4256,0.0000,0.8485,18.1311,0.4491,4.6104,2.4559,0.3296,1.4070,0.1511,0.0196,0.1966,18.6624,0.0000,0.1014,2.6362,1.7321,2.6383,0.0880,11.5490,8.5351,0.0630,5.5894,0.0117,1.0000,0.0019,0.2157,0.0074,0.0000,2.194E-11,5.0000,0.0210,0.0490,0.0074,0.0000,1.118E-21,10.0000,0.1010,0.0185,0.0222,0.0625,1.537E-25,0.3061,0.0005,0.3902,0.0000,0.0000,2.892E-7,17.5201,0.4902,0.0121,0.0889,0.0625,2.886E-28,8.8383,0.0643,0.0222,0.0222,0.0625,2.457E-24,12.9893,0.2497,0.0144,0.0222,0.0625,3.768E-27,5.2234,0.0228,0.0465,0.0074,0.0625,1.559E-19,5.2190,0.0228,0.0465,0.0074,0.0000,4.733E-22,3.4330,0.0104,0.0763,0.0074,0.0000,1.311E-18,7.8967,0.0501,0.0263,0.0148,0.0625,3.188E-23
Analeptura_lineola,135,3.6507,3.9979,500,0.9897,16,4.0126,0.9924,0.0016,10135,2.3284,5.8525,1.6790,0.4131,2.2334,0.5436,2.1528,0.0458,0.0203,7.6821,0.0000,0.8011,18.5992,0.1264,10.5536,2.6601,0.0668,0.9850,0.1430,0.0229,0.0882,17.9859,0.3232,0.2100,4.5394,1.1906,1.0950,0.0354,7.7104,9.9050,0.0076,5.6195,0.0120,1.0000,0.0019,0.2356,0.0074,0.0000,9.023E-11,5.0000,0.0194,0.0532,0.0148,0.0000,4.095E-21,10.0000,0.0909,0.0200,0.0222,0.0625,5.26E-25,0.2746,0.0005,0.4375,0.0000,0.0000,1.801E-6,17.6444,0.4925,0.0122,0.0889,0.0625,3.259E-28,9.3041,0.0728,0.0222,0.0222,0.0625,2.457E-24,13.7029,0.2575,0.0142,0.0222,0.0625,3.065E-27,7.9337,0.0506,0.0278,0.0222,0.0000,1.291E-25,7.9337,0.0506,0.0278,0.0222,0.0000,1.291E-25,3.7023,0.0108,0.0776,0.0074,0.0000,1.712E-18,8.0803,0.0532,0.0271,0.0222,0.0625,4.961E-23
Analeptura_lineola,136,3.6921,4.0211,500,0.9908,15,3.7238,0.9806,0.0127,10136,1.6849,2.5241,0.8594,1.8155,2.7001,4.2356,1.7730,0.0466,0.0000,8.4713,0.0000,1.0258,16.9752,0.2267,9.8183,2.7006,0.9288,0.9196,0.0770,0.0307,0.5213,17.1392,0.2889,0.1087,5.8858,1.0477,0.0189,0.0954,9.4274,8.6239,0.0293,5.5700,0.0115,1.0000,0.0018,0.2143,0.0074,0.0000,9.224E-11,5.0000,0.0208,0.0458,0.0147,0.0667,2.548E-18,10.0000,0.1044,0.0176,0.0221,0.0667,3.914E-24,0.5646,0.0010,0.2993,0.0000,0.0000,1.388E-8,17.3613,0.5188,0.0121,0.0956,0.1333,1.27E-23,8.4454,0.0655,0.0221,0.0221,0.0667,9.736E-23,13.0363,0.2694,0.0139,0.0221,0.0667,1.504E-25,3.6923,0.0123,0.0667,0.0074,0.0667,4.845E-16,16.9506,0.4934,0.0122,0.0882,0.0667,2.494E-26,3.3242,0.0102,0.0752,0.0074,0.0667,2.569E-15,7.5678,0.0490,0.0258,0.0221,0.0667,8.701E-22
Analeptura_lineola,136,3.8208,4.1241,500,0.9932,15,1.2907,0.8525,0.0698,10136,4.2190,1.9097,1.4297,0.0826,0.7322,0.8983,0.0248,0.0852,0.0000,9.6084,0.0000,0.6998,19.0995,0.1626,5.1775,1.3122,0.0170,0.0000,0.1134,0.0000,0.0689,21.4876,0.0710,1.4013,4.2857,0.8635,2.3517,1.6707,13.4407,8.7508,0.0362,5.4403,0.0103,1.0000,0.0019,0.1489,0.0000,0.2667,6.05E-7,5.0000,0.0375,0.0268,0.0000,0.2667,6.421E-15,10.0000,0.2401,0.0142,0.0221,0.4000,1.092E-13,6.3732,0.0631,0.0209,0.0000,0.2667,4.233E-16,15.7944,0.5249,0.0120,0.0882,0.4667,2.629E-12,9.3939,0.1783,0.0147,0.0147,0.3333,1.323E-15,6.3732,0.0631,0.0209,0.0000,0.2667,4.233E-16,0.5624,0.0009,0.2260,0.0000,0.2000,4.014E-6,7.3951,0.0873,0.0181,0.0074,0.2667,8.484E-17,2.6064,0.0090,0.0568,0.0000,0.2667,2.2E-11,5.8815,0.0552,0.0227,0.0000,0.2667,1.031E-15
Analeptura_lineola,136,3.6593,4.0005,500,0.9904,15,4.1938,0.9948,0.0011,10136,0.8336,1.9330,3.5999,1.4011,2.2947,1.0068,2.4124,0.0162,0.0072,10.9045,0.0000,0.7550,16.1718,0.1525,9.8411,2.1550,0.7442,0.9910,0.2087,0.0308,0.1488,17.6847,0.3140,0.2245,7.6268,2.3872,0.0332,0.0804,8.5416,7.4741,0.0249,5.6054,0.0119,1.0000,0.0018,0.2290,0.0074,0.0000,2.495E-10,5.0000,0.0208,0.0506,0.0147,0.0000,3.662E-20,10.0000,0.0961,0.0189,0.0221,0.0000,1.451E-26,0.4822,0.0008,0.3419,0.0000,0.0000,1.018E-7,17.7326,0.5102,0.0122,0.0956,0.0000,2.057E-29,8.9735,0.0704,0.0221,0.0221,0.0000,1.465E-25,13.2080,0.2702,0.0144,0.0221,0.0000,2.384E-28,17.7326,0.5102,0.0122,0.0956,0.0000,2.057E-29,17.7326,0.5102,0.0122,0.0956,0.0000,2.057E-29,3.5442,0.0106,0.0764,0.0074,0.0000,1.75E-17,7.9061,0.0491,0.0267,0.0147,0.0000,2.55E-24
Analeptura_lineola,136,3.6479,3.9782,500,0.9896,15,3.9267,0.9923,0.0014,10136,2.6665,2.3737,2.4451,0.6788,1.5977,1.1319,3.4240,0.0180,0.0774,8.3618,0.0000,0.4037,18.5607,0.1829,9.2917,3.7964,0.5435,0.4924,0.1205,0.0055,0.1088,18.6605,0.3292,0.3362,5.4444,0.7098,1.0689,0.0723,8.6363,8.4522,0.0091,5.6125,0.0119,1.0000,0.0018,0.2369,0.0074,0.0000,4.148E-10,5.0000,0.0197,0.0526,0.0147,0.0000,6.5E-20,10.0000,0.0879,0.0195,0.0294,0.0667,1.735E-23,0.2813,0.0005,0.4389,0.0000,0.0000,4.325E-6,17.5374,0.5509,0.0122,0.0956,0.1333,1.411E-23,9.2069,0.0723,0.0221,0.0221,0.0000,1.465E-25,7.9537,0.0486,0.0274,0.0147,0.0000,3.738E-24,9.6264,0.0802,0.0207,0.0221,0.0000,5.563E-26,9.6264,0.0802,0.0207,0.0221,0.0000,5.563E-26,3.6437,0.0107,0.0775,0.0074,0.0000,2.205E-17,8.0497,0.0513,0.0269,0.0221,0.0000,2.847E-24
Analeptura_lineola,136,3.6410,3.9871,500,0.9901,15,4.2555,0.9948,0.0008,10136,1.8143,1.5390,2.4105,1.2878,2.6334,3.9401,2.0726,0.0213,0.0657,7.7393,0.0678,0.7168,18.4035,0.2220,5.5605,2.7110,0.2418,1.0173,0.1955,0.0273,0.1528,19.2682,0.3308,0.1172,3.1497,1.5483,0.9174,0.0298,12.6443,4.9610,4.1932,5.6304,0.0122,1.0000,0.0020,0.2316,0.0074,0.0000,2.968E-10,5.0000,0.0202,0.0544,0.0147,0.0000,1.07E-19,10.0000,0.0863,0.0204,0.0221,0.0000,4.483E-26,0.3623,0.0006,0.3850,0.0000,0.0000,6.044E-7,18.1716,0.5018,0.0122,0.0956,0.0000,2.057E-29,9.4909,0.0723,0.0221,0.0221,0.0000,1.465E-25,13.3358,0.2401,0.0147,0.0221,0.0000,3.234E-28,34.4702,0.6347,0.0093,0.2574,0.0000,3.228E-31,34.4702,0.6347,0.0093,0.2574,0.0000,3.228E-31,3.5519,0.0109,0.0814,0.0074,0.0000,4.558E-17,8.2400,0.0517,0.0274,0.0147,0.0000,3.738E-24
Analeptura_lineola,137,3.6578,3.9929,500,0.9909,14,3.7014,0.9881,0.0042,10137,4.9183,4.2044,0.6267,1.1472,0.8883,2.1939,1.7556,0.1151,0.0219,8.9106,0.0000,0.7542,17.6810,0.3950,7.0801,2.3200,0.0386,1.1301,0.1551,0.0281,0.1170,17.8553,0.0000,0.0931,3.0606,2.2892,3.3132,0.0471,10.6239,8.2314,0.0051,5.6121,0.0120,1.0000,0.0019,0.2201,0.0073,0.0000,6.255E-10,5.0000,0.0208,0.0509,0.0146,0.0714,2.055E-16,10.0000,0.0891,0.0197,0.0219,0.0714,9.433E-22,0.6778,0.0012,0.2755,0.0000,0.0000,1.453E-8,17.7461,0.4506,0.0122,0.0949,0.2143,3.229E-19,9.3042,0.0733,0.0219,0.0219,0.0714,3.656E-21,13.4139,0.2604,0.0143,0.0219,0.0714,1.45E-23,3.9917,0.0139,0.0665,0.0073,0.0714,6.519E-15,3.9915,0.0139,0.0665,0.0073,0.0000,3.3E-17,3.4379,0.0107,0.0787,0.0073,0.0000,3.51E-16,8.0541,0.0517,0.0269,0.0146,0.0714,5.351E-20
Analeptura_lineola,136,3.7038,4.0310,500,0.9904,15,3.2583,0.9629,0.0217,10136,6.4437,4.2305,1.4197,0.0161,1.3298,2.6944,2.2453,0.0000,0.0331,8.1780,0.0720,0.5760,19.2936,0.1705,9.2160,3.4007,0.6529,0.7748,0.0994,0.0000,0.6056,15.6610,1.1598,0.1479,8.1915,1.1327,0.0270,0.0157,3.3314,8.8807,0.0000,5.5547,0.0114,1.0000,0.0019,0.2057,0.0074,0.0667,2.943E-9,5.0000,0.0220,0.0435,0.0147,0.1333,1.936E-16,10.0000,0.1286,0.0167,0.0147,0.1333,7.832E-22,0.5282,0.0009,0.2980,0.0000,0.0667,4.726E-7,18.8150,0.5393,0.0117,0.0956,0.1333,8.27E-24,11.6364,0.2212,0.0147,0.0147,0.1333,1.529E-22,12.0269,0.2692,0.0143,0.0147,0.1333,1.074E-22,1.7646,0.0039,0.1333,0.0074,0.1333,3.379E-10,18.8150,0.5393,0.0117,0.0956,0.1333,8.27E-24,2.1606,0.0052,0.1106,0.0074,0.1333,3.131E-11,7.2957,0.0459,0.0255,0.0147,0.1333,1.885E-19
Analeptura_lineola,136,3.6668,4.0074,500,0.9902,15,3.8104,0.9843,0.0103,10136,4.4608,1.2318,2.0154,0.1177,2.2280,1.8662,2.7748,0.3540,0.0788,7.8133,0.0000,0.7019,18.4295,0.2266,9.7294,2.0500,0.4802,0.5930,0.1643,0.0594,0.1245,18.7365,0.3387,0.0707,5.7155,0.6140,0.8544,0.0984,9.5647,8.4971,0.0103,5.6010,0.0119,1.0000,0.0019,0.2231,0.0074,0.0000,1.685E-10,5.0000,0.0207,0.0490,0.0074,0.0667,6.647E-18,10.0000,0.1005,0.0187,0.0221,0.0667,9.746E-24,0.3207,0.0006,0.3934,0.0000,0.0000,8.35E-7,17.4127,0.5161,0.0123,0.0882,0.0667,2.79E-26,8.8698,0.0692,0.0221,0.0221,0.0667,9.736E-23,13.0609,0.2555,0.0145,0.0221,0.0667,2.695E-25,3.8996,0.0127,0.0667,0.0074,0.0667,4.845E-16,20.8787,0.5699,0.0114,0.1324,0.0667,9.811E-27,3.4867,0.0105,0.0761,0.0074,0.0667,3.025E-15,7.7799,0.0510,0.0266,0.0147,0.0667,1.325E-21
