Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Anathix_ralla,43,3.6004,4.4183,500,0.9828,6,4.5341,0.9972,0.0006,10043,11.2281,2.6724,0.9738,2.1518,17.6709,14.9045,0.1359,0.4280,2.2145,3.1148,0.0461,2.2055,12.5531,1.9992,14.9015,1.9200,0.0000,1.2605,0.6672,0.0000,0.0063,1.3146,0.3705,0.1252,1.0652,3.6664,0.0040,0.3078,2.0920,0.0000,0.0000,5.6509,0.0125,1.0000,0.0021,0.3442,0.0233,0.0000,1.663E-3,5.0000,0.0121,0.1302,0.0233,0.0000,4.881E-6,10.0000,0.0345,0.0610,0.0233,0.0000,5.171E-8,0.0866,0.0003,0.6294,0.0000,0.0000,6.216E-2,34.5390,0.3727,0.0061,0.0930,0.0000,5.021E-14,18.5972,0.1099,0.0233,0.0233,0.0000,1.6E-10,28.2699,0.2623,0.0100,0.0233,0.0000,9.746E-13,38.5434,0.4762,0.0044,0.1628,0.0000,7.072E-15,38.5434,0.4762,0.0044,0.1628,0.0000,7.072E-15,4.6994,0.0112,0.1375,0.0233,0.0000,6.761E-6,16.6476,0.0905,0.0283,0.0233,0.0000,5.114E-10
Anathix_ralla,45,3.6472,4.5140,500,0.9853,4,2.4368,0.9827,0.0050,10045,5.7087,5.8220,3.1900,1.0486,17.9889,15.7011,1.0407,0.3767,1.6981,2.8102,0.0544,1.8384,12.2850,2.0041,13.4898,2.5818,0.0000,1.3061,0.4760,0.0000,0.0411,3.8366,0.3887,0.2029,1.4475,3.8852,0.0110,0.4272,0.3180,0.0213,0.0000,5.6325,0.0123,1.0000,0.0021,0.3260,0.0222,0.0000,1.13E-2,5.0000,0.0126,0.1162,0.0222,0.0000,1.822E-4,10.0000,0.0369,0.0536,0.0222,0.0000,8.229E-6,0.1576,0.0004,0.5509,0.0000,0.0000,9.212E-2,33.9501,0.3731,0.0061,0.0889,0.7500,2.407E-2,17.9550,0.1133,0.0222,0.0222,0.2500,4.304E-5,30.1011,0.3278,0.0082,0.0222,0.7500,3.226E-2,16.9424,0.1023,0.0245,0.0222,0.0000,3.597E-7,16.9424,0.1023,0.0245,0.0222,0.0000,3.597E-7,4.5324,0.0110,0.1271,0.0222,0.0000,2.612E-4,15.6918,0.0913,0.0278,0.0222,0.0000,5.951E-7
Anathix_ralla,44,3.6252,4.3768,500,0.9807,5,4.0035,0.9938,0.0031,10044,6.2755,4.6317,3.5727,2.5549,16.2129,14.9414,0.6462,0.1211,2.4099,1.2791,0.0220,1.8529,14.6710,2.1039,17.4832,1.3971,0.0000,1.0671,0.1928,0.0000,0.0000,1.8113,0.4184,0.1178,1.1442,3.2606,0.0053,0.3625,1.4445,0.0000,0.0000,5.6341,0.0123,1.0000,0.0020,0.3427,0.0227,0.0000,4.726E-3,5.0000,0.0118,0.1291,0.0227,0.0000,3.591E-5,10.0000,0.0338,0.0595,0.0227,0.0000,7.481E-7,0.0244,0.0001,0.7230,0.0000,0.0000,1.976E-1,31.0234,0.3101,0.0076,0.0909,0.2000,1.629E-8,18.5200,0.1073,0.0227,0.0227,0.0000,6.028E-9,19.7787,0.1228,0.0199,0.0227,0.0000,3.131E-9,19.7787,0.1228,0.0199,0.0227,0.0000,3.131E-9,19.7787,0.1228,0.0199,0.0227,0.0000,3.131E-9,4.7986,0.0110,0.1340,0.0227,0.0000,4.322E-5,16.5702,0.0872,0.0278,0.0227,0.0000,1.654E-8
Anathix_ralla,43,3.6103,4.4958,500,0.9835,6,4.0615,0.9898,0.0073,10043,9.3521,4.0113,2.7068,1.5727,16.7093,16.0938,1.1857,0.2677,2.1418,0.6140,0.0531,2.2231,14.2813,2.0899,10.8251,2.5575,0.0000,0.6108,0.2664,0.0000,0.0510,1.7235,0.6356,0.1199,1.2072,4.2022,0.1029,0.9793,3.4161,0.0000,0.0000,5.6464,0.0125,1.0000,0.0020,0.3434,0.0233,0.0000,1.641E-3,5.0000,0.0120,0.1281,0.0233,0.0000,4.429E-6,10.0000,0.0353,0.0600,0.0233,0.0000,4.685E-8,0.1161,0.0003,0.6055,0.0000,0.0000,4.928E-2,37.0438,0.4558,0.0049,0.0930,0.1667,1.652E-11,18.3536,0.1081,0.0233,0.0233,0.1667,4.04E-8,27.7063,0.2447,0.0100,0.0233,0.1667,5.824E-10,11.4614,0.0439,0.0500,0.0233,0.0000,1.56E-8,11.4614,0.0439,0.0500,0.0233,0.0000,1.56E-8,4.7963,0.0111,0.1331,0.0233,0.0000,5.567E-6,16.4994,0.0867,0.0282,0.0233,0.1667,1.041E-7
Anathix_ralla,45,3.6114,4.4041,500,0.9810,4,3.1962,0.9398,0.0503,10045,11.1020,2.0712,1.3806,4.0221,16.5763,13.5970,1.2526,0.3682,2.4071,2.2128,0.0324,1.9536,13.2789,0.6604,16.5527,1.4753,0.0000,1.0301,0.2980,0.0000,0.0533,2.0131,0.5823,0.1191,0.9058,3.3972,0.0063,0.7826,1.8690,0.0000,0.0000,5.6547,0.0125,1.0000,0.0020,0.3457,0.0222,0.0000,1.429E-2,5.0000,0.0119,0.1282,0.0222,0.2500,7.622E-3,10.0000,0.0352,0.0594,0.0222,0.2500,8.023E-4,0.0242,0.0001,0.7358,0.0000,0.0000,2.931E-1,33.6099,0.3764,0.0062,0.0889,0.2500,9.362E-7,18.7000,0.1155,0.0222,0.0222,0.2500,4.304E-5,27.5055,0.2484,0.0103,0.0222,0.2500,4.279E-6,2.1917,0.0046,0.2345,0.0222,0.2500,4.253E-2,2.1914,0.0046,0.2345,0.0222,0.0000,3.026E-3,4.7512,0.0112,0.1343,0.0222,0.2500,8.712E-3,16.3637,0.0851,0.0284,0.0222,0.2500,8.941E-5
Anathix_ralla,43,3.6212,4.4968,500,0.9825,6,4.0633,0.9938,0.0033,10043,7.2298,7.3424,0.9253,0.9561,15.5146,13.9573,1.2036,0.5463,2.6170,2.7446,0.0870,1.4420,15.8323,2.3564,13.0333,1.5542,0.0000,0.2710,0.8321,0.0000,0.0081,2.1774,0.6705,0.0634,1.8082,3.8880,0.1243,0.9118,1.9028,0.0000,0.0000,5.6782,0.0129,1.0000,0.0021,0.3451,0.0233,0.0000,1.69E-3,5.0000,0.0123,0.1335,0.0233,0.0000,5.668E-6,10.0000,0.0346,0.0633,0.0233,0.0000,6.45E-8,0.0634,0.0002,0.6521,0.0000,0.0000,7.689E-2,34.8720,0.3748,0.0060,0.0930,0.1667,4.544E-11,18.9581,0.1136,0.0233,0.0233,0.1667,4.04E-8,31.4932,0.3083,0.0080,0.0233,0.1667,1.912E-10,18.7388,0.1099,0.0238,0.0233,0.0000,1.816E-10,18.7388,0.1099,0.0238,0.0233,0.0000,1.816E-10,4.7635,0.0115,0.1393,0.0233,0.0000,7.307E-6,16.7835,0.0853,0.0291,0.0233,0.0000,6.041E-10
Anathix_ralla,43,3.8610,4.6556,500,0.9969,6,1.8845,0.8515,0.1299,10043,3.5679,5.0066,5.4574,0.8611,15.7791,15.1173,0.4789,0.0136,1.9229,1.6135,0.0687,2.2486,15.8265,1.8327,16.5493,3.0293,0.0070,2.5276,0.0625,0.0000,0.0000,1.1406,0.8128,0.2433,0.6267,3.2372,0.0662,0.1811,1.7215,0.0000,0.0000,5.4400,0.0101,1.0000,0.0020,0.2562,0.0000,0.1667,5.209E-3,5.0000,0.0137,0.0896,0.0000,0.1667,3.209E-5,10.0000,0.0400,0.0417,0.0000,0.1667,7.32E-7,15.1100,0.0869,0.0228,0.0000,0.1667,3.628E-8,28.7551,0.3044,0.0066,0.0930,0.3333,2.768E-8,15.1514,0.0871,0.0228,0.0233,0.3333,3.908E-6,15.1100,0.0869,0.0228,0.0000,0.1667,3.628E-8,2.2271,0.0048,0.1667,0.0000,0.1667,6.648E-4,15.1100,0.0869,0.0228,0.0000,0.1667,3.628E-8,3.6507,0.0091,0.1169,0.0000,0.1667,1.182E-4,15.1100,0.0869,0.0229,0.0000,0.1667,3.708E-8
Anathix_ralla,45,3.6538,4.4743,500,0.9824,4,3.8871,0.9860,0.0103,10045,8.0782,2.2274,2.0024,2.3927,16.4815,15.7009,0.4463,0.1779,3.1253,1.7246,0.0000,2.1488,13.7373,1.9582,16.2043,2.2907,0.0000,0.9823,0.2594,0.0000,0.0000,1.6498,0.4243,0.1493,1.5459,3.2086,0.0070,0.7342,2.3426,0.0000,0.0000,5.6002,0.0119,1.0000,0.0020,0.3211,0.0222,0.0000,1.062E-2,5.0000,0.0124,0.1202,0.0222,0.0000,2.085E-4,10.0000,0.0345,0.0570,0.0222,0.0000,1.059E-5,0.0348,0.0001,0.6755,0.0000,0.0000,2.082E-1,32.1042,0.3279,0.0064,0.0889,0.2500,1.03E-6,18.2981,0.1052,0.0222,0.0222,0.2500,4.304E-5,26.9087,0.2375,0.0099,0.0222,0.2500,3.801E-6,11.0786,0.0414,0.0497,0.0222,0.0000,6.09E-6,11.0786,0.0414,0.0497,0.0222,0.0000,6.09E-6,4.4617,0.0107,0.1326,0.0222,0.0000,3.092E-4,16.4392,0.0872,0.0269,0.0222,0.2500,7.611E-5
Anathix_ralla,45,3.6065,4.4233,500,0.9827,4,4.9484,0.9983,0.0007,10045,10.3479,5.5767,0.5709,0.0065,18.8345,14.0221,0.3837,0.4466,2.2832,1.9971,0.0266,2.1299,12.6727,1.8491,15.4087,1.6269,0.0000,1.1128,0.2785,0.0000,0.0000,2.2230,0.5271,0.1673,1.1460,3.6383,0.0392,0.7492,1.9355,0.0000,0.0000,5.6440,0.0124,1.0000,0.0021,0.3309,0.0222,0.0000,1.199E-2,5.0000,0.0127,0.1243,0.0222,0.0000,2.39E-4,10.0000,0.0352,0.0590,0.0222,0.0000,1.215E-5,0.0491,0.0002,0.6616,0.0000,0.0000,1.916E-1,32.8960,0.3455,0.0067,0.0889,0.0000,1.979E-9,18.5828,0.1107,0.0222,0.0222,0.0000,2.429E-7,27.7739,0.2600,0.0101,0.0222,0.0000,1.022E-8,43.3006,0.6547,0.0036,0.2222,0.0000,1.65E-10,43.3006,0.6547,0.0036,0.2222,0.0000,1.65E-10,4.5846,0.0111,0.1341,0.0222,0.0000,3.233E-4,16.2888,0.0859,0.0281,0.0222,0.0000,6.212E-7
Anathix_ralla,45,3.7946,4.5475,500,0.9843,4,-1.1400,0.6919,0.1649,10045,10.0597,2.6218,1.2535,0.5827,15.9058,15.8386,1.7004,1.0386,2.9785,1.1121,0.0490,2.0398,12.6809,2.0403,13.5182,4.7962,0.0000,0.5121,0.1257,0.0000,0.0000,1.5458,0.4585,0.6009,0.9294,3.3821,0.0092,0.3269,3.8931,0.0000,0.0000,5.5159,0.0108,1.0000,0.0018,0.3214,0.0222,0.5000,3.861E-1,5.0000,0.0114,0.1144,0.0222,0.5000,6.704E-2,10.0000,0.0345,0.0520,0.0222,0.5000,1.51E-2,0.1151,0.0003,0.5869,0.0000,0.2500,4.526E-1,34.0330,0.4616,0.0047,0.0889,0.7500,1.858E-2,16.9068,0.0902,0.0222,0.0222,0.5000,2.87E-3,19.5199,0.1229,0.0167,0.0222,0.7500,6.524E-2,0.5585,0.0011,0.3998,0.0222,0.5000,5.245E-1,18.3112,0.1082,0.0189,0.0222,0.5000,2.093E-3,4.4450,0.0098,0.1274,0.0222,0.5000,8.166E-2,15.9838,0.0783,0.0247,0.0222,0.5000,3.538E-3
