Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Anchytarsus_bicolor,32,4.2123,4.8940,500,0.9976,4,2.5832,0.9666,0.0239,10032,2.1162,0.8986,0.6307,0.0024,1.2425,1.3273,1.4322,1.7607,59.0066,11.1207,4.4344,3.5528,1.9365,0.2433,0.0044,0.3773,0.0775,0.3158,0.0786,1.5599,0.0000,0.0538,0.7168,0.0000,0.0000,5.7999,0.1693,0.0000,1.1387,0.0032,0.0000,5.0104,0.0067,1.0000,0.0018,0.1471,0.0000,0.0000,4.686E-4,5.0000,0.0170,0.0407,0.0000,0.2500,2.609E-4,10.0000,0.0631,0.0173,0.0000,0.2500,2.06E-5,13.0049,0.1205,0.0126,0.0000,0.5000,9.307E-4,28.1514,0.3829,0.0050,0.0938,0.5000,1.481E-4,13.0049,0.1205,0.0126,0.0000,0.5000,9.307E-4,13.0049,0.1205,0.0126,0.0000,0.5000,9.307E-4,1.4745,0.0029,0.1157,0.0000,0.0000,1.794E-4,1.4745,0.0029,0.1157,0.0000,0.0000,1.794E-4,2.5588,0.0059,0.0770,0.0000,0.2500,1.718E-3,11.2993,0.0777,0.0149,0.0000,0.2500,1.296E-5
Anchytarsus_bicolor,32,4.2469,4.9255,500,0.9974,4,2.4261,0.9756,0.0149,10032,1.6176,1.9547,0.1781,0.1188,2.2153,1.4649,0.6364,2.1022,53.3295,10.2502,5.0759,1.7206,4.0160,0.0291,0.0071,0.3868,1.6226,0.0000,0.0000,2.8180,0.0000,0.0157,0.9310,1.1602,0.0000,7.1410,0.0157,0.0000,1.1927,0.0000,0.0000,4.9950,0.0066,1.0000,0.0016,0.1606,0.0000,0.0000,6.65E-4,5.0000,0.0153,0.0430,0.0000,0.2500,3.07E-4,10.0000,0.0613,0.0187,0.0000,0.2500,2.596E-5,13.4000,0.1073,0.0131,0.0000,0.2500,8.819E-6,28.7663,0.3320,0.0048,0.0938,0.7500,1.9E-2,13.4000,0.1073,0.0131,0.0000,0.2500,8.819E-6,13.4000,0.1073,0.0131,0.0000,0.2500,8.819E-6,2.8300,0.0060,0.0757,0.0000,0.0000,3.277E-5,2.8300,0.0060,0.0757,0.0000,0.0000,3.277E-5,2.8300,0.0060,0.0757,0.0000,0.0000,3.277E-5,12.2699,0.0912,0.0147,0.0000,0.2500,1.245E-5
Anchytarsus_bicolor,32,4.3737,5.0569,500,0.9979,4,-1.2309,0.8358,0.0745,10032,0.3384,2.6853,0.3699,0.0088,2.9083,2.2707,0.8002,1.0894,0.0204,66.4915,5.8750,1.1543,4.0166,0.8990,0.0000,0.0828,1.2903,0.3304,0.7928,0.3606,0.0000,0.0746,0.0000,0.0111,0.1282,7.5754,0.3661,0.0590,0.0009,0.0000,0.0000,4.8526,0.0057,1.0000,0.0021,0.1109,0.0000,0.7500,3.752E-1,5.0000,0.0191,0.0316,0.0000,0.7500,1.205E-1,10.0000,0.0690,0.0140,0.0000,0.7500,5.466E-2,15.2678,0.1717,0.0085,0.0000,0.7500,3.346E-2,31.0424,0.4491,0.0037,0.0938,0.7500,1.467E-2,15.2678,0.1717,0.0085,0.0000,0.7500,3.346E-2,15.2678,0.1717,0.0085,0.0000,0.7500,3.346E-2,0.1243,0.0002,0.2500,0.0000,0.2500,5.078E-2,0.7632,0.0015,0.1275,0.0000,0.2500,7.497E-3,2.0636,0.0050,0.0698,0.0000,0.7500,2.512E-1,10.7824,0.0807,0.0128,0.0000,0.7500,5.007E-2
Anchytarsus_bicolor,32,4.3584,5.0412,500,0.9978,4,1.6022,0.9533,0.0308,10032,4.3718,2.5701,0.1230,0.0000,1.1580,1.8545,0.3088,1.6759,44.5182,9.6172,8.3820,2.7405,3.7835,0.3572,1.3629,0.4015,0.4952,0.0000,0.0000,2.3919,0.0000,0.0000,0.1971,0.0242,0.0329,11.7911,0.6383,0.0000,1.0765,0.1279,0.0000,4.8790,0.0058,1.0000,0.0013,0.1501,0.0000,0.2500,1.201E-2,5.0000,0.0153,0.0369,0.0000,0.2500,1.951E-4,10.0000,0.0633,0.0156,0.0000,0.5000,1.439E-3,12.7253,0.0993,0.0115,0.0000,0.5000,7.764E-4,30.8796,0.4533,0.0036,0.0938,0.7500,1.428E-2,12.7253,0.0993,0.0115,0.0000,0.5000,7.764E-4,12.7253,0.0993,0.0115,0.0000,0.5000,7.764E-4,0.9745,0.0013,0.1527,0.0000,0.2500,1.261E-2,0.9742,0.0013,0.1527,0.0000,0.0000,5.439E-4,2.5414,0.0052,0.0733,0.0000,0.2500,1.487E-3,11.5935,0.0820,0.0131,0.0000,0.5000,1.005E-3
Anchytarsus_bicolor,32,4.1095,4.8469,500,0.9974,4,5.0333,0.9980,0.0006,10032,0.8756,1.1478,1.3951,0.5639,1.6435,1.6941,0.2511,2.7306,51.3386,9.9828,6.2685,1.6391,4.8386,0.1584,0.0242,0.3436,0.7754,0.0000,0.0410,3.2569,0.0000,0.0133,0.2239,0.1980,0.1156,8.2388,0.8409,0.0112,1.3461,0.0432,0.0000,5.1387,0.0076,1.0000,0.0019,0.1754,0.0000,0.0000,9.473E-4,5.0000,0.0146,0.0528,0.0000,0.0000,7.79E-6,10.0000,0.0534,0.0230,0.0000,0.0000,2.811E-7,13.0169,0.0889,0.0161,0.0000,0.0000,6.8E-8,33.0612,0.4389,0.0046,0.0938,0.0000,4.421E-10,13.0744,0.0893,0.0161,0.0312,0.0000,6.8E-8,13.0169,0.0889,0.0161,0.0000,0.0000,6.8E-8,37.6797,0.4875,0.0037,0.1562,0.0000,1.85E-10,37.6797,0.4875,0.0037,0.1562,0.0000,1.85E-10,2.8380,0.0067,0.0886,0.0000,0.0000,6.167E-5,12.6268,0.0835,0.0169,0.0000,0.0000,8.246E-8
Anchytarsus_bicolor,32,4.0792,4.8520,500,0.9975,4,5.4793,0.9991,0.0003,10032,1.9289,1.0612,0.1926,3.9165,1.3372,1.6018,0.5770,2.0904,46.5118,9.4019,8.3394,1.3436,3.3493,0.1095,0.0544,0.4176,1.1073,0.0000,0.0553,3.3693,0.0000,0.0000,0.9763,0.2123,0.1228,10.3608,0.2003,0.0000,1.3465,0.0158,0.0000,5.1504,0.0077,1.0000,0.0020,0.1691,0.0000,0.0000,8.169E-4,5.0000,0.0156,0.0509,0.0000,0.0000,6.732E-6,10.0000,0.0557,0.0224,0.0000,0.0000,2.53E-7,15.6303,0.1473,0.0124,0.0000,0.0000,2.334E-8,33.4024,0.4564,0.0045,0.0938,0.0000,4.049E-10,15.6303,0.1473,0.0124,0.0000,0.0000,2.334E-8,15.6303,0.1473,0.0124,0.0000,0.0000,2.334E-8,63.6660,0.7902,0.0015,0.4688,0.0000,4.998E-12,63.6660,0.7902,0.0015,0.4688,0.0000,4.998E-12,2.7218,0.0068,0.0888,0.0000,0.0000,6.222E-5,12.3208,0.0821,0.0171,0.0000,0.0000,8.641E-8
Anchytarsus_bicolor,33,4.3422,5.0556,500,0.9980,3,0.3918,0.9317,0.0289,10033,1.9993,0.6312,1.4518,0.0686,0.4176,2.0863,0.9332,1.8705,50.1933,10.9811,7.1120,0.7005,4.2916,0.5115,0.0000,0.4511,1.3333,0.1036,0.0308,2.7373,0.0000,0.0000,1.1780,0.0000,0.0022,9.3910,0.1358,0.1019,1.2692,0.0173,0.0000,4.8760,0.0058,1.0000,0.0018,0.1257,0.0000,0.3333,4.342E-2,5.0000,0.0170,0.0326,0.0000,0.6667,9.463E-2,10.0000,0.0742,0.0141,0.0000,0.6667,4.157E-2,16.0715,0.1854,0.0082,0.0000,0.6667,2.432E-2,29.2630,0.4324,0.0041,0.0909,0.6667,1.221E-2,16.0715,0.1854,0.0082,0.0000,0.6667,2.432E-2,16.0715,0.1854,0.0082,0.0000,0.6667,2.432E-2,0.9946,0.0018,0.1261,0.0000,0.0000,2.004E-3,0.9946,0.0018,0.1261,0.0000,0.0000,2.004E-3,2.3398,0.0052,0.0701,0.0000,0.6667,1.958E-1,10.6616,0.0834,0.0131,0.0000,0.6667,3.866E-2
Anchytarsus_bicolor,33,4.1219,4.8411,500,0.9974,3,5.0123,0.9985,0.0010,10033,1.9202,2.6303,0.5370,0.4517,1.8659,1.9058,0.6130,3.0647,46.2292,12.5484,4.2181,1.9112,3.6071,0.1000,0.0186,0.3130,0.4069,0.1161,0.0274,2.6744,0.0000,0.0000,0.5353,0.0462,0.0162,12.7483,0.7366,0.0000,0.7213,0.0370,0.0000,5.1091,0.0074,1.0000,0.0018,0.1651,0.0000,0.0000,4.497E-3,5.0000,0.0152,0.0487,0.0000,0.0000,1.158E-4,10.0000,0.0565,0.0213,0.0000,0.0000,9.704E-6,13.3598,0.0988,0.0145,0.0000,0.0000,3.019E-6,31.1338,0.4141,0.0049,0.0909,0.0000,1.165E-7,13.3598,0.0988,0.0145,0.0000,0.0000,3.019E-6,13.3598,0.0988,0.0145,0.0000,0.0000,3.019E-6,35.4977,0.4686,0.0039,0.1515,0.0000,5.874E-8,35.4977,0.4686,0.0039,0.1515,0.0000,5.874E-8,2.7164,0.0065,0.0856,0.0000,0.0000,6.276E-4,12.2171,0.0824,0.0164,0.0000,0.0000,4.448E-6
Anchytarsus_bicolor,33,4.0975,4.8428,500,0.9975,3,5.3588,0.9986,0.0004,10033,1.5810,0.4255,1.4400,0.0032,1.6304,2.4267,0.5151,1.9509,47.3142,10.4397,8.0666,1.5244,4.3293,0.3626,0.0090,0.4050,0.8910,0.2971,0.0470,2.5617,0.0000,0.0017,0.6780,0.0020,0.0052,11.9568,0.4211,0.0059,0.6922,0.0166,0.0000,5.1311,0.0075,1.0000,0.0020,0.1618,0.0000,0.0000,4.233E-3,5.0000,0.0164,0.0487,0.0000,0.0000,1.158E-4,10.0000,0.0577,0.0219,0.0000,0.0000,1.054E-5,15.5542,0.1453,0.0124,0.0000,0.0000,1.888E-6,31.5892,0.4289,0.0049,0.0909,0.0000,1.165E-7,15.5542,0.1453,0.0124,0.0000,0.0000,1.888E-6,15.5542,0.1453,0.0124,0.0000,0.0000,1.888E-6,57.4267,0.7702,0.0019,0.4242,0.0000,6.792E-9,57.4267,0.7702,0.0019,0.4242,0.0000,6.792E-9,2.6647,0.0067,0.0862,0.0000,0.0000,6.408E-4,12.2917,0.0853,0.0168,0.0000,0.0000,4.779E-6
Anchytarsus_bicolor,33,4.2080,4.9389,500,0.9976,3,3.1783,0.9635,0.0297,10033,0.9734,1.3172,1.1544,0.2513,1.5262,1.8006,0.4879,1.9045,50.5585,10.5210,5.2455,1.4916,3.1486,0.0472,0.0000,0.8229,1.1625,0.1831,0.0413,3.1573,0.0000,0.0000,0.5487,0.0000,0.0000,11.4794,0.2711,0.0367,1.7280,0.0764,0.0645,5.0312,0.0068,1.0000,0.0016,0.1654,0.0000,0.0000,4.521E-3,5.0000,0.0154,0.0423,0.0000,0.3333,5.207E-3,10.0000,0.0608,0.0174,0.0000,0.3333,9.021E-4,12.7539,0.1081,0.0128,0.0000,0.3333,4.841E-4,34.6233,0.5037,0.0038,0.0909,0.3333,4.293E-5,12.7539,0.1081,0.0128,0.0000,0.3333,4.841E-4,12.7539,0.1081,0.0128,0.0000,0.3333,4.841E-4,1.8673,0.0034,0.1093,0.0000,0.0000,1.307E-3,1.8673,0.0034,0.1093,0.0000,0.0000,1.307E-3,2.8870,0.0061,0.0753,0.0000,0.3333,1.614E-2,11.0848,0.0801,0.0152,0.0000,0.3333,6.906E-4
