Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ancylis_discigerana,37,4.4105,5.1716,500,0.9978,5,5.4568,0.9984,0.0004,10037,6.5849,5.5288,3.3268,0.5798,6.5762,6.8392,2.2412,9.7905,0.0772,2.4187,0.0000,1.5073,17.8106,0.7202,0.0000,1.5433,0.1207,0.6592,0.0000,1.2252,0.3100,0.0698,0.0000,0.0000,0.0940,5.9682,0.0300,25.6641,0.3141,0.0000,0.0000,4.8444,0.0053,1.0000,0.0009,0.2493,0.0000,0.0000,9.625E-4,5.0000,0.0082,0.0597,0.0000,0.0000,7.57E-7,10.0000,0.0330,0.0203,0.0000,0.0000,3.468E-9,12.0931,0.0508,0.0140,0.0000,0.0000,5.471E-10,25.3211,0.5555,0.0035,0.0811,0.0000,5.156E-13,12.1356,0.0512,0.0140,0.0270,0.0000,5.471E-10,12.0931,0.0508,0.0140,0.0000,0.0000,5.471E-10,52.7343,0.7473,0.0021,0.4324,0.0000,4.009E-14,52.7343,0.7473,0.0021,0.4324,0.0000,4.009E-14,3.7120,0.0050,0.0850,0.0000,0.0000,4.433E-6,12.7794,0.0587,0.0127,0.0270,0.0000,3.243E-10
Ancylis_discigerana,37,4.4304,5.1919,500,0.9979,5,4.9925,0.9973,0.0006,10037,5.0764,4.1141,3.9783,0.6258,8.9149,3.9991,1.5393,9.8977,0.5347,2.2778,0.0000,0.2077,21.0258,0.7003,0.0000,1.2187,0.1101,0.6156,0.0302,1.3160,0.3797,0.1946,0.0033,0.0000,0.0000,4.7367,0.0000,27.9216,0.5816,0.0000,0.0000,4.8200,0.0051,1.0000,0.0008,0.2608,0.0000,0.0000,1.207E-3,5.0000,0.0075,0.0606,0.0000,0.0000,8.156E-7,10.0000,0.0302,0.0199,0.0000,0.0000,3.141E-9,12.7817,0.0573,0.0121,0.0000,0.0000,2.546E-10,24.4316,0.5384,0.0035,0.0811,0.2000,7.372E-10,12.7817,0.0573,0.0121,0.0000,0.0000,2.546E-10,12.7817,0.0573,0.0121,0.0000,0.0000,2.546E-10,21.4213,0.2882,0.0039,0.0541,0.0000,8.857E-13,21.4213,0.2882,0.0039,0.0541,0.0000,8.857E-13,3.8556,0.0049,0.0836,0.0000,0.0000,4.081E-6,12.6843,0.0562,0.0123,0.0000,0.0000,2.764E-10
Ancylis_discigerana,38,4.4245,5.1841,500,0.9979,4,5.4126,0.9983,0.0005,10038,4.4843,2.1590,7.5130,0.6026,8.7303,5.8799,1.6438,7.9300,0.0802,1.8026,0.0000,1.4588,20.0417,0.5164,0.0031,1.4337,0.1577,0.5962,0.7286,1.2186,1.0379,0.1117,0.0088,0.0146,0.0480,4.5006,0.0191,26.6943,0.5844,0.0000,0.0000,4.7718,0.0049,1.0000,0.0009,0.2180,0.0000,0.0000,2.257E-3,5.0000,0.0090,0.0492,0.0000,0.0000,5.866E-6,10.0000,0.0363,0.0167,0.0000,0.0000,7.846E-8,12.9235,0.0662,0.0102,0.0000,0.0000,1.066E-8,23.7996,0.5473,0.0036,0.0789,0.0000,1.654E-10,12.9235,0.0662,0.0102,0.0000,0.0000,1.066E-8,12.9235,0.0662,0.0102,0.0000,0.0000,1.066E-8,45.4731,0.6947,0.0023,0.2368,0.0000,2.756E-11,45.4731,0.6947,0.0023,0.2368,0.0000,2.756E-11,3.3962,0.0047,0.0781,0.0000,0.0000,3.721E-5,12.0301,0.0563,0.0118,0.0000,0.0000,1.91E-8
Ancylis_discigerana,38,4.4207,5.1729,500,0.9978,4,5.2345,0.9972,0.0005,10038,2.6664,7.5541,0.4138,2.9478,10.1607,7.3737,1.4313,14.8122,0.1591,1.9271,0.0000,1.1282,15.8999,0.8263,0.0000,1.4060,0.0822,0.6813,0.0000,1.1787,0.3868,0.2642,0.0000,0.0000,0.0286,5.1372,0.0012,23.2545,0.2787,0.0000,0.0000,4.7961,0.0051,1.0000,0.0009,0.2237,0.0000,0.0000,2.506E-3,5.0000,0.0088,0.0511,0.0000,0.0000,6.822E-6,10.0000,0.0355,0.0174,0.0000,0.0000,9.238E-8,12.0683,0.0593,0.0122,0.0000,0.0000,2.182E-8,24.2315,0.5515,0.0036,0.0789,0.0000,1.654E-10,12.0683,0.0593,0.0122,0.0000,0.0000,2.182E-8,12.0683,0.0593,0.0122,0.0000,0.0000,2.182E-8,28.5995,0.6778,0.0033,0.1316,0.0000,1.168E-10,28.5995,0.6778,0.0033,0.1316,0.0000,1.168E-10,3.4861,0.0048,0.0788,0.0000,0.0000,3.856E-5,12.1736,0.0601,0.0121,0.0263,0.0000,2.111E-8
Ancylis_discigerana,38,4.4817,5.2162,500,0.9979,4,3.9756,0.9854,0.0110,10038,5.7206,2.8503,6.0207,2.7449,12.1811,5.2827,2.4948,8.0577,0.1439,0.0000,0.0000,2.3790,16.0013,0.6371,0.0000,1.7828,0.1844,0.4519,0.0309,2.2230,0.1776,0.1877,0.0000,0.0352,0.1380,3.8017,0.0000,26.1301,0.3424,0.0000,0.0000,4.7518,0.0048,1.0000,0.0008,0.2377,0.0000,0.0000,3.192E-3,5.0000,0.0081,0.0504,0.0000,0.2500,4.93E-4,10.0000,0.0359,0.0161,0.0000,0.2500,1.661E-5,12.1720,0.0583,0.0110,0.0000,0.2500,5.221E-6,23.9077,0.6133,0.0035,0.0789,0.2500,1.691E-7,12.1720,0.0583,0.0110,0.0000,0.2500,5.221E-6,12.1720,0.0583,0.0110,0.0000,0.2500,5.221E-6,4.8369,0.0077,0.0528,0.0000,0.0000,7.772E-6,4.8369,0.0077,0.0528,0.0000,0.0000,7.772E-6,3.6321,0.0046,0.0760,0.0000,0.0000,3.338E-5,11.9123,0.0552,0.0115,0.0000,0.2500,5.963E-6
Ancylis_discigerana,38,4.5576,5.2464,500,0.9979,4,2.4481,0.8169,0.1570,10038,5.3409,1.3768,1.3864,0.4116,9.2340,7.6183,1.9136,11.5699,1.1065,2.2921,0.0000,0.1678,16.8349,0.8529,0.0000,1.3260,0.1019,0.5180,0.0986,1.7046,0.2359,0.0000,0.0000,0.0000,0.0000,6.4721,0.0000,29.0879,0.3495,0.0000,0.0000,4.6663,0.0045,1.0000,0.0008,0.1970,0.0000,0.2500,2.604E-2,5.0000,0.0090,0.0395,0.0000,0.2500,2.401E-4,10.0000,0.0422,0.0119,0.0263,0.2500,6.605E-6,9.8737,0.0413,0.0123,0.0000,0.2500,7.292E-6,24.0728,0.6180,0.0035,0.0789,0.2500,1.691E-7,9.8737,0.0413,0.0123,0.0000,0.2500,7.292E-6,9.8737,0.0413,0.0123,0.0000,0.2500,7.292E-6,0.6607,0.0005,0.2500,0.0000,0.2500,5.081E-2,46.0024,0.6923,0.0023,0.2105,0.2500,4.803E-8,3.2895,0.0042,0.0687,0.0000,0.2500,1.232E-3,10.6308,0.0491,0.0106,0.0263,0.2500,4.673E-6
Ancylis_discigerana,38,4.5755,5.2920,500,0.9981,4,3.0072,0.8900,0.0935,10038,5.8372,3.0626,6.7627,0.7600,7.1464,8.9068,2.1468,8.0937,0.0701,2.0173,0.0000,0.6395,19.9419,0.5781,0.0000,1.2682,0.0421,0.4408,0.0983,0.6599,0.3628,0.3092,0.0000,0.0000,0.0324,4.0254,0.0514,26.6923,0.0538,0.0000,0.0000,4.6647,0.0045,1.0000,0.0008,0.1974,0.0000,0.2500,2.623E-2,5.0000,0.0099,0.0374,0.0000,0.2500,2.027E-4,10.0000,0.0446,0.0119,0.0000,0.2500,6.605E-6,15.5123,0.1453,0.0051,0.0000,0.2500,5.226E-7,24.0400,0.5898,0.0035,0.0789,0.2500,1.691E-7,15.5123,0.1453,0.0051,0.0000,0.2500,5.226E-7,15.5123,0.1453,0.0051,0.0000,0.2500,5.226E-7,0.6837,0.0005,0.2500,0.0000,0.2500,5.081E-2,46.1905,0.6911,0.0023,0.2105,0.2500,4.803E-8,3.2521,0.0042,0.0659,0.0000,0.2500,1.091E-3,10.6213,0.0519,0.0106,0.0000,0.2500,4.673E-6
Ancylis_discigerana,38,4.4879,5.2055,500,0.9979,4,3.4471,0.9535,0.0383,10038,4.4588,5.7526,0.8949,3.1140,7.7742,6.6397,2.5085,11.0644,0.0000,2.9139,0.0000,0.5854,17.9711,0.6912,0.0000,1.2728,0.1564,0.4562,0.0271,0.7433,0.6859,0.0293,0.0000,0.0000,0.0120,4.7807,0.0000,27.1340,0.3336,0.0000,0.0000,4.7412,0.0048,1.0000,0.0008,0.2247,0.0000,0.0000,2.551E-3,5.0000,0.0084,0.0470,0.0000,0.2500,4.012E-4,10.0000,0.0391,0.0151,0.0000,0.2500,1.373E-5,12.5130,0.0644,0.0098,0.0000,0.2500,3.695E-6,23.0368,0.5330,0.0036,0.0789,0.2500,1.84E-7,12.5130,0.0644,0.0098,0.0000,0.2500,3.695E-6,12.5130,0.0644,0.0098,0.0000,0.2500,3.695E-6,1.3940,0.0012,0.1793,0.0000,0.2500,1.996E-2,1.3939,0.0012,0.1793,0.0000,0.0000,1.034E-3,3.5721,0.0045,0.0734,0.0000,0.2500,1.496E-3,11.6543,0.0539,0.0114,0.0000,0.2500,5.809E-6
Ancylis_discigerana,38,4.4119,5.1596,500,0.9978,4,5.4040,0.9983,0.0004,10038,5.8270,7.0877,2.4870,0.7063,6.8099,5.9569,1.6920,10.6871,0.2799,1.8416,0.0000,1.2789,17.5391,0.7054,0.0000,1.2992,0.1166,0.7958,0.0132,1.2807,0.4199,0.0996,0.0000,0.0000,0.0000,5.2287,0.0000,27.3506,0.4966,0.0000,0.0000,4.8319,0.0052,1.0000,0.0009,0.2415,0.0000,0.0000,3.4E-3,5.0000,0.0084,0.0564,0.0000,0.0000,1.011E-5,10.0000,0.0361,0.0189,0.0000,0.0000,1.284E-7,11.7583,0.0489,0.0139,0.0000,0.0000,3.784E-8,24.6210,0.5476,0.0036,0.0789,0.0000,1.654E-10,11.7583,0.0489,0.0139,0.0263,0.0000,3.784E-8,11.7583,0.0489,0.0139,0.0000,0.0000,3.784E-8,46.5879,0.7127,0.0023,0.2368,0.0000,2.756E-11,46.5879,0.7127,0.0023,0.2368,0.0000,2.756E-11,3.6783,0.0050,0.0816,0.0000,0.0000,4.431E-5,12.4321,0.0578,0.0125,0.0263,0.0000,2.405E-8
Ancylis_discigerana,38,4.4773,5.2296,500,0.9979,4,2.5881,0.8520,0.1256,10038,1.7071,2.9924,4.4793,4.9939,12.2016,9.9685,3.7040,7.5478,0.4362,1.4025,0.4056,1.0348,22.7462,0.1979,0.0000,1.3987,0.0294,0.3956,0.0577,0.4204,0.3424,0.1250,0.0000,0.0000,0.0613,3.8918,0.0017,19.4056,0.0527,0.0000,0.0000,4.7620,0.0048,1.0000,0.0008,0.2459,0.0000,0.2500,4.849E-2,5.0000,0.0075,0.0570,0.0000,0.2500,7.085E-4,10.0000,0.0307,0.0178,0.0000,0.2500,2.238E-5,12.8340,0.0550,0.0101,0.0000,0.2500,4.044E-6,22.8302,0.6045,0.0036,0.0789,0.2500,1.84E-7,12.8340,0.0550,0.0101,0.0000,0.2500,4.044E-6,12.8340,0.0550,0.0101,0.0000,0.2500,4.044E-6,0.9732,0.0007,0.2500,0.0000,0.2500,5.081E-2,21.5238,0.5489,0.0036,0.0526,0.2500,1.84E-7,3.8009,0.0046,0.0811,0.0000,0.2500,2.003E-3,12.1819,0.0476,0.0116,0.0000,0.2500,6.119E-6
