Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Andrena_crataegi,54,4.5968,5.0894,500,0.9973,7,3.1215,0.9645,0.0259,10054,4.5198,6.6001,2.0468,0.7670,5.1728,7.1594,0.0000,6.2402,0.0389,13.2036,1.1099,4.8201,17.5204,0.0000,0.0000,5.3598,0.0809,0.0528,0.0014,0.0042,0.0086,14.5268,0.5414,0.0975,0.0000,0.0194,7.1794,0.0024,2.7061,0.1378,0.0824,4.6244,0.0045,1.0000,0.0010,0.1228,0.0000,0.1429,2.152E-5,5.0000,0.0154,0.0182,0.0000,0.2857,4.069E-8,10.0000,0.1577,0.0061,0.0000,0.2857,1.709E-10,12.2075,0.4176,0.0054,0.0000,0.2857,9.302E-11,19.5382,0.6121,0.0048,0.0370,0.2857,5.167E-11,12.2075,0.4176,0.0054,0.0000,0.2857,9.302E-11,12.2075,0.4176,0.0054,0.0000,0.2857,9.302E-11,0.8331,0.0007,0.1428,0.0000,0.1429,5.215E-5,3.1576,0.0061,0.0369,0.0000,0.1429,1.711E-8,2.3819,0.0040,0.0529,0.0000,0.1429,1.467E-7,6.9011,0.0372,0.0100,0.0000,0.2857,2.113E-9
Andrena_crataegi,55,4.5684,5.0529,500,0.9973,6,3.8047,0.9719,0.0227,10055,8.5551,4.5023,2.5809,1.3515,3.2945,7.2541,0.0000,12.9322,0.0000,9.6273,1.3745,4.4101,17.2421,0.0000,0.0000,10.7540,0.0294,0.0000,0.0000,0.0000,0.0216,9.3776,0.0000,0.1597,0.0000,0.0250,4.7916,0.0206,1.2999,0.3866,0.0094,4.6552,0.0046,1.0000,0.0008,0.1405,0.0000,0.1667,2.903E-4,5.0000,0.0160,0.0183,0.0000,0.1667,1.212E-8,10.0000,0.1413,0.0063,0.0000,0.1667,5.763E-11,12.5624,0.3993,0.0054,0.0000,0.1667,2.668E-11,16.4915,0.6253,0.0052,0.0545,0.1667,2.21E-11,12.5624,0.3993,0.0054,0.0000,0.1667,2.668E-11,12.5624,0.3993,0.0054,0.0000,0.1667,2.668E-11,0.9090,0.0008,0.1525,0.0000,0.1667,4.315E-4,0.9088,0.0008,0.1525,0.0000,0.0000,1.256E-5,2.6449,0.0042,0.0499,0.0000,0.1667,1.784E-6,6.8842,0.0395,0.0104,0.0000,0.1667,7.386E-10
Andrena_crataegi,55,4.5250,5.0470,500,0.9973,6,5.0985,0.9980,0.0006,10055,7.7416,4.8148,5.3443,1.3077,4.6503,9.2587,0.2459,11.8155,0.0000,6.5972,2.0986,1.8023,17.9648,0.0000,0.0000,9.1040,0.0882,0.0145,0.0000,0.1300,0.0484,10.2023,0.0000,0.1549,0.0000,0.0000,5.8189,0.0000,0.1302,0.6152,0.0518,4.7003,0.0048,1.0000,0.0010,0.1379,0.0000,0.0000,6.889E-6,5.0000,0.0153,0.0204,0.0000,0.0000,7.182E-11,10.0000,0.1260,0.0070,0.0000,0.0000,1.138E-13,13.9504,0.4046,0.0055,0.0000,0.0000,2.678E-14,17.1497,0.6357,0.0052,0.0545,0.0000,1.913E-14,13.9504,0.4046,0.0055,0.0000,0.0000,2.678E-14,13.9504,0.4046,0.0055,0.0000,0.0000,2.678E-14,15.5631,0.4951,0.0052,0.0364,0.0000,1.913E-14,15.5631,0.4951,0.0052,0.0364,0.0000,1.913E-14,2.6475,0.0043,0.0522,0.0000,0.0000,2.026E-8,7.2384,0.0418,0.0108,0.0000,0.0000,1.623E-12
Andrena_crataegi,55,4.5289,5.0509,500,0.9973,6,5.0941,0.9972,0.0006,10055,11.1279,3.0646,0.1746,1.1282,4.3461,8.8983,0.0097,10.7169,0.0461,8.5936,1.8450,4.5814,17.3616,0.0000,0.0000,9.0583,0.1097,0.0254,0.0000,0.0471,0.0907,11.4109,0.0000,0.1844,0.0000,0.0068,5.6211,0.0000,1.0400,0.4666,0.0449,4.6875,0.0047,1.0000,0.0010,0.1323,0.0000,0.0000,5.356E-6,5.0000,0.0157,0.0199,0.0000,0.0000,6.193E-11,10.0000,0.1376,0.0068,0.0000,0.0000,9.567E-14,13.5924,0.3907,0.0054,0.0000,0.0000,2.399E-14,21.4894,0.6292,0.0048,0.0545,0.0000,1.183E-14,13.5924,0.3907,0.0054,0.0000,0.0000,2.399E-14,13.5924,0.3907,0.0054,0.0000,0.0000,2.399E-14,21.4894,0.6292,0.0048,0.0545,0.0000,1.183E-14,21.4894,0.6292,0.0048,0.0545,0.0000,1.183E-14,2.5204,0.0043,0.0535,0.0000,0.0000,2.346E-8,7.2119,0.0423,0.0107,0.0000,0.0000,1.536E-12
Andrena_crataegi,55,4.5267,5.0466,500,0.9973,6,5.0762,0.9962,0.0006,10055,12.8363,4.2632,1.7115,1.3765,4.2174,8.0195,2.4957,10.9046,0.0000,8.1218,2.3244,2.9366,16.1414,0.0031,0.0000,6.8716,0.0633,0.0000,0.0000,0.1188,0.0182,10.8297,0.0000,0.1641,0.0000,0.0166,5.8900,0.0014,0.0523,0.5488,0.0730,4.6943,0.0048,1.0000,0.0009,0.1382,0.0000,0.0000,6.979E-6,5.0000,0.0157,0.0201,0.0000,0.0000,6.574E-11,10.0000,0.1228,0.0070,0.0000,0.0000,1.138E-13,13.1134,0.3573,0.0056,0.0000,0.0000,2.984E-14,18.4707,0.6311,0.0051,0.0727,0.0000,1.703E-14,13.1134,0.3573,0.0056,0.0000,0.0000,2.984E-14,13.1134,0.3573,0.0056,0.0000,0.0000,2.984E-14,18.4707,0.6311,0.0051,0.0727,0.0000,1.703E-14,18.4707,0.6311,0.0051,0.0727,0.0000,1.703E-14,2.6567,0.0043,0.0514,0.0000,0.0000,1.848E-8,7.1682,0.0438,0.0108,0.0000,0.0000,1.623E-12
Andrena_crataegi,55,4.5395,5.0502,500,0.9973,6,4.9915,0.9958,0.0007,10055,11.1951,4.3934,0.4616,0.6574,4.5616,8.9592,0.0212,8.9366,0.0180,13.6449,0.4794,3.8638,19.3403,0.0000,0.0000,6.2627,0.0344,0.0000,0.0000,0.0857,0.0474,10.2493,0.0000,0.1965,0.0000,0.0730,5.6029,0.0000,0.6283,0.2231,0.0644,4.6872,0.0047,1.0000,0.0010,0.1356,0.0000,0.0000,6.204E-6,5.0000,0.0148,0.0195,0.0000,0.0000,5.486E-11,10.0000,0.1399,0.0067,0.0000,0.0000,8.753E-14,13.7698,0.3875,0.0055,0.0000,0.0000,2.678E-14,41.8648,0.6324,0.0035,0.0909,0.5000,8.369E-7,13.7698,0.3875,0.0055,0.0000,0.0000,2.678E-14,13.7698,0.3875,0.0055,0.0000,0.0000,2.678E-14,15.4387,0.5030,0.0052,0.0364,0.0000,1.913E-14,15.4387,0.5030,0.0052,0.0364,0.0000,1.913E-14,2.5866,0.0043,0.0523,0.0000,0.0000,2.049E-8,7.0773,0.0422,0.0107,0.0000,0.0000,1.536E-12
Andrena_crataegi,55,4.5302,5.0491,500,0.9973,6,5.0979,0.9976,0.0005,10055,15.1201,1.6085,0.6893,0.6476,3.5159,9.7909,0.0334,9.8151,0.0000,7.1788,2.2496,4.4890,17.3174,0.0000,0.0000,9.1357,0.0900,0.0569,0.0000,0.0505,0.0526,11.4202,0.0000,0.2625,0.0000,0.0000,5.6230,0.0000,0.0610,0.7919,0.0000,4.6889,0.0047,1.0000,0.0010,0.1321,0.0000,0.0000,5.308E-6,5.0000,0.0157,0.0198,0.0000,0.0000,6.009E-11,10.0000,0.1219,0.0069,0.0000,0.0000,1.044E-13,13.6789,0.4021,0.0055,0.0000,0.0000,2.678E-14,23.1267,0.6325,0.0047,0.0545,0.0000,1.043E-14,13.6789,0.4021,0.0055,0.0000,0.0000,2.678E-14,13.6789,0.4021,0.0055,0.0000,0.0000,2.678E-14,29.4994,0.6340,0.0043,0.1455,0.0000,6.117E-15,29.4994,0.6340,0.0043,0.1455,0.0000,6.117E-15,2.5250,0.0043,0.0535,0.0000,0.0000,2.346E-8,7.1618,0.0426,0.0107,0.0000,0.0000,1.536E-12
Andrena_crataegi,55,4.5325,5.0474,500,0.9973,6,5.1055,0.9982,0.0008,10055,9.4288,4.2940,3.4818,3.3726,1.7436,10.9307,0.0411,7.3980,0.0004,7.0158,0.2841,2.8625,16.8586,0.0000,0.0000,5.2703,0.0994,0.0000,0.0000,0.0857,0.0255,12.8169,0.0000,0.1335,0.0000,0.0000,4.2198,0.1355,9.2352,0.2322,0.0341,4.6839,0.0047,1.0000,0.0010,0.1323,0.0000,0.0000,5.356E-6,5.0000,0.0162,0.0189,0.0000,0.0000,4.552E-11,10.0000,0.1298,0.0068,0.0000,0.0000,9.567E-14,13.0680,0.3699,0.0055,0.0000,0.0000,2.678E-14,18.3644,0.6321,0.0051,0.0727,0.0000,1.703E-14,13.0680,0.3699,0.0055,0.0000,0.0000,2.678E-14,13.0680,0.3699,0.0055,0.0000,0.0000,2.678E-14,16.7766,0.6175,0.0051,0.0545,0.0000,1.703E-14,16.7766,0.6175,0.0051,0.0545,0.0000,1.703E-14,2.5779,0.0043,0.0510,0.0000,0.0000,1.764E-8,7.0549,0.0457,0.0107,0.0000,0.0000,1.536E-12
Andrena_crataegi,55,4.5725,5.0655,500,0.9973,6,4.1197,0.9903,0.0064,10055,11.2897,2.8530,3.2997,3.7554,2.8915,7.4930,0.0000,9.9969,0.0000,6.0363,2.2149,4.1442,18.8644,0.0000,0.0000,5.8984,0.1027,0.0428,0.0000,0.1363,0.0811,14.5164,0.0000,0.0638,0.0000,0.0200,5.5125,0.0000,0.3236,0.4484,0.0150,4.6393,0.0045,1.0000,0.0010,0.1178,0.0000,0.0000,2.666E-6,5.0000,0.0189,0.0166,0.0000,0.1667,7.478E-9,10.0000,0.1444,0.0064,0.0000,0.1667,6.235E-11,12.4069,0.3563,0.0055,0.0000,0.1667,2.925E-11,35.4771,0.6219,0.0039,0.0364,0.1667,5.25E-12,12.4069,0.3563,0.0055,0.0000,0.1667,2.925E-11,12.4069,0.3563,0.0055,0.0000,0.1667,2.925E-11,2.5689,0.0046,0.0448,0.0000,0.0000,8.035E-9,2.5689,0.0046,0.0448,0.0000,0.0000,8.035E-9,2.4407,0.0041,0.0478,0.0000,0.0000,1.198E-8,6.7627,0.0396,0.0102,0.0000,0.1667,6.71E-10
Andrena_crataegi,55,4.5288,5.0473,500,0.9973,6,5.0770,0.9962,0.0007,10055,8.6028,5.9795,1.6822,3.0016,4.9255,9.0099,0.0273,9.2630,0.0000,10.3920,1.0194,3.0945,18.5285,0.0000,0.0000,6.4034,0.0125,0.0000,0.0000,0.1597,0.0287,11.0142,0.0000,0.1558,0.0000,0.0169,5.1485,0.0000,1.0317,0.5025,0.0000,4.7005,0.0048,1.0000,0.0009,0.1497,0.0000,0.0000,1.124E-5,5.0000,0.0147,0.0212,0.0000,0.0000,9.036E-11,10.0000,0.1243,0.0070,0.0000,0.0000,1.138E-13,13.0968,0.3648,0.0055,0.0000,0.0000,2.678E-14,18.4000,0.6303,0.0051,0.0727,0.0000,1.703E-14,13.0968,0.3648,0.0055,0.0000,0.0000,2.678E-14,13.0968,0.3648,0.0055,0.0000,0.0000,2.678E-14,18.4000,0.6303,0.0051,0.0727,0.0000,1.703E-14,18.4000,0.6303,0.0051,0.0727,0.0000,1.703E-14,2.7592,0.0044,0.0525,0.0000,0.0000,2.097E-8,7.2665,0.0431,0.0109,0.0000,0.0000,1.714E-12
