Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Aster_species,40,2.7434,3.6878,500,0.9817,5,3.3771,0.9570,0.0279,10040,6.3459,1.7289,0.7047,2.9802,2.7906,7.4766,4.1983,1.7402,18.4739,1.1383,0.0000,0.7215,12.9132,3.1374,0.2610,0.9003,0.8359,0.0621,1.1619,5.5170,22.1318,0.3238,0.1669,1.3019,0.0000,1.1260,0.5038,0.0117,1.1137,0.2324,0.0000,6.5052,0.0318,1.0000,0.0045,0.5295,0.0000,0.0000,4.162E-2,5.0000,0.0194,0.2699,0.0250,0.0000,1.433E-3,10.0000,0.0438,0.1589,0.0250,0.2000,2.78E-3,4.9047,0.0191,0.2731,0.0000,0.0000,1.519E-3,29.0231,0.1940,0.0337,0.1000,0.4000,3.625E-4,18.9911,0.1002,0.0750,0.0750,0.2000,1.487E-4,25.8286,0.1605,0.0435,0.0750,0.4000,7.717E-4,9.8016,0.0428,0.1619,0.0250,0.2000,2.987E-3,9.8012,0.0428,0.1619,0.0250,0.0000,1.111E-4,4.9047,0.0191,0.2731,0.0000,0.0000,1.519E-3,20.4995,0.1125,0.0665,0.0750,0.2000,9.277E-5
Aster_species,40,2.6412,3.6120,500,0.9819,5,4.3180,0.9978,0.0006,10040,2.6818,1.1543,3.3073,1.4620,1.8916,8.3652,5.1341,0.7194,17.0095,0.5284,0.7104,1.4916,14.7405,4.3532,0.1199,1.3170,1.0344,0.0000,1.1134,9.5068,17.3593,0.5446,0.0116,1.8158,0.0365,1.5690,0.4485,0.0921,1.0130,0.4621,0.0067,6.5885,0.0351,1.0000,0.0050,0.5321,0.0000,0.0000,4.264E-2,5.0000,0.0218,0.2801,0.0250,0.0000,1.723E-3,10.0000,0.0463,0.1713,0.0250,0.0000,1.476E-4,4.4727,0.0195,0.2983,0.0000,0.0000,2.362E-3,30.2908,0.2092,0.0362,0.1000,0.0000,6.178E-8,20.5365,0.1161,0.0750,0.0750,0.0000,2.373E-6,29.7900,0.2029,0.0376,0.0750,0.0000,7.565E-8,61.6557,0.7417,0.0035,0.3250,0.0000,5.148E-13,61.6557,0.7417,0.0035,0.3250,0.0000,5.148E-13,4.4727,0.0195,0.2983,0.0000,0.0000,2.362E-3,21.0331,0.1198,0.0723,0.0750,0.0000,1.977E-6
Aster_species,40,2.8593,3.7867,500,0.9848,5,1.4084,0.8193,0.1541,10040,5.8994,0.1206,1.7316,0.0232,0.3343,10.5539,6.0032,0.2382,13.2945,0.7851,0.2028,1.8453,17.6622,5.0560,0.0000,1.2046,0.6337,0.0182,1.0031,14.5527,13.1246,0.8016,0.2362,2.0864,0.0964,1.3022,0.2427,0.1277,0.5929,0.2267,0.0000,6.3874,0.0282,1.0000,0.0044,0.4514,0.0000,0.2000,1.326E-1,5.0000,0.0210,0.2265,0.0250,0.2000,1.077E-2,10.0000,0.0452,0.1351,0.0250,0.2000,1.484E-3,2.9850,0.0123,0.2991,0.0000,0.2000,3.044E-2,33.5657,0.2719,0.0209,0.1000,0.2000,9.41E-7,22.1899,0.1340,0.0500,0.0500,0.2000,3E-5,26.3375,0.1750,0.0363,0.0500,0.2000,8.388E-6,6.0712,0.0260,0.2000,0.0250,0.2000,6.72E-3,33.5657,0.2719,0.0209,0.1000,0.2000,9.41E-7,2.9850,0.0123,0.2991,0.0000,0.2000,3.044E-2,19.9812,0.1146,0.0592,0.0500,0.2000,5.836E-5
Aster_species,40,2.9456,3.9080,500,0.9834,5,0.5329,0.8675,0.0761,10040,5.3877,1.3841,1.8260,0.5100,1.4432,9.0716,6.2308,0.0486,16.9537,0.4126,0.0000,0.7382,14.2729,5.9204,0.0975,1.1324,0.5204,0.0000,1.2687,28.1479,0.3052,0.4780,0.0000,1.3134,0.2979,1.2552,0.4236,0.0070,0.5008,0.0481,0.0041,6.2908,0.0251,1.0000,0.0035,0.5188,0.0000,0.0000,3.759E-2,5.0000,0.0160,0.2553,0.0250,0.2000,1.69E-2,10.0000,0.0352,0.1452,0.0250,0.2000,1.965E-3,3.1714,0.0102,0.3312,0.0000,0.2000,4.421E-2,26.7225,0.1625,0.0309,0.1000,0.6000,8.958E-3,18.3496,0.0815,0.0662,0.0750,0.4000,2.625E-3,25.2282,0.1463,0.0352,0.0750,0.4000,4.12E-4,7.0119,0.0231,0.2000,0.0250,0.2000,6.72E-3,10.7446,0.0395,0.1349,0.0250,0.2000,1.475E-3,3.1714,0.0102,0.3312,0.0000,0.2000,4.421E-2,20.6564,0.0968,0.0537,0.0750,0.4000,1.425E-3
Aster_species,40,2.7242,3.6947,500,0.9818,5,2.7229,0.9810,0.0089,10040,3.6149,5.2611,0.0242,0.0827,0.9765,7.0067,4.9899,0.3638,0.5017,18.0858,0.0000,1.6396,17.5092,5.3533,0.1947,0.9420,0.2031,0.0494,0.9084,9.0605,18.0159,0.4469,0.0000,0.9376,0.1017,1.7298,0.4153,0.0657,0.9879,0.5317,0.0000,6.5250,0.0327,1.0000,0.0044,0.5639,0.0000,0.0000,5.704E-2,5.0000,0.0190,0.2923,0.0000,0.0000,2.135E-3,10.0000,0.0410,0.1742,0.0250,0.0000,1.604E-4,5.3796,0.0204,0.2796,0.0000,0.0000,1.708E-3,27.9732,0.1731,0.0406,0.1000,0.2000,1.319E-5,20.8128,0.1051,0.0716,0.0750,0.0000,1.884E-6,20.8128,0.1051,0.0716,0.0500,0.0000,1.884E-6,25.7641,0.1499,0.0484,0.1000,0.0000,2.658E-7,25.7641,0.1499,0.0484,0.1000,0.0000,2.658E-7,5.3796,0.0204,0.2796,0.0000,0.0000,1.708E-3,21.4691,0.1119,0.0679,0.0750,0.0000,1.446E-6
Aster_species,41,2.7042,3.6899,500,0.9815,4,4.3611,0.9897,0.0085,10041,6.5186,1.1152,1.3945,0.5627,0.7917,12.3121,5.6520,0.8951,9.9268,1.2855,0.1218,1.6669,16.8989,6.8243,0.2949,1.3833,0.4961,0.0120,1.4916,22.4687,2.6843,0.3936,0.0033,1.5678,0.1435,1.4546,0.4458,0.0532,0.7977,0.3436,0.0000,6.5296,0.0326,1.0000,0.0047,0.5214,0.0000,0.0000,7.389E-2,5.0000,0.0210,0.2670,0.0244,0.0000,5.083E-3,10.0000,0.0455,0.1615,0.0244,0.0000,6.809E-4,3.8720,0.0160,0.3083,0.0000,0.0000,9.038E-3,25.7145,0.1579,0.0452,0.0976,0.0000,4.179E-6,19.6648,0.1055,0.0732,0.0732,0.0000,2.871E-5,24.7646,0.1488,0.0489,0.0732,0.0000,5.718E-6,27.3274,0.1803,0.0398,0.1463,0.0000,2.518E-6,27.3274,0.1803,0.0398,0.1463,0.0000,2.518E-6,3.8720,0.0160,0.3083,0.0000,0.0000,9.038E-3,20.5541,0.1117,0.0682,0.0732,0.0000,2.166E-5
Aster_species,41,2.8391,3.7866,500,0.9806,4,0.6614,0.8793,0.0592,10041,5.4749,2.8952,1.0966,0.0195,1.5910,10.1986,6.8160,0.1642,11.4514,0.2623,1.2463,0.6510,15.7231,6.2039,1.1689,1.1061,0.8381,0.0000,1.6066,27.1338,0.1839,0.4908,0.0275,1.5611,0.0197,0.1799,0.3450,0.0462,1.1034,0.3950,0.0000,6.3879,0.0279,1.0000,0.0041,0.5064,0.0000,0.0000,6.577E-2,5.0000,0.0180,0.2558,0.0244,0.2500,5.408E-2,10.0000,0.0397,0.1502,0.0488,0.2500,1.202E-2,4.3334,0.0157,0.2789,0.0000,0.2500,6.86E-2,30.3128,0.2117,0.0254,0.0976,0.7500,9.778E-2,18.2233,0.0878,0.0732,0.0732,0.5000,2.91E-2,24.9251,0.1384,0.0409,0.0732,0.5000,9.512E-3,5.1845,0.0188,0.2500,0.0244,0.2500,5.077E-2,3.5401,0.0129,0.3111,0.0000,0.0000,9.37E-3,4.3334,0.0157,0.2789,0.0000,0.2500,6.86E-2,20.7323,0.1048,0.0592,0.0732,0.5000,1.938E-2
Aster_species,41,2.9981,3.9538,500,0.9918,4,-0.7889,0.6471,0.1726,10041,6.9769,1.7781,1.8014,0.5553,1.1887,11.1751,6.8901,0.4733,11.1513,0.7702,1.1857,1.1388,17.2157,5.4192,0.0102,0.7156,0.5307,0.0000,2.1005,21.6056,2.0564,1.0939,0.0302,1.5234,0.0000,1.1465,0.2712,0.0000,1.0346,0.1521,0.0090,6.2594,0.0244,1.0000,0.0034,0.4734,0.0000,0.5000,6.465E-1,5.0000,0.0172,0.2237,0.0000,0.5000,2.182E-1,10.0000,0.0395,0.1266,0.0000,0.5000,8.068E-2,15.7775,0.0729,0.0738,0.0000,0.5000,2.955E-2,29.7227,0.2168,0.0224,0.0976,0.7500,8.666E-2,20.5478,0.1110,0.0488,0.0488,0.5000,1.338E-2,15.7775,0.0729,0.0738,0.0000,0.5000,2.955E-2,0.8351,0.0030,0.5000,0.0000,0.5000,6.876E-1,28.1046,0.1941,0.0257,0.0732,0.5000,3.827E-3,5.8177,0.0204,0.2014,0.0000,0.5000,1.829E-1,19.8091,0.1039,0.0520,0.0488,0.5000,1.511E-2
Aster_species,41,2.8560,3.7802,500,0.9795,4,1.0362,0.8391,0.0907,10041,6.5542,2.4784,1.0476,0.0772,1.4595,9.6551,5.4959,0.9488,13.6994,1.5219,0.6780,1.2438,15.9966,4.4766,0.5145,1.4603,0.9363,0.0805,1.2127,17.4250,7.1010,0.8215,0.0000,1.4474,0.1686,1.3497,0.2037,0.0564,1.4345,0.4548,0.0000,6.3776,0.0278,1.0000,0.0042,0.4913,0.0000,0.0000,5.826E-2,5.0000,0.0191,0.2525,0.0000,0.2500,5.218E-2,10.0000,0.0406,0.1502,0.0488,0.5000,1.098E-1,5.2939,0.0200,0.2439,0.0000,0.2500,4.742E-2,17.3320,0.0810,0.0800,0.0976,0.5000,3.44E-2,16.1171,0.0742,0.0884,0.0976,0.5000,4.158E-2,14.3823,0.0635,0.1022,0.0488,0.5000,5.444E-2,5.0860,0.0192,0.2500,0.0000,0.2500,5.077E-2,8.6833,0.0342,0.1701,0.0488,0.2500,1.718E-2,5.2939,0.0200,0.2439,0.0000,0.2500,4.742E-2,21.1067,0.1079,0.0586,0.1220,0.5000,1.9E-2
Aster_species,41,2.8031,3.7220,500,0.9831,4,0.9545,0.9019,0.0425,10041,3.9848,3.2052,0.5858,2.2300,0.9997,10.5923,4.5107,0.8731,17.1590,0.3901,0.7122,1.1089,16.4730,4.3017,0.1041,0.6612,0.6949,0.0000,0.7471,25.3800,0.0650,0.2369,0.0185,1.4236,0.0208,1.4432,0.5213,0.0111,0.8184,0.7252,0.0021,6.4250,0.0292,1.0000,0.0041,0.5283,0.0000,0.0000,7.792E-2,5.0000,0.0183,0.2709,0.0000,0.0000,5.385E-3,10.0000,0.0398,0.1606,0.0244,0.2500,1.458E-2,5.5629,0.0206,0.2534,0.0000,0.0000,4.121E-3,24.3571,0.1336,0.0474,0.0976,0.5000,1.265E-2,20.5489,0.0981,0.0657,0.0732,0.5000,2.371E-2,18.6475,0.0861,0.0773,0.0244,0.5000,3.225E-2,7.4658,0.0280,0.2062,0.0244,0.2500,2.963E-2,7.4628,0.0279,0.2062,0.0244,0.0000,1.806E-3,5.5629,0.0206,0.2534,0.0000,0.0000,4.121E-3,21.3304,0.1037,0.0614,0.0976,0.5000,2.084E-2
