Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Baetis_brunneicolor,34,3.3636,4.2516,500,0.9961,4,1.5857,0.7972,0.1718,10034,7.1215,1.0635,1.9897,3.6720,5.6554,5.5912,5.2924,1.9081,1.3026,10.3081,16.7698,1.5322,3.5215,0.0231,1.9661,6.1042,0.0000,0.3693,0.0106,0.1122,0.2472,0.6220,2.0441,0.8580,0.0000,0.1148,2.2807,0.1584,19.3221,0.0309,0.0080,5.8751,0.0162,1.0000,0.0023,0.3256,0.0000,0.2500,1.044E-1,5.0000,0.0173,0.1121,0.0000,0.2500,5.164E-3,10.0000,0.0556,0.0561,0.0000,0.2500,6.768E-4,26.6454,0.2781,0.0145,0.0000,0.2500,1.194E-5,32.7668,0.3980,0.0104,0.0588,0.2500,4.419E-6,26.6454,0.2781,0.0145,0.0000,0.2500,1.194E-5,26.6454,0.2781,0.0145,0.0000,0.2500,1.194E-5,1.6665,0.0041,0.2500,0.0000,0.2500,5.081E-2,36.8711,0.4579,0.0084,0.1765,0.2500,2.332E-6,4.2553,0.0140,0.1289,0.0000,0.2500,7.732E-3,14.7417,0.1016,0.0355,0.0000,0.2500,1.739E-4
Baetis_brunneicolor,34,3.4276,4.3453,500,0.9960,4,1.8838,0.9762,0.0060,10034,7.7609,0.4950,4.9733,0.0346,4.4589,5.6678,5.6797,0.8896,2.9256,10.6412,24.4791,0.7891,3.0156,0.1731,0.0000,8.0325,0.0000,0.1404,0.0856,0.0456,0.1109,0.3543,0.9823,1.0904,0.0000,2.6857,2.6833,0.0357,11.6082,0.1616,0.0000,5.8118,0.0152,1.0000,0.0022,0.3064,0.0000,0.0000,8.809E-3,5.0000,0.0173,0.1032,0.0000,0.0000,1.136E-4,10.0000,0.0542,0.0522,0.0000,0.0000,7.438E-6,16.1673,0.1206,0.0292,0.0000,0.2500,9.741E-5,33.6281,0.4043,0.0094,0.0588,0.7500,3.695E-2,16.2089,0.1222,0.0292,0.0294,0.5000,4.919E-3,16.1673,0.1206,0.0292,0.0000,0.2500,9.741E-5,12.7008,0.0806,0.0397,0.0000,0.0000,2.475E-6,12.7008,0.0806,0.0397,0.0000,0.0000,2.475E-6,4.1841,0.0131,0.1212,0.0000,0.0000,2.157E-4,14.6412,0.1043,0.0333,0.0000,0.2500,1.438E-4
Baetis_brunneicolor,34,3.3549,4.3006,500,0.9962,4,2.6339,0.9832,0.0060,10034,6.5111,3.4936,0.5227,1.1670,4.8221,4.6112,4.6987,1.7194,3.3354,6.4494,16.1679,0.8659,4.2592,0.2599,0.0318,5.6883,0.0000,0.0840,0.2129,0.0245,0.1339,0.9574,9.5072,1.6922,0.8453,0.1541,2.9250,0.0298,18.8157,0.0146,0.0000,5.8573,0.0159,1.0000,0.0024,0.3107,0.0000,0.0000,9.324E-3,5.0000,0.0177,0.1089,0.0000,0.0000,1.408E-4,10.0000,0.0545,0.0550,0.0000,0.0000,9.159E-6,25.1883,0.2573,0.0151,0.0000,0.2500,1.375E-5,33.4617,0.4130,0.0096,0.0882,0.7500,3.772E-2,25.2908,0.2638,0.0151,0.0294,0.5000,1.349E-3,25.1883,0.2573,0.0151,0.0000,0.2500,1.375E-5,14.4946,0.0990,0.0353,0.0000,0.0000,1.549E-6,14.4946,0.0990,0.0353,0.0000,0.0000,1.549E-6,4.1862,0.0137,0.1268,0.0000,0.0000,2.583E-4,14.6722,0.1011,0.0348,0.0000,0.2500,1.639E-4
Baetis_brunneicolor,34,3.3699,4.2682,500,0.9956,4,2.2893,0.9786,0.0063,10034,5.9120,4.3212,2.9400,1.1090,7.5275,2.8783,4.9970,1.9528,1.2947,3.8615,11.0531,1.6793,5.6814,0.0397,0.0000,4.7661,0.0238,0.0999,0.0294,0.0336,0.1922,0.5659,2.0315,0.9536,0.1496,0.1951,1.4545,0.0555,34.2019,0.0000,0.0000,5.8689,0.0160,1.0000,0.0024,0.3095,0.0000,0.0000,9.181E-3,5.0000,0.0180,0.1065,0.0000,0.0000,1.288E-4,10.0000,0.0581,0.0531,0.0000,0.0000,7.962E-6,13.8321,0.0959,0.0365,0.0000,0.0000,1.77E-6,35.5603,0.4443,0.0087,0.0882,0.7500,3.423E-2,16.3595,0.1224,0.0294,0.0294,0.2500,9.941E-5,13.8321,0.0959,0.0365,0.0000,0.0000,1.77E-6,13.8321,0.0959,0.0365,0.0000,0.0000,1.77E-6,13.8321,0.0959,0.0365,0.0000,0.0000,1.77E-6,4.1801,0.0139,0.1246,0.0000,0.0000,2.408E-4,14.2672,0.1021,0.0352,0.0294,0.2500,1.696E-4
Baetis_brunneicolor,34,3.4048,4.3398,500,0.9959,4,2.0722,0.9667,0.0162,10034,6.9554,1.7914,2.2278,1.0206,6.3725,2.6611,5.0384,0.0000,2.4311,5.6522,12.6261,0.0659,6.4853,0.0140,0.0000,6.1765,0.0000,0.0824,0.0101,0.0744,0.2760,0.3068,4.1916,1.2200,0.2068,4.5499,1.4625,0.0358,28.0356,0.0297,0.0000,5.8395,0.0155,1.0000,0.0025,0.3001,0.0000,0.0000,8.109E-3,5.0000,0.0181,0.1046,0.0000,0.0000,1.199E-4,10.0000,0.0531,0.0525,0.0000,0.2500,5.567E-4,14.6298,0.1004,0.0329,0.0000,0.2500,1.388E-4,31.1980,0.3978,0.0104,0.0588,0.7500,4.082E-2,15.8577,0.1140,0.0294,0.0294,0.5000,4.985E-3,14.6298,0.1004,0.0329,0.0000,0.2500,1.388E-4,6.1852,0.0254,0.0860,0.0000,0.0000,5.472E-5,6.1852,0.0254,0.0860,0.0000,0.0000,5.472E-5,4.1218,0.0135,0.1236,0.0000,0.0000,2.332E-4,14.2150,0.0975,0.0342,0.0000,0.2500,1.557E-4
Baetis_brunneicolor,34,3.4790,4.4243,500,0.9962,4,0.0420,0.9048,0.0351,10034,4.2554,2.3573,2.9953,0.4862,4.8800,5.1203,4.2655,0.9213,2.0799,8.2646,28.3400,1.1609,4.6841,0.0846,0.0000,7.2198,0.0000,0.1374,0.2055,0.1098,0.1071,0.1809,2.2054,0.7341,0.0000,0.6105,1.8505,0.0346,16.5523,0.1565,0.0000,5.7526,0.0142,1.0000,0.0021,0.3053,0.0000,0.0000,8.683E-3,5.0000,0.0166,0.1007,0.0000,0.5000,5.294E-2,10.0000,0.0505,0.0475,0.0000,0.5000,1.272E-2,15.7850,0.1211,0.0261,0.0000,0.5000,3.95E-3,35.2062,0.4664,0.0079,0.0588,1.0000,1E0,15.8288,0.1213,0.0261,0.0294,0.7500,1.004E-1,15.7850,0.1211,0.0261,0.0000,0.5000,3.95E-3,2.7710,0.0072,0.1652,0.0000,0.0000,7.455E-4,2.7710,0.0072,0.1652,0.0000,0.0000,7.455E-4,4.2066,0.0124,0.1178,0.0000,0.5000,7.076E-2,13.8138,0.0930,0.0314,0.0000,0.5000,5.669E-3
Baetis_brunneicolor,34,3.3252,4.2476,500,0.9953,4,3.5927,0.9855,0.0106,10034,4.9416,3.9843,1.7617,0.5429,6.1114,4.4236,4.9719,1.2010,1.2484,7.9339,15.0384,0.3668,3.5613,0.0152,0.0000,6.7068,0.0000,0.5913,0.1361,0.0000,0.4551,0.6539,8.3441,1.3701,0.0000,0.6361,1.8875,0.2491,22.8218,0.0458,0.0000,5.9210,0.0169,1.0000,0.0027,0.3206,0.0000,0.0000,1.057E-2,5.0000,0.0183,0.1181,0.0000,0.0000,1.945E-4,10.0000,0.0522,0.0605,0.0000,0.0000,1.339E-5,11.5763,0.0661,0.0511,0.0000,0.0000,6.832E-6,33.8933,0.4187,0.0100,0.0588,0.2500,3.93E-6,17.4084,0.1308,0.0294,0.0294,0.2500,9.941E-5,32.3992,0.3953,0.0108,0.0294,0.2500,4.948E-6,11.5763,0.0661,0.0511,0.0000,0.0000,6.832E-6,11.5763,0.0661,0.0511,0.0000,0.0000,6.832E-6,4.3107,0.0146,0.1335,0.0000,0.0000,3.181E-4,14.8420,0.0948,0.0371,0.0294,0.2500,1.982E-4
Baetis_brunneicolor,34,3.4390,4.3248,500,0.9954,4,1.6008,0.9299,0.0436,10034,4.0334,2.3750,4.2489,0.0483,6.7227,4.5567,4.6983,2.1162,1.6431,10.8704,14.9403,0.4692,3.6241,0.0163,0.0145,7.5236,0.0135,0.5224,0.0757,0.0000,0.3446,0.8361,7.8891,1.1762,0.0000,0.1198,1.7939,0.0235,19.2435,0.0606,0.0000,5.8146,0.0151,1.0000,0.0024,0.3202,0.0000,0.0000,1.051E-2,5.0000,0.0159,0.1154,0.0000,0.2500,5.616E-3,10.0000,0.0461,0.0571,0.0000,0.2500,7.13E-4,10.3636,0.0490,0.0546,0.0000,0.2500,6.249E-4,31.9574,0.3843,0.0095,0.0588,0.5000,5.311E-4,16.3724,0.1082,0.0294,0.0294,0.5000,4.985E-3,26.5576,0.2825,0.0131,0.0294,0.5000,1.005E-3,2.1407,0.0054,0.2169,0.0000,0.2500,3.416E-2,2.1403,0.0054,0.2169,0.0000,0.0000,2.212E-3,4.3702,0.0132,0.1298,0.0000,0.2500,7.889E-3,15.0211,0.0958,0.0334,0.0294,0.5000,6.394E-3
Baetis_brunneicolor,35,3.2850,4.1976,500,0.9960,3,4.0003,0.9947,0.0029,10035,5.2835,2.4525,3.7253,0.0677,6.9325,4.1679,5.0135,0.1702,4.0193,7.0677,22.7051,0.9016,3.6016,0.0352,0.0000,6.1618,0.0484,0.1896,0.0908,0.0322,0.1882,1.1125,8.5686,1.5906,0.0000,0.1664,2.4381,0.1001,13.1690,0.0000,0.0000,5.9494,0.0175,1.0000,0.0026,0.3282,0.0000,0.0000,3.534E-2,5.0000,0.0182,0.1207,0.0000,0.0000,1.757E-3,10.0000,0.0529,0.0615,0.0000,0.0000,2.324E-4,28.9361,0.3168,0.0136,0.0000,0.0000,2.489E-6,32.7984,0.3901,0.0109,0.0857,0.3333,3.514E-4,28.9361,0.3168,0.0136,0.0000,0.0000,2.489E-6,28.9361,0.3168,0.0136,0.0000,0.0000,2.489E-6,30.5420,0.3620,0.0124,0.0286,0.0000,1.887E-6,30.5420,0.3620,0.0124,0.0286,0.0000,1.887E-6,4.3876,0.0151,0.1347,0.0000,0.0000,2.446E-3,14.8431,0.0999,0.0382,0.0000,0.0000,5.56E-5
Baetis_brunneicolor,35,3.3515,4.2671,500,0.9959,3,-4.8123,0.6577,0.2683,10035,8.6543,3.8004,0.5571,1.5512,5.9113,4.9499,2.8294,1.0105,0.0074,11.1204,19.2137,0.9505,4.2667,0.0862,0.0000,6.4767,0.0000,0.3201,0.1299,0.0916,0.5539,0.4571,2.7769,1.3687,0.0132,0.2135,2.4149,0.2085,20.0431,0.0231,0.0000,5.8786,0.0163,1.0000,0.0024,0.3252,0.0000,0.3333,2.484E-1,5.0000,0.0172,0.1173,0.0000,0.3333,3.804E-2,10.0000,0.0520,0.0590,0.0000,0.3333,1.003E-2,21.1447,0.1818,0.0219,0.0000,0.3333,1.421E-3,31.2374,0.3535,0.0112,0.0857,0.6667,3.311E-2,21.2074,0.1829,0.0218,0.0286,0.6667,6.405E-2,21.1447,0.1818,0.0219,0.0000,0.3333,1.421E-3,0.9466,0.0023,0.3333,0.0000,0.3333,2.593E-1,21.1447,0.1818,0.0219,0.0000,0.3333,1.421E-3,4.3077,0.0140,0.1329,0.0000,0.3333,4.832E-2,15.1758,0.1024,0.0356,0.0000,0.3333,3.707E-3
