Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Besma_quercivoraria,52,3.6261,4.4586,500,0.9926,7,3.8513,0.9794,0.0163,10052,8.2424,6.3381,0.5270,1.1441,5.7979,31.7809,0.8204,3.7906,0.5673,21.2036,0.0000,3.7777,3.2359,1.3030,3.7640,0.9076,0.0722,0.0000,0.8439,0.1439,0.0000,0.3871,0.0000,0.0119,0.0256,1.3600,0.3500,0.1587,3.4062,0.0397,0.0000,5.6413,0.0122,1.0000,0.0018,0.3626,0.0000,0.0000,8.244E-4,5.0000,0.0113,0.1300,0.0192,0.0000,6.283E-7,10.0000,0.0323,0.0581,0.0192,0.1429,2.558E-7,2.7867,0.0055,0.2082,0.0000,0.0000,1.697E-5,34.1694,0.5359,0.0056,0.0962,0.1429,2.083E-13,13.5690,0.0578,0.0361,0.0385,0.1429,1.504E-8,21.3498,0.1601,0.0146,0.0385,0.1429,6.761E-11,5.1688,0.0118,0.1260,0.0192,0.1429,2.504E-5,5.1667,0.0118,0.1260,0.0192,0.0000,5.054E-7,2.7867,0.0055,0.2082,0.0000,0.0000,1.697E-5,15.6310,0.0751,0.0280,0.0385,0.1429,3.261E-9
Besma_quercivoraria,52,3.5848,4.4219,500,0.9928,7,3.6711,0.9873,0.0081,10052,6.3151,9.9836,0.6915,1.9924,6.7011,28.0972,2.4129,7.3368,0.4380,17.4023,0.0000,3.7647,3.9518,1.5712,1.7940,1.2259,0.0061,0.0000,0.5693,0.2681,0.0000,0.9719,0.0386,0.2314,0.3806,2.1227,0.2920,0.1039,1.2049,0.1322,0.0000,5.6884,0.0128,1.0000,0.0018,0.3759,0.0000,0.0000,1.061E-3,5.0000,0.0115,0.1372,0.0192,0.0000,9.145E-7,10.0000,0.0328,0.0624,0.0192,0.1429,3.902E-7,3.8850,0.0083,0.1704,0.0000,0.0000,4.174E-6,31.7763,0.4113,0.0066,0.0962,0.2857,2.535E-10,13.6421,0.0571,0.0385,0.0385,0.1429,2.204E-8,23.5287,0.1861,0.0127,0.0385,0.1429,2.952E-11,9.7745,0.0314,0.0644,0.0192,0.0000,4.577E-9,9.7745,0.0314,0.0644,0.0192,0.0000,4.577E-9,3.8850,0.0083,0.1704,0.0000,0.0000,4.174E-6,15.9090,0.0785,0.0293,0.0385,0.1429,4.36E-9
Besma_quercivoraria,54,3.5654,4.4019,500,0.9936,5,4.3786,0.9967,0.0010,10054,6.2323,6.0989,2.8184,0.5935,7.0763,31.6481,1.8790,7.5503,0.5869,15.1566,0.0000,4.7096,2.4617,1.5336,4.1618,1.3958,0.0539,0.0000,0.7033,0.2235,0.0000,0.3696,0.0378,0.2257,0.0547,2.8661,0.2700,0.1166,1.0684,0.0710,0.0366,5.7093,0.0131,1.0000,0.0019,0.3722,0.0000,0.0000,7.142E-3,5.0000,0.0116,0.1361,0.0185,0.0000,4.664E-5,10.0000,0.0341,0.0614,0.0185,0.0000,8.704E-7,4.5960,0.0104,0.1470,0.0000,0.0000,6.866E-5,33.1307,0.4379,0.0063,0.0926,0.0000,9.661E-12,13.9025,0.0615,0.0370,0.0370,0.0000,6.935E-8,22.2711,0.1775,0.0149,0.0370,0.0000,7.392E-10,33.1307,0.4379,0.0063,0.0926,0.0000,9.661E-12,33.1307,0.4379,0.0063,0.0926,0.0000,9.661E-12,4.5960,0.0104,0.1470,0.0000,0.0000,6.866E-5,15.6667,0.0780,0.0299,0.0370,0.0000,2.405E-8
Besma_quercivoraria,53,3.5585,4.3982,500,0.9934,6,4.4695,0.9965,0.0008,10053,3.9262,3.3470,2.7443,2.7607,6.9337,30.4339,1.1444,7.7330,0.6122,18.5718,0.6834,5.1382,2.2458,1.5629,5.8912,1.0107,0.0752,0.0000,0.8542,0.2923,0.0000,0.3124,0.0125,0.1923,0.0905,2.4270,0.3061,0.1089,0.5372,0.0521,0.0000,5.7102,0.0131,1.0000,0.0019,0.3789,0.0000,0.0000,2.959E-3,5.0000,0.0114,0.1378,0.0189,0.0000,6.838E-6,10.0000,0.0336,0.0615,0.0189,0.0000,5.397E-8,4.6420,0.0104,0.1474,0.0000,0.0000,1.026E-5,33.0427,0.4363,0.0065,0.0943,0.0000,7.306E-14,13.7194,0.0600,0.0377,0.0377,0.0000,2.871E-9,22.6508,0.1877,0.0143,0.0377,0.0000,8.638E-12,33.0427,0.4363,0.0065,0.0943,0.0000,7.306E-14,33.0427,0.4363,0.0065,0.0943,0.0000,7.306E-14,4.6420,0.0104,0.1474,0.0000,0.0000,1.026E-5,15.6376,0.0775,0.0299,0.0377,0.0000,7.205E-10
Besma_quercivoraria,53,3.5583,4.4215,500,0.9931,6,3.9764,0.9829,0.0133,10053,9.1209,2.3296,3.1068,0.0136,4.3923,38.0796,4.4750,6.7098,0.3618,16.0667,0.0000,3.9789,3.2317,1.6019,0.5008,1.1623,0.0427,0.0000,0.7455,0.1677,0.0135,0.3858,0.0000,0.1931,0.1961,1.6318,0.1753,0.0910,1.1578,0.0677,0.0000,5.6821,0.0127,1.0000,0.0018,0.3751,0.0000,0.0000,2.786E-3,5.0000,0.0113,0.1319,0.0189,0.0000,5.266E-6,10.0000,0.0335,0.0574,0.0189,0.1667,3.558E-6,3.5423,0.0072,0.1785,0.0000,0.0000,3.23E-5,32.1310,0.4164,0.0065,0.0943,0.1667,6.744E-11,13.7807,0.0637,0.0342,0.0377,0.1667,2.735E-7,23.8116,0.2238,0.0118,0.0377,0.1667,1.381E-9,7.1664,0.0192,0.0897,0.0189,0.1667,3.228E-5,7.1628,0.0192,0.0897,0.0189,0.0000,5.218E-7,3.5423,0.0072,0.1785,0.0000,0.0000,3.23E-5,15.0876,0.0769,0.0291,0.0377,0.1667,1.231E-7
Besma_quercivoraria,54,3.6050,4.4472,500,0.9929,5,4.0095,0.9868,0.0107,10054,4.1327,4.0629,4.9927,2.1919,5.8082,32.1777,3.1880,6.3652,0.5681,17.4470,0.0000,3.5772,3.0198,1.3920,3.4500,1.0126,0.0919,0.0000,0.6923,0.1456,0.0000,1.0272,0.0362,0.2306,0.0072,2.5105,0.3602,0.1335,1.3087,0.0703,0.0000,5.6615,0.0124,1.0000,0.0018,0.3725,0.0000,0.0000,7.171E-3,5.0000,0.0110,0.1288,0.0185,0.0000,3.545E-5,10.0000,0.0340,0.0551,0.0370,0.2000,4.406E-5,3.8520,0.0078,0.1638,0.0000,0.0000,1.18E-4,34.2749,0.5633,0.0058,0.0926,0.2000,5.512E-9,12.8406,0.0546,0.0370,0.0370,0.2000,9.094E-6,18.0223,0.1173,0.0196,0.0370,0.2000,7.255E-7,9.3490,0.0294,0.0608,0.0185,0.0000,8.289E-7,9.3490,0.0294,0.0608,0.0185,0.0000,8.289E-7,3.8520,0.0078,0.1638,0.0000,0.0000,1.18E-4,14.8037,0.0720,0.0285,0.0370,0.2000,3.244E-6
Besma_quercivoraria,53,3.7124,4.5915,500,0.9964,6,2.2211,0.9099,0.0662,10053,6.6480,4.1232,1.9024,2.3434,6.1000,34.6337,4.1191,5.3603,0.6190,13.5153,1.3574,3.6261,3.6171,1.7269,3.5034,1.5679,0.0422,0.0000,0.7949,0.2084,0.0000,0.7948,0.0000,0.3987,0.0879,2.4192,0.1979,0.0522,0.1650,0.0343,0.0413,5.5541,0.0112,1.0000,0.0018,0.3245,0.0000,0.1667,1.575E-2,5.0000,0.0115,0.1084,0.0000,0.1667,8.179E-5,10.0000,0.0376,0.0466,0.0000,0.3333,6.531E-5,14.0564,0.0736,0.0276,0.0000,0.3333,8.269E-6,36.5261,0.5846,0.0047,0.0943,0.5000,2.022E-6,17.4453,0.1114,0.0189,0.0189,0.3333,1.856E-6,14.0564,0.0736,0.0276,0.0000,0.3333,8.269E-6,3.0701,0.0061,0.1667,0.0000,0.1667,6.654E-4,6.9240,0.0192,0.0756,0.0000,0.1667,1.388E-5,4.5383,0.0102,0.1193,0.0000,0.1667,1.304E-4,14.6847,0.0819,0.0257,0.0189,0.3333,6.243E-6
Besma_quercivoraria,53,3.5499,4.3788,500,0.9931,6,4.3013,0.9964,0.0011,10053,5.3212,3.1470,1.3852,3.5076,6.1032,35.0485,2.0087,4.7876,0.6757,18.8906,0.0000,3.9480,2.6698,1.4196,3.8741,1.7362,0.0811,0.0000,0.5016,0.1170,0.0373,0.3137,0.0857,0.1908,0.0208,1.9508,0.4593,0.0752,1.6287,0.0150,0.0000,5.7117,0.0131,1.0000,0.0018,0.3986,0.0000,0.0000,4.01E-3,5.0000,0.0112,0.1461,0.0189,0.0000,9.735E-6,10.0000,0.0313,0.0646,0.0189,0.0000,7.239E-8,4.3374,0.0093,0.1655,0.0000,0.0000,2.057E-5,30.9314,0.3882,0.0072,0.0943,0.0000,1.35E-13,13.9820,0.0589,0.0377,0.0377,0.0000,2.871E-9,22.7570,0.1838,0.0142,0.0377,0.0000,8.284E-12,30.7216,0.3750,0.0072,0.0755,0.0000,1.35E-13,30.7216,0.3750,0.0072,0.0755,0.0000,1.35E-13,4.3374,0.0093,0.1655,0.0000,0.0000,2.057E-5,15.8382,0.0770,0.0300,0.0377,0.0000,7.35E-10
Besma_quercivoraria,53,3.5473,4.4012,500,0.9932,6,4.0629,0.9903,0.0070,10053,6.9505,6.5851,0.1078,0.6165,5.6982,32.7998,2.6586,5.2927,1.0879,18.3472,0.0000,3.5186,3.4828,1.7444,2.3953,1.6954,0.0561,0.0000,0.9239,0.2143,0.0055,0.3421,0.0323,0.2472,0.0537,2.1467,0.5979,0.1862,2.1782,0.0281,0.0070,5.7314,0.0134,1.0000,0.0019,0.3914,0.0000,0.0000,3.597E-3,5.0000,0.0114,0.1427,0.0189,0.0000,8.459E-6,10.0000,0.0328,0.0637,0.0189,0.0000,6.657E-8,4.2000,0.0091,0.1665,0.0000,0.0000,2.132E-5,33.0315,0.4652,0.0065,0.0943,0.1667,6.744E-11,14.0357,0.0623,0.0372,0.0377,0.1667,4.143E-7,23.7110,0.2063,0.0132,0.0377,0.1667,2.405E-9,12.0807,0.0444,0.0476,0.0189,0.0000,1.17E-8,12.0807,0.0444,0.0476,0.0189,0.0000,1.17E-8,4.2000,0.0091,0.1665,0.0000,0.0000,2.132E-5,15.6587,0.0799,0.0306,0.0377,0.1667,1.578E-7
Besma_quercivoraria,54,3.6605,4.4791,500,0.9934,5,2.8740,0.9667,0.0240,10054,3.6949,3.5102,4.3084,1.4192,6.5342,34.1759,0.7256,5.4608,0.5387,21.8930,0.0000,4.3132,2.9056,1.4806,1.7725,1.3223,0.0881,0.0000,1.0593,0.2834,0.0000,0.2881,0.0279,0.0831,0.0512,1.1473,0.4651,0.1171,2.2637,0.0497,0.0209,5.5963,0.0115,1.0000,0.0017,0.3708,0.0000,0.0000,7.009E-3,5.0000,0.0106,0.1267,0.0185,0.2000,1.158E-3,10.0000,0.0312,0.0534,0.0185,0.2000,3.895E-5,3.2958,0.0061,0.1837,0.0000,0.0000,2.092E-4,33.6033,0.5578,0.0055,0.0926,0.4000,1.624E-6,17.7321,0.1107,0.0185,0.0185,0.2000,5.77E-7,19.0045,0.1290,0.0160,0.0185,0.2000,3.246E-7,4.5084,0.0090,0.1401,0.0185,0.2000,1.712E-3,4.5066,0.0090,0.1401,0.0185,0.0000,5.406E-5,3.2958,0.0061,0.1837,0.0000,0.0000,2.092E-4,14.8403,0.0711,0.0268,0.0185,0.2000,2.507E-6
