Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Betula_nigra,34,2.9764,4.0794,500,0.9941,5,2.4247,0.9564,0.0269,10034,10.4862,4.6516,5.5719,3.0558,7.0135,9.5541,7.5856,1.5090,6.3203,0.0806,0.8482,3.0287,3.4357,3.2281,0.1705,3.2050,0.1084,1.2299,0.1306,21.5540,2.5922,0.7497,0.6240,0.0275,0.1411,0.0129,0.0000,1.4186,1.6359,0.0306,0.0000,6.2438,0.0244,1.0000,0.0033,0.4323,0.0000,0.0000,1.51E-2,5.0000,0.0191,0.1887,0.0000,0.0000,2.39E-4,10.0000,0.0478,0.1072,0.0000,0.2000,6.045E-4,20.2654,0.1294,0.0462,0.0000,0.2000,2.202E-5,36.0867,0.3277,0.0149,0.0882,0.6000,2.169E-3,22.2652,0.1524,0.0400,0.0294,0.2000,1.235E-5,20.2654,0.1294,0.0462,0.0000,0.2000,2.202E-5,6.1874,0.0252,0.1615,0.0000,0.2000,2.959E-3,6.1859,0.0252,0.1615,0.0000,0.0000,1.097E-4,5.2156,0.0201,0.1832,0.0000,0.0000,2.062E-4,18.8921,0.1182,0.0512,0.0000,0.2000,3.302E-5
Betula_nigra,35,3.0643,4.1609,500,0.9956,4,0.5367,0.8724,0.0874,10035,15.1204,5.4421,5.3603,1.2167,4.0697,9.5804,6.5540,2.1984,6.5947,0.8304,0.1753,3.8203,5.9197,2.3158,0.0000,2.2593,0.1203,1.0818,0.0228,20.7737,2.9836,0.9544,0.3439,0.1282,0.0762,0.0110,0.0000,1.1418,0.8781,0.0265,0.0000,6.1585,0.0222,1.0000,0.0032,0.4301,0.0000,0.2500,2.156E-1,5.0000,0.0168,0.1886,0.0000,0.2500,2.305E-2,10.0000,0.0422,0.1039,0.0000,0.2500,4.141E-3,26.1409,0.1882,0.0274,0.0000,0.2500,8.063E-5,37.6805,0.3567,0.0115,0.0857,1.0000,1E0,26.1409,0.1882,0.0274,0.0286,0.2500,8.063E-5,26.1409,0.1882,0.0274,0.0000,0.2500,8.063E-5,3.2811,0.0103,0.2500,0.0000,0.2500,5.08E-2,26.2589,0.1890,0.0271,0.0286,0.2500,7.804E-5,5.3895,0.0184,0.1784,0.0000,0.2500,1.967E-2,19.0408,0.1119,0.0470,0.0000,0.2500,4.015E-4
Betula_nigra,36,2.9628,4.1088,500,0.9953,3,3.6795,0.9876,0.0052,10036,11.9245,2.6375,4.1086,0.0037,5.1087,12.4430,7.9247,1.3119,7.8859,1.4720,1.0264,2.1182,4.5819,2.4526,0.7310,3.1703,0.2526,0.6046,0.0428,17.9235,6.1234,0.9250,0.6947,0.2153,0.0567,0.1515,0.0000,1.6540,2.4478,0.0033,0.0035,6.2661,0.0248,1.0000,0.0035,0.4142,0.0000,0.0000,7.107E-2,5.0000,0.0205,0.1794,0.0000,0.0000,5.769E-3,10.0000,0.0502,0.1011,0.0000,0.0000,1.034E-3,28.1317,0.2266,0.0256,0.0000,0.0000,1.679E-5,38.0607,0.3825,0.0132,0.0833,0.6667,3.894E-2,28.1317,0.2266,0.0256,0.0278,0.0000,1.679E-5,28.1317,0.2266,0.0256,0.0000,0.0000,1.679E-5,31.0788,0.2649,0.0207,0.0556,0.0000,8.902E-6,31.0788,0.2649,0.0207,0.0556,0.0000,8.902E-6,5.0174,0.0205,0.1790,0.0000,0.0000,5.731E-3,17.9370,0.1201,0.0524,0.0000,0.0000,1.44E-4
Betula_nigra,35,3.0831,4.1377,500,0.9929,4,-1.5460,0.6362,0.1982,10035,16.5859,3.1942,2.8656,3.0458,6.1058,7.6845,7.8095,1.1380,10.6207,0.3050,0.4275,3.4872,3.9913,2.4964,1.0857,2.0009,1.3093,0.0000,0.1031,18.5607,0.0000,2.7115,0.0519,0.2791,0.2823,0.0259,0.0000,1.2239,2.6082,0.0000,0.0000,6.1401,0.0218,1.0000,0.0032,0.3895,0.0000,0.5000,5.066E-1,5.0000,0.0194,0.1691,0.0000,0.5000,1.354E-1,10.0000,0.0468,0.0946,0.0286,0.5000,4.713E-2,6.8450,0.0280,0.1333,0.0000,0.5000,8.865E-2,40.7573,0.4341,0.0095,0.0857,0.7500,3.733E-2,24.3630,0.1875,0.0286,0.0286,0.7500,1.096E-1,37.6844,0.3781,0.0116,0.0286,0.7500,4.544E-2,0.7594,0.0025,0.4288,0.0000,0.5000,5.739E-1,20.3246,0.1360,0.0384,0.0286,0.5000,8.386E-3,4.6965,0.0182,0.1765,0.0000,0.5000,1.458E-1,17.9694,0.1103,0.0462,0.0286,0.5000,1.205E-2
Betula_nigra,35,3.0062,4.0982,500,0.9934,4,2.0110,0.9173,0.0546,10035,9.1436,4.6714,4.0093,1.0451,8.8834,8.9557,8.1773,2.0359,3.3044,2.7127,1.8572,2.2879,2.8123,2.7410,1.0020,1.4060,0.1818,1.2826,0.0188,16.1676,10.1830,0.6228,1.7817,0.0216,0.0184,0.3694,0.0167,1.7633,2.5270,0.0000,0.0000,6.2170,0.0237,1.0000,0.0036,0.3811,0.0000,0.0000,2.109E-2,5.0000,0.0213,0.1679,0.0000,0.2500,1.655E-2,10.0000,0.0516,0.0967,0.0000,0.2500,3.351E-3,15.6419,0.0977,0.0602,0.0000,0.2500,8.328E-4,35.3448,0.3359,0.0154,0.0857,0.5000,1.402E-3,16.3367,0.1034,0.0571,0.0571,0.5000,1.811E-2,15.6419,0.0977,0.0602,0.0000,0.2500,8.328E-4,2.5861,0.0097,0.2500,0.0000,0.2500,5.08E-2,2.2713,0.0084,0.2674,0.0000,0.0000,5.11E-3,4.6602,0.0195,0.1761,0.0000,0.2500,1.895E-2,18.1424,0.1210,0.0499,0.0571,0.5000,1.398E-2
Betula_nigra,35,3.1705,4.2813,500,0.9962,4,-0.9390,0.7490,0.1799,10035,15.1586,5.5990,3.7721,0.0100,6.0233,8.4789,6.5167,2.3392,3.6819,2.5653,0.5785,1.3912,4.1109,1.7320,0.3901,2.8559,0.1601,0.7987,0.0970,27.2605,0.2172,1.3224,0.8212,0.1893,0.0000,0.6423,0.0000,1.5509,1.7370,0.0000,0.0000,6.0650,0.0202,1.0000,0.0032,0.3489,0.0000,0.2500,1.254E-1,5.0000,0.0203,0.1507,0.0000,0.2500,1.214E-2,10.0000,0.0490,0.0855,0.0000,0.2500,2.34E-3,28.4792,0.2306,0.0200,0.0000,1.0000,1E0,37.3229,0.3748,0.0108,0.0857,1.0000,1E0,28.5490,0.2310,0.0200,0.0286,1.0000,1E0,28.4792,0.2306,0.0200,0.0000,1.0000,1E0,2.1050,0.0070,0.2500,0.0000,0.2500,5.08E-2,13.4696,0.0724,0.0622,0.0000,0.2500,9.169E-4,4.3240,0.0169,0.1659,0.0000,0.2500,1.6E-2,18.1194,0.1161,0.0429,0.0000,0.7500,1.607E-1
Betula_nigra,36,2.9713,4.0947,500,0.9954,3,2.6558,0.9747,0.0156,10036,15.7829,1.5238,3.7240,0.4385,7.9198,8.8977,7.2829,2.0513,4.2468,1.2597,0.6154,3.6440,4.2578,2.4327,0.5773,3.0559,0.0808,0.5970,0.0978,25.1458,0.0397,1.0204,1.1771,0.0861,0.1121,0.5904,0.0000,1.0689,2.2028,0.0706,0.0000,6.2645,0.0248,1.0000,0.0035,0.4229,0.0000,0.0000,7.562E-2,5.0000,0.0196,0.1869,0.0000,0.0000,6.532E-3,10.0000,0.0480,0.1044,0.0000,0.0000,1.139E-3,29.3762,0.2368,0.0233,0.0000,0.3333,1.606E-3,38.6465,0.4059,0.0124,0.0833,0.3333,4.542E-4,29.3762,0.2368,0.0233,0.0278,0.3333,1.606E-3,29.3762,0.2368,0.0233,0.0000,0.3333,1.606E-3,15.8131,0.0963,0.0631,0.0000,0.0000,2.509E-4,15.8131,0.0963,0.0631,0.0000,0.0000,2.509E-4,5.1841,0.0205,0.1822,0.0000,0.0000,6.053E-3,18.2491,0.1161,0.0523,0.0000,0.3333,7.923E-3
Betula_nigra,35,2.9888,4.1986,500,0.9965,4,1.9408,0.9220,0.0380,10035,16.1142,3.1063,2.8562,0.3071,10.0299,8.1322,5.8188,1.8013,4.8091,1.7687,0.4504,2.8698,5.4284,2.6618,0.6175,2.2517,0.2453,0.3063,0.0114,23.7690,0.0000,1.1467,1.0048,0.0727,0.0241,0.2847,0.4401,1.2598,2.2241,0.1878,0.0000,6.2358,0.0240,1.0000,0.0034,0.4009,0.0000,0.0000,2.583E-2,5.0000,0.0201,0.1696,0.0000,0.2500,1.703E-2,10.0000,0.0508,0.0946,0.0000,0.5000,4.713E-2,34.3263,0.3424,0.0154,0.0000,0.5000,1.402E-3,46.3885,0.5337,0.0077,0.0857,0.5000,3.497E-4,34.4312,0.3488,0.0154,0.0286,0.5000,1.402E-3,34.3263,0.3424,0.0154,0.0000,0.5000,1.402E-3,4.9325,0.0198,0.1713,0.0000,0.2500,1.752E-2,4.9318,0.0198,0.1713,0.0000,0.0000,8.611E-4,4.9318,0.0198,0.1713,0.0000,0.0000,8.611E-4,17.2057,0.1143,0.0508,0.0000,0.5000,1.447E-2
Betula_nigra,35,3.0543,4.1720,500,0.9943,4,1.9283,0.9612,0.0139,10035,16.0308,4.1528,0.0063,1.9309,5.0572,10.0366,6.2724,1.7708,5.3477,2.9039,1.3581,2.8142,3.0286,1.4325,1.1012,1.7937,0.1811,1.4563,0.2810,24.1945,3.1485,1.3531,1.6074,0.2353,0.0029,0.0462,0.0000,0.9472,1.5052,0.0035,0.0000,6.1851,0.0229,1.0000,0.0035,0.3765,0.0000,0.0000,2.009E-2,5.0000,0.0206,0.1660,0.0000,0.0000,7.597E-4,10.0000,0.0500,0.0936,0.0000,0.0000,7.666E-5,13.2851,0.0775,0.0694,0.0000,0.0000,2.314E-5,40.6071,0.3986,0.0104,0.0857,0.7500,4.081E-2,21.6413,0.1553,0.0371,0.0286,0.5000,7.843E-3,21.6413,0.1553,0.0371,0.0286,0.5000,7.843E-3,13.2851,0.0775,0.0694,0.0000,0.0000,2.314E-5,13.2851,0.0775,0.0694,0.0000,0.0000,2.314E-5,4.6743,0.0190,0.1739,0.0000,0.0000,9.143E-4,17.9450,0.1191,0.0483,0.0286,0.5000,1.313E-2
Betula_nigra,35,3.0300,4.1770,500,0.9961,4,2.0894,0.9698,0.0116,10035,13.8109,3.0962,1.7950,3.0753,5.0968,12.5949,7.0721,1.4437,5.5699,1.7637,0.7119,2.7606,5.2711,2.1347,0.0711,3.4754,0.2233,1.0831,0.2802,24.1436,0.0000,0.8083,0.1501,0.0822,0.0261,0.0208,0.0000,0.6802,2.7456,0.0120,0.0012,6.1974,0.0231,1.0000,0.0035,0.3853,0.0000,0.0000,2.203E-2,5.0000,0.0203,0.1719,0.0000,0.0000,8.731E-4,10.0000,0.0485,0.0982,0.0000,0.0000,9.283E-5,30.6513,0.2611,0.0198,0.0000,0.7500,7.699E-2,40.1562,0.4108,0.0105,0.0857,0.7500,4.12E-2,30.7233,0.2613,0.0198,0.0286,0.7500,7.699E-2,30.6513,0.2611,0.0198,0.0000,0.7500,7.699E-2,14.4098,0.0810,0.0660,0.0000,0.0000,1.894E-5,14.4098,0.0810,0.0660,0.0000,0.0000,1.894E-5,4.7409,0.0192,0.1783,0.0000,0.0000,1.01E-3,18.1212,0.1153,0.0489,0.0000,0.2500,4.514E-4
