Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Blastobasis_glandulella,46,4.8746,5.2796,500,0.9977,6,5.3014,0.9977,0.0005,10046,0.0195,4.8098,0.0000,0.0031,9.8705,7.3696,4.6219,0.0000,0.0000,28.2812,0.0000,0.8747,27.6100,0.0485,0.0000,4.2259,0.4116,0.0000,10.6123,0.0000,0.0000,0.0401,0.0000,0.0000,0.8488,0.2305,0.0884,0.0000,0.0336,0.0000,0.0000,4.3380,0.0034,1.0000,0.0012,0.0658,0.0000,0.0000,8.114E-8,5.0000,0.0345,0.0085,0.0000,0.0000,3.669E-13,10.0000,0.4391,0.0046,0.0000,0.0000,9.217E-15,10.7399,0.4391,0.0046,0.0000,0.0000,9.217E-15,17.8461,0.5763,0.0041,0.0217,0.0000,4.621E-15,10.7399,0.4391,0.0046,0.0000,0.0000,9.217E-15,10.7399,0.4391,0.0046,0.0000,0.0000,9.217E-15,17.8461,0.5763,0.0041,0.0217,0.0000,4.621E-15,17.8461,0.5763,0.0041,0.0217,0.0000,4.621E-15,1.8076,0.0030,0.0346,0.0000,0.0000,1.728E-9,5.4902,0.0419,0.0076,0.0000,0.0000,1.875E-13
Blastobasis_glandulella,46,4.8629,5.2736,500,0.9977,6,5.2999,0.9981,0.0006,10046,0.0233,2.6781,1.8741,0.0005,8.9679,10.1919,3.1003,0.0000,0.0000,28.5992,0.0000,1.1366,26.1228,0.0000,0.0000,9.0585,0.5048,0.0217,6.5559,0.0000,0.0000,0.0261,0.0000,0.0000,0.7485,0.3281,0.0383,0.0000,0.0233,0.0000,0.0000,4.3615,0.0035,1.0000,0.0012,0.0689,0.0000,0.0000,1.068E-7,5.0000,0.0322,0.0092,0.0000,0.0000,5.899E-13,10.0000,0.2455,0.0047,0.0000,0.0000,1.049E-14,11.1241,0.4234,0.0046,0.0000,0.0000,9.217E-15,12.9005,0.5820,0.0045,0.0217,0.0000,8.078E-15,11.1241,0.4234,0.0046,0.0000,0.0000,9.217E-15,11.1241,0.4234,0.0046,0.0000,0.0000,9.217E-15,31.9083,0.6050,0.0034,0.1087,0.0000,1.503E-15,31.9083,0.6050,0.0034,0.1087,0.0000,1.503E-15,1.7904,0.0031,0.0378,0.0000,0.0000,2.929E-9,5.7356,0.0482,0.0078,0.0000,0.0000,2.191E-13
Blastobasis_glandulella,48,4.8450,5.2371,500,0.9976,4,5.2655,0.9983,0.0007,10048,0.4555,3.8542,0.0068,0.0127,9.7023,8.2412,4.0470,0.0000,0.0000,29.5514,0.0102,1.0196,25.9971,0.0000,0.0000,5.1105,0.2288,0.0000,10.4358,0.0000,0.0000,0.0373,0.0000,0.0000,0.8667,0.3370,0.0556,0.0000,0.0303,0.0000,0.0000,4.3782,0.0036,1.0000,0.0012,0.0683,0.0000,0.0000,2.173E-5,5.0000,0.0319,0.0087,0.0000,0.0000,5.62E-9,10.0000,0.4280,0.0048,0.0000,0.0000,5.208E-10,10.6342,0.4280,0.0048,0.0000,0.0000,5.208E-10,17.4974,0.5776,0.0043,0.0208,0.0000,3.354E-10,10.6342,0.4280,0.0048,0.0000,0.0000,5.208E-10,10.6342,0.4280,0.0048,0.0000,0.0000,5.208E-10,17.4974,0.5776,0.0043,0.0208,0.0000,3.354E-10,17.4974,0.5776,0.0043,0.0208,0.0000,3.354E-10,1.7800,0.0032,0.0370,0.0000,0.0000,1.879E-6,5.4181,0.0449,0.0079,0.0000,0.0000,3.821E-9
Blastobasis_glandulella,46,4.8980,5.2839,500,0.9977,6,5.2555,0.9968,0.0005,10046,0.0000,3.2773,0.0000,0.1826,12.2494,6.4750,2.9929,0.0000,0.0000,28.7632,0.0000,0.8090,30.3377,0.1410,0.0000,3.4141,0.3990,0.0183,9.7512,0.0000,0.0000,0.0446,0.0000,0.0000,0.7655,0.3085,0.0388,0.0000,0.0319,0.0000,0.0000,4.3180,0.0034,1.0000,0.0012,0.0647,0.0000,0.0000,7.337E-8,5.0000,0.0361,0.0079,0.0000,0.0000,2.365E-13,10.0000,0.4304,0.0046,0.0000,0.0000,9.217E-15,10.2513,0.4304,0.0046,0.0000,0.0000,9.217E-15,30.7643,0.5910,0.0034,0.0870,0.1667,2.657E-12,10.2513,0.4304,0.0046,0.0000,0.0000,9.217E-15,10.2513,0.4304,0.0046,0.0000,0.0000,9.217E-15,11.9547,0.5611,0.0045,0.0217,0.0000,8.078E-15,11.9547,0.5611,0.0045,0.0217,0.0000,8.078E-15,1.8095,0.0030,0.0333,0.0000,0.0000,1.375E-9,5.2546,0.0381,0.0075,0.0000,0.0000,1.731E-13
Blastobasis_glandulella,47,4.8885,5.2629,500,0.9977,5,5.1734,0.9971,0.0008,10047,0.0166,2.3328,0.0000,0.0979,12.0980,6.3331,2.8573,0.2018,0.0000,32.9476,0.0000,0.6166,26.3184,0.0000,0.0000,4.8551,0.6822,0.0844,9.7285,0.0000,0.0000,0.0201,0.0000,0.0000,0.4540,0.2197,0.1164,0.0000,0.0197,0.0000,0.0000,4.3239,0.0034,1.0000,0.0015,0.0544,0.0000,0.0000,4.784E-7,5.0000,0.0435,0.0078,0.0000,0.0000,2.82E-11,10.0000,0.4122,0.0047,0.0000,0.0000,2.24E-12,10.0607,0.4122,0.0046,0.0000,0.0000,2.012E-12,40.3843,0.5962,0.0030,0.0638,0.4000,2.65E-7,10.0607,0.4122,0.0046,0.0000,0.0000,2.012E-12,10.0607,0.4122,0.0046,0.0000,0.0000,2.012E-12,13.0000,0.5259,0.0044,0.0213,0.0000,1.611E-12,13.0000,0.5259,0.0044,0.0213,0.0000,1.611E-12,1.5607,0.0030,0.0344,0.0000,0.0000,4.844E-8,5.2121,0.0495,0.0075,0.0000,0.0000,2.318E-11
Blastobasis_glandulella,47,4.8550,5.2558,500,0.9977,5,5.2985,0.9991,0.0002,10047,0.0078,4.6278,0.0020,0.0031,10.0049,8.1035,3.1831,0.0000,0.0002,29.4519,0.0000,0.8815,25.1407,0.0000,0.0000,5.2735,0.4115,0.0000,11.6964,0.0000,0.0000,0.0209,0.0000,0.0000,0.7805,0.2775,0.0884,0.0000,0.0445,0.0000,0.0000,4.3622,0.0035,1.0000,0.0012,0.0676,0.0000,0.0000,1.41E-6,5.0000,0.0382,0.0085,0.0000,0.0000,4.334E-11,10.0000,0.4265,0.0047,0.0000,0.0000,2.24E-12,10.8348,0.4265,0.0047,0.0000,0.0000,2.24E-12,17.8114,0.5777,0.0042,0.0213,0.0000,1.277E-12,10.8348,0.4265,0.0047,0.0000,0.0000,2.24E-12,10.8348,0.4265,0.0047,0.0000,0.0000,2.24E-12,100.0000,0.6096,0.0000,0.6170,0.0000,0E0,100.0000,0.6096,0.0000,0.6170,0.0000,0E0,1.8294,0.0031,0.0357,0.0000,0.0000,5.825E-8,5.4214,0.0426,0.0078,0.0000,0.0000,2.82E-11
Blastobasis_glandulella,47,4.9064,5.2719,500,0.9977,5,4.3956,0.9953,0.0014,10047,0.0000,2.7449,1.0160,0.2354,10.4859,5.8290,2.1326,0.7284,0.0000,31.8300,0.0000,0.7366,29.0068,0.0000,0.0000,9.0652,0.3928,0.0455,5.0072,0.0000,0.0000,0.0046,0.0000,0.0000,0.4436,0.1630,0.0969,0.0000,0.0357,0.0000,0.0000,4.3071,0.0034,1.0000,0.0014,0.0496,0.0000,0.0000,2.992E-7,5.0000,0.0435,0.0072,0.0000,0.2000,1.311E-8,10.0000,0.5513,0.0047,0.0000,0.2000,2.386E-9,13.7570,0.5513,0.0044,0.0000,0.2000,1.833E-9,38.6471,0.5870,0.0031,0.0638,0.4000,2.924E-7,13.7570,0.5513,0.0044,0.0000,0.2000,1.833E-9,13.7570,0.5513,0.0044,0.0000,0.2000,1.833E-9,3.6139,0.0206,0.0103,0.0000,0.0000,1.132E-10,3.6139,0.0206,0.0103,0.0000,0.0000,1.132E-10,1.4295,0.0029,0.0340,0.0000,0.0000,4.57E-8,4.8831,0.0422,0.0074,0.0000,0.2000,1.463E-8
Blastobasis_glandulella,47,4.8686,5.2611,500,0.9977,5,5.2705,0.9974,0.0006,10047,0.0131,2.9833,0.4873,0.7789,10.8870,7.0181,4.3676,0.0000,0.0000,27.5148,0.0000,0.8715,29.2107,0.0455,0.0000,3.7553,0.4517,0.0000,10.3867,0.0000,0.0000,0.0263,0.0000,0.0000,0.8112,0.3059,0.0598,0.0000,0.0252,0.0000,0.0000,4.3495,0.0035,1.0000,0.0012,0.0662,0.0000,0.0000,1.27E-6,5.0000,0.0343,0.0084,0.0000,0.0000,4.085E-11,10.0000,0.4376,0.0047,0.0000,0.0000,2.24E-12,10.4583,0.4376,0.0046,0.0000,0.0000,2.012E-12,17.4796,0.5761,0.0042,0.0213,0.0000,1.277E-12,10.4583,0.4376,0.0046,0.0000,0.0000,2.012E-12,10.4583,0.4376,0.0046,0.0000,0.0000,2.012E-12,17.4796,0.5761,0.0042,0.0213,0.0000,1.277E-12,17.4796,0.5761,0.0042,0.0213,0.0000,1.277E-12,1.8066,0.0031,0.0350,0.0000,0.0000,5.279E-8,5.3698,0.0392,0.0077,0.0000,0.0000,2.644E-11
Blastobasis_glandulella,47,4.8598,5.2578,500,0.9977,5,5.2790,0.9977,0.0006,10047,0.1688,3.9279,0.2168,0.0527,10.0831,8.2056,2.4516,0.0000,0.0000,28.5456,0.0000,1.6003,27.2735,0.0000,0.0000,4.2559,0.3682,0.0333,11.6424,0.0000,0.0000,0.0367,0.0000,0.0000,0.7468,0.3068,0.0643,0.0000,0.0197,0.0000,0.0000,4.3574,0.0035,1.0000,0.0013,0.0653,0.0000,0.0000,1.187E-6,5.0000,0.0340,0.0085,0.0000,0.0000,4.334E-11,10.0000,0.4319,0.0047,0.0000,0.0000,2.24E-12,10.6969,0.4319,0.0047,0.0000,0.0000,2.24E-12,12.4423,0.5767,0.0046,0.0213,0.0000,2.012E-12,10.6969,0.4319,0.0047,0.0000,0.0000,2.24E-12,10.6969,0.4319,0.0047,0.0000,0.0000,2.24E-12,19.5627,0.5952,0.0042,0.1064,0.0000,1.277E-12,19.5627,0.5952,0.0042,0.1064,0.0000,1.277E-12,1.7261,0.0031,0.0369,0.0000,0.0000,6.866E-8,5.3891,0.0406,0.0078,0.0000,0.0000,2.82E-11
Blastobasis_glandulella,47,4.8586,5.2587,500,0.9977,5,5.2867,0.9982,0.0005,10047,0.0085,4.1199,0.3446,0.1645,9.4802,7.7755,3.5314,0.0000,0.0000,28.8388,0.0000,0.8864,26.2641,0.0000,0.0000,4.8513,0.4375,0.0151,12.0588,0.0000,0.0000,0.0195,0.0000,0.0000,0.6958,0.2960,0.1724,0.0000,0.0398,0.0000,0.0000,4.3586,0.0035,1.0000,0.0012,0.0700,0.0000,0.0000,1.677E-6,5.0000,0.0342,0.0086,0.0000,0.0000,4.595E-11,10.0000,0.4238,0.0047,0.0000,0.0000,2.24E-12,10.5677,0.4238,0.0046,0.0000,0.0000,2.012E-12,17.5581,0.5773,0.0042,0.0213,0.0000,1.277E-12,10.5677,0.4238,0.0046,0.0000,0.0000,2.012E-12,10.5677,0.4238,0.0046,0.0000,0.0000,2.012E-12,17.5581,0.5773,0.0042,0.0213,0.0000,1.277E-12,17.5581,0.5773,0.0042,0.0213,0.0000,1.277E-12,1.8332,0.0031,0.0365,0.0000,0.0000,6.504E-8,5.4173,0.0437,0.0078,0.0000,0.0000,2.82E-11
