Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Blepharomastix_ranalis,24,4.4227,5.3141,500,0.9985,3,5.7934,0.9991,0.0003,10024,2.3678,1.7086,2.8584,0.6806,4.7558,8.6348,19.0133,0.9033,2.8752,0.7737,0.1201,5.6103,17.7128,0.0000,20.0286,0.1187,0.0055,0.0000,0.0029,0.0000,0.0000,0.0024,10.0390,0.1252,0.0000,0.3816,0.2070,0.0490,0.4937,0.5257,0.0058,4.7957,0.0053,1.0000,0.0012,0.1646,0.0000,0.0000,4.46E-3,5.0000,0.0127,0.0466,0.0000,0.0000,1.011E-4,10.0000,0.0428,0.0206,0.0000,0.0000,8.679E-6,21.6089,0.1946,0.0061,0.0000,0.0000,2.254E-7,29.6530,0.3301,0.0032,0.0833,0.0000,3.253E-8,21.6089,0.1946,0.0061,0.0000,0.0000,2.254E-7,21.6089,0.1946,0.0061,0.0000,0.0000,2.254E-7,52.2186,0.7583,0.0015,0.3750,0.0000,3.351E-9,52.2186,0.7583,0.0015,0.3750,0.0000,3.351E-9,2.7044,0.0048,0.0811,0.0000,0.0000,5.335E-4,14.7367,0.0902,0.0120,0.0000,0.0000,1.716E-6
Blepharomastix_ranalis,23,4.6287,5.5391,500,0.9988,4,2.7584,0.9595,0.0319,10023,2.9233,2.6628,2.8206,0.3441,6.0569,8.8977,16.4637,0.0911,12.8334,0.1272,0.0279,5.9529,16.7286,0.0000,14.5092,0.5078,0.0000,0.0000,0.0547,0.0000,0.0000,0.0000,6.9827,0.0492,0.0000,0.3614,0.1599,0.0000,0.4521,0.9867,0.0062,4.5937,0.0042,1.0000,0.0010,0.1693,0.0000,0.0000,8.217E-4,5.0000,0.0093,0.0441,0.0000,0.2500,3.317E-4,10.0000,0.0379,0.0168,0.0000,0.2500,1.86E-5,24.1638,0.2739,0.0034,0.0000,0.5000,6.873E-5,28.3976,0.3830,0.0024,0.0870,0.5000,3.429E-5,24.1638,0.2739,0.0034,0.0000,0.5000,6.873E-5,24.1638,0.2739,0.0034,0.0000,0.5000,6.873E-5,1.2061,0.0012,0.1509,0.0000,0.2500,1.218E-2,1.2060,0.0012,0.1509,0.0000,0.0000,5.179E-4,2.8450,0.0039,0.0791,0.0000,0.2500,1.863E-3,13.9547,0.0720,0.0098,0.0000,0.2500,3.711E-6
Blepharomastix_ranalis,23,4.6024,5.4718,500,0.9987,4,3.4998,0.9357,0.0551,10023,1.0094,0.3232,8.6585,0.0166,0.2700,9.1821,23.1911,1.1959,3.7072,0.5241,0.0345,6.2947,15.9436,0.0000,26.8409,0.5045,0.0000,0.0773,0.0442,0.0000,0.0000,0.0000,0.4590,0.0000,0.3275,0.3060,0.2275,0.0000,0.2704,0.5886,0.0032,4.6142,0.0044,1.0000,0.0012,0.1311,0.0000,0.2500,8.126E-3,5.0000,0.0120,0.0369,0.0000,0.2500,1.956E-4,10.0000,0.0443,0.0159,0.0000,0.2500,1.578E-5,22.5960,0.2332,0.0041,0.0000,0.2500,2.73E-7,30.6671,0.4479,0.0025,0.0870,0.2500,6.195E-8,22.5960,0.2332,0.0041,0.0000,0.2500,2.73E-7,22.5960,0.2332,0.0041,0.0000,0.2500,2.73E-7,0.3071,0.0003,0.2500,0.0000,0.2500,5.08E-2,52.5444,0.7577,0.0014,0.3913,0.2500,1.089E-8,2.2899,0.0040,0.0749,0.0000,0.2500,1.588E-3,13.6299,0.0742,0.0100,0.0000,0.2500,3.943E-6
Blepharomastix_ranalis,24,4.5308,5.3510,500,0.9985,3,3.2137,0.9583,0.0332,10024,1.5000,0.6497,6.4064,0.0553,2.3438,5.5561,22.8739,0.4820,2.3492,0.1622,0.3209,7.7755,15.8551,0.0000,23.5390,0.2596,0.0009,0.0000,1.0272,0.0000,0.0000,0.0024,7.4184,0.0448,0.0000,0.5669,0.1847,0.0000,0.3862,0.2317,0.0082,4.6881,0.0047,1.0000,0.0015,0.1278,0.0000,0.0000,2.087E-3,5.0000,0.0135,0.0385,0.0000,0.3333,4.334E-3,10.0000,0.0470,0.0174,0.0000,0.3333,8.935E-4,21.8315,0.1992,0.0052,0.0000,0.3333,8.045E-5,25.4932,0.2620,0.0040,0.0833,0.3333,4.764E-5,21.8315,0.1992,0.0052,0.0000,0.3333,8.045E-5,21.8315,0.1992,0.0052,0.0000,0.3333,8.045E-5,1.0670,0.0016,0.1231,0.0000,0.0000,1.866E-3,1.0670,0.0016,0.1231,0.0000,0.0000,1.866E-3,2.1604,0.0043,0.0788,0.0000,0.3333,1.765E-2,14.2783,0.0857,0.0108,0.0000,0.3333,3.457E-4
Blepharomastix_ranalis,25,4.4733,5.3156,500,0.9984,2,4.0414,0.9956,0.0019,10025,3.4433,1.0755,5.9233,0.3791,5.1517,9.8375,18.2950,1.0978,6.2465,0.6801,0.1205,4.4804,13.3529,0.0000,20.6796,0.1148,0.0396,0.0000,0.0000,0.0000,0.0000,0.0000,6.5930,0.1213,0.0000,0.3638,0.1736,0.0201,0.5572,1.2503,0.0030,4.7543,0.0050,1.0000,0.0011,0.1717,0.0000,0.0000,2.947E-2,5.0000,0.0113,0.0466,0.0000,0.0000,2.17E-3,10.0000,0.0390,0.0203,0.0000,0.0000,4.141E-4,19.7369,0.1509,0.0066,0.0000,0.5000,1.312E-2,27.4668,0.2993,0.0035,0.0800,0.5000,6.97E-3,19.7369,0.1509,0.0066,0.0000,0.5000,1.312E-2,19.7369,0.1509,0.0066,0.0000,0.5000,1.312E-2,19.1209,0.1345,0.0071,0.0000,0.0000,5.016E-5,19.1209,0.1345,0.0071,0.0000,0.0000,5.016E-5,2.8713,0.0046,0.0796,0.0000,0.0000,6.336E-3,14.5460,0.0845,0.0116,0.0000,0.0000,1.339E-4
Blepharomastix_ranalis,25,4.6115,5.3365,500,0.9985,2,-8.1315,0.5242,0.3353,10025,1.0722,0.9701,2.6840,1.9150,3.8947,9.3783,15.4896,1.0971,5.8960,0.0003,0.0419,6.7353,10.8733,0.0000,36.3393,0.0735,0.0561,0.0000,0.0000,0.0000,0.0000,0.0000,2.1502,0.2794,0.5295,0.2179,0.1001,0.0953,0.1109,0.0000,0.0000,4.6172,0.0045,1.0000,0.0026,0.0820,0.0000,0.5000,1.573E-1,5.0000,0.0197,0.0314,0.0000,0.5000,6.186E-2,10.0000,0.0546,0.0161,0.0000,0.5000,3.186E-2,21.3700,0.1735,0.0052,0.0000,0.5000,1.035E-2,26.5256,0.2848,0.0033,0.0800,0.5000,6.573E-3,21.3700,0.1735,0.0052,0.0000,0.5000,1.035E-2,21.3700,0.1735,0.0052,0.0000,0.5000,1.035E-2,0.0007,0.0000,0.5000,0.0000,0.5000,7.5E-1,43.2287,0.7127,0.0017,0.2800,0.5000,3.389E-3,1.4566,0.0040,0.0677,0.0000,0.5000,1.309E-1,14.5580,0.0949,0.0101,0.0000,0.5000,2.005E-2
Blepharomastix_ranalis,25,4.7015,5.5044,500,0.9987,2,-2.1861,0.8114,0.1085,10025,2.9834,1.0226,5.3874,0.1494,2.0068,7.9595,16.6262,3.1396,7.0176,1.0463,0.3714,5.5280,17.3408,0.0000,27.3403,0.1572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0532,0.6059,0.0585,0.0000,0.5018,0.0726,0.0000,0.5945,0.0369,0.0000,4.5161,0.0040,1.0000,0.0010,0.1226,0.0000,0.5000,2.302E-1,5.0000,0.0151,0.0273,0.0000,1.0000,1E0,10.0000,0.0565,0.0114,0.0000,1.0000,1E0,22.6700,0.2649,0.0035,0.0000,1.0000,1E0,26.5724,0.4343,0.0027,0.0800,1.0000,1E0,22.6700,0.2649,0.0035,0.0000,1.0000,1E0,22.6700,0.2649,0.0035,0.0000,1.0000,1E0,0.1718,0.0001,0.3420,0.0000,0.5000,5.671E-1,0.1717,0.0001,0.3420,0.0000,0.0000,1.17E-1,2.3067,0.0036,0.0611,0.0000,0.5000,1.186E-1,11.8357,0.0777,0.0091,0.0000,1.0000,1E0
Blepharomastix_ranalis,25,4.4299,5.2940,500,0.9984,2,5.7018,0.9991,0.0005,10025,2.2203,2.5179,6.3713,0.3351,1.4013,8.9114,20.0566,1.2065,2.3192,0.0023,0.1739,6.1585,16.3642,0.0000,22.6224,0.0924,0.0067,0.0000,0.0066,0.0000,0.0000,0.0062,6.8601,0.1149,0.0000,0.3719,0.1829,0.0573,0.3648,1.2346,0.0407,4.7876,0.0052,1.0000,0.0012,0.1620,0.0000,0.0000,2.624E-2,5.0000,0.0128,0.0455,0.0000,0.0000,2.069E-3,10.0000,0.0435,0.0201,0.0000,0.0000,4.06E-4,21.0371,0.1792,0.0061,0.0000,0.0000,3.702E-5,28.8179,0.3099,0.0034,0.0800,0.0000,1.15E-5,21.0371,0.1792,0.0061,0.0000,0.0000,3.702E-5,21.0371,0.1792,0.0061,0.0000,0.0000,3.702E-5,47.8685,0.7405,0.0016,0.3200,0.0000,2.547E-6,47.8685,0.7405,0.0016,0.3200,0.0000,2.547E-6,2.6691,0.0048,0.0803,0.0000,0.0000,6.448E-3,14.4638,0.0883,0.0120,0.0000,0.0000,1.433E-4
Blepharomastix_ranalis,25,4.5556,5.4085,500,0.9986,2,2.9255,0.9773,0.0156,10025,1.6136,1.0653,5.0039,1.2187,4.5308,9.7350,19.6605,1.8923,2.3730,0.3329,0.0000,5.1291,17.8434,0.0000,20.6659,0.1060,0.0184,0.0000,0.0709,0.0000,0.0000,0.0349,7.0976,0.0943,0.0000,0.3618,0.1586,0.0000,0.5655,0.4227,0.0050,4.6742,0.0046,1.0000,0.0013,0.1377,0.0000,0.0000,1.895E-2,5.0000,0.0122,0.0392,0.0000,0.5000,7.687E-2,10.0000,0.0420,0.0166,0.0000,0.5000,3.284E-2,21.7522,0.2268,0.0046,0.0000,0.5000,9.156E-3,28.7669,0.3857,0.0028,0.0800,0.5000,5.578E-3,21.7522,0.2268,0.0046,0.0000,0.5000,9.156E-3,21.7522,0.2268,0.0046,0.0000,0.5000,9.156E-3,4.3975,0.0102,0.0448,0.0000,0.0000,2.006E-3,4.3975,0.0102,0.0448,0.0000,0.0000,2.006E-3,2.3374,0.0043,0.0766,0.0000,0.0000,5.869E-3,13.2423,0.0760,0.0107,0.0000,0.5000,2.123E-2
Blepharomastix_ranalis,24,4.4796,5.3533,500,0.9985,3,4.7367,0.9967,0.0018,10024,4.0496,0.7353,2.7461,0.8678,4.1164,4.9214,20.7516,0.5035,4.2249,0.1843,0.0601,6.5990,17.1912,0.0000,18.9112,1.0494,0.0038,0.0000,0.0000,0.0000,0.0000,0.0030,11.0904,0.1398,0.0000,0.3063,0.1431,0.0578,0.4122,0.9305,0.0012,4.7339,0.0050,1.0000,0.0012,0.1497,0.0000,0.0000,3.358E-3,5.0000,0.0132,0.0426,0.0000,0.0000,7.73E-5,10.0000,0.0423,0.0188,0.0000,0.0000,6.597E-6,24.3452,0.2220,0.0046,0.0000,0.3333,6.298E-5,28.8134,0.3201,0.0033,0.0833,0.3333,3.244E-5,24.3452,0.2220,0.0046,0.0000,0.3333,6.298E-5,24.3452,0.2220,0.0046,0.0000,0.3333,6.298E-5,18.0425,0.1406,0.0077,0.0000,0.0000,4.533E-7,18.0425,0.1406,0.0077,0.0000,0.0000,4.533E-7,2.4754,0.0045,0.0791,0.0000,0.0000,4.951E-4,14.2372,0.0837,0.0113,0.0000,0.0000,1.433E-6
