Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Boletus_species,27,4.0810,5.0485,500,0.9979,3,4.8104,0.9977,0.0013,10027,11.6143,3.5194,1.2878,1.8060,11.2397,5.3429,21.2843,4.5381,17.5646,0.5841,0.0199,2.6220,5.9922,0.0000,0.1254,0.6260,0.1890,0.0000,0.0000,6.2326,0.0000,0.0000,0.0000,0.0201,0.2334,0.0000,2.3963,0.0000,2.7617,0.0000,0.0000,5.1571,0.0074,1.0000,0.0009,0.3699,0.0000,0.0000,5.061E-2,5.0000,0.0075,0.1024,0.0000,0.0000,1.074E-3,10.0000,0.0267,0.0397,0.0000,0.0000,6.254E-5,20.2216,0.1210,0.0105,0.0000,0.0000,1.148E-6,25.2531,0.2305,0.0061,0.0741,0.0000,2.252E-7,20.2216,0.1210,0.0105,0.0000,0.0000,1.148E-6,20.2216,0.1210,0.0105,0.0000,0.0000,1.148E-6,26.2087,0.2633,0.0055,0.1111,0.0000,1.65E-7,26.2087,0.2633,0.0055,0.1111,0.0000,1.65E-7,4.7182,0.0069,0.1092,0.0000,0.0000,1.302E-3,15.9212,0.0767,0.0173,0.0000,0.0000,5.136E-6
Boletus_species,27,4.3406,5.2726,500,0.9984,3,0.6500,0.8742,0.0820,10027,14.2547,0.8443,1.4049,3.7500,5.5893,6.1104,21.4831,4.2851,17.0548,0.0012,0.0000,2.5072,6.3928,0.0000,0.1332,0.4008,0.3280,0.0000,0.1749,4.8491,0.0000,0.0000,0.0000,0.0119,0.1060,2.2483,3.7406,0.0000,4.3291,0.0000,0.0000,4.9024,0.0057,1.0000,0.0007,0.2704,0.0000,0.3333,1.798E-1,5.0000,0.0083,0.0606,0.0000,0.3333,1.058E-2,10.0000,0.0383,0.0222,0.0000,0.6667,6.525E-2,23.1015,0.2820,0.0049,0.0000,0.6667,1.459E-2,29.5924,0.4434,0.0035,0.0741,0.6667,1.044E-2,23.1015,0.2820,0.0049,0.0000,0.6667,1.459E-2,23.1015,0.2820,0.0049,0.0000,0.6667,1.459E-2,0.7487,0.0005,0.3245,0.0000,0.3333,2.476E-1,0.7485,0.0005,0.3245,0.0000,0.0000,3.418E-2,3.7920,0.0053,0.0851,0.0000,0.3333,2.048E-2,13.5289,0.0664,0.0134,0.0000,0.6667,3.956E-2
Boletus_species,25,4.0424,5.1275,500,0.9981,5,4.4564,0.9964,0.0019,10025,23.0872,4.6486,4.9521,0.0449,6.1343,4.0126,20.4941,5.7903,7.2988,0.4208,0.0000,2.6406,4.2411,0.0000,0.1287,0.8785,0.1598,0.0000,0.0000,5.4658,0.0000,0.0000,0.0000,0.0285,0.1408,3.6380,0.9926,0.0000,4.8019,0.0000,0.0000,5.1741,0.0076,1.0000,0.0009,0.3818,0.0000,0.0000,8.118E-3,5.0000,0.0076,0.1042,0.0000,0.0000,1.231E-5,10.0000,0.0263,0.0421,0.0000,0.0000,1.322E-7,21.5326,0.1431,0.0102,0.0000,0.2000,5.315E-8,27.9733,0.2702,0.0051,0.0800,0.4000,1.307E-6,21.5326,0.1431,0.0102,0.0000,0.2000,5.315E-8,21.5326,0.1431,0.0102,0.0000,0.2000,5.315E-8,20.8437,0.1350,0.0110,0.0000,0.0000,1.591E-10,20.8437,0.1350,0.0110,0.0000,0.0000,1.591E-10,4.7767,0.0070,0.1096,0.0000,0.0000,1.583E-5,16.6472,0.0783,0.0176,0.0000,0.0000,1.668E-9
Boletus_species,29,4.0787,5.0235,500,0.9979,1,5.6598,0.9995,-1.0000,10029,11.1915,5.0993,1.6468,4.6475,10.7160,4.5090,22.2787,3.4897,15.8228,0.5915,0.0000,4.2795,3.7921,0.0000,0.1417,0.4446,0.1750,0.0000,0.0249,5.6891,0.0000,0.0000,0.0000,0.0403,0.1333,0.0161,1.7454,0.0000,3.5252,0.0000,0.0000,5.1486,0.0073,1.0000,0.0009,0.3460,0.0000,0.0000,3.46E-1,5.0000,0.0080,0.0923,0.0000,0.0000,9.233E-2,10.0000,0.0299,0.0362,0.0000,0.0000,3.62E-2,17.9197,0.0996,0.0128,0.0000,0.0000,1.276E-2,24.5524,0.2411,0.0061,0.0690,0.0000,6.082E-3,17.9197,0.0996,0.0128,0.0000,0.0000,1.276E-2,17.9197,0.0996,0.0128,0.0000,0.0000,1.276E-2,71.3738,0.8313,0.0011,0.6207,0.0000,1.097E-3,71.3738,0.8313,0.0011,0.6207,0.0000,1.097E-3,4.4933,0.0068,0.1041,0.0000,0.0000,1.041E-1,15.5038,0.0730,0.0172,0.0000,0.0000,1.715E-2
Boletus_species,26,4.3101,5.2233,500,0.9982,4,-0.1297,0.9376,0.0138,10026,7.8183,5.6727,6.7045,3.7148,5.9136,8.7625,16.9309,2.3331,16.8859,2.2230,0.0000,6.6784,3.9912,0.0000,0.1325,1.3899,0.2673,0.0000,0.0000,6.7568,0.0000,1.5137,0.0000,0.1042,0.0000,0.1581,0.7879,0.0000,0.8038,0.3575,0.0995,4.9199,0.0057,1.0000,0.0007,0.3637,0.0000,0.0000,1.749E-2,5.0000,0.0056,0.0963,0.0000,0.0000,8.618E-5,10.0000,0.0222,0.0324,0.0000,0.7500,1.235E-1,18.5061,0.1070,0.0084,0.0000,1.0000,1E0,25.3960,0.2995,0.0038,0.0769,1.0000,1E0,18.5061,0.1070,0.0084,0.0000,1.0000,1E0,18.5061,0.1070,0.0084,0.0000,1.0000,1E0,5.4496,0.0067,0.0864,0.0000,0.0000,5.566E-5,5.4496,0.0067,0.0864,0.0000,0.0000,5.566E-5,4.9060,0.0054,0.0987,0.0000,0.0000,9.507E-5,15.2153,0.0621,0.0136,0.0000,1.0000,1E0
Boletus_species,26,4.1311,5.1285,500,0.9981,4,4.7348,0.9969,0.0017,10026,10.0803,6.1609,2.2093,1.6016,7.8798,7.8398,23.3585,3.2158,15.7344,1.6036,0.0003,3.8254,7.0991,0.0000,0.1070,0.4734,0.4082,0.0000,0.0000,3.2907,0.0000,0.0000,0.0000,0.0091,0.0340,1.2596,1.5483,0.0000,2.2608,0.0000,0.0000,5.0924,0.0070,1.0000,0.0009,0.3372,0.0000,0.0000,1.293E-2,5.0000,0.0078,0.0913,0.0000,0.0000,6.937E-5,10.0000,0.0295,0.0358,0.0000,0.0000,1.644E-6,19.7722,0.1221,0.0101,0.0000,0.0000,1.03E-8,29.3378,0.3534,0.0041,0.0769,0.2500,2.727E-7,19.7722,0.1221,0.0101,0.0000,0.0000,1.03E-8,19.7722,0.1221,0.0101,0.0000,0.0000,1.03E-8,20.8974,0.1372,0.0088,0.0385,0.0000,5.935E-9,20.8974,0.1372,0.0088,0.0385,0.0000,5.935E-9,4.4318,0.0064,0.1042,0.0000,0.0000,1.18E-4,15.9044,0.0754,0.0162,0.0000,0.0000,6.816E-8
Boletus_species,26,4.4491,5.4110,500,0.9986,4,0.3958,0.9410,0.0264,10026,14.3202,8.4749,5.6249,3.2700,5.8129,5.8120,24.7337,2.7897,11.6024,0.0196,0.2108,2.3564,1.4786,0.0000,0.2358,1.3374,0.0195,0.0000,0.0007,3.5369,0.0000,0.0000,0.6779,0.0041,0.0245,0.0330,2.8401,0.0000,4.7839,0.0000,0.0000,4.7725,0.0051,1.0000,0.0010,0.1624,0.0000,0.0000,6.952E-4,5.0000,0.0119,0.0451,0.0000,0.5000,1.147E-2,10.0000,0.0408,0.0183,0.0000,0.5000,1.951E-3,25.1965,0.3102,0.0041,0.0000,1.0000,1E0,33.6090,0.5271,0.0026,0.0769,1.0000,1E0,25.1965,0.3102,0.0041,0.0000,1.0000,1E0,25.1965,0.3102,0.0041,0.0000,1.0000,1E0,1.2619,0.0016,0.1391,0.0000,0.2500,9.65E-3,1.2609,0.0016,0.1391,0.0000,0.0000,3.748E-4,2.6098,0.0047,0.0823,0.0000,0.2500,2.091E-3,13.4653,0.0796,0.0118,0.0000,0.7500,4.625E-2
Boletus_species,28,4.0546,5.0281,500,0.9979,2,5.6684,0.9995,0.0001,10028,12.1364,2.8332,1.3745,5.6224,7.8136,6.4135,22.5505,1.6658,12.8912,5.6150,0.0009,2.8012,5.4687,0.0000,0.1828,0.5194,0.1423,0.0000,0.0117,6.0716,0.0000,0.0000,0.0000,0.0165,0.1186,0.0062,2.2192,0.0000,3.5246,0.0000,0.0000,5.1795,0.0076,1.0000,0.0009,0.3578,0.0000,0.0000,1.28E-1,5.0000,0.0080,0.0975,0.0000,0.0000,9.512E-3,10.0000,0.0302,0.0386,0.0000,0.0000,1.489E-3,18.4412,0.1011,0.0131,0.0000,0.0000,1.707E-4,25.4979,0.2453,0.0060,0.0714,0.0000,3.58E-5,18.4412,0.1011,0.0131,0.0000,0.0000,1.707E-4,18.4412,0.1011,0.0131,0.0000,0.0000,1.707E-4,100.0000,0.8368,0.0000,0.6429,0.0000,0E0,100.0000,0.8368,0.0000,0.6429,0.0000,0E0,4.5804,0.0070,0.1074,0.0000,0.0000,1.153E-2,15.9905,0.0759,0.0177,0.0000,0.0000,3.115E-4
Boletus_species,29,4.0977,5.0181,500,0.9978,1,2.7409,0.9937,-1.0000,10029,22.9124,4.9456,4.0809,0.2475,11.1765,6.2742,22.1074,1.5464,3.9427,0.7083,0.0186,2.4742,4.7051,0.0000,0.1527,1.2035,0.1942,0.0000,0.0066,6.5867,0.0000,0.9553,0.0000,0.0124,0.0854,2.2011,0.7891,0.0000,2.6734,0.0000,0.0000,5.1645,0.0074,1.0000,0.0009,0.3652,0.0000,0.0000,3.652E-1,5.0000,0.0076,0.0982,0.0000,0.0000,9.822E-2,10.0000,0.0294,0.0381,0.0000,0.0000,3.809E-2,17.4091,0.0891,0.0142,0.0000,0.0000,1.416E-2,24.7871,0.2597,0.0060,0.0690,1.0000,1E0,17.4091,0.0891,0.0142,0.0000,0.0000,1.416E-2,17.4091,0.0891,0.0142,0.0000,0.0000,1.416E-2,24.1402,0.2129,0.0063,0.0345,0.0000,6.282E-3,24.1402,0.2129,0.0063,0.0345,0.0000,6.282E-3,4.6463,0.0069,0.1067,0.0000,0.0000,1.067E-1,15.7947,0.0714,0.0173,0.0000,0.0000,1.735E-2
Boletus_species,27,4.0283,5.0342,500,0.9979,3,5.6869,0.9996,0.0001,10027,9.3223,6.1922,1.2664,4.2966,8.9400,4.3369,22.9254,6.1323,13.3005,0.3842,0.0000,2.2930,6.2239,0.0000,0.3673,0.4879,0.1697,0.0000,0.0086,6.4560,0.0000,0.0000,0.0000,0.0107,0.1319,1.9801,1.8621,0.0000,2.9123,0.0000,0.0000,5.2119,0.0079,1.0000,0.0009,0.3653,0.0000,0.0000,4.875E-2,5.0000,0.0081,0.1006,0.0000,0.0000,1.019E-3,10.0000,0.0288,0.0406,0.0000,0.0000,6.688E-5,19.5123,0.1165,0.0124,0.0000,0.0000,1.891E-6,26.4044,0.2546,0.0059,0.0741,0.0000,2.037E-7,19.5123,0.1165,0.0124,0.0000,0.0000,1.891E-6,19.5123,0.1165,0.0124,0.0000,0.0000,1.891E-6,100.0000,0.8437,0.0000,0.6667,0.0000,0E0,100.0000,0.8437,0.0000,0.6667,0.0000,0E0,4.6478,0.0073,0.1090,0.0000,0.0000,1.295E-3,16.2074,0.0791,0.0183,0.0000,0.0000,6.079E-6
