Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Boloria_bellona,43,4.5637,5.1400,500,0.9978,5,3.9565,0.9780,0.0183,10043,4.1456,0.6262,0.8621,0.4173,3.6977,48.9356,0.6205,17.8762,4.1303,1.6477,0.2467,4.5876,5.3399,0.1236,0.2887,0.6005,0.1934,0.5151,3.2254,0.0000,0.0213,0.6216,0.0000,0.0456,0.1448,0.5252,0.3817,0.0499,0.1300,0.0000,0.0000,4.6497,0.0045,1.0000,0.0009,0.1745,0.0000,0.0000,1.62E-4,5.0000,0.0099,0.0301,0.0000,0.2000,3.99E-6,10.0000,0.0785,0.0083,0.0000,0.2000,2.317E-8,11.9823,0.1535,0.0066,0.0000,0.2000,9.277E-9,23.2146,0.5307,0.0037,0.0930,0.2000,9.184E-10,11.9823,0.1535,0.0066,0.0000,0.2000,9.277E-9,11.9823,0.1535,0.0066,0.0000,0.2000,9.277E-9,1.8707,0.0020,0.1040,0.0000,0.2000,5.353E-4,1.8702,0.0020,0.1040,0.0000,0.0000,1.214E-5,3.0659,0.0041,0.0608,0.0000,0.2000,6.516E-5,8.8353,0.0453,0.0104,0.0000,0.2000,5.702E-8
Boloria_bellona,43,4.5354,5.1029,500,0.9978,5,5.0618,0.9975,0.0006,10043,2.6054,1.9271,0.0346,0.0152,3.4433,50.3617,0.0310,18.6049,4.1114,0.3944,0.0000,4.7039,5.7860,0.2611,0.2941,0.0414,0.0304,0.6325,3.6416,0.0000,0.0000,1.8904,0.0419,0.1015,0.1896,0.3371,0.3138,0.0568,0.1490,0.0000,0.0000,4.6840,0.0046,1.0000,0.0008,0.1796,0.0000,0.0000,1.87E-4,5.0000,0.0103,0.0313,0.0000,0.0000,2.988E-8,10.0000,0.0662,0.0093,0.0000,0.0000,6.809E-11,12.0300,0.1253,0.0071,0.0000,0.0000,1.766E-11,22.6086,0.4029,0.0039,0.0930,0.2000,1.134E-9,12.0300,0.1253,0.0071,0.0000,0.0000,1.766E-11,12.0300,0.1253,0.0071,0.0000,0.0000,1.766E-11,20.2674,0.3533,0.0043,0.0465,0.0000,1.439E-12,20.2674,0.3533,0.0043,0.0465,0.0000,1.439E-12,3.0560,0.0043,0.0628,0.0000,0.0000,9.791E-7,9.2183,0.0515,0.0108,0.0000,0.0000,1.438E-10
Boloria_bellona,43,4.5529,5.1104,500,0.9977,5,4.1379,0.9954,0.0029,10043,0.1872,3.2038,0.4188,0.0192,4.7663,39.3068,1.3061,21.4585,3.9399,4.1701,0.0308,4.4787,10.3693,0.0873,0.0387,1.6216,0.0044,0.5685,2.6144,0.0000,0.0188,0.5177,0.0000,0.0492,0.0876,0.3438,0.1671,0.1490,0.0764,0.0000,0.0000,4.6604,0.0046,1.0000,0.0008,0.1692,0.0000,0.0000,1.386E-4,5.0000,0.0114,0.0264,0.0000,0.0000,1.279E-8,10.0000,0.0798,0.0086,0.0000,0.2000,2.67E-8,10.5766,0.0843,0.0079,0.0000,0.2000,1.902E-8,22.7855,0.4759,0.0039,0.0930,0.4000,5.822E-7,10.5766,0.0843,0.0079,0.0000,0.2000,1.902E-8,10.5766,0.0843,0.0079,0.0000,0.2000,1.902E-8,6.4711,0.0229,0.0169,0.0000,0.0000,1.39E-9,6.4711,0.0229,0.0169,0.0000,0.0000,1.39E-9,2.8970,0.0042,0.0592,0.0000,0.0000,7.299E-7,8.7504,0.0545,0.0105,0.0000,0.2000,5.924E-8
Boloria_bellona,43,4.5360,5.1112,500,0.9978,5,5.2511,0.9976,0.0004,10043,0.4459,1.0479,1.5720,0.0252,2.6672,47.1932,0.1594,20.1330,5.4815,0.6419,0.0517,2.4487,9.7434,0.1915,1.2396,0.0136,0.3351,0.0234,4.3810,0.0000,0.0357,0.3465,0.0208,0.3103,0.3000,0.4593,0.2988,0.3762,0.0568,0.0000,0.0000,4.6811,0.0046,1.0000,0.0008,0.1856,0.0000,0.0000,2.202E-4,5.0000,0.0099,0.0304,0.0000,0.0000,2.583E-8,10.0000,0.0704,0.0088,0.0000,0.0000,5.165E-11,11.7749,0.1378,0.0069,0.0000,0.0000,1.531E-11,23.3469,0.4933,0.0039,0.0930,0.0000,8.831E-13,11.7749,0.1378,0.0069,0.0000,0.0000,1.531E-11,11.7749,0.1378,0.0069,0.0000,0.0000,1.531E-11,48.3299,0.6605,0.0022,0.3023,0.0000,5.044E-14,48.3299,0.6605,0.0022,0.3023,0.0000,5.044E-14,3.1033,0.0043,0.0616,0.0000,0.0000,8.895E-7,8.9118,0.0486,0.0107,0.0000,0.0000,1.373E-10
Boloria_bellona,43,4.5430,5.1203,500,0.9978,5,4.8742,0.9974,0.0007,10043,0.6971,1.3061,4.6215,0.3960,5.5166,48.2954,0.2935,16.4746,3.4180,0.1174,0.0000,4.4177,6.0702,0.1447,0.7814,0.0341,0.0279,0.7897,3.7879,0.0000,0.0000,1.7572,0.0092,0.0641,0.2097,0.3648,0.2158,0.0482,0.1412,0.0000,0.0000,4.6694,0.0046,1.0000,0.0008,0.1854,0.0000,0.0000,2.191E-4,5.0000,0.0099,0.0306,0.0000,0.0000,2.669E-8,10.0000,0.0663,0.0089,0.0000,0.0000,5.466E-11,12.3968,0.1493,0.0065,0.0000,0.0000,1.136E-11,22.4066,0.4200,0.0038,0.0930,0.4000,5.386E-7,12.3968,0.1493,0.0065,0.0000,0.0000,1.136E-11,12.3968,0.1493,0.0065,0.0000,0.0000,1.136E-11,19.9031,0.3657,0.0042,0.0465,0.0000,1.279E-12,19.9031,0.3657,0.0042,0.0465,0.0000,1.279E-12,3.1482,0.0042,0.0610,0.0000,0.0000,8.472E-7,9.0670,0.0489,0.0106,0.0000,0.0000,1.31E-10
Boloria_bellona,43,4.6153,5.1618,500,0.9978,5,3.2386,0.9905,0.0042,10043,3.3130,1.6285,3.9874,0.3071,5.5036,51.9035,0.5807,13.5243,3.8952,0.0000,0.0000,4.4043,4.9589,0.1273,0.0000,0.0010,0.0000,0.7752,4.0755,0.0000,0.0228,0.1596,0.0191,0.0543,0.0182,0.5516,0.0727,0.0448,0.0686,0.0013,0.0015,4.6000,0.0043,1.0000,0.0007,0.1871,0.0000,0.0000,2.293E-4,5.0000,0.0097,0.0256,0.0000,0.0000,1.097E-8,10.0000,0.0884,0.0075,0.0000,0.4000,4.118E-6,12.2742,0.1728,0.0059,0.0000,0.4000,2.01E-6,20.8834,0.4738,0.0038,0.0698,0.4000,5.386E-7,12.2742,0.1728,0.0059,0.0000,0.4000,2.01E-6,12.2742,0.1728,0.0059,0.0000,0.4000,2.01E-6,5.0785,0.0100,0.0248,0.0000,0.0000,9.369E-9,5.0785,0.0100,0.0248,0.0000,0.0000,9.369E-9,3.3810,0.0039,0.0526,0.0000,0.0000,4.017E-7,8.1649,0.0528,0.0099,0.0000,0.4000,9.438E-6
Boloria_bellona,43,4.6492,5.1830,500,0.9978,5,2.9005,0.9853,0.0078,10043,1.6720,0.4811,0.2752,1.5897,4.3551,48.0023,0.0309,20.0232,2.9027,0.6100,0.0000,5.2209,8.9974,0.0569,0.0800,0.4776,0.1039,0.5481,3.3791,0.0000,0.0000,0.3925,0.0000,0.0615,0.2879,0.3455,0.0453,0.0466,0.0148,0.0000,0.0000,4.5678,0.0042,1.0000,0.0007,0.1579,0.0000,0.0000,9.822E-5,5.0000,0.0128,0.0216,0.0000,0.4000,9.764E-5,10.0000,0.0897,0.0073,0.0000,0.4000,3.799E-6,11.7392,0.1406,0.0059,0.0000,0.4000,2.01E-6,20.2884,0.4692,0.0038,0.0930,0.6000,1.421E-4,11.7392,0.1406,0.0059,0.0000,0.4000,2.01E-6,11.7392,0.1406,0.0059,0.0000,0.4000,2.01E-6,3.1890,0.0046,0.0450,0.0000,0.0000,1.847E-7,3.1890,0.0046,0.0450,0.0000,0.0000,1.847E-7,2.8696,0.0038,0.0523,0.0000,0.0000,3.904E-7,8.2794,0.0498,0.0096,0.0000,0.4000,8.609E-6
Boloria_bellona,43,4.5651,5.1432,500,0.9978,5,4.7252,0.9972,0.0014,10043,0.9111,0.7673,2.3459,0.0380,4.0479,49.3435,0.0395,16.6591,4.9885,0.3147,0.0206,4.1039,6.3289,0.2955,0.4805,0.0146,0.0329,0.5311,4.8348,0.0000,0.0000,1.7857,0.0490,0.0216,0.2020,0.5540,0.8602,0.3117,0.1174,0.0000,0.0000,4.6553,0.0045,1.0000,0.0008,0.1732,0.0000,0.0000,1.557E-4,5.0000,0.0103,0.0300,0.0000,0.0000,2.418E-8,10.0000,0.0720,0.0087,0.0000,0.2000,2.796E-8,10.7049,0.0836,0.0078,0.0000,0.2000,1.808E-8,22.3248,0.5399,0.0039,0.0930,0.2000,1.134E-9,10.7049,0.0836,0.0078,0.0000,0.2000,1.808E-8,10.7049,0.0836,0.0078,0.0000,0.2000,1.808E-8,9.9031,0.0711,0.0089,0.0000,0.0000,5.466E-11,9.9031,0.0711,0.0089,0.0000,0.0000,5.466E-11,3.0104,0.0042,0.0616,0.0000,0.0000,8.895E-7,9.0080,0.0457,0.0105,0.0000,0.0000,1.249E-10
Boloria_bellona,44,4.5167,5.0850,500,0.9977,4,5.3298,0.9981,0.0005,10044,2.4112,1.1727,2.7872,0.0220,3.3314,44.1998,0.0424,20.2037,4.8876,0.5924,0.0363,3.4461,5.8007,0.0525,0.5241,0.0028,0.0266,0.5465,5.0052,0.0000,0.0270,1.9116,0.0133,0.0504,0.1581,0.7620,0.5870,1.2333,0.1660,0.0000,0.0000,4.7095,0.0048,1.0000,0.0009,0.1799,0.0000,0.0000,1.048E-3,5.0000,0.0108,0.0303,0.0000,0.0000,8.392E-7,10.0000,0.0697,0.0093,0.0000,0.0000,7.35E-9,11.9549,0.1264,0.0072,0.0000,0.0000,2.641E-9,23.3541,0.4780,0.0039,0.0909,0.0000,2.273E-10,11.9549,0.1264,0.0072,0.0000,0.0000,2.641E-9,11.9549,0.1264,0.0072,0.0000,0.0000,2.641E-9,33.5854,0.6452,0.0031,0.2727,0.0000,9.074E-11,33.5854,0.6452,0.0031,0.2727,0.0000,9.074E-11,3.1049,0.0044,0.0613,0.0000,0.0000,1.415E-5,9.0529,0.0514,0.0110,0.0000,0.0000,1.439E-8
Boloria_bellona,44,4.5112,5.0882,500,0.9977,4,5.4485,0.9995,0.0002,10044,3.3075,0.8026,2.1933,1.9506,5.2601,43.2045,0.0246,17.9473,4.6487,0.3959,0.0000,4.7553,7.1084,0.0694,0.3464,0.0000,0.0464,0.6203,3.7791,0.0000,0.0106,1.8289,0.0017,0.0742,0.2379,0.3130,0.4861,0.3385,0.2486,0.0000,0.0000,4.7210,0.0048,1.0000,0.0008,0.1900,0.0000,0.0000,1.302E-3,5.0000,0.0099,0.0321,0.0000,0.0000,1.056E-6,10.0000,0.0684,0.0095,0.0000,0.0000,8.003E-9,12.0207,0.1320,0.0071,0.0000,0.0000,2.497E-9,23.4676,0.4909,0.0039,0.0909,0.0000,2.273E-10,12.0207,0.1320,0.0071,0.0000,0.0000,2.497E-9,12.0207,0.1320,0.0071,0.0000,0.0000,2.497E-9,79.1573,0.7175,0.0009,0.5909,0.0000,6.447E-13,79.1573,0.7175,0.0009,0.5909,0.0000,6.447E-13,3.1764,0.0044,0.0632,0.0000,0.0000,1.598E-5,9.1224,0.0511,0.0112,0.0000,0.0000,1.546E-8
