Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Booneacris_variegata,46,4.2983,4.9788,500,0.9974,6,5.2547,0.9981,0.0005,10046,10.5907,10.7650,1.9137,0.0000,5.4121,6.9534,7.2270,1.7959,0.0000,0.5101,0.0252,0.5030,17.2872,0.0420,0.0000,1.0362,0.2110,0.5379,0.0743,0.1495,0.0000,0.0098,0.1419,0.0856,0.3112,21.9582,4.4232,0.0000,0.4891,7.5224,0.0243,4.9314,0.0058,1.0000,0.0009,0.2449,0.0000,0.0000,2.156E-4,5.0000,0.0092,0.0579,0.0000,0.0000,3.781E-8,10.0000,0.0351,0.0195,0.0000,0.0000,5.515E-11,11.4607,0.0469,0.0148,0.0000,0.0000,1.065E-11,25.2992,0.5892,0.0040,0.0870,0.0000,3.985E-15,11.4607,0.0469,0.0148,0.0217,0.0000,1.065E-11,11.4607,0.0469,0.0148,0.0000,0.0000,1.065E-11,31.0664,0.7193,0.0037,0.1957,0.0000,2.496E-15,31.0664,0.7193,0.0037,0.1957,0.0000,2.496E-15,3.6611,0.0055,0.0837,0.0000,0.0000,3.442E-7,11.8721,0.0512,0.0137,0.0217,0.0000,6.719E-12
Booneacris_variegata,46,4.2983,4.9788,500,0.9974,6,5.2547,0.9981,0.0005,10046,10.5907,10.7650,1.9137,0.0000,5.4121,6.9534,7.2270,1.7959,0.0000,0.5101,0.0252,0.5030,17.2872,0.0420,0.0000,1.0362,0.2110,0.5379,0.0743,0.1495,0.0000,0.0098,0.1419,0.0856,0.3112,21.9582,4.4232,0.0000,0.4891,7.5224,0.0243,4.9314,0.0058,1.0000,0.0009,0.2449,0.0000,0.0000,2.156E-4,5.0000,0.0092,0.0579,0.0000,0.0000,3.781E-8,10.0000,0.0351,0.0195,0.0000,0.0000,5.515E-11,11.4607,0.0469,0.0148,0.0000,0.0000,1.065E-11,25.2992,0.5892,0.0040,0.0870,0.0000,3.985E-15,11.4607,0.0469,0.0148,0.0217,0.0000,1.065E-11,11.4607,0.0469,0.0148,0.0000,0.0000,1.065E-11,31.0664,0.7193,0.0037,0.1957,0.0000,2.496E-15,31.0664,0.7193,0.0037,0.1957,0.0000,2.496E-15,3.6611,0.0055,0.0837,0.0000,0.0000,3.442E-7,11.8721,0.0512,0.0137,0.0217,0.0000,6.719E-12
Booneacris_variegata,47,4.5678,5.1408,500,0.9976,5,0.4613,0.7667,0.1389,10047,9.8248,6.3862,1.5249,2.2380,4.9472,7.0835,10.2023,2.3309,0.0000,0.0701,0.0202,0.0031,16.2782,0.0000,0.0910,2.4838,0.0000,0.0000,0.0636,0.0000,0.0173,0.2782,0.0365,0.7654,0.2178,24.8964,5.7969,0.0000,0.0987,4.3451,0.0000,4.6568,0.0045,1.0000,0.0008,0.1765,0.0000,0.4000,4.144E-2,5.0000,0.0106,0.0291,0.0000,0.4000,2.349E-4,10.0000,0.0657,0.0084,0.0000,0.4000,5.771E-6,12.8406,0.1351,0.0058,0.0000,0.4000,1.907E-6,20.6859,0.5823,0.0041,0.0638,0.6000,1.652E-4,12.8406,0.1351,0.0058,0.0000,0.4000,1.907E-6,12.8406,0.1351,0.0058,0.0000,0.4000,1.907E-6,0.2429,0.0002,0.3693,0.0000,0.4000,2.658E-1,15.5088,0.2933,0.0046,0.0213,0.4000,9.532E-7,3.1136,0.0042,0.0596,0.0000,0.4000,1.934E-3,8.8812,0.0454,0.0105,0.0000,0.4000,1.124E-5
Booneacris_variegata,47,4.2932,4.9668,500,0.9974,5,5.2377,0.9981,0.0004,10047,7.6756,9.3050,2.1582,0.3086,6.2128,6.9337,8.0697,2.7684,0.0000,0.9351,0.0322,0.4168,18.4885,0.1311,0.0000,1.7138,0.3763,0.4906,0.0784,0.0537,0.0000,0.0035,0.1173,0.1935,0.3328,20.8438,4.5004,0.0000,0.3267,5.6193,1.9141,4.9284,0.0058,1.0000,0.0010,0.2329,0.0000,0.0000,6.853E-4,5.0000,0.0097,0.0551,0.0000,0.0000,5.098E-7,10.0000,0.0364,0.0186,0.0000,0.0000,2.234E-9,11.9473,0.0564,0.0128,0.0000,0.0000,3.49E-10,23.9178,0.5889,0.0043,0.0851,0.0000,1.436E-12,11.9911,0.0571,0.0128,0.0213,0.0000,3.49E-10,11.9473,0.0564,0.0128,0.0000,0.0000,3.49E-10,56.4894,0.7185,0.0023,0.2766,0.0000,6.287E-14,56.4894,0.7185,0.0023,0.2766,0.0000,6.287E-14,3.5323,0.0055,0.0828,0.0000,0.0000,3.894E-6,11.6144,0.0522,0.0137,0.0000,0.0000,4.889E-10
Booneacris_variegata,47,4.3068,4.9636,500,0.9974,5,5.1067,0.9976,0.0007,10047,12.7920,1.8601,0.2110,2.9650,6.6378,8.1188,8.4800,2.1318,0.0000,2.2452,0.0274,0.4210,20.8535,0.0198,0.0000,0.9070,0.5163,0.2917,0.0920,0.0626,0.0000,0.0041,0.0892,0.5110,0.3870,19.6265,4.0103,0.0000,0.4091,6.3116,0.0182,4.9249,0.0058,1.0000,0.0009,0.2406,0.0000,0.0000,8.058E-4,5.0000,0.0093,0.0560,0.0000,0.0000,5.525E-7,10.0000,0.0366,0.0184,0.0000,0.0000,2.117E-9,11.7572,0.0524,0.0131,0.0000,0.0000,3.915E-10,24.7474,0.5697,0.0041,0.0851,0.0000,1.132E-12,11.7572,0.0524,0.0131,0.0213,0.0000,3.915E-10,11.7572,0.0524,0.0131,0.0000,0.0000,3.915E-10,24.7474,0.5697,0.0041,0.0851,0.0000,1.132E-12,24.7474,0.5697,0.0041,0.0851,0.0000,1.132E-12,3.6047,0.0054,0.0827,0.0000,0.0000,3.871E-6,11.5585,0.0512,0.0136,0.0000,0.0000,4.714E-10
Booneacris_variegata,47,4.3145,4.9687,500,0.9974,5,5.0934,0.9970,0.0007,10047,7.2052,6.0639,2.3531,3.5699,5.9068,6.5816,9.2811,2.9766,0.0000,0.9428,0.0192,0.7226,18.4316,0.0209,0.0000,1.0587,0.5938,0.3328,0.0949,0.0972,0.0030,0.0116,0.0859,0.4882,0.3233,20.2782,4.8638,0.0000,0.4306,6.2922,0.9705,4.9254,0.0058,1.0000,0.0009,0.2504,0.0000,0.0000,9.849E-4,5.0000,0.0089,0.0583,0.0000,0.0000,6.75E-7,10.0000,0.0344,0.0187,0.0000,0.0000,2.294E-9,12.2724,0.0566,0.0120,0.0000,0.0000,2.534E-10,23.4112,0.5610,0.0042,0.0638,0.0000,1.277E-12,12.3166,0.0573,0.0120,0.0213,0.0000,2.534E-10,12.2724,0.0566,0.0120,0.0000,0.0000,2.534E-10,23.4112,0.5610,0.0042,0.0638,0.0000,1.277E-12,23.4112,0.5610,0.0042,0.0638,0.0000,1.277E-12,3.7589,0.0055,0.0826,0.0000,0.0000,3.848E-6,11.6531,0.0500,0.0136,0.0000,0.0000,4.714E-10
Booneacris_variegata,47,4.3936,5.0511,500,0.9975,5,3.8153,0.9787,0.0172,10047,8.6727,9.0547,1.2855,3.0532,6.1414,6.1634,7.3909,2.0574,0.0000,0.6916,0.0221,0.4158,14.6106,0.0413,0.0000,1.9950,0.4247,0.4537,0.0330,0.0390,0.0232,0.0000,0.1008,0.2370,0.3513,25.3804,5.2852,0.0000,0.2425,5.8225,0.0112,4.8324,0.0053,1.0000,0.0009,0.2226,0.0000,0.0000,5.46E-4,5.0000,0.0096,0.0480,0.0000,0.2000,2.547E-5,10.0000,0.0388,0.0150,0.0000,0.2000,2.52E-7,11.6297,0.0546,0.0107,0.0000,0.2000,6.619E-8,21.0307,0.5616,0.0044,0.0638,0.2000,1.833E-9,11.6297,0.0546,0.0107,0.0213,0.2000,6.619E-8,11.6297,0.0546,0.0107,0.0000,0.2000,6.619E-8,2.6828,0.0033,0.0984,0.0000,0.0000,9.243E-6,2.6828,0.0033,0.0984,0.0000,0.0000,9.243E-6,3.3776,0.0050,0.0772,0.0000,0.2000,1.669E-4,10.9170,0.0464,0.0124,0.0000,0.2000,1.186E-7
Booneacris_variegata,47,4.3437,4.9927,500,0.9974,5,3.6951,0.9562,0.0373,10047,7.4628,4.9896,2.4502,1.4482,6.2977,7.1306,9.8303,1.5286,0.0000,3.4475,0.0323,0.5500,16.1189,0.4479,0.0000,4.6632,0.1258,0.4009,0.0784,0.3372,0.0000,0.0191,0.0895,0.7259,0.1916,20.3110,4.5623,0.0000,0.4295,5.0106,1.3203,4.8719,0.0055,1.0000,0.0009,0.2365,0.0000,0.0000,7.397E-4,5.0000,0.0088,0.0526,0.0000,0.2000,3.653E-5,10.0000,0.0368,0.0159,0.0000,0.2000,3.175E-7,11.8162,0.0606,0.0112,0.0000,0.2000,7.929E-8,21.4343,0.5888,0.0044,0.0638,0.2000,1.833E-9,11.8162,0.0606,0.0112,0.0213,0.2000,7.929E-8,11.8162,0.0606,0.0112,0.0000,0.2000,7.929E-8,1.2880,0.0012,0.2000,0.0000,0.2000,6.715E-3,31.8001,0.7054,0.0036,0.1702,0.2000,8.218E-10,3.6411,0.0052,0.0785,0.0000,0.2000,1.782E-4,11.0315,0.0511,0.0129,0.0000,0.2000,1.387E-7
Booneacris_variegata,47,4.2886,4.9623,500,0.9974,5,5.2359,0.9977,0.0005,10047,6.4288,10.5547,2.5453,0.0891,5.5242,5.7597,7.7904,2.3354,0.0000,3.1081,0.0234,0.3839,18.1791,0.0401,0.0547,1.1959,0.6764,0.3510,0.0701,0.0630,0.0000,0.0034,0.0300,0.4225,0.3518,22.2362,4.3403,0.0000,0.3139,7.1183,0.0103,4.9275,0.0058,1.0000,0.0010,0.2391,0.0000,0.0000,7.811E-4,5.0000,0.0094,0.0559,0.0000,0.0000,5.476E-7,10.0000,0.0372,0.0186,0.0000,0.0000,2.234E-9,11.8779,0.0532,0.0130,0.0000,0.0000,3.769E-10,24.7996,0.5875,0.0041,0.0851,0.0000,1.132E-12,11.9190,0.0537,0.0130,0.0213,0.0000,3.769E-10,11.8779,0.0532,0.0130,0.0000,0.0000,3.769E-10,46.8696,0.7162,0.0028,0.1915,0.0000,1.681E-13,46.8696,0.7162,0.0028,0.1915,0.0000,1.681E-13,3.6210,0.0055,0.0822,0.0000,0.0000,3.756E-6,11.6352,0.0520,0.0137,0.0000,0.0000,4.889E-10
Booneacris_variegata,47,4.3225,4.9752,500,0.9974,5,4.9373,0.9968,0.0007,10047,7.2936,7.3070,2.6924,0.0028,6.5578,5.8816,11.0622,2.1753,0.0000,3.9744,0.0289,0.3367,16.9927,0.0128,0.2170,2.1201,0.2919,0.6852,0.0330,0.1335,0.0000,0.0008,0.0367,0.0000,0.2333,19.8142,4.7028,0.0000,0.3677,7.0382,0.0073,4.8885,0.0056,1.0000,0.0009,0.2357,0.0000,0.0000,7.273E-4,5.0000,0.0090,0.0541,0.0000,0.0000,4.654E-7,10.0000,0.0373,0.0171,0.0000,0.0000,1.47E-9,12.0055,0.0558,0.0115,0.0000,0.0000,2.052E-10,22.4161,0.5804,0.0043,0.0851,0.2000,1.672E-9,12.0055,0.0558,0.0115,0.0213,0.0000,2.052E-10,12.0055,0.0558,0.0115,0.0000,0.0000,2.052E-10,20.8101,0.3687,0.0045,0.0638,0.0000,1.803E-12,20.8101,0.3687,0.0045,0.0638,0.0000,1.803E-12,3.5843,0.0053,0.0809,0.0000,0.0000,3.47E-6,11.3427,0.0481,0.0131,0.0000,0.0000,3.915E-10
