Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Brillia_flavifrons,55,3.3222,4.0015,500,0.9926,7,2.2721,0.8757,0.0844,10054,3.2578,0.7697,2.0928,1.6587,3.4546,3.7022,8.3133,1.4008,0.0389,1.3698,36.3514,0.4776,2.2163,0.8393,1.7490,0.7438,0.0821,0.0000,0.0424,0.1011,0.0669,0.3063,3.6731,0.0000,0.0576,0.3785,1.5845,0.3822,24.2654,0.5305,0.0933,5.9084,0.0163,1.0000,0.0017,0.4365,0.0000,0.1429,3.032E-2,5.0000,0.0135,0.1278,0.0000,0.2857,5.72E-4,10.0000,0.0480,0.0556,0.0182,0.2857,1.015E-5,6.4525,0.0208,0.0962,0.0000,0.2857,1.463E-4,18.1096,0.1535,0.0239,0.0909,0.4286,1.073E-5,16.0999,0.1268,0.0285,0.0364,0.2857,3.793E-7,16.0605,0.1267,0.0285,0.0182,0.2857,3.793E-7,3.3144,0.0068,0.1929,0.0000,0.1429,3.006E-4,17.1748,0.1405,0.0259,0.0727,0.2857,2.325E-7,5.2157,0.0144,0.1222,0.0000,0.2857,4.625E-4,13.5506,0.0837,0.0366,0.0182,0.2857,1.297E-6
Brillia_flavifrons,55,3.2357,3.8741,500,0.9878,7,2.0960,0.8551,0.1255,10054,5.9434,0.9199,0.3871,0.5195,2.8338,1.9775,5.2618,2.8058,0.1170,6.1866,35.9381,0.6442,3.8615,0.7525,0.8686,2.1019,0.0108,0.0000,0.0977,0.0000,0.0058,1.1791,4.4531,0.0000,0.1172,1.8482,2.3949,0.0939,18.4501,0.2297,0.0000,5.9894,0.0176,1.0000,0.0019,0.5178,0.0000,0.1429,7.504E-2,5.0000,0.0108,0.1723,0.0182,0.1429,1.559E-4,10.0000,0.0359,0.0720,0.0182,0.1429,9.159E-7,3.0556,0.0056,0.2721,0.0000,0.1429,2.18E-3,22.4138,0.2012,0.0198,0.0909,0.2857,6.171E-8,12.0623,0.0552,0.0545,0.0545,0.1429,1.75E-7,10.4703,0.0391,0.0671,0.0182,0.1429,6.042E-7,5.9365,0.0142,0.1428,0.0182,0.1429,5.215E-5,18.4745,0.1412,0.0275,0.0909,0.1429,2.925E-9,3.0556,0.0056,0.2721,0.0000,0.1429,2.18E-3,14.7401,0.0824,0.0397,0.0545,0.1429,2.642E-8
Brillia_flavifrons,56,3.1616,3.8069,500,0.9882,6,2.5168,0.9779,0.0115,10055,5.5923,3.9939,2.8243,0.4833,2.5046,2.8776,8.1537,1.2133,0.0086,2.9152,36.5581,0.3293,3.8824,0.4345,0.7208,0.9864,0.0075,0.0000,0.5805,0.0452,0.0171,1.6771,0.2950,0.1119,0.0000,1.6082,0.8215,0.1464,20.9843,0.2267,0.0000,6.0733,0.0194,1.0000,0.0022,0.4901,0.0000,0.0000,1.386E-2,5.0000,0.0131,0.1679,0.0179,0.0000,2.238E-5,10.0000,0.0419,0.0768,0.0179,0.1667,1.498E-5,3.2587,0.0071,0.2456,0.0000,0.0000,2.197E-4,22.9373,0.2009,0.0220,0.0893,0.1667,3.021E-8,15.1916,0.0927,0.0427,0.0357,0.1667,8.181E-7,15.1916,0.0927,0.0427,0.0357,0.1667,8.181E-7,9.2826,0.0366,0.0843,0.0179,0.1667,2.38E-5,9.2821,0.0366,0.0843,0.0179,0.0000,3.598E-7,3.2587,0.0071,0.2456,0.0000,0.0000,2.197E-4,15.0979,0.0917,0.0432,0.0357,0.1667,8.665E-7
Brillia_flavifrons,56,3.1574,3.8263,500,0.9883,6,3.7079,0.9932,0.0023,10055,3.7305,1.1250,1.0548,0.2079,2.6991,2.7293,8.9010,0.0451,0.3030,3.1195,34.4533,0.7707,6.2502,0.7669,0.9933,1.1223,0.0987,0.0000,0.1419,0.1371,0.0647,0.4644,0.0390,0.0195,0.1690,1.3171,1.7372,0.2084,26.8468,0.4845,0.0000,6.0702,0.0193,1.0000,0.0021,0.4862,0.0000,0.0000,1.321E-2,5.0000,0.0129,0.1667,0.0179,0.0000,2.145E-5,10.0000,0.0413,0.0744,0.0179,0.0000,1.695E-7,2.8757,0.0062,0.2680,0.0000,0.0000,3.707E-4,22.1535,0.2023,0.0227,0.0893,0.0000,1.359E-10,15.6406,0.1024,0.0395,0.0357,0.0000,3.788E-9,15.6406,0.1024,0.0395,0.0357,0.0000,3.788E-9,25.4024,0.2656,0.0179,0.1250,0.0000,3.291E-11,25.4024,0.2656,0.0179,0.1250,0.0000,3.291E-11,2.8757,0.0062,0.2680,0.0000,0.0000,3.707E-4,14.7755,0.0913,0.0430,0.0357,0.0000,6.289E-9
Brillia_flavifrons,56,3.3337,3.9161,500,0.9884,6,1.1810,0.9242,0.0442,10055,1.6002,1.0730,0.0529,2.2725,2.9960,3.0890,10.4744,2.2612,0.2091,1.0782,36.0053,1.0998,2.3008,0.6087,0.8640,0.9177,0.0747,0.0000,0.2243,0.0950,0.0000,0.4916,4.8140,0.0033,0.0141,1.5425,1.4609,0.0746,24.1569,0.1453,0.0000,5.9169,0.0165,1.0000,0.0019,0.4120,0.0000,0.0000,4.893E-3,5.0000,0.0133,0.1334,0.0179,0.1667,2.25E-4,10.0000,0.0449,0.0599,0.0179,0.1667,4.385E-6,1.6617,0.0033,0.3163,0.0000,0.0000,1.001E-3,22.5075,0.2160,0.0184,0.0893,0.6667,4.834E-3,15.1676,0.1062,0.0334,0.0357,0.5000,6.917E-4,15.1356,0.1054,0.0335,0.0179,0.5000,6.977E-4,3.9727,0.0096,0.1667,0.0179,0.1667,6.648E-4,11.3082,0.0567,0.0508,0.0179,0.1667,1.948E-6,5.2575,0.0145,0.1267,0.0179,0.1667,1.752E-4,14.1482,0.0891,0.0369,0.0179,0.5000,9.237E-4
Brillia_flavifrons,56,3.0991,3.7475,500,0.9886,6,4.6683,0.9980,0.0010,10055,3.2789,1.2791,1.1323,2.4942,3.3425,2.9461,7.9182,1.3404,0.8612,1.0268,36.8925,0.7057,2.4839,0.8447,1.0300,0.7597,0.0498,0.0000,0.7503,0.0535,0.0467,0.3556,0.2033,0.0397,0.0268,4.5756,1.4580,0.1033,23.5528,0.4481,0.0000,6.1291,0.0205,1.0000,0.0023,0.5064,0.0000,0.0000,1.687E-2,5.0000,0.0132,0.1761,0.0179,0.0000,2.986E-5,10.0000,0.0406,0.0795,0.0179,0.0000,2.518E-7,4.1227,0.0100,0.2105,0.0000,0.0000,8.71E-5,20.7414,0.1725,0.0272,0.0893,0.0000,4.006E-10,15.8278,0.1046,0.0415,0.0357,0.0000,5.088E-9,15.8278,0.1046,0.0415,0.0357,0.0000,5.088E-9,43.0860,0.5744,0.0073,0.2679,0.0000,1.464E-13,43.0860,0.5744,0.0073,0.2679,0.0000,1.464E-13,4.1227,0.0100,0.2105,0.0000,0.0000,8.71E-5,14.8488,0.0897,0.0456,0.0357,0.0000,9.049E-9
Brillia_flavifrons,56,3.2145,3.8397,500,0.9887,6,1.5809,0.9238,0.0380,10055,5.4964,0.5096,0.5575,0.1532,3.6603,4.0073,7.7725,2.6188,0.2560,5.1108,31.1794,0.6489,2.8603,1.1365,0.5456,1.0999,0.0795,0.0000,0.0131,0.1579,0.0462,0.0000,4.4733,0.0357,0.0352,0.5856,1.3445,0.2077,25.0204,0.3878,0.0000,6.0076,0.0179,1.0000,0.0020,0.5146,0.0000,0.0000,1.856E-2,5.0000,0.0108,0.1767,0.0179,0.1667,8.82E-4,10.0000,0.0362,0.0739,0.0357,0.3333,3.96E-4,4.3110,0.0089,0.2050,0.0000,0.1667,1.8E-3,21.7888,0.1873,0.0209,0.0893,0.5000,1.738E-4,15.4617,0.0883,0.0374,0.0357,0.3333,2.76E-5,15.4617,0.0883,0.0374,0.0357,0.3333,2.76E-5,5.2812,0.0115,0.1667,0.0179,0.1667,6.648E-4,3.5146,0.0069,0.2457,0.0000,0.0000,2.203E-4,4.3110,0.0089,0.2050,0.0000,0.1667,1.8E-3,14.7793,0.0803,0.0404,0.0357,0.3333,3.734E-5
Brillia_flavifrons,56,3.3161,3.9199,500,0.9879,6,1.1992,0.9395,0.0214,10055,5.3440,4.1191,0.9689,0.0000,3.3691,1.9345,7.5025,0.5763,0.3844,0.0588,38.4482,0.9599,4.6899,0.4428,1.8139,0.4971,0.0046,0.0000,0.3568,0.0657,0.1001,0.7931,0.2781,0.0203,0.0470,0.8503,1.0927,0.1614,24.8454,0.2751,0.0000,5.8976,0.0161,1.0000,0.0017,0.4731,0.0000,0.0000,1.121E-2,5.0000,0.0111,0.1363,0.0179,0.1667,2.497E-4,10.0000,0.0450,0.0550,0.0179,0.3333,1.254E-4,1.8921,0.0030,0.3307,0.0000,0.0000,1.308E-3,22.1266,0.2498,0.0171,0.0893,0.6667,4.193E-3,12.5365,0.0737,0.0395,0.0357,0.6667,2.103E-2,11.6575,0.0597,0.0440,0.0179,0.5000,1.537E-3,4.7538,0.0102,0.1446,0.0179,0.1667,3.337E-4,4.7519,0.0102,0.1446,0.0179,0.0000,9.143E-6,5.7553,0.0143,0.1148,0.0179,0.1667,1.08E-4,13.2987,0.0822,0.0362,0.0536,0.6667,1.784E-2
Brillia_flavifrons,56,3.1922,3.7868,500,0.9861,6,2.9735,0.9781,0.0134,10056,2.3389,0.6578,3.0812,0.1247,2.5516,2.3127,8.4907,1.6699,0.0611,0.9486,33.2245,0.7923,2.2792,0.7497,0.7724,0.9386,0.0173,0.2617,0.8092,0.0107,0.0000,0.5156,3.7216,0.0262,0.0375,0.5747,2.2463,0.1346,30.5021,0.1484,0.0000,6.0385,0.0187,1.0000,0.0021,0.4803,0.0000,0.0000,1.228E-2,5.0000,0.0125,0.1670,0.0357,0.0000,2.166E-5,10.0000,0.0398,0.0743,0.0357,0.1667,1.273E-5,3.1992,0.0068,0.2480,0.0000,0.0000,2.327E-4,21.5265,0.1803,0.0228,0.0893,0.1667,3.605E-8,14.9494,0.0875,0.0416,0.0357,0.1667,7.188E-7,14.9494,0.0875,0.0416,0.0357,0.1667,7.188E-7,8.3570,0.0286,0.0942,0.0357,0.1667,4.095E-5,8.3530,0.0285,0.0942,0.0357,0.0000,6.975E-7,3.1992,0.0068,0.2480,0.0000,0.0000,2.327E-4,14.9265,0.0865,0.0417,0.0357,0.1667,7.274E-7
Brillia_flavifrons,56,3.1842,3.7930,500,0.9896,6,3.4453,0.9640,0.0303,10055,2.4955,1.5528,0.2000,0.5327,3.0055,2.1203,9.0658,1.5150,1.4586,2.6088,37.0680,0.3418,3.0070,0.6029,1.6592,1.4095,0.0351,0.0000,0.1557,0.0442,0.0073,0.5430,5.0657,0.0257,0.0143,1.3598,1.3095,0.1888,22.4654,0.1290,0.0131,6.0505,0.0190,1.0000,0.0021,0.4961,0.0000,0.0000,1.49E-2,5.0000,0.0125,0.1682,0.0179,0.1667,6.94E-4,10.0000,0.0407,0.0746,0.0179,0.1667,1.299E-5,4.5028,0.0106,0.1862,0.0000,0.1667,1.134E-3,21.6223,0.1843,0.0233,0.0893,0.1667,4.016E-8,14.2975,0.0826,0.0455,0.0536,0.1667,1.12E-6,12.2176,0.0594,0.0567,0.0179,0.1667,3.347E-6,5.0464,0.0127,0.1667,0.0179,0.1667,6.648E-4,42.8034,0.5419,0.0066,0.2321,0.1667,7.271E-11,4.5028,0.0106,0.1862,0.0000,0.1667,1.134E-3,15.0417,0.0923,0.0422,0.0536,0.1667,7.719E-7
