Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Bufo_americanus,89,2.7959,3.3558,500,0.9825,10,1.9226,0.9072,0.0442,10088,1.1288,4.0883,0.6192,0.9059,1.9633,56.4886,1.6946,0.9818,0.0000,0.6153,0.2908,0.4870,1.7309,0.6251,1.4240,0.9934,0.3192,0.1597,2.3289,3.9434,1.0462,2.6004,5.7633,1.2196,0.0021,5.5419,0.9333,0.7533,1.0546,0.2837,0.0131,6.4699,0.0290,1.0000,0.0044,0.5048,0.0000,0.0000,1.074E-3,5.0000,0.0186,0.2483,0.0112,0.2000,3.954E-4,10.0000,0.0414,0.1378,0.0225,0.2000,4.503E-6,4.5916,0.0172,0.2628,0.0000,0.2000,6.018E-4,19.0852,0.1071,0.0551,0.0899,0.4000,4.852E-6,16.9985,0.0863,0.0677,0.0787,0.3000,6.516E-7,16.4248,0.0825,0.0716,0.0449,0.3000,9.509E-7,6.7079,0.0260,0.2000,0.0112,0.2000,7.804E-5,11.0619,0.0468,0.1230,0.0337,0.2000,1.873E-6,4.5916,0.0172,0.2628,0.0000,0.2000,6.018E-4,17.5770,0.0920,0.0639,0.0787,0.4000,1.146E-5
Bufo_americanus,89,2.8190,3.3623,500,0.9809,10,2.0487,0.8727,0.0833,10088,1.8362,1.2527,3.5490,0.0367,1.9019,56.8382,0.8602,0.7315,0.1622,0.0871,0.3957,0.5897,0.5990,1.1802,1.5753,1.5274,0.5198,0.4902,4.7586,8.8405,1.2949,2.2950,0.3067,0.6485,0.0138,5.5054,0.1877,0.8532,0.9449,0.1909,0.0270,6.4672,0.0290,1.0000,0.0045,0.4788,0.0000,0.1000,7.524E-3,5.0000,0.0203,0.2314,0.0225,0.2000,2.333E-4,10.0000,0.0456,0.1311,0.0225,0.2000,3.074E-6,1.3201,0.0057,0.4389,0.0000,0.1000,3.659E-3,22.7695,0.1504,0.0389,0.0899,0.4000,6.314E-7,20.8103,0.1296,0.0466,0.0449,0.4000,1.825E-6,17.4009,0.0961,0.0639,0.0225,0.3000,4.411E-7,6.1385,0.0253,0.2000,0.0225,0.2000,7.804E-5,16.7149,0.0896,0.0682,0.0225,0.2000,1.859E-8,6.0266,0.0248,0.2028,0.0225,0.2000,8.662E-5,17.4506,0.0965,0.0637,0.0337,0.3000,4.318E-7
Bufo_americanus,89,2.8354,3.3898,500,0.9830,10,2.0202,0.9194,0.0308,10088,3.1756,1.1660,2.0726,0.2497,2.2983,63.6244,4.0420,0.1863,0.0000,0.9719,0.0788,0.0579,1.9015,1.0671,1.2281,1.3221,0.1385,0.2487,2.3155,2.1360,3.3999,1.0681,0.7634,0.5132,0.0275,0.4641,0.9402,1.2532,0.6904,2.4592,0.1398,6.4394,0.0280,1.0000,0.0042,0.5011,0.0000,0.0000,9.981E-4,5.0000,0.0179,0.2424,0.0000,0.0000,6.994E-7,10.0000,0.0407,0.1301,0.0337,0.3000,5.26E-5,7.1033,0.0262,0.1834,0.0000,0.2000,4.035E-5,21.2140,0.1386,0.0402,0.0899,0.4000,7.756E-7,16.1248,0.0820,0.0674,0.0674,0.4000,1.553E-5,20.3480,0.1240,0.0439,0.0674,0.4000,1.292E-6,6.4228,0.0236,0.2000,0.0000,0.2000,7.804E-5,5.0909,0.0182,0.2393,0.0000,0.0000,6.156E-7,6.5908,0.0242,0.1958,0.0000,0.2000,6.63E-5,16.9283,0.0887,0.0621,0.0674,0.4000,9.64E-6
Bufo_americanus,89,2.7778,3.3177,500,0.9816,10,2.1825,0.9050,0.0582,10088,1.0124,2.2089,2.5485,0.3888,2.6070,58.0471,2.5169,1.3074,0.0000,0.9633,0.4743,0.8514,1.0025,0.8267,2.0423,1.3263,0.2891,0.1633,1.7564,6.9755,0.4781,1.4980,2.5817,0.8014,0.0654,2.5311,0.8807,0.8083,1.0353,1.8830,0.1286,6.5093,0.0303,1.0000,0.0047,0.5079,0.0000,0.1000,1.222E-2,5.0000,0.0198,0.2552,0.0112,0.2000,4.838E-4,10.0000,0.0421,0.1435,0.0225,0.2000,6.173E-6,2.9197,0.0117,0.3443,0.0000,0.1000,4.689E-4,21.3477,0.1314,0.0473,0.0899,0.2000,1.032E-9,17.6295,0.0924,0.0674,0.0674,0.2000,1.695E-8,16.1978,0.0814,0.0774,0.0337,0.2000,5.036E-8,6.9896,0.0277,0.2000,0.0112,0.2000,7.804E-5,23.5784,0.1618,0.0387,0.1124,0.2000,2.094E-10,6.5208,0.0259,0.2113,0.0112,0.2000,1.182E-4,17.7672,0.0935,0.0665,0.0674,0.2000,1.526E-8
Bufo_americanus,89,2.8697,3.4298,500,0.9857,10,1.5567,0.8673,0.0523,10088,2.6246,2.5475,0.5928,1.1183,1.9187,57.8876,1.1434,0.4638,0.0000,1.1923,0.0079,0.3343,2.1878,0.6787,0.8408,0.7284,0.2402,0.6734,2.9213,6.4759,0.6635,3.4785,1.0880,0.2450,0.0563,7.9298,0.7725,0.5676,0.4579,0.0610,0.1021,6.4216,0.0275,1.0000,0.0041,0.4933,0.0000,0.0000,8.526E-4,5.0000,0.0180,0.2319,0.0000,0.3000,2.196E-3,10.0000,0.0418,0.1250,0.0225,0.4000,5.1E-4,7.3661,0.0286,0.1698,0.0000,0.3000,3.019E-4,20.3095,0.1273,0.0429,0.0787,0.4000,1.131E-6,18.4225,0.1059,0.0518,0.0562,0.4000,3.401E-6,18.4032,0.1058,0.0518,0.0449,0.4000,3.401E-6,3.3390,0.0120,0.3000,0.0000,0.3000,1.058E-2,1.8825,0.0070,0.3945,0.0000,0.0000,9.137E-5,6.4311,0.0238,0.1910,0.0000,0.3000,6.446E-4,16.8127,0.0904,0.0609,0.0449,0.4000,8.62E-6
Bufo_americanus,89,2.7460,3.3147,500,0.9846,10,3.2818,0.9866,0.0061,10088,1.3489,1.3036,0.7778,0.0000,1.5087,59.0631,2.4354,0.9632,0.0000,4.2806,0.0056,0.5065,1.0037,1.0328,0.9527,1.4301,0.2000,0.1396,3.6600,6.9731,1.2041,2.0146,0.2330,0.7088,0.0681,4.5815,0.9118,1.0860,1.3642,0.1428,0.0997,6.5484,0.0316,1.0000,0.0050,0.5212,0.0000,0.0000,1.48E-3,5.0000,0.0202,0.2709,0.0000,0.0000,2.13E-6,10.0000,0.0422,0.1569,0.0112,0.0000,9.052E-9,5.6340,0.0226,0.2509,0.0000,0.0000,9.883E-7,25.3621,0.1747,0.0359,0.0899,0.1000,9.547E-13,20.6481,0.1124,0.0562,0.0562,0.1000,5.314E-11,23.3823,0.1464,0.0431,0.0562,0.1000,4.954E-12,18.9042,0.0982,0.0664,0.0449,0.1000,2.364E-10,18.8961,0.0980,0.0664,0.0449,0.0000,1.67E-12,5.6340,0.0226,0.2509,0.0000,0.0000,9.883E-7,18.4773,0.0943,0.0692,0.0449,0.0000,2.515E-12
Bufo_americanus,89,2.8841,3.4420,500,0.9833,10,1.6017,0.8679,0.0548,10088,2.2118,1.6357,0.7004,0.8136,2.1927,56.7025,1.4783,1.1074,0.0000,1.5460,0.0289,0.7104,1.3996,1.1200,1.4166,0.9905,0.3355,0.2019,1.3156,1.6153,8.3318,1.1220,0.6718,0.9731,0.0612,7.5452,0.7970,1.0678,1.4437,0.4638,0.0000,6.4079,0.0271,1.0000,0.0041,0.4844,0.0000,0.1000,8.287E-3,5.0000,0.0177,0.2277,0.0225,0.3000,1.961E-3,10.0000,0.0415,0.1208,0.0337,0.4000,4.229E-4,4.1082,0.0147,0.2604,0.0000,0.2000,5.627E-4,24.7543,0.2036,0.0272,0.0899,0.4000,7.674E-8,17.5711,0.0986,0.0542,0.0562,0.4000,4.413E-6,21.7943,0.1478,0.0358,0.0562,0.4000,3.894E-7,4.1082,0.0147,0.2604,0.0112,0.3000,4.505E-3,2.9059,0.0104,0.3175,0.0000,0.1000,2.342E-4,4.1082,0.0147,0.2604,0.0000,0.2000,5.627E-4,16.5659,0.0898,0.0601,0.0449,0.4000,7.99E-6
Bufo_americanus,89,2.7267,3.2954,500,0.9834,10,3.1234,0.9776,0.0131,10088,1.0595,1.0078,0.9175,0.4240,1.6351,57.7294,1.0025,1.0454,0.0000,4.3440,0.5344,0.1994,0.7960,1.4849,1.5938,1.1858,0.2899,0.4569,2.9817,3.8165,1.6541,1.5379,5.0624,0.7572,0.1092,5.5438,0.2396,0.9731,1.2232,0.3692,0.0257,6.5640,0.0321,1.0000,0.0051,0.5110,0.0000,0.0000,1.214E-3,5.0000,0.0210,0.2611,0.0000,0.0000,1.473E-6,10.0000,0.0441,0.1512,0.0225,0.0000,6.232E-9,6.7126,0.0287,0.2132,0.0000,0.0000,1.942E-7,22.2036,0.1361,0.0481,0.0899,0.1000,1.313E-11,20.5132,0.1206,0.0562,0.0562,0.1000,5.314E-11,19.4800,0.1109,0.0617,0.0449,0.1000,1.216E-10,14.2551,0.0690,0.1000,0.0225,0.1000,9.116E-9,26.0782,0.1888,0.0336,0.1236,0.1000,5.299E-13,6.3996,0.0273,0.2210,0.0000,0.0000,2.774E-7,18.0613,0.0983,0.0703,0.0449,0.1000,3.919E-10
Bufo_americanus,89,2.7119,3.2671,500,0.9818,10,3.2690,0.9877,0.0045,10089,2.7257,1.7546,0.6174,0.0024,2.3142,57.4411,1.4379,0.8682,0.0000,2.8739,0.4387,0.3785,1.2466,1.2109,1.4015,1.0854,0.2437,0.2602,2.8197,3.8296,5.9665,2.1811,2.5941,0.6657,0.0179,3.2469,0.9513,0.5797,0.5470,0.1489,0.1511,6.5803,0.0327,1.0000,0.0053,0.5205,0.0000,0.0000,1.459E-3,5.0000,0.0211,0.2696,0.0112,0.0000,2.029E-6,10.0000,0.0430,0.1553,0.0112,0.0000,8.17E-9,3.2510,0.0138,0.3415,0.0000,0.0000,2.155E-5,22.5065,0.1411,0.0484,0.0899,0.0000,7.01E-14,20.1576,0.1160,0.0600,0.0562,0.0000,6.013E-13,17.4033,0.0919,0.0769,0.0337,0.0000,7.247E-12,23.0985,0.1468,0.0459,0.1011,0.0000,4.143E-14,23.0985,0.1468,0.0459,0.1011,0.0000,4.143E-14,3.2510,0.0138,0.3415,0.0000,0.0000,2.155E-5,18.2255,0.0994,0.0714,0.0562,0.0000,3.426E-12
Bufo_americanus,90,2.9181,3.4628,500,0.9867,9,0.2454,0.7710,0.1044,10089,1.0927,1.1725,3.5377,0.3159,2.2040,57.8164,2.1754,0.6343,0.8233,1.2003,0.3911,0.0675,1.0741,1.3033,2.5253,1.4928,0.3320,0.2030,2.6674,2.6591,0.6019,1.4880,2.2298,1.1179,0.1152,7.7776,0.5736,0.7211,1.4372,0.1907,0.0590,6.3650,0.0259,1.0000,0.0040,0.4727,0.0000,0.2222,6.579E-2,5.0000,0.0179,0.2216,0.0000,0.4444,3.004E-2,10.0000,0.0403,0.1185,0.0111,0.4444,1.95E-3,6.6888,0.0250,0.1764,0.0000,0.4444,1.146E-2,21.3770,0.1400,0.0353,0.1000,0.4444,6.118E-6,18.8453,0.1074,0.0457,0.0444,0.4444,2.149E-5,18.8453,0.1074,0.0457,0.0444,0.4444,2.149E-5,4.4082,0.0158,0.2416,0.0000,0.2222,1.078E-3,4.4082,0.0158,0.2416,0.0000,0.2222,1.078E-3,6.1501,0.0225,0.1893,0.0000,0.4444,1.551E-2,16.6246,0.0895,0.0576,0.0444,0.4444,6.558E-5
