Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Calliopsis_andreniformis,61,4.8452,5.0504,500,0.9970,7,5.0918,0.9973,0.0003,10061,12.6527,6.4139,3.9961,5.5770,11.2628,26.3612,4.6853,2.4562,0.0000,1.8319,0.0000,2.6010,11.5550,0.0000,0.0000,3.4205,0.1141,0.3777,0.2691,0.0000,0.0000,0.0000,0.0108,0.0000,0.0244,0.0149,6.3319,0.0052,0.0386,0.0000,0.0000,4.3751,0.0037,1.0000,0.0009,0.0509,0.0000,0.0000,8.839E-10,5.0000,0.4120,0.0060,0.0164,0.0000,2.683E-16,10.0000,0.5623,0.0054,0.1148,0.0000,1.283E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,9.4985,0.5587,0.0057,0.0656,0.0000,1.873E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,1.6056,0.0031,0.0216,0.0000,0.0000,2.171E-12,3.0180,0.0250,0.0079,0.0000,0.0000,1.84E-15
Calliopsis_andreniformis,61,4.8788,5.0616,500,0.9970,7,4.6433,0.9967,0.0006,10061,12.8859,6.9939,5.2469,0.0007,13.0365,24.1810,6.3612,4.1719,0.0000,2.9463,0.0000,5.7496,8.3360,0.0000,0.0000,4.5105,0.0000,0.4833,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0366,4.9334,0.0280,0.0533,0.0000,0.0015,4.3403,0.0036,1.0000,0.0012,0.0403,0.0000,0.0000,1.713E-10,5.0000,0.4512,0.0060,0.0164,0.1429,3.133E-13,10.0000,0.5239,0.0056,0.0820,0.1429,2.072E-13,4.1233,0.3079,0.0060,0.0000,0.1429,3.133E-13,12.4382,0.5544,0.0055,0.0984,0.1429,1.859E-13,4.1233,0.3079,0.0060,0.0000,0.1429,3.133E-13,4.1233,0.3079,0.0060,0.0000,0.1429,3.133E-13,3.1741,0.0502,0.0065,0.0000,0.0000,4.698E-16,3.1741,0.0502,0.0065,0.0000,0.0000,4.698E-16,1.5093,0.0030,0.0187,0.0000,0.0000,7.955E-13,2.6260,0.0259,0.0076,0.0000,0.0000,1.403E-15
Calliopsis_andreniformis,61,4.8452,5.0504,500,0.9970,7,5.0918,0.9973,0.0003,10061,12.6527,6.4139,3.9961,5.5770,11.2628,26.3612,4.6853,2.4562,0.0000,1.8319,0.0000,2.6010,11.5550,0.0000,0.0000,3.4205,0.1141,0.3777,0.2691,0.0000,0.0000,0.0000,0.0108,0.0000,0.0244,0.0149,6.3319,0.0052,0.0386,0.0000,0.0000,4.3751,0.0037,1.0000,0.0009,0.0509,0.0000,0.0000,8.839E-10,5.0000,0.4120,0.0060,0.0164,0.0000,2.683E-16,10.0000,0.5623,0.0054,0.1148,0.0000,1.283E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,9.4985,0.5587,0.0057,0.0656,0.0000,1.873E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,1.6056,0.0031,0.0216,0.0000,0.0000,2.171E-12,3.0180,0.0250,0.0079,0.0000,0.0000,1.84E-15
Calliopsis_andreniformis,61,4.8832,5.0597,500,0.9970,7,5.0896,0.9964,0.0007,10061,17.8979,5.5778,0.0117,0.1549,12.8647,27.0170,6.8778,6.5999,0.0430,5.3533,0.0000,2.4941,7.7127,0.0000,0.0000,3.9397,0.2706,0.4066,0.1580,0.0000,0.0000,0.0000,0.0133,0.0000,0.0144,0.0142,2.5593,0.0000,0.0191,0.0000,0.0000,4.3360,0.0036,1.0000,0.0014,0.0301,0.0000,0.0000,2.247E-11,5.0000,0.4245,0.0060,0.0164,0.0000,2.683E-16,10.0000,0.5535,0.0056,0.0820,0.2857,1.112E-10,4.2301,0.3179,0.0060,0.0000,0.0000,2.683E-16,10.7684,0.5535,0.0056,0.0820,0.2857,1.112E-10,4.2301,0.3179,0.0060,0.0000,0.0000,2.683E-16,4.2301,0.3179,0.0060,0.0000,0.0000,2.683E-16,9.1461,0.5487,0.0057,0.0656,0.0000,1.873E-16,9.1461,0.5487,0.0057,0.0656,0.0000,1.873E-16,1.2752,0.0030,0.0196,0.0000,0.0000,1.104E-12,2.5727,0.0281,0.0076,0.0000,0.0000,1.403E-15
Calliopsis_andreniformis,61,4.8452,5.0504,500,0.9970,7,5.0918,0.9973,0.0003,10061,12.6527,6.4139,3.9961,5.5770,11.2628,26.3612,4.6853,2.4562,0.0000,1.8319,0.0000,2.6010,11.5550,0.0000,0.0000,3.4205,0.1141,0.3777,0.2691,0.0000,0.0000,0.0000,0.0108,0.0000,0.0244,0.0149,6.3319,0.0052,0.0386,0.0000,0.0000,4.3751,0.0037,1.0000,0.0009,0.0509,0.0000,0.0000,8.839E-10,5.0000,0.4120,0.0060,0.0164,0.0000,2.683E-16,10.0000,0.5623,0.0054,0.1148,0.0000,1.283E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,9.4985,0.5587,0.0057,0.0656,0.0000,1.873E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,1.6056,0.0031,0.0216,0.0000,0.0000,2.171E-12,3.0180,0.0250,0.0079,0.0000,0.0000,1.84E-15
Calliopsis_andreniformis,61,4.8452,5.0504,500,0.9970,7,5.0918,0.9973,0.0003,10061,12.6527,6.4139,3.9961,5.5770,11.2628,26.3612,4.6853,2.4562,0.0000,1.8319,0.0000,2.6010,11.5550,0.0000,0.0000,3.4205,0.1141,0.3777,0.2691,0.0000,0.0000,0.0000,0.0108,0.0000,0.0244,0.0149,6.3319,0.0052,0.0386,0.0000,0.0000,4.3751,0.0037,1.0000,0.0009,0.0509,0.0000,0.0000,8.839E-10,5.0000,0.4120,0.0060,0.0164,0.0000,2.683E-16,10.0000,0.5623,0.0054,0.1148,0.0000,1.283E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,9.4985,0.5587,0.0057,0.0656,0.0000,1.873E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,4.6729,0.2736,0.0060,0.0000,0.0000,2.683E-16,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,100.0000,0.5623,0.0000,0.1148,0.0000,0E0,1.6056,0.0031,0.0216,0.0000,0.0000,2.171E-12,3.0180,0.0250,0.0079,0.0000,0.0000,1.84E-15
Calliopsis_andreniformis,61,4.9070,5.0740,500,0.9970,7,2.0484,0.9091,0.0806,10061,12.5300,5.6612,0.7571,3.0407,11.3025,25.2007,5.2815,3.5845,0.0000,3.1983,0.0000,2.6226,10.6644,0.0000,0.0000,3.9841,0.0494,0.4227,0.5224,0.0000,0.0000,0.0000,0.0000,0.0228,0.0804,0.0201,10.9785,0.0000,0.0763,0.0000,0.0000,4.3128,0.0035,1.0000,0.0014,0.0327,0.0000,0.1429,8.319E-9,5.0000,0.4540,0.0060,0.0164,0.2857,1.568E-10,10.0000,0.5459,0.0056,0.0820,0.2857,1.112E-10,4.0125,0.4509,0.0061,0.0000,0.2857,1.703E-10,100.0000,0.5459,0.0000,0.0820,0.2857,0E0,4.0125,0.4509,0.0061,0.0000,0.2857,1.703E-10,4.0125,0.4509,0.0061,0.0000,0.2857,1.703E-10,0.2114,0.0002,0.1428,0.0000,0.1429,5.215E-5,2.1162,0.0117,0.0090,0.0000,0.1429,3.803E-12,1.3628,0.0029,0.0189,0.0000,0.1429,3.124E-10,2.4539,0.0170,0.0074,0.0000,0.2857,4.465E-10
Calliopsis_andreniformis,61,4.8860,5.0615,500,0.9970,7,4.0441,0.9908,0.0060,10061,12.0975,3.3375,5.4351,3.9194,12.7536,26.3038,5.8732,4.4784,0.0000,0.0639,0.0000,5.1236,13.5046,0.0000,0.0000,3.2375,0.1873,0.2974,0.0054,0.0000,0.0000,0.0000,0.0105,0.0000,0.0185,0.0409,3.2770,0.0067,0.0164,0.0118,0.0000,4.3336,0.0036,1.0000,0.0010,0.0397,0.0000,0.1429,2.631E-8,5.0000,0.4977,0.0059,0.0328,0.1429,2.833E-13,10.0000,0.5398,0.0055,0.0492,0.1429,1.859E-13,4.0142,0.2971,0.0060,0.0000,0.1429,3.133E-13,12.5116,0.5525,0.0055,0.0984,0.1429,1.859E-13,4.0142,0.2971,0.0060,0.0000,0.1429,3.133E-13,4.0142,0.2971,0.0060,0.0000,0.1429,3.133E-13,0.9025,0.0008,0.0482,0.0000,0.0000,6.049E-10,0.9025,0.0008,0.0482,0.0000,0.0000,6.049E-10,1.4978,0.0030,0.0173,0.0000,0.1429,1.845E-10,2.4381,0.0252,0.0076,0.0000,0.1429,1.292E-12
Calliopsis_andreniformis,62,4.8502,5.0393,500,0.9969,6,5.0753,0.9967,0.0006,10062,12.9862,4.9557,4.4863,1.7266,13.1434,25.4997,6.1446,7.2302,0.0600,3.2786,0.0000,1.3703,11.1549,0.0000,0.0000,3.5791,0.1253,0.3541,0.0194,0.0000,0.0000,0.0000,0.0046,0.0000,0.0202,0.0131,3.8244,0.0007,0.0227,0.0000,0.0000,4.3702,0.0037,1.0000,0.0011,0.0407,0.0000,0.0000,4.577E-9,5.0000,0.4192,0.0061,0.0161,0.0000,4.964E-14,10.0000,0.5534,0.0056,0.0645,0.0000,2.972E-14,4.3982,0.2953,0.0061,0.0000,0.0000,4.964E-14,12.2776,0.5577,0.0056,0.0968,0.1667,3.189E-11,4.3982,0.2953,0.0061,0.0000,0.0000,4.964E-14,4.3982,0.2953,0.0061,0.0000,0.0000,4.964E-14,10.6827,0.5534,0.0056,0.0645,0.0000,2.972E-14,10.6827,0.5534,0.0056,0.0645,0.0000,2.972E-14,1.4467,0.0031,0.0208,0.0000,0.0000,8.031E-11,2.7709,0.0246,0.0079,0.0000,0.0000,2.342E-13
Calliopsis_andreniformis,62,4.8323,5.0351,500,0.9969,6,5.0755,0.9973,0.0003,10062,12.3874,6.5010,3.9899,5.6801,11.2761,26.3654,4.7791,2.4220,0.0000,1.8262,0.0000,2.5779,11.7179,0.0000,0.0000,3.3323,0.1562,0.3462,0.2715,0.0000,0.0000,0.0000,0.0116,0.0000,0.0085,0.0226,6.2975,0.0172,0.0135,0.0000,0.0000,4.3878,0.0037,1.0000,0.0009,0.0509,0.0000,0.0000,1.736E-8,5.0000,0.4167,0.0061,0.0161,0.0000,4.964E-14,10.0000,0.5614,0.0055,0.1129,0.0000,2.667E-14,4.6241,0.2739,0.0062,0.0000,0.0000,5.473E-14,9.3884,0.5572,0.0058,0.0645,0.0000,3.668E-14,4.6241,0.2739,0.0062,0.0000,0.0000,5.473E-14,4.6241,0.2739,0.0062,0.0000,0.0000,5.473E-14,14.1072,0.5614,0.0055,0.1129,0.0000,2.667E-14,14.1072,0.5614,0.0055,0.1129,0.0000,2.667E-14,1.6344,0.0032,0.0209,0.0000,0.0000,8.264E-11,2.9393,0.0244,0.0080,0.0000,0.0000,2.526E-13
