Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Callopistromyia_annulipes,63,4.3301,4.8644,500,0.9969,8,5.1255,0.9974,0.0009,10063,22.8339,7.7152,7.9893,4.0899,6.4713,3.5269,8.2599,4.6038,1.4585,0.3510,0.0000,11.6558,5.5680,0.0046,12.1698,0.4333,0.1802,0.0735,0.0776,0.0718,0.0000,0.0724,0.0326,0.0970,0.2035,1.3797,0.3080,0.0000,0.2660,0.1063,0.0000,4.8954,0.0059,1.0000,0.0013,0.1300,0.0000,0.0000,8.148E-8,5.0000,0.0216,0.0213,0.0000,0.0000,4.183E-14,10.0000,0.1231,0.0094,0.0000,0.0000,6.309E-17,16.6976,0.4026,0.0064,0.0000,0.0000,2.677E-18,21.9384,0.5523,0.0057,0.0952,0.0000,1.06E-18,16.6976,0.4026,0.0064,0.0000,0.0000,2.677E-18,16.6976,0.4026,0.0064,0.0000,0.0000,2.677E-18,21.0157,0.4995,0.0057,0.0635,0.0000,1.06E-18,21.0157,0.4995,0.0057,0.0635,0.0000,1.06E-18,2.4833,0.0053,0.0544,0.0000,0.0000,7.622E-11,7.1613,0.0551,0.0132,0.0000,0.0000,9.311E-16
Callopistromyia_annulipes,64,4.3050,4.8249,500,0.9968,7,4.5897,0.9962,0.0010,10064,32.2189,1.6776,2.6947,2.7764,5.5188,8.2599,5.1905,2.5004,1.1146,2.7023,0.0000,5.8659,7.8117,0.0000,17.4651,0.2814,0.0835,0.0000,0.0266,0.0842,0.0003,0.6309,0.0162,0.1255,0.1419,0.5666,0.1152,0.0000,0.2596,1.8711,0.0000,4.9430,0.0061,1.0000,0.0012,0.1527,0.0000,0.0000,1.938E-6,5.0000,0.0176,0.0270,0.0000,0.0000,1.053E-11,10.0000,0.1083,0.0100,0.0000,0.0000,1.025E-14,13.4509,0.2373,0.0074,0.0000,0.0000,1.162E-15,21.7085,0.5474,0.0057,0.0781,0.1429,2.299E-13,13.4509,0.2373,0.0074,0.0000,0.0000,1.162E-15,13.4509,0.2373,0.0074,0.0000,0.0000,1.162E-15,13.4509,0.2373,0.0074,0.0000,0.0000,1.162E-15,13.4509,0.2373,0.0074,0.0000,0.0000,1.162E-15,2.7232,0.0055,0.0594,0.0000,0.0000,2.615E-9,7.7418,0.0508,0.0139,0.0000,0.0000,1.008E-13
Callopistromyia_annulipes,64,4.2979,4.8261,500,0.9968,7,4.8805,0.9966,0.0008,10064,27.8166,7.9279,6.1000,0.2647,8.3989,3.3827,7.2890,3.9073,1.0022,0.6861,0.0000,8.6821,5.6400,0.0000,14.6584,0.3044,0.1712,0.0227,0.0325,0.0766,0.0042,0.0233,0.0000,0.2066,0.1659,0.6164,0.1964,0.0000,1.2802,1.1438,0.0000,4.9229,0.0061,1.0000,0.0013,0.1374,0.0000,0.0000,9.255E-7,5.0000,0.0193,0.0233,0.0000,0.0000,3.674E-12,10.0000,0.1313,0.0096,0.0000,0.0000,7.727E-15,13.3100,0.2409,0.0076,0.0000,0.0000,1.401E-15,23.9960,0.5881,0.0055,0.0938,0.0000,1.456E-16,13.3100,0.2409,0.0076,0.0000,0.0000,1.401E-15,13.3100,0.2409,0.0076,0.0000,0.0000,1.401E-15,23.9960,0.5881,0.0055,0.0938,0.0000,1.456E-16,23.9960,0.5881,0.0055,0.0938,0.0000,1.456E-16,2.5364,0.0054,0.0559,0.0000,0.0000,1.715E-9,7.3100,0.0533,0.0136,0.0000,0.0000,8.663E-14
Callopistromyia_annulipes,64,4.3175,4.8414,500,0.9968,7,4.7432,0.9958,0.0007,10064,25.4871,4.5127,4.6815,6.9042,5.2105,8.0793,13.4061,3.7668,1.3089,0.1009,0.0000,5.7652,3.5398,0.0242,14.3959,0.3093,0.1040,0.0608,0.0533,0.0900,0.0000,0.0387,0.0051,0.0000,0.2402,1.3030,0.2776,0.0000,0.2790,0.0558,0.0000,4.9250,0.0060,1.0000,0.0013,0.1398,0.0000,0.0000,1.044E-6,5.0000,0.0185,0.0247,0.0000,0.0000,5.675E-12,10.0000,0.1297,0.0097,0.0000,0.0000,8.302E-15,14.9769,0.3159,0.0068,0.0000,0.0000,6.429E-16,20.7295,0.5968,0.0059,0.0781,0.1429,2.827E-13,14.9769,0.3159,0.0068,0.0000,0.0000,6.429E-16,14.9769,0.3159,0.0068,0.0000,0.0000,6.429E-16,17.0673,0.4217,0.0064,0.0156,0.0000,4.206E-16,17.0673,0.4217,0.0064,0.0156,0.0000,4.206E-16,2.5738,0.0054,0.0586,0.0000,0.0000,2.38E-9,7.5536,0.0526,0.0136,0.0000,0.0000,8.663E-14
Callopistromyia_annulipes,64,4.3142,4.8309,500,0.9968,7,4.6608,0.9962,0.0009,10064,24.8117,8.5300,6.7262,0.2554,5.2710,7.6713,4.6030,6.7371,0.4728,6.0946,0.0000,5.3376,5.2776,0.0000,12.9479,0.3520,0.0801,0.0000,0.0576,0.0623,0.0000,1.2656,0.0000,0.2095,0.1572,0.5243,0.1110,0.0000,0.3393,2.1051,0.0000,4.9240,0.0060,1.0000,0.0012,0.1497,0.0000,0.0000,1.688E-6,5.0000,0.0180,0.0254,0.0000,0.0000,6.891E-12,10.0000,0.1131,0.0096,0.0000,0.0000,7.727E-15,13.8496,0.2628,0.0072,0.0000,0.0000,9.593E-16,20.5499,0.5909,0.0059,0.0781,0.1429,2.827E-13,13.8496,0.2628,0.0072,0.0000,0.0000,9.593E-16,13.8496,0.2628,0.0072,0.0000,0.0000,9.593E-16,13.8496,0.2628,0.0072,0.0000,0.0000,9.593E-16,13.8496,0.2628,0.0072,0.0000,0.0000,9.593E-16,2.6963,0.0054,0.0577,0.0000,0.0000,2.137E-9,7.5609,0.0533,0.0136,0.0000,0.0000,8.663E-14
Callopistromyia_annulipes,64,4.3311,4.8284,500,0.9968,7,4.5002,0.9950,0.0010,10064,24.9033,11.3370,9.5306,0.5516,2.7742,7.1635,9.5461,3.1657,1.1019,0.9502,0.0000,8.4607,5.5814,0.0136,11.2232,0.2868,0.1048,0.0242,0.2191,0.0684,0.0000,0.0528,0.0065,0.1417,0.1916,0.7265,0.2236,0.0000,0.1698,1.4811,0.0000,4.9171,0.0060,1.0000,0.0013,0.1324,0.0000,0.0000,7.114E-7,5.0000,0.0188,0.0234,0.0000,0.0000,3.899E-12,10.0000,0.1280,0.0096,0.0000,0.0000,7.727E-15,12.9956,0.2075,0.0077,0.0000,0.1429,1.395E-12,20.7544,0.5840,0.0059,0.0781,0.1429,2.827E-13,12.9956,0.2075,0.0077,0.0000,0.1429,1.395E-12,12.9956,0.2075,0.0077,0.0000,0.1429,1.395E-12,10.4540,0.1394,0.0092,0.0000,0.0000,5.754E-15,10.4540,0.1394,0.0092,0.0000,0.0000,5.754E-15,2.4795,0.0054,0.0567,0.0000,0.0000,1.893E-9,7.3285,0.0496,0.0135,0.0000,0.0000,8.23E-14
Callopistromyia_annulipes,64,4.3198,4.8393,500,0.9968,7,4.7720,0.9967,0.0008,10064,26.8340,5.9056,3.4574,7.6660,5.5389,7.7774,6.3227,5.2619,1.4659,0.3251,0.0000,9.2265,6.0322,0.0000,11.4234,0.2154,0.1012,0.0000,0.0915,0.0876,0.0000,0.4439,0.0065,0.2595,0.1914,0.7204,0.3432,0.0000,0.2259,0.0770,0.0000,4.9163,0.0060,1.0000,0.0014,0.1314,0.0000,0.0000,6.749E-7,5.0000,0.0190,0.0236,0.0000,0.0000,4.137E-12,10.0000,0.1277,0.0096,0.0000,0.0000,7.727E-15,15.8169,0.3310,0.0067,0.0000,0.0000,5.796E-16,20.6420,0.5907,0.0059,0.0781,0.1429,2.827E-13,15.8169,0.3310,0.0067,0.0000,0.0000,5.796E-16,15.8169,0.3310,0.0067,0.0000,0.0000,5.796E-16,17.1225,0.4055,0.0063,0.0156,0.0000,3.767E-16,17.1225,0.4055,0.0063,0.0156,0.0000,3.767E-16,2.5257,0.0054,0.0567,0.0000,0.0000,1.893E-9,7.3905,0.0548,0.0135,0.0000,0.0000,8.23E-14
Callopistromyia_annulipes,64,4.3010,4.8314,500,0.9968,7,5.0051,0.9975,0.0008,10064,26.9518,4.3991,4.6765,4.1366,5.8770,8.5411,10.3589,4.0017,2.2164,2.2234,0.0000,3.0957,4.7589,0.0201,14.8307,0.5179,0.1556,0.0136,0.0422,0.0758,0.0000,0.0000,0.0328,0.1013,0.1379,2.1148,0.3051,0.0000,0.3830,0.0320,0.0000,4.9230,0.0060,1.0000,0.0012,0.1408,0.0000,0.0000,1.097E-6,5.0000,0.0199,0.0237,0.0000,0.0000,4.26E-12,10.0000,0.1329,0.0095,0.0000,0.0000,7.186E-15,14.5121,0.2833,0.0071,0.0000,0.0000,8.698E-16,23.8263,0.5912,0.0055,0.0938,0.0000,1.456E-16,14.5121,0.2833,0.0071,0.0000,0.0000,8.698E-16,14.5121,0.2833,0.0071,0.0000,0.0000,8.698E-16,29.8866,0.6249,0.0050,0.1406,0.0000,7.471E-17,29.8866,0.6249,0.0050,0.1406,0.0000,7.471E-17,2.6195,0.0054,0.0560,0.0000,0.0000,1.736E-9,7.3121,0.0519,0.0136,0.0000,0.0000,8.663E-14
Callopistromyia_annulipes,64,4.3841,4.8706,500,0.9968,7,2.9119,0.8769,0.1104,10064,22.5106,6.8501,0.0995,6.7512,5.9408,6.5128,13.3992,3.7805,4.4038,0.5988,0.0000,6.0061,4.8941,0.0792,14.1331,0.3192,0.2366,0.1866,0.0669,0.1327,0.0000,0.0642,0.2163,0.0000,0.6270,0.5971,0.2890,0.0000,0.0481,1.2565,0.0000,4.8586,0.0057,1.0000,0.0012,0.1270,0.0000,0.1429,2.616E-5,5.0000,0.0213,0.0194,0.0000,0.1429,3.643E-10,10.0000,0.1469,0.0084,0.0000,0.1429,2.523E-12,15.3096,0.3964,0.0065,0.0000,0.1429,5.053E-13,20.7583,0.5166,0.0057,0.0781,0.2857,1.212E-10,15.3096,0.3964,0.0065,0.0000,0.1429,5.053E-13,15.3096,0.3964,0.0065,0.0000,0.1429,5.053E-13,0.8638,0.0010,0.1429,0.0000,0.1429,5.227E-5,16.7175,0.5050,0.0063,0.0156,0.1429,4.19E-13,2.4954,0.0051,0.0512,0.0000,0.1429,1.202E-7,6.6746,0.0503,0.0127,0.0000,0.1429,2.931E-11
Callopistromyia_annulipes,64,4.3031,4.8271,500,0.9968,7,4.9232,0.9975,0.0007,10064,26.1104,6.3973,6.9497,3.6654,4.3729,7.1983,8.6942,3.5747,1.0962,1.4231,0.0000,8.8653,5.2424,0.0000,13.4453,0.3486,0.1546,0.0000,0.0818,0.0455,0.0000,0.2751,0.0634,0.1886,0.1681,0.9774,0.3698,0.0000,0.2728,0.0191,0.0000,4.9363,0.0061,1.0000,0.0014,0.1347,0.0000,0.0000,8.062E-7,5.0000,0.0209,0.0237,0.0000,0.0000,4.26E-12,10.0000,0.1336,0.0098,0.0000,0.0000,8.914E-15,14.9514,0.3203,0.0071,0.0000,0.0000,8.698E-16,24.6958,0.5959,0.0055,0.0938,0.0000,1.456E-16,14.9514,0.3203,0.0071,0.0000,0.0000,8.698E-16,14.9514,0.3203,0.0071,0.0000,0.0000,8.698E-16,24.6958,0.5959,0.0055,0.0938,0.0000,1.456E-16,24.6958,0.5959,0.0055,0.0938,0.0000,1.456E-16,2.5114,0.0055,0.0574,0.0000,0.0000,2.061E-9,7.3978,0.0539,0.0138,0.0000,0.0000,9.588E-14
